Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.05,8.99,5.05,7.00,17800,7.00
2016-03-31,9.00,9.00,5.00,7.00,65000,7.00
2016-03-30,5.05,5.05,5.05,7.00,3000,7.00
2016-03-29,5.06,5.06,5.04,6.00,5000,6.00
2016-03-28,7.00,7.00,7.00,7.00,000,7.00
2016-03-24,9.00,9.00,5.047,7.00,89000,7.00
2016-03-23,6.00,6.60,5.50,5.75,92500,5.75
2016-03-22,6.65,6.65,6.65,7.00,6300,7.00
2016-03-21,8.00,8.00,7.33,7.375,57000,7.375
2016-03-18,5.00,8.50,4.00,7.00,344800,7.00
2016-03-17,5.00,5.329,4.50,4.75,140400,4.75
2016-03-16,7.00,7.25,5.058,6.75,195700,6.75
2016-03-15,8.05,9.85,7.00,7.50,35800,7.50
2016-03-14,9.30,16.18,8.00,9.375,342500,9.375
2016-03-11,19.625,19.625,19.625,19.00,5200,19.00
2016-03-10,19.65,19.65,19.65,19.75,2000,19.75
2016-03-09,18.50,19.88,18.50,19.25,32100,19.25
2016-03-08,14.50,18.50,13.65,17.75,100300,17.75
2016-03-07,12.00,13.00,12.00,13.25,3600,13.25
2016-03-04,13.175,13.35,13.175,13.25,15000,13.25
2016-03-03,13.175,13.175,13.175,12.75,1000,12.75
2016-03-02,12.75,12.75,12.75,12.75,000,12.75
2016-03-01,11.50,12.00,11.50,12.75,8600,12.75
2016-02-29,12.00,12.00,12.00,13.25,1000,13.25
2016-02-26,13.25,13.25,13.25,13.25,000,13.25
2016-02-25,13.125,13.125,13.125,13.25,500,13.25
2016-02-24,12.00,12.00,12.00,13.25,1600,13.25
2016-02-23,13.25,13.25,13.25,13.25,000,13.25
2016-02-22,13.25,13.25,13.25,13.25,000,13.25
2016-02-19,13.25,13.25,13.25,13.25,000,13.25
2016-02-18,12.00,12.00,12.00,13.25,000,13.25
2016-02-17,13.25,13.25,13.25,13.25,000,13.25
2016-02-16,13.25,13.25,13.25,13.25,000,13.25
2016-02-15,13.25,13.25,13.25,13.25,000,13.25
2016-02-12,13.25,13.25,13.25,13.25,000,13.25
2016-02-11,13.25,13.25,13.25,13.25,000,13.25
2016-02-10,14.50,14.50,14.50,13.50,3100,13.50
2016-02-09,13.75,13.75,13.75,13.75,000,13.75
2016-02-08,13.25,13.25,13.25,13.25,000,13.25
2016-02-05,12.50,12.50,12.50,13.25,19000,13.25
2016-02-04,13.00,13.00,12.50,13.25,7900,13.25
2016-02-03,13.00,13.00,13.00,14.00,800,14.00
2016-02-02,14.00,14.00,14.00,14.00,000,14.00
2016-02-01,14.00,14.00,13.00,14.00,12000,14.00
2016-01-29,15.00,15.00,15.00,15.00,000,15.00
2016-01-28,14.00,14.00,14.00,15.00,200,15.00
2016-01-27,16.00,16.00,14.00,15.00,33000,15.00
2016-01-26,16.00,16.00,16.00,17.50,1900,17.50
2016-01-25,20.00,20.00,16.217,17.25,15800,17.25
2016-01-22,26.48,26.48,26.18,26.75,1900,26.75
2016-01-21,26.25,26.25,26.25,26.25,000,26.25
2016-01-20,26.50,26.50,26.50,26.25,7000,26.25
2016-01-19,28.25,28.25,28.25,28.25,000,28.25
2016-01-18,28.25,28.25,28.25,28.25,000,28.25
2016-01-15,28.25,28.25,28.25,28.25,000,28.25
2016-01-14,28.25,28.25,28.25,28.25,000,28.25
2016-01-13,28.70,28.70,28.70,28.00,100,28.00
2016-01-12,28.00,28.00,28.00,28.00,13000,28.00
2016-01-11,28.75,28.75,28.75,28.75,000,28.75
2016-01-08,28.75,28.75,28.75,28.75,000,28.75
2016-01-07,28.75,28.75,28.75,28.75,000,28.75
2016-01-06,29.125,29.125,29.125,29.125,000,29.125
2016-01-05,29.25,29.50,29.00,28.75,18200,28.75
2016-01-04,31.35,31.35,31.35,30.75,600,30.75
2015-12-31,30.75,30.75,30.75,30.75,000,30.75
2015-12-30,29.81,29.81,29.81,30.75,100,30.75
2015-12-29,29.813,29.813,29.813,30.75,000,30.75
2015-12-28,30.75,30.75,30.75,30.75,000,30.75
2015-12-25,30.75,30.75,30.75,30.75,000,30.75
2015-12-24,30.75,30.75,30.75,30.75,000,30.75
2015-12-23,29.50,31.00,29.188,30.75,20000,30.75
2015-12-22,27.00,27.50,27.00,27.75,4000,27.75
2015-12-21,25.75,25.75,25.75,25.75,000,25.75
2015-12-18,24.50,24.50,24.50,25.75,500,25.75
2015-12-17,24.81,24.81,24.81,25.75,400,25.75
2015-12-16,26.01,26.01,26.01,25.75,1800,25.75
2015-12-15,24.477,24.477,24.477,25.50,000,25.50
2015-12-14,24.375,24.38,24.375,25.50,600,25.50
2015-12-11,27.50,27.50,24.88,25.50,8700,25.50
2015-12-10,28.75,28.75,28.75,28.75,000,28.75
2015-12-09,28.75,28.75,28.75,28.75,000,28.75
2015-12-08,30.00,30.38,28.25,29.00,5100,29.00
2015-12-07,31.50,31.50,31.50,31.50,000,31.50
2015-12-04,31.375,31.375,31.375,31.375,000,31.375
2015-12-03,30.75,30.75,30.75,30.75,000,30.75
2015-12-02,30.25,30.25,30.25,30.25,000,30.25
2015-12-01,30.75,30.75,30.75,30.75,000,30.75
2015-11-30,29.00,30.34,28.34,30.75,19300,30.75
2015-11-27,40.00,40.00,27.25,28.00,42100,28.00
2015-11-26,48.00,48.00,41.00,41.50,13600,41.50
2015-11-25,50.00,50.00,50.00,49.50,1800,49.50
2015-11-24,54.00,54.263,53.00,51.50,5000,51.50
2015-11-23,56.00,56.00,56.00,56.00,000,56.00
2015-11-20,56.00,56.00,56.00,56.00,000,56.00
2015-11-19,55.00,55.00,55.00,56.00,3400,56.00
2015-11-18,56.263,58.15,56.263,57.50,1700,57.50
2015-11-17,59.00,60.89,58.975,58.00,5000,58.00
2015-11-16,61.00,63.00,59.21,60.50,7600,60.50
2015-11-13,62.00,64.52,62.00,62.50,2800,62.50
2015-11-12,65.00,65.00,63.28,64.50,4400,64.50
2015-11-11,68.10,68.10,68.10,67.00,1300,67.00
2015-11-10,70.21,71.04,70.21,70.50,1500,70.50
2015-11-09,75.00,80.00,72.00,72.00,46000,72.00
2015-11-06,81.20,81.70,81.00,80.50,10700,80.50
2015-11-05,80.50,80.50,80.50,80.50,000,80.50
2015-11-04,82.00,82.21,80.00,80.50,4000,80.50
2015-11-03,84.00,84.00,84.00,83.50,7000,83.50
2015-11-02,83.50,83.50,83.50,83.50,000,83.50
2015-10-30,81.969,83.65,81.719,84.25,1200,84.25
2015-10-29,86.75,86.75,81.94,84.00,2200,84.00
2015-10-28,84.00,84.00,84.00,84.00,000,84.00
2015-10-27,86.00,86.475,83.72,83.50,13200,83.50
2015-10-26,94.00,94.00,89.727,90.50,10600,90.50
2015-10-23,97.25,97.25,96.833,97.00,9500,97.00
2015-10-22,100.00,100.00,100.00,100.00,000,100.00
2015-10-21,100.00,100.00,100.00,100.00,000,100.00
2015-10-20,100.00,100.00,100.00,100.00,000,100.00
2015-10-19,97.25,100.77,97.25,100.00,500,100.00
2015-10-16,100.00,100.00,100.00,100.00,000,100.00
2015-10-15,98.13,98.13,98.13,100.00,000,100.00
2015-10-14,102.75,102.75,102.75,100.00,3500,100.00
2015-10-13,100.00,100.00,100.00,100.00,000,100.00
2015-10-12,98.13,98.13,98.13,99.00,600,99.00
2015-10-09,100.00,100.00,100.00,100.00,000,100.00
2015-10-08,100.00,100.00,100.00,100.00,000,100.00
2015-10-07,97.00,97.92,97.00,97.00,2500,97.00
2015-10-06,100.00,100.00,100.00,100.00,000,100.00
2015-10-05,100.00,100.00,100.00,100.00,000,100.00
2015-10-02,97.92,97.92,97.92,100.00,100,100.00
2015-10-01,97.92,97.92,97.76,99.50,500,99.50
2015-09-30,100.00,100.00,100.00,100.00,000,100.00
2015-09-29,100.00,100.00,100.00,100.00,000,100.00
2015-09-28,97.92,97.92,97.92,100.00,700,100.00
2015-09-25,100.62,100.90,98.76,100.50,6000,100.50
2015-09-24,100.00,100.00,100.00,100.00,000,100.00
