Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.91,0.91,0.87,0.89,35600,0.89
2016-03-31,0.91,0.91,0.88,0.91,15700,0.91
2016-03-30,0.88,0.91,0.88,0.91,78700,0.91
2016-03-29,0.93,0.93,0.87,0.90,67200,0.90
2016-03-28,0.93,0.93,0.93,0.93,000,0.93
2016-03-25,0.93,0.93,0.93,0.93,000,0.93
2016-03-24,0.89,0.96,0.88,0.93,129500,0.93
2016-03-23,0.88,0.90,0.87,0.90,16300,0.90
2016-03-22,0.88,0.90,0.88,0.90,27900,0.90
2016-03-21,0.91,0.91,0.90,0.91,8800,0.91
2016-03-18,0.89,0.91,0.89,0.91,8400,0.91
2016-03-17,0.91,0.91,0.88,0.90,9800,0.90
2016-03-16,0.86,0.92,0.86,0.92,56200,0.92
2016-03-15,0.86,0.89,0.84,0.89,16400,0.89
2016-03-14,0.88,0.88,0.86,0.87,24000,0.87
2016-03-11,0.84,0.88,0.84,0.88,9700,0.88
2016-03-10,0.89,0.89,0.85,0.87,49000,0.87
2016-03-09,0.88,0.88,0.86,0.86,30000,0.86
2016-03-08,0.87,0.90,0.86,0.90,39600,0.90
2016-03-07,0.90,0.93,0.86,0.90,139100,0.90
2016-03-04,0.93,0.93,0.88,0.93,50200,0.93
2016-03-03,0.94,0.94,0.90,0.90,91100,0.90
2016-03-02,1.00,1.00,0.91,0.94,180900,0.94
2016-03-01,0.96,1.00,0.92,1.00,266600,1.00
2016-02-29,0.76,0.80,0.76,0.80,4500,0.80
2016-02-26,0.79,0.79,0.76,0.79,16700,0.79
2016-02-25,0.77,0.78,0.76,0.78,14700,0.78
2016-02-24,0.77,0.78,0.75,0.77,37500,0.77
2016-02-23,0.77,0.79,0.77,0.79,5500,0.79
2016-02-22,0.80,0.80,0.80,0.80,500,0.80
2016-02-19,0.76,0.77,0.75,0.77,17200,0.77
2016-02-18,0.80,0.81,0.77,0.77,22400,0.77
2016-02-17,0.76,0.81,0.76,0.80,14200,0.80
2016-02-16,0.75,0.75,0.75,0.77,100,0.77
2016-02-15,0.73,0.81,0.73,0.77,13200,0.77
2016-02-12,0.75,0.75,0.73,0.73,6000,0.73
2016-02-11,0.75,0.77,0.73,0.75,18400,0.75
2016-02-10,0.75,0.78,0.75,0.78,2300,0.78
2016-02-09,0.76,0.80,0.75,0.78,36500,0.78
2016-02-08,0.77,0.80,0.76,0.76,29100,0.76
2016-02-05,0.81,0.81,0.77,0.77,16800,0.77
2016-02-04,0.77,0.79,0.76,0.79,16600,0.79
2016-02-03,0.80,0.80,0.76,0.76,11800,0.76
2016-02-02,0.78,0.80,0.76,0.80,68800,0.80
2016-02-01,0.80,0.84,0.77,0.80,38200,0.80
2016-01-29,0.80,0.83,0.77,0.82,53600,0.82
2016-01-28,0.80,0.81,0.77,0.80,68900,0.80
2016-01-27,0.82,0.89,0.82,0.84,200,0.84
2016-01-26,0.76,0.86,0.76,0.84,41500,0.84
2016-01-25,0.81,0.81,0.76,0.80,22700,0.80
2016-01-22,0.82,0.84,0.82,0.84,39000,0.84
2016-01-21,0.79,0.84,0.79,0.84,4800,0.84
2016-01-20,0.81,0.83,0.78,0.82,32800,0.82
2016-01-19,0.82,0.87,0.82,0.84,50200,0.84
2016-01-18,0.87,0.87,0.87,0.87,43300,0.87
2016-01-15,0.83,0.86,0.82,0.85,63800,0.85
2016-01-14,0.85,0.88,0.84,0.88,25900,0.88
2016-01-13,0.88,0.88,0.85,0.88,3100,0.88
2016-01-12,0.85,0.86,0.85,0.86,9400,0.86
2016-01-11,0.87,0.92,0.86,0.87,49700,0.87
2016-01-08,0.86,0.89,0.86,0.87,25500,0.87
2016-01-07,0.88,0.89,0.84,0.89,7600,0.89
2016-01-06,0.90,0.91,0.86,0.89,169400,0.89
2016-01-05,0.88,0.94,0.87,0.94,17400,0.94
2016-01-04,0.88,0.90,0.87,0.90,21000,0.90
2016-01-01,0.92,0.92,0.92,0.92,000,0.92
2015-12-31,0.92,0.92,0.88,0.92,77700,0.92
2015-12-30,0.98,0.98,0.93,0.93,29500,0.93
2015-12-29,0.91,1.01,0.90,0.96,73000,0.96
2015-12-28,0.90,0.97,0.89,0.92,112100,0.92
2015-12-25,0.94,0.94,0.94,0.94,000,0.94
2015-12-24,0.91,0.94,0.90,0.94,18200,0.94
2015-12-23,0.76,0.92,0.76,0.89,160100,0.89
2015-12-22,0.77,0.81,0.75,0.80,33300,0.80
2015-12-21,0.77,0.81,0.77,0.77,28900,0.77
2015-12-18,0.80,0.83,0.80,0.80,20100,0.80
2015-12-17,0.81,0.83,0.80,0.82,70800,0.82
2015-12-16,0.85,0.85,0.80,0.80,92000,0.80
2015-12-15,0.84,0.88,0.81,0.82,130700,0.82
2015-12-14,0.89,0.91,0.82,0.82,53000,0.82
2015-12-11,0.95,0.96,0.88,0.91,27600,0.91
2015-12-10,0.95,0.95,0.92,0.94,32700,0.94
2015-12-09,0.99,0.99,0.95,0.96,52300,0.96
2015-12-08,1.00,1.00,0.96,0.98,72800,0.98
2015-12-07,0.94,1.01,0.94,0.99,159500,0.99
2015-12-04,1.00,1.00,0.94,0.94,18700,0.94
2015-12-03,1.00,1.02,0.98,0.98,49100,0.98
2015-12-02,1.01,1.01,0.99,1.01,11600,1.01
2015-12-01,1.02,1.02,0.99,0.99,12400,0.99
2015-11-30,1.01,1.03,0.98,1.00,28500,1.00
2015-11-27,1.00,1.00,0.95,1.00,109900,1.00
2015-11-26,0.97,0.99,0.97,0.98,49900,0.98
2015-11-25,1.04,1.04,0.98,0.99,75100,0.99
2015-11-24,1.07,1.07,1.01,1.05,163200,1.05
2015-11-23,1.07,1.09,1.04,1.07,168400,1.07
2015-11-20,1.03,1.05,1.01,1.05,98800,1.05
2015-11-19,1.05,1.05,1.01,1.04,66700,1.04
2015-11-18,1.03,1.03,0.97,1.00,69900,1.00
2015-11-17,1.04,1.05,1.00,1.04,235300,1.04
2015-11-16,0.94,1.04,0.93,1.00,234600,1.00
2015-11-13,0.89,0.99,0.84,0.99,279000,0.99
2015-11-12,0.90,0.90,0.86,0.86,6100,0.86
2015-11-11,0.92,0.92,0.89,0.90,19800,0.90
2015-11-10,0.88,0.92,0.88,0.92,18200,0.92
2015-11-09,0.90,0.90,0.87,0.90,22500,0.90
2015-11-06,0.84,0.89,0.84,0.89,68000,0.89
2015-11-05,0.88,0.89,0.86,0.88,13400,0.88
2015-11-04,0.84,0.87,0.84,0.85,10300,0.85
2015-11-03,0.86,0.86,0.85,0.85,3000,0.85
2015-11-02,0.83,0.87,0.83,0.83,1700,0.83
2015-10-30,0.83,0.83,0.83,0.83,2600,0.83
2015-10-29,0.83,0.85,0.83,0.83,2500,0.83
2015-10-28,0.83,0.87,0.83,0.83,5800,0.83
2015-10-27,0.85,0.85,0.83,0.83,2100,0.83
2015-10-26,0.87,0.87,0.85,0.87,10400,0.87
2015-10-23,0.85,0.87,0.85,0.87,25000,0.87
2015-10-22,0.86,0.86,0.81,0.85,32800,0.85
2015-10-21,0.84,0.84,0.84,0.84,3500,0.84
2015-10-20,0.83,0.84,0.81,0.84,8600,0.84
2015-10-19,0.85,0.86,0.83,0.83,35900,0.83
2015-10-16,0.84,0.88,0.84,0.88,3100,0.88
2015-10-15,0.87,0.87,0.87,0.87,1000,0.87
2015-10-14,0.85,0.88,0.85,0.88,15700,0.88
2015-10-13,0.88,0.88,0.86,0.88,3000,0.88
2015-10-12,0.89,0.90,0.88,0.89,32200,0.89
2015-10-09,0.84,0.93,0.83,0.89,197200,0.89
2015-10-08,0.83,0.85,0.81,0.85,14100,0.85
2015-10-07,0.83,0.83,0.83,0.83,2300,0.83
2015-10-06,0.80,0.86,0.80,0.85,51500,0.85
2015-10-05,0.79,0.79,0.79,0.79,000,0.79
2015-10-02,0.79,0.79,0.79,0.79,2700,0.79
2015-10-01,0.77,0.77,0.77,0.79,100,0.79
2015-09-30,0.77,0.79,0.77,0.79,7000,0.79
2015-09-29,0.75,0.75,0.75,0.75,4900,0.75
2015-09-28,0.76,0.76,0.74,0.76,2900,0.76
2015-09-25,0.80,0.80,0.74,0.75,25300,0.75
2015-09-24,0.76,0.79,0.76,0.77,10300,0.77
