Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.042,0.042,0.042,0.042,000,0.042
2016-03-31,0.05,0.05,0.042,0.042,2500,0.042
2016-03-30,0.04,0.04,0.04,0.04,800,0.04
2016-03-29,0.03,0.03,0.03,0.03,14700,0.03
2016-03-28,0.025,0.025,0.025,0.025,000,0.025
2016-03-24,0.025,0.025,0.025,0.025,000,0.025
2016-03-23,0.025,0.025,0.025,0.025,000,0.025
2016-03-22,0.025,0.025,0.025,0.025,000,0.025
2016-03-21,0.025,0.025,0.025,0.025,000,0.025
2016-03-18,0.025,0.025,0.025,0.025,000,0.025
2016-03-17,0.027,0.034,0.025,0.025,27900,0.025
2016-03-16,0.035,0.035,0.035,0.035,1000,0.035
2016-03-15,0.025,0.025,0.025,0.025,000,0.025
2016-03-14,0.025,0.025,0.025,0.025,000,0.025
2016-03-11,0.025,0.025,0.025,0.025,000,0.025
2016-03-10,0.025,0.025,0.025,0.025,000,0.025
2016-03-09,0.025,0.025,0.025,0.025,000,0.025
2016-03-08,0.025,0.025,0.025,0.025,000,0.025
2016-03-07,0.025,0.025,0.025,0.025,000,0.025
2016-03-04,0.025,0.025,0.025,0.025,000,0.025
2016-03-03,0.025,0.025,0.025,0.025,000,0.025
2016-03-02,0.025,0.025,0.025,0.025,000,0.025
2016-03-01,0.025,0.025,0.025,0.025,000,0.025
2016-02-29,0.025,0.025,0.025,0.025,000,0.025
2016-02-26,0.025,0.025,0.025,0.025,000,0.025
2016-02-25,0.025,0.025,0.025,0.025,000,0.025
2016-02-24,0.025,0.025,0.025,0.025,2000,0.025
2016-02-23,0.025,0.025,0.025,0.025,67000,0.025
2016-02-22,0.035,0.035,0.035,0.035,000,0.035
2016-02-19,0.035,0.035,0.035,0.035,000,0.035
2016-02-18,0.035,0.035,0.035,0.035,000,0.035
2016-02-17,0.035,0.035,0.035,0.035,2000,0.035
2016-02-16,0.044,0.044,0.044,0.044,000,0.044
2016-02-12,0.044,0.044,0.044,0.044,000,0.044
2016-02-11,0.044,0.044,0.044,0.044,000,0.044
2016-02-10,0.044,0.044,0.044,0.044,000,0.044
2016-02-09,0.044,0.044,0.044,0.044,000,0.044
2016-02-08,0.044,0.044,0.044,0.044,000,0.044
2016-02-05,0.044,0.044,0.044,0.044,000,0.044
2016-02-04,0.044,0.044,0.044,0.044,000,0.044
2016-02-03,0.044,0.044,0.044,0.044,000,0.044
2016-02-02,0.044,0.044,0.044,0.044,000,0.044
2016-02-01,0.044,0.044,0.044,0.044,800,0.044
2016-01-29,0.05,0.05,0.05,0.05,000,0.05
2016-01-28,0.05,0.05,0.05,0.05,000,0.05
2016-01-27,0.05,0.05,0.05,0.05,10000,0.05
2016-01-26,0.05,0.05,0.05,0.05,13000,0.05
2016-01-25,0.03,0.03,0.03,0.03,000,0.03
2016-01-22,0.03,0.03,0.03,0.03,000,0.03
2016-01-21,0.03,0.03,0.03,0.03,000,0.03
2016-01-20,0.03,0.03,0.03,0.03,000,0.03
2016-01-19,0.03,0.03,0.03,0.03,000,0.03
2016-01-15,0.03,0.03,0.03,0.03,000,0.03
2016-01-14,0.03,0.03,0.03,0.03,000,0.03
2016-01-13,0.03,0.03,0.03,0.03,000,0.03
