Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.13,1.13,1.13,1.13,000,1.13
2016-03-31,1.13,1.13,1.13,1.13,1000,1.13
2016-03-30,1.09,1.09,1.09,1.09,000,1.09
2016-03-29,1.09,1.09,1.09,1.09,000,1.09
2016-03-28,1.09,1.09,1.09,1.09,000,1.09
2016-03-25,1.09,1.09,1.09,1.09,000,1.09
2016-03-24,1.10,1.10,1.10,1.10,000,1.10
2016-03-23,1.10,1.10,1.10,1.10,000,1.10
2016-03-22,1.10,1.10,1.10,1.10,000,1.10
2016-03-21,1.10,1.10,1.10,1.10,000,1.10
2016-03-18,1.10,1.10,1.10,1.10,000,1.10
2016-03-17,1.10,1.10,1.10,1.10,000,1.10
2016-03-16,1.09,1.10,1.09,1.10,2100,1.10
2016-03-15,1.10,1.10,1.10,1.10,000,1.10
2016-03-14,1.10,1.10,1.10,1.10,2700,1.10
2016-03-11,1.10,1.10,1.10,1.10,10100,1.10
2016-03-10,1.09,1.09,1.09,1.09,000,1.09
2016-03-09,1.09,1.09,1.09,1.09,000,1.09
2016-03-08,1.09,1.09,1.09,1.09,000,1.09
2016-03-07,1.09,1.09,1.09,1.09,000,1.09
2016-03-04,1.09,1.09,1.09,1.09,000,1.09
2016-03-03,1.09,1.09,1.09,1.09,000,1.09
2016-03-02,1.09,1.09,1.09,1.09,400,1.09
2016-03-01,1.12,1.12,1.09,1.09,500,1.09
2016-02-29,1.10,1.12,1.10,1.12,000,1.12
2016-02-26,1.13,1.13,1.11,1.11,1000,1.11
2016-02-25,1.12,1.14,1.09,1.14,600,1.14
2016-02-24,1.13,1.14,1.12,1.14,1000,1.14
2016-02-23,1.10,1.10,1.10,1.10,000,1.10
2016-02-22,1.10,1.10,1.10,1.10,000,1.10
2016-02-19,1.10,1.10,1.09,1.10,900,1.10
2016-02-18,1.11,1.11,1.10,1.10,1000,1.10
2016-02-17,1.11,1.11,1.11,1.11,100,1.11
2016-02-16,1.12,1.12,1.11,1.12,000,1.12
2016-02-15,1.11,1.12,1.10,1.12,100,1.12
2016-02-12,1.10,1.12,1.10,1.12,000,1.12
2016-02-11,1.10,1.11,1.10,1.11,000,1.11
2016-02-10,1.10,1.11,1.10,1.11,000,1.11
2016-02-09,1.11,1.11,1.11,1.11,000,1.11
2016-02-08,1.10,1.10,1.10,1.10,100,1.10
2016-02-05,1.10,1.11,1.10,1.11,2000,1.11
2016-02-04,1.10,1.10,1.09,1.10,1800,1.10
2016-02-03,1.10,1.10,1.10,1.10,000,1.10
2016-02-02,1.10,1.10,1.09,1.10,300,1.10
2016-02-01,0.89,1.10,0.89,1.10,22500,1.10
2016-01-29,1.10,1.10,1.10,1.10,000,1.10
2016-01-28,1.10,1.10,1.10,1.10,500,1.10
2016-01-27,1.10,1.10,1.10,1.10,000,1.10
2016-01-26,1.08,1.10,1.08,1.10,600,1.10
