Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.05,0.05,0.05,0.05,000,0.05
2016-03-31,0.05,0.05,0.05,0.05,000,0.05
2016-03-30,0.05,0.05,0.05,0.05,000,0.05
2016-03-29,0.06,0.06,0.05,0.05,700,0.05
2016-03-28,0.20,0.20,0.15,0.15,2200,0.15
2016-03-24,0.16,0.16,0.16,0.16,100,0.16
2016-03-23,0.70,0.70,0.70,0.70,000,0.70
2016-03-22,0.70,0.70,0.70,0.70,000,0.70
2016-03-21,0.70,0.70,0.70,0.70,000,0.70
2016-03-18,0.70,0.70,0.70,0.70,000,0.70
2016-03-17,0.70,0.70,0.70,0.70,000,0.70
2016-03-16,0.70,0.70,0.70,0.70,000,0.70
2016-03-15,0.70,0.70,0.70,0.70,000,0.70
2016-03-14,0.70,0.70,0.70,0.70,000,0.70
2016-03-11,0.70,0.70,0.70,0.70,000,0.70
2016-03-10,0.70,0.70,0.70,0.70,000,0.70
2016-03-09,0.70,0.70,0.70,0.70,000,0.70
2016-03-08,0.70,0.70,0.70,0.70,000,0.70
2016-03-07,0.70,0.70,0.70,0.70,000,0.70
2016-03-04,0.70,0.70,0.70,0.70,000,0.70
2016-03-03,0.70,0.70,0.70,0.70,000,0.70
2016-03-02,0.70,0.70,0.70,0.70,000,0.70
2016-03-01,0.70,0.70,0.70,0.70,000,0.70
2016-02-29,0.70,0.70,0.70,0.70,100,0.70
2016-02-26,0.75,0.75,0.69,0.69,4200,0.69
2016-02-25,0.10,0.10,0.10,0.10,000,0.10
2016-02-24,0.10,0.10,0.10,0.10,000,0.10
2016-02-23,0.10,0.10,0.10,0.10,000,0.10
2016-02-22,0.10,0.10,0.10,0.10,000,0.10
2016-02-19,0.10,0.10,0.10,0.10,000,0.10
2016-02-18,0.10,0.10,0.10,0.10,000,0.10
2016-02-17,0.10,0.10,0.10,0.10,000,0.10
2016-02-16,0.10,0.10,0.10,0.10,000,0.10
2016-02-12,0.10,0.10,0.10,0.10,1100,0.10
2016-02-11,0.25,0.25,0.25,0.25,000,0.25
2016-02-10,0.25,0.25,0.25,0.25,000,0.25
2016-02-09,0.25,0.25,0.25,0.25,000,0.25
2016-02-08,0.25,0.25,0.25,0.25,000,0.25
2016-02-05,0.25,0.25,0.25,0.25,000,0.25
2016-02-04,0.25,0.25,0.25,0.25,000,0.25
2016-02-03,0.25,0.25,0.25,0.25,000,0.25
2016-02-02,0.25,0.25,0.25,0.25,000,0.25
2016-02-01,0.25,0.25,0.25,0.25,000,0.25
2016-01-29,0.75,0.75,0.10,0.25,1500,0.25
2016-01-28,0.30,0.30,0.30,0.30,000,0.30
2016-01-27,0.30,0.30,0.30,0.30,000,0.30
2016-01-26,0.30,0.30,0.30,0.30,000,0.30
2016-01-25,0.30,0.30,0.30,0.30,100,0.30
2016-01-22,0.30,0.30,0.30,0.30,000,0.30
2016-01-21,0.30,0.30,0.30,0.30,000,0.30
2016-01-20,0.30,0.30,0.30,0.30,000,0.30
2016-01-19,0.30,0.30,0.30,0.30,000,0.30
2016-01-15,0.30,0.30,0.30,0.30,000,0.30
2016-01-14,0.30,0.30,0.30,0.30,000,0.30
2016-01-13,0.23,0.30,0.23,0.30,1700,0.30
2016-01-12,0.15,0.15,0.15,0.15,000,0.15
2016-01-11,0.15,0.15,0.15,0.15,000,0.15
2016-01-08,0.20,0.30,0.15,0.15,5900,0.15
2016-01-07,0.51,0.51,0.30,0.30,6400,0.30
2016-01-06,0.51,0.51,0.51,0.51,400,0.51
2016-01-05,0.60,0.60,0.60,0.60,000,0.60
2016-01-04,0.60,0.60,0.60,0.60,000,0.60
2015-12-31,0.72,0.85,0.60,0.60,6100,0.60
2015-12-30,0.60,0.60,0.60,0.60,2200,0.60
2015-12-29,0.60,0.60,0.58,0.60,5500,0.60
2015-12-28,0.02,0.02,0.02,0.02,000,0.02
2015-12-24,0.02,0.02,0.02,0.02,000,0.02
2015-12-23,0.02,0.02,0.02,0.02,000,0.02
2015-12-22,0.02,0.02,0.02,0.02,200,0.02
2015-12-21,0.01,0.01,0.01,0.01,000,0.01
2015-12-18,0.01,0.01,0.01,0.01,1000,0.01
2015-12-17,0.14,0.14,0.14,0.14,000,0.14
2015-12-16,0.14,0.14,0.14,0.14,000,0.14
2015-12-15,0.14,0.14,0.14,0.14,000,0.14
2015-12-14,0.14,0.14,0.14,0.14,600,0.14
2015-12-11,0.30,0.30,0.30,0.30,400,0.30
2015-12-10,0.30,0.30,0.30,0.30,100,0.30
2015-12-09,0.01,0.01,0.01,0.01,000,0.01
2015-12-08,0.01,0.01,0.01,0.01,000,0.01
2015-12-07,0.01,0.01,0.01,0.01,200,0.01
2015-12-04,0.01,0.01,0.01,0.01,000,0.01
2015-12-03,0.01,0.01,0.01,0.01,000,0.01
2015-12-02,0.01,0.01,0.01,0.01,000,0.01
2015-12-01,0.01,0.01,0.01,0.01,000,0.01
2015-11-30,0.01,0.01,0.01,0.01,000,0.01
2015-11-27,0.01,0.01,0.01,0.01,000,0.01
2015-11-25,0.01,0.01,0.01,0.01,000,0.01
2015-11-24,0.01,0.01,0.01,0.01,000,0.01
2015-11-23,0.01,0.01,0.01,0.01,000,0.01
2015-11-20,0.01,0.01,0.01,0.01,000,0.01
