Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-07,65.19,65.19,65.19,65.19,000,20.19
2016-03-04,66.00,66.00,66.00,66.00,000,20.441
2016-03-03,65.81,65.81,65.81,65.81,000,20.382
2016-03-02,65.74,65.74,65.74,65.74,000,20.36
2016-03-01,65.10,65.10,63.90,63.90,000,19.79
2016-02-29,63.87,63.87,63.87,63.87,000,19.781
2016-02-26,63.00,63.00,63.00,63.00,000,19.512
2016-02-25,62.50,62.50,62.50,62.50,000,19.357
2016-02-24,61.48,61.48,61.48,61.48,000,19.041
2016-02-23,61.01,61.01,61.01,61.01,000,18.895
2016-02-22,61.48,61.48,61.48,61.48,000,19.041
2016-02-19,61.06,61.06,61.06,61.06,000,18.911
2016-02-18,60.67,60.67,60.67,60.67,000,18.79
2016-02-17,60.28,60.28,60.28,60.28,000,18.669
2016-02-16,60.89,60.89,60.89,60.89,000,18.858
2016-02-15,59.70,59.70,59.70,59.70,000,18.49
2016-02-12,53.81,53.81,53.81,53.81,000,16.666
2016-02-11,52.67,52.67,52.67,52.67,000,16.312
2016-02-10,52.17,52.17,52.17,52.17,000,16.158
2016-02-09,54.53,54.53,54.53,54.53,000,16.888
2016-02-08,57.77,57.77,57.77,57.77,000,17.892
2016-02-05,57.80,57.80,57.80,57.80,000,17.901
2016-02-04,58.84,58.84,58.84,58.84,000,18.223
2016-02-03,60.73,60.73,60.73,60.73,000,18.809
2016-02-02,61.18,61.18,61.18,61.18,000,18.948
2016-02-01,61.03,61.03,61.03,61.03,000,18.902
2016-01-29,59.41,59.41,59.41,59.41,000,18.40
2016-01-28,59.31,59.31,59.31,59.31,000,18.369
2016-01-27,58.67,58.67,58.67,58.67,000,18.171
2016-01-26,57.55,57.55,57.55,57.55,000,17.824
2016-01-25,59.40,59.40,59.40,59.40,000,18.397
2016-01-22,59.09,59.09,59.09,59.09,000,18.301
2016-01-21,57.30,57.30,57.30,57.30,000,17.746
2016-01-20,59.32,59.32,59.32,59.32,000,18.372
2016-01-19,60.82,60.82,60.82,60.82,000,18.837
2016-01-18,60.79,60.79,60.79,60.79,000,18.827
2016-01-15,62.57,62.57,61.72,61.72,100,19.115
2016-01-14,61.24,61.24,61.24,61.24,000,18.967
2016-01-13,61.35,61.35,61.35,61.35,000,19.001
2016-01-12,59.27,59.27,59.27,59.27,000,18.357
2016-01-11,58.62,58.62,58.62,58.62,000,18.155
2016-01-08,60.30,60.30,60.30,60.30,000,18.676
2016-01-07,61.10,61.10,61.10,61.10,000,18.923
2016-01-06,62.26,62.26,62.26,62.26,000,19.283
2016-01-05,61.46,61.46,61.46,61.46,000,19.035
2016-01-04,60.97,60.97,60.97,60.97,000,18.883
2016-01-01,62.04,62.04,62.04,62.04,000,19.214
2015-12-31,62.04,62.04,62.04,62.04,000,19.214
2015-12-30,62.04,62.04,62.04,62.04,000,19.214
2015-12-29,60.29,60.29,60.29,60.29,000,18.672
2015-12-28,60.35,60.35,60.35,60.35,000,18.691
2015-12-25,59.64,59.64,59.64,59.64,000,4.534
2015-12-24,59.64,59.64,59.64,59.64,000,4.534
2015-12-23,59.64,59.64,59.64,59.64,000,4.534
2015-12-22,61.61,61.61,61.61,61.61,000,4.684
2015-12-21,60.98,60.98,60.98,60.98,000,4.636
2015-12-18,62.09,62.09,62.09,62.09,000,4.72
2015-12-17,62.30,62.30,62.30,62.30,000,4.736
2015-12-16,61.90,61.90,61.90,61.90,000,4.706
2015-12-15,60.34,60.34,60.34,60.34,000,4.587
2015-12-14,61.73,61.73,61.73,61.73,000,4.693
2015-12-11,61.65,61.65,61.65,61.65,000,4.687
2015-12-10,62.34,62.34,62.34,62.34,000,4.739
2015-12-09,62.78,62.78,62.78,62.78,000,4.773
2015-12-08,62.10,62.10,62.10,62.10,000,4.721
2015-12-07,62.91,62.91,62.91,62.91,000,4.783
2015-12-04,63.58,63.58,63.58,63.58,000,4.834
2015-12-03,67.23,67.23,67.23,67.23,000,5.111
2015-12-02,67.68,67.68,67.68,67.68,000,5.145
2015-12-01,66.90,66.90,66.90,66.90,000,5.086
2015-11-30,67.51,67.51,67.51,67.51,000,5.132
2015-11-27,66.17,66.17,66.17,66.17,000,5.031
2015-11-26,67.20,67.20,67.20,67.20,000,5.109
2015-11-25,66.11,66.11,66.11,66.11,000,5.026
2015-11-24,66.60,66.60,66.60,66.60,000,5.063
2015-11-23,66.54,66.54,66.54,66.54,000,5.059
2015-11-20,66.18,66.31,66.18,66.31,000,5.041
2015-11-19,65.76,65.76,65.76,65.76,000,4.999
2015-11-18,66.41,66.41,66.41,66.41,000,5.049
2015-11-17,65.90,65.90,65.90,65.90,000,5.01
2015-11-16,66.63,66.63,66.63,66.63,000,5.066
2015-11-13,65.03,65.03,65.03,65.03,000,4.944
2015-11-12,68.66,68.66,68.66,68.66,000,5.22
2015-11-11,69.37,69.37,69.37,69.37,000,5.274
2015-11-10,69.64,69.64,69.64,69.64,000,5.294
2015-11-09,70.45,70.45,70.45,70.45,000,5.356
2015-11-06,71.02,71.02,71.02,71.02,000,5.399
2015-11-05,70.62,70.62,70.62,70.62,000,5.369
2015-11-04,70.27,70.27,70.27,70.27,000,5.342
2015-11-03,66.57,66.57,66.57,66.57,000,5.061
2015-11-02,67.96,67.96,67.96,67.96,000,5.167
2015-10-30,69.01,69.01,69.01,69.01,000,5.247
2015-10-29,69.17,69.17,69.17,69.17,000,5.259
2015-10-28,68.32,68.32,68.32,68.32,000,5.194
2015-10-27,67.82,67.82,67.82,67.82,000,5.156
2015-10-26,67.19,67.19,67.19,67.19,000,5.108
2015-10-23,66.25,66.25,66.25,66.25,000,5.037
2015-10-22,64.43,64.43,64.43,64.43,000,4.898
2015-10-21,64.19,64.19,64.19,64.19,000,4.88
2015-10-20,65.25,65.25,65.25,65.25,000,4.961
2015-10-19,65.31,65.31,65.31,65.31,000,4.965
