Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.03,0.03,0.03,0.03,000,0.03
2016-03-31,0.03,0.03,0.03,0.03,000,0.03
2016-03-30,0.03,0.03,0.03,0.03,000,0.03
2016-03-29,0.03,0.03,0.03,0.03,000,0.03
2016-03-28,0.03,0.03,0.03,0.03,10000,0.03
2016-03-24,0.03,0.03,0.03,0.03,000,0.03
2016-03-23,0.03,0.03,0.03,0.03,60000,0.03
2016-03-22,0.03,0.03,0.03,0.03,22000,0.03
2016-03-21,0.03,0.03,0.03,0.03,360000,0.03
2016-03-18,0.03,0.03,0.03,0.03,000,0.03
2016-03-17,0.03,0.03,0.03,0.03,000,0.03
2016-03-16,0.03,0.03,0.03,0.03,000,0.03
2016-03-15,0.03,0.03,0.03,0.03,15000,0.03
2016-03-14,0.03,0.03,0.03,0.03,15000,0.03
2016-03-11,0.03,0.03,0.03,0.03,000,0.03
2016-03-10,0.03,0.03,0.03,0.03,000,0.03
2016-03-09,0.03,0.03,0.03,0.03,000,0.03
2016-03-08,0.03,0.03,0.03,0.03,000,0.03
2016-03-07,0.03,0.03,0.03,0.03,000,0.03
2016-03-04,0.03,0.03,0.03,0.03,7000,0.03
2016-03-03,0.03,0.03,0.03,0.03,000,0.03
2016-03-02,0.03,0.03,0.03,0.03,201900,0.03
2016-03-01,0.03,0.03,0.03,0.03,161000,0.03
2016-02-29,0.03,0.03,0.03,0.03,8000,0.03
2016-02-26,0.03,0.03,0.03,0.03,41000,0.03
2016-02-25,0.03,0.03,0.03,0.03,000,0.03
2016-02-24,0.03,0.03,0.03,0.03,40000,0.03
2016-02-23,0.03,0.03,0.03,0.03,000,0.03
2016-02-22,0.03,0.03,0.03,0.03,130000,0.03
2016-02-19,0.03,0.03,0.03,0.03,100000,0.03
2016-02-18,0.03,0.03,0.03,0.03,000,0.03
2016-02-17,0.03,0.03,0.03,0.03,124000,0.03
2016-02-16,0.03,0.03,0.03,0.03,67000,0.03
2016-02-12,0.03,0.03,0.03,0.03,222000,0.03
2016-02-11,0.03,0.03,0.03,0.03,121500,0.03
2016-02-10,0.03,0.03,0.03,0.03,37000,0.03
2016-02-09,0.03,0.03,0.03,0.03,000,0.03
2016-02-08,0.03,0.03,0.03,0.03,148000,0.03
2016-02-05,0.03,0.03,0.03,0.03,000,0.03
2016-02-04,0.03,0.03,0.03,0.03,000,0.03
2016-02-03,0.03,0.03,0.03,0.03,000,0.03
2016-02-02,0.03,0.03,0.03,0.03,15000,0.03
2016-02-01,0.03,0.03,0.03,0.03,385000,0.03
2016-01-29,0.03,0.03,0.03,0.03,000,0.03
2016-01-28,0.03,0.03,0.03,0.03,121000,0.03
2016-01-27,0.03,0.03,0.03,0.03,5000,0.03
2016-01-26,0.03,0.03,0.03,0.03,000,0.03
2016-01-25,0.03,0.03,0.03,0.03,000,0.03
2016-01-22,0.03,0.03,0.03,0.03,40000,0.03
2016-01-21,0.03,0.03,0.03,0.03,83000,0.03
2016-01-20,0.04,0.04,0.03,0.03,34000,0.03
2016-01-19,0.03,0.03,0.03,0.03,13000,0.03
2016-01-18,0.03,0.03,0.03,0.03,000,0.03
2016-01-15,0.03,0.03,0.03,0.03,000,0.03
2016-01-14,0.03,0.03,0.03,0.03,7000,0.03
2016-01-13,0.04,0.04,0.04,0.04,000,0.04
2016-01-12,0.04,0.04,0.04,0.04,52000,0.04
2016-01-11,0.03,0.03,0.03,0.03,000,0.03
2016-01-08,0.03,0.03,0.03,0.03,150000,0.03
2016-01-07,0.03,0.03,0.03,0.03,195000,0.03
2016-01-06,0.03,0.03,0.03,0.03,3000,0.03
2016-01-05,0.03,0.03,0.03,0.03,000,0.03
2016-01-04,0.03,0.03,0.03,0.03,000,0.03
2015-12-31,0.03,0.03,0.03,0.03,102000,0.03
2015-12-30,0.03,0.03,0.03,0.03,000,0.03
2015-12-29,0.03,0.03,0.03,0.03,45000,0.03
2015-12-24,0.03,0.03,0.03,0.03,000,0.03
2015-12-23,0.03,0.03,0.03,0.03,000,0.03
2015-12-22,0.03,0.03,0.03,0.03,000,0.03
2015-12-21,0.03,0.03,0.03,0.03,000,0.03
2015-12-18,0.03,0.03,0.03,0.03,209000,0.03
2015-12-17,0.03,0.03,0.03,0.03,11800,0.03
2015-12-16,0.03,0.03,0.03,0.03,50500,0.03
2015-12-15,0.04,0.04,0.04,0.04,000,0.04
2015-12-14,0.04,0.04,0.04,0.04,000,0.04
2015-12-11,0.04,0.04,0.04,0.04,24000,0.04
2015-12-10,0.03,0.03,0.03,0.03,000,0.03
2015-12-09,0.03,0.03,0.03,0.03,60000,0.03
2015-12-08,0.04,0.04,0.04,0.04,5000,0.04
2015-12-07,0.04,0.04,0.04,0.04,000,0.04
2015-12-04,0.04,0.04,0.04,0.04,40000,0.04
2015-12-03,0.04,0.04,0.04,0.04,000,0.04
2015-12-02,0.04,0.04,0.04,0.04,26000,0.04
2015-12-01,0.04,0.04,0.04,0.04,000,0.04
2015-11-30,0.04,0.04,0.04,0.04,000,0.04
2015-11-27,0.04,0.04,0.04,0.04,000,0.04
2015-11-26,0.04,0.04,0.04,0.04,000,0.04
2015-11-25,0.04,0.04,0.04,0.04,30000,0.04
2015-11-24,0.04,0.04,0.03,0.03,40000,0.03
2015-11-23,0.04,0.04,0.04,0.04,20000,0.04
2015-11-20,0.04,0.04,0.04,0.04,167400,0.04
2015-11-19,0.04,0.04,0.04,0.04,000,0.04
2015-11-18,0.04,0.04,0.04,0.04,000,0.04
2015-11-17,0.04,0.04,0.04,0.04,000,0.04
2015-11-16,0.04,0.04,0.04,0.04,2000,0.04
2015-11-13,0.04,0.04,0.04,0.04,45000,0.04
2015-11-12,0.04,0.04,0.04,0.04,92000,0.04
2015-11-11,0.04,0.04,0.04,0.04,8000,0.04
2015-11-10,0.04,0.04,0.04,0.04,250000,0.04
2015-11-09,0.04,0.04,0.04,0.04,79500,0.04
2015-11-06,0.04,0.04,0.04,0.04,50000,0.04
2015-11-05,0.04,0.04,0.04,0.04,60500,0.04
2015-11-04,0.04,0.04,0.04,0.04,65000,0.04
2015-11-03,0.03,0.04,0.03,0.04,146600,0.04
2015-11-02,0.03,0.03,0.03,0.03,11000,0.03
2015-10-30,0.03,0.03,0.03,0.03,66000,0.03
2015-10-29,0.03,0.03,0.03,0.03,20000,0.03
2015-10-28,0.03,0.03,0.03,0.03,000,0.03
2015-10-27,0.03,0.03,0.03,0.03,15500,0.03
2015-10-26,0.03,0.03,0.03,0.03,45000,0.03
2015-10-23,0.03,0.03,0.03,0.03,30000,0.03
2015-10-22,0.03,0.03,0.03,0.03,40000,0.03
2015-10-21,0.03,0.03,0.03,0.03,000,0.03
2015-10-20,0.03,0.03,0.03,0.03,10000,0.03
2015-10-19,0.03,0.03,0.03,0.03,17000,0.03
2015-10-16,0.03,0.03,0.03,0.03,000,0.03
2015-10-15,0.03,0.03,0.03,0.03,100000,0.03
