Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,44.130001,44.459999,44.080002,44.450001,13400,44.450001
2016-03-31,46.990002,47.25,46.779999,46.880001,10800,46.880001
2016-03-30,47.740002,47.740002,46.560001,47.240002,10400,47.240002
2016-03-29,47.169998,47.27,46.75,47.150002,18100,47.150002
2016-03-28,48.029999,48.029999,46.310001,46.939999,34700,46.939999
2016-03-24,45.189999,46.110001,44.43,46.080002,16900,46.080002
2016-03-23,47.02,47.02,46.400002,46.509998,56300,46.509998
2016-03-22,47.02,47.75,47.02,47.709999,14800,47.709999
2016-03-21,46.639999,47.00,46.259998,47.00,18400,47.00
2016-03-18,46.00,46.849998,46.00,46.639999,15700,46.639999
2016-03-17,46.040001,47.00,46.040001,46.869999,117600,46.869999
2016-03-16,46.790001,46.990002,46.650002,46.810001,58300,46.810001
2016-03-15,46.849998,46.849998,46.18,46.400002,28800,46.400002
2016-03-14,47.220001,47.220001,46.880001,47.09,6100,47.09
2016-03-11,46.00,46.57,46.00,46.57,14800,46.57
2016-03-10,45.880001,45.880001,44.43,45.00,17400,45.00
2016-03-09,44.709999,45.049999,44.709999,45.029999,13400,45.029999
2016-03-08,45.07,45.290001,44.880001,45.150002,18000,45.150002
2016-03-07,45.709999,45.709999,45.220001,45.560001,9500,45.560001
2016-03-04,45.75,45.860001,45.459999,45.709999,23700,45.709999
2016-03-03,44.41,44.41,44.049999,44.389999,7600,44.389999
2016-03-02,43.040001,43.240002,42.959999,43.200001,10300,43.200001
2016-03-01,41.700001,42.220001,41.599998,42.119999,33200,42.119999
2016-02-29,42.400002,42.66,42.130001,42.130001,21900,42.130001
2016-02-26,42.27,42.630001,41.93,42.130001,18400,42.130001
2016-02-25,40.599998,41.299999,40.599998,41.080002,15700,41.080002
2016-02-24,40.599998,41.32,40.310001,41.299999,17200,41.299999
2016-02-23,41.77,41.77,41.259998,41.279999,34800,41.279999
2016-02-22,41.869999,42.970001,41.869999,42.290001,23800,42.290001
2016-02-19,42.189999,42.189999,41.50,41.779999,21800,41.779999
2016-02-18,43.450001,43.450001,42.50,42.66,15600,42.66
2016-02-17,41.360001,42.209999,41.360001,41.950001,66900,41.950001
2016-02-16,41.950001,41.950001,41.310001,41.689999,15100,41.689999
2016-02-12,38.119999,39.810001,38.119999,39.610001,44500,39.610001
2016-02-11,40.07,40.07,38.75,39.259998,41000,39.259998
2016-02-10,39.560001,40.599998,39.560001,40.540001,18300,40.540001
2016-02-09,40.389999,40.52,39.599998,40.259998,247200,40.259998
2016-02-08,42.16,42.16,40.580002,40.880001,950200,40.880001
2016-02-05,43.700001,43.700001,42.91,43.00,73700,43.00
2016-02-04,43.77,43.77,42.810001,43.299999,68200,43.299999
2016-02-03,45.00,45.869999,44.360001,44.50,45400,44.50
2016-02-02,48.509998,48.599998,48.119999,48.32,32400,48.32
2016-02-01,49.25,49.689999,49.139999,49.639999,40000,49.639999
2016-01-29,49.139999,49.290001,48.299999,49.290001,30200,49.290001
2016-01-28,48.810001,48.810001,48.330002,48.529999,27000,48.529999
