Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.798,5.823,5.72,5.823,38281100,5.823
2016-03-31,5.939,5.939,5.854,5.861,39923400,5.861
2016-03-30,6.00,6.019,5.914,5.951,32418600,5.951
2016-03-29,5.971,6.021,5.942,5.994,63097600,5.994
2016-03-28,5.954,5.954,5.954,5.954,000,5.954
2016-03-25,5.954,5.954,5.954,5.954,000,5.954
2016-03-24,5.97,6.012,5.953,5.954,22636000,5.954
2016-03-23,5.978,6.026,5.953,5.986,30653400,5.986
2016-03-22,6.006,6.033,5.955,5.98,20036300,5.98
2016-03-21,6.018,6.07,5.996,6.036,32806200,6.036
2016-03-18,6.07,6.074,6.008,6.045,44261200,6.045
2016-03-17,6.066,6.11,5.967,6.043,40560200,6.043
2016-03-16,6.13,6.145,5.984,6.03,28410700,6.03
2016-03-15,6.071,6.122,6.052,6.102,22851800,6.102
2016-03-14,6.121,6.147,6.064,6.087,40230700,6.087
2016-03-11,6.096,6.141,6.07,6.113,26464000,6.113
2016-03-10,5.973,6.159,5.949,6.015,26889000,6.015
2016-03-09,5.835,5.973,5.831,5.949,26865500,5.949
2016-03-08,5.81,5.881,5.776,5.82,47579600,5.82
2016-03-07,5.83,5.862,5.794,5.803,25648100,5.803
2016-03-04,5.913,5.944,5.851,5.878,27727700,5.878
2016-03-03,5.943,5.96,5.879,5.90,18900100,5.90
2016-03-02,5.985,5.996,5.896,5.924,16664600,5.924
2016-03-01,5.969,6.008,5.942,5.975,20080200,5.975
2016-02-29,5.895,5.986,5.861,5.964,23442900,5.964
2016-02-26,5.986,6.042,5.927,5.927,17947900,5.927
2016-02-25,5.90,5.965,5.892,5.931,14794400,5.931
2016-02-24,5.924,5.958,5.83,5.869,25689500,5.869
2016-02-23,6.039,6.053,5.954,5.961,23721700,5.961
2016-02-22,6.075,6.106,6.052,6.052,15808800,6.052
2016-02-19,6.042,6.058,5.973,6.012,25479800,6.012
2016-02-18,6.007,6.11,5.99,6.045,20453200,6.045
2016-02-17,5.989,6.03,5.948,5.984,28552200,5.984
2016-02-16,6.09,6.10,5.952,5.971,45546600,5.971
2016-02-15,5.946,6.065,5.91,6.028,20369900,6.028
2016-02-12,5.961,5.975,5.846,5.877,36237800,5.877
2016-02-11,6.00,6.00,5.907,5.925,34542500,5.925
2016-02-10,6.104,6.186,6.06,6.07,37378100,6.07
2016-02-09,6.153,6.207,6.018,6.081,26903200,6.081
2016-02-08,6.259,6.274,6.119,6.143,26731900,6.143
