Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,51.00,51.00,51.00,51.00,000,51.00
2016-03-31,47.00,47.09,47.00,51.00,63700,51.00
2016-03-30,50.00,50.40,50.00,51.00,5900,51.00
2016-03-29,50.00,50.00,50.00,50.00,000,50.00
2016-03-28,50.00,50.00,50.00,50.00,000,50.00
2016-03-24,50.00,50.00,50.00,50.00,000,50.00
2016-03-23,50.00,50.00,50.00,50.00,000,50.00
2016-03-22,51.00,51.00,48.50,50.00,2900,50.00
2016-03-21,51.00,51.00,51.00,51.00,000,51.00
2016-03-18,51.00,51.00,51.00,51.00,000,51.00
2016-03-17,51.00,51.00,51.00,51.00,000,51.00
2016-03-16,52.40,52.40,49.338,51.00,13200,51.00
2016-03-15,52.50,52.50,52.50,52.50,000,52.50
2016-03-14,52.50,52.50,52.50,52.50,000,52.50
2016-03-11,52.44,52.44,50.00,52.50,7000,52.50
2016-03-10,48.00,48.00,48.00,51.00,1600,51.00
2016-03-09,50.00,50.00,50.00,51.00,2000,51.00
2016-03-08,53.53,53.53,50.00,52.50,8300,52.50
2016-03-07,55.00,55.00,48.063,51.50,14400,51.50
2016-03-04,49.00,51.50,46.96,48.50,10400,48.50
2016-03-03,50.00,52.00,47.00,47.50,19800,47.50
2016-03-02,45.00,54.00,44.00,47.50,135000,47.50
2016-03-01,42.50,42.50,42.50,42.50,000,42.50
2016-02-29,41.00,41.00,41.00,42.50,700,42.50
2016-02-26,41.00,43.72,41.00,42.50,9000,42.50
2016-02-25,41.00,41.00,41.00,41.00,000,41.00
2016-02-24,40.00,45.00,37.50,41.00,15800,41.00
2016-02-23,40.00,40.00,40.00,40.00,000,40.00
2016-02-22,37.50,45.00,38.00,40.00,6200,40.00
2016-02-19,35.00,35.00,35.00,35.00,000,35.00
2016-02-18,36.75,38.00,36.75,35.00,8300,35.00
2016-02-17,34.00,34.00,34.00,34.00,000,34.00
2016-02-16,34.00,34.00,34.00,34.00,000,34.00
2016-02-15,34.00,34.00,34.00,34.00,000,34.00
2016-02-12,30.00,30.00,30.00,34.00,1000,34.00
2016-02-11,35.00,35.00,35.00,34.00,29600,34.00
2016-02-10,34.00,34.00,34.00,34.00,000,34.00
2016-02-09,35.50,35.50,35.50,35.50,000,35.50
2016-02-08,36.75,36.75,35.00,35.50,1600,35.50
2016-02-05,36.50,36.50,36.50,36.50,000,36.50
