Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,89.649,90.193,89.401,90.193,200,90.193
2016-03-31,90.362,90.362,90.069,90.091,300,90.091
2016-03-30,89.594,89.594,89.594,89.594,000,89.594
2016-03-29,91.674,91.674,91.54,91.54,100,91.54
2016-03-28,91.00,91.00,91.00,91.00,000,91.00
2016-03-25,91.00,91.00,91.00,91.00,000,91.00
2016-03-24,91.085,91.085,91.00,91.00,000,91.00
2016-03-23,91.108,91.108,91.108,91.108,000,91.108
2016-03-22,90.231,90.311,90.231,90.311,000,90.311
2016-03-21,89.538,89.538,89.538,89.538,000,89.538
2016-03-18,88.977,88.977,88.977,88.977,000,88.977
2016-03-17,87.545,87.545,86.624,86.88,100,86.88
2016-03-16,87.986,88.886,87.986,88.25,200,88.25
2016-03-15,88.29,88.29,87.782,87.782,200,87.782
2016-03-14,88.193,88.539,88.193,88.539,000,88.539
2016-03-11,87.345,88.185,87.345,88.185,000,88.185
2016-03-10,88.123,88.585,86.00,86.00,100,86.00
2016-03-09,88.485,88.50,88.485,88.50,000,88.50
2016-03-08,88.21,88.21,88.191,88.191,100,88.191
2016-03-07,88.69,89.186,88.69,88.997,000,88.997
2016-03-04,88.327,88.364,88.327,88.364,000,88.364
2016-03-03,89.248,89.248,88.603,88.603,000,88.603
2016-03-02,89.305,89.382,89.305,89.382,000,89.382
2016-03-01,86.495,88.343,86.495,88.343,100,88.343
2016-02-29,87.162,87.175,87.162,87.175,200,87.175
2016-02-26,85.91,86.957,85.91,86.957,100,86.957
2016-02-25,84.952,86.027,84.952,86.027,400,86.027
2016-02-24,85.848,85.883,84.615,84.615,000,84.615
2016-02-23,86.944,87.075,86.294,86.294,100,86.294
2016-02-22,86.511,87.702,86.511,87.702,000,87.702
2016-02-19,86.049,86.049,86.049,86.049,000,86.049
2016-02-18,85.094,85.40,85.094,85.40,000,85.40
2016-02-17,83.457,84.952,83.457,84.952,000,84.952
2016-02-16,83.565,83.565,82.50,82.735,1300,82.735
2016-02-15,82.582,84.633,82.582,84.633,200,84.633
2016-02-12,79.074,79.074,79.074,79.074,000,79.074
2016-02-11,79.65,79.65,78.455,78.455,100,78.455
2016-02-10,79.894,81.30,79.894,81.30,200,81.30
2016-02-09,79.839,79.839,79.372,79.372,000,79.372
2016-02-08,80.694,80.694,79.161,79.897,700,79.897
2016-02-05,81.448,81.448,81.448,81.448,000,81.448
2016-02-04,81.537,82.047,78.933,82.047,400,82.047
2016-02-03,80.912,81.746,80.092,80.092,100,80.092
2016-02-02,82.051,82.051,81.77,81.77,100,81.77
2016-02-01,82.831,82.831,81.943,81.943,100,81.943
2016-01-29,82.045,82.593,82.045,82.593,000,82.593
2016-01-28,79.29,79.29,79.29,79.29,000,79.29
2016-01-27,77.211,77.211,77.211,77.211,000,77.211
2016-01-26,74.212,76.086,74.212,76.086,000,76.086
2016-01-25,75.858,75.858,75.366,75.366,100,75.366
2016-01-22,75.978,75.978,75.978,75.978,000,75.978
2016-01-21,74.021,75.672,74.021,75.672,000,75.672
2016-01-20,73.191,73.191,73.141,73.141,000,73.141
2016-01-19,75.309,75.666,75.309,75.408,100,75.408
2016-01-18,74.789,74.789,74.789,74.789,000,74.789
2016-01-15,75.257,75.257,73.738,74.433,600,74.433
2016-01-14,76.193,76.30,76.193,76.30,200,76.30
2016-01-13,77.716,77.716,77.716,77.716,000,77.716
2016-01-12,76.321,76.40,76.321,76.40,100,76.40
2016-01-11,76.402,76.402,76.402,76.402,000,76.402
2016-01-08,78.735,79.123,78.735,79.123,000,79.123
2016-01-07,79.559,79.559,77.875,78.69,1000,78.69
2016-01-06,82.627,82.627,82.207,82.207,000,82.207
2016-01-05,84.10,84.447,83.701,83.701,100,83.701
2016-01-04,83.606,83.742,82.57,83.742,300,83.742
2016-01-01,86.287,86.287,86.287,86.287,000,86.287
2015-12-31,86.287,86.287,86.287,86.287,000,86.287
2015-12-30,86.046,86.287,86.046,86.287,100,86.287
2015-12-29,85.588,85.588,85.588,85.588,000,85.588
2015-12-28,85.688,85.688,85.054,85.054,200,84.504
2015-12-25,84.645,84.645,84.645,84.645,000,84.098
2015-12-24,84.645,84.645,84.645,84.645,000,84.098
2015-12-23,84.645,84.645,84.645,84.645,000,84.098
2015-12-22,84.198,84.198,84.198,84.198,000,83.654
2015-12-21,83.805,84.41,83.805,84.085,200,83.541
2015-12-18,84.784,84.784,84.729,84.729,000,84.181
2015-12-17,86.156,87.105,86.156,87.105,200,86.542
2015-12-16,84.33,84.946,84.33,84.946,000,84.397
2015-12-15,84.091,85.076,84.091,85.076,000,84.526
2015-12-14,83.933,83.933,83.00,83.00,000,82.463
2015-12-11,85.319,85.319,85.319,85.319,000,84.767
2015-12-10,84.116,84.116,84.116,84.116,000,83.572
2015-12-09,84.65,84.65,84.279,84.279,000,83.734
2015-12-08,85.609,85.609,85.411,85.411,000,84.859
2015-12-07,86.89,87.503,86.127,86.127,1700,85.57
2015-12-04,84.592,85.274,84.592,85.274,100,84.723
2015-12-03,88.11,88.839,88.101,88.839,100,88.265
2015-12-02,88.753,89.22,88.753,89.161,400,88.584
2015-12-01,89.485,89.485,88.917,88.917,600,88.342
2015-11-30,87.744,88.488,87.744,88.488,300,87.916
2015-11-27,87.684,88.145,87.684,88.145,000,87.575
2015-11-26,87.865,88.372,87.865,88.372,000,87.801
2015-11-25,87.457,88.59,87.457,88.59,000,88.017
2015-11-24,87.778,87.778,86.836,87.586,300,87.02
2015-11-23,87.918,88.033,87.918,88.033,500,87.464
2015-11-20,86.151,87.45,86.151,87.45,400,86.885
2015-11-19,85.65,85.65,85.65,85.65,000,85.096
2015-11-18,84.367,85.364,84.076,85.253,500,84.702
2015-11-17,85.315,85.315,85.315,85.315,000,84.763
2015-11-16,82.866,83.717,82.866,83.717,000,83.176
2015-11-13,83.119,83.895,83.119,83.895,500,83.352
2015-11-12,84.957,84.957,84.377,84.377,000,83.831
2015-11-11,85.231,86.00,85.231,85.75,900,85.195
2015-11-10,85.076,85.076,84.98,84.98,000,84.43
2015-11-09,86.244,86.244,85.004,85.004,000,84.454
2015-11-06,85.584,86.505,85.58,85.806,300,85.251
2015-11-05,85.47,85.47,85.356,85.356,000,84.804
2015-11-04,84.868,84.868,84.868,84.868,000,84.319
2015-11-03,84.869,84.95,84.779,84.95,100,84.401
2015-11-02,83.355,83.52,83.355,83.52,100,82.98
2015-10-30,83.77,83.77,83.304,83.304,500,82.765
2015-10-29,83.876,84.006,83.556,83.556,100,83.016
2015-10-28,81.988,81.988,81.988,81.988,000,81.458
2015-10-27,81.847,81.847,81.847,81.847,000,81.318
2015-10-26,81.816,82.50,81.816,82.234,000,81.702
2015-10-23,80.587,81.824,80.457,81.824,000,81.295
2015-10-22,75.579,77.906,75.579,77.906,000,77.402
2015-10-21,75.181,75.217,75.001,75.217,000,74.731
2015-10-20,73.906,73.906,73.906,73.906,000,73.428
2015-10-19,73.789,73.789,73.789,73.789,000,73.312
2015-10-16,74.968,75.437,74.968,75.437,200,74.949
2015-10-15,74.281,74.55,74.00,74.00,100,73.521
2015-10-14,75.75,75.75,75.75,75.75,000,75.26
2015-10-13,77.172,77.172,77.172,77.172,000,76.673
2015-10-12,76.876,76.876,76.876,76.876,000,76.379
2015-10-09,77.64,77.978,77.56,77.56,100,77.058
2015-10-08,76.033,76.033,76.033,76.033,000,75.541
2015-10-07,76.052,76.052,76.00,76.00,000,75.509
2015-10-06,76.586,76.60,76.586,76.60,100,76.105
2015-10-05,73.586,74.398,73.586,74.398,100,73.917
2015-10-02,72.853,73.731,71.387,71.387,600,70.925
2015-10-01,74.569,74.569,72.463,72.463,200,71.994
2015-09-30,72.812,72.812,72.812,72.812,000,72.341
2015-09-29,71.66,72.406,71.66,72.373,800,71.905
2015-09-28,72.999,72.999,72.999,72.999,000,72.527
2015-09-25,74.35,74.35,74.35,74.35,000,73.869
2015-09-24,74.029,74.029,72.553,73.095,600,72.622
2015-09-23,74.333,74.417,74.333,74.417,000,73.936
2015-09-22,75.093,75.093,74.468,74.638,100,74.155
2015-09-21,74.573,76.034,74.573,76.034,000,75.542
2015-09-18,74.886,74.981,74.243,74.981,400,74.496
2015-09-17,75.734,75.734,75.734,75.734,000,75.244
2015-09-16,74.58,75.658,74.58,75.658,100,75.169
2015-09-15,72.838,73.217,72.838,73.217,000,72.744
2015-09-14,73.596,73.596,73.596,73.596,000,73.12
2015-09-11,73.812,73.876,73.50,73.50,000,73.025
2015-09-10,74.661,74.661,74.661,74.661,000,74.178
2015-09-09,76.08,76.206,76.00,76.206,000,75.713
2015-09-08,73.392,74.273,73.392,74.273,100,73.793
2015-09-07,74.078,74.078,73.958,73.958,000,73.48
2015-09-04,74.124,74.315,74.124,74.315,000,73.834
2015-09-03,73.432,73.432,73.432,73.432,000,72.957
2015-09-02,73.052,73.052,73.052,73.052,000,72.58
2015-09-01,73.539,73.539,73.539,73.539,000,73.063
2015-08-31,74.825,75.45,74.825,75.45,400,74.962
2015-08-28,74.917,75.838,74.90,75.838,1100,75.348
2015-08-27,73.197,76.203,73.197,75.10,700,74.614
2015-08-26,70.592,72.371,70.592,72.371,200,71.903
2015-08-25,72.056,75.223,72.056,72.644,200,72.174
2015-08-24,72.75,73.456,70.85,72.488,200,72.019
2015-08-21,76.40,77.00,76.40,77.00,3500,76.502
2015-08-20,79.64,79.64,78.50,78.535,200,78.027
2015-08-19,80.909,80.909,80.00,80.00,100,79.483
2015-08-18,81.264,81.264,81.264,81.264,000,80.739
2015-08-17,80.725,80.725,80.725,80.725,000,80.203
2015-08-14,80.033,80.033,80.033,80.033,000,79.515
2015-08-13,80.183,80.50,80.183,80.50,000,79.979
2015-08-12,80.349,80.349,78.998,79.356,200,78.843
2015-08-11,82.799,82.799,80.931,80.931,300,80.408
2015-08-10,81.543,81.543,81.543,81.543,000,81.016
2015-08-07,81.666,81.666,81.361,81.361,000,80.835
2015-08-06,81.733,82.324,81.733,82.324,100,81.792
2015-08-05,81.307,82.845,81.307,82.305,100,81.773
2015-08-04,80.771,80.771,80.771,80.771,000,80.249
2015-08-03,81.652,81.652,81.652,81.652,100,81.124
2015-07-31,81.504,81.504,80.99,80.99,000,80.466
2015-07-30,81.276,81.384,81.276,81.384,000,80.858
2015-07-29,80.106,80.598,80.106,80.598,100,80.077
2015-07-28,78.859,80.20,78.859,80.20,300,79.681
2015-07-27,80.11,80.11,78.807,79.068,000,78.557
2015-07-24,81.49,82.20,79.992,79.992,500,79.475
2015-07-23,81.975,81.975,81.491,81.491,000,80.964
2015-07-22,83.744,87.827,82.00,82.00,000,81.47
2015-07-21,86.729,86.729,84.768,84.768,200,84.22
2015-07-20,85.791,85.791,85.791,85.791,000,85.236
2015-07-17,85.836,86.123,85.836,86.123,000,85.566
2015-07-16,85.651,86.391,85.651,86.391,000,85.832
2015-07-15,85.436,85.436,85.436,85.436,000,84.884
2015-07-14,85.139,85.139,84.996,84.996,100,84.446
2015-07-13,82.79,84.521,82.79,84.521,100,83.974
2015-07-10,83.408,83.408,83.408,83.408,000,82.869
2015-07-09,83.257,83.257,83.257,83.257,000,82.719
2015-07-08,84.429,84.429,83.99,83.99,000,83.447
2015-07-07,84.566,84.566,84.566,84.566,000,84.019
2015-07-06,83.342,83.342,83.342,83.342,000,82.803
2015-07-03,84.109,84.109,84.109,84.109,000,83.565
2015-07-02,84.226,84.226,83.953,83.953,300,83.41
2015-07-01,82.639,82.639,82.639,82.639,000,82.105
2015-06-30,81.795,81.795,81.795,81.795,000,81.266
2015-06-29,82.92,82.92,82.92,82.92,000,82.384
2015-06-26,82.427,82.427,82.427,82.427,000,81.894
2015-06-25,84.084,84.084,84.084,84.084,000,83.058
2015-06-24,83.144,84.745,83.144,84.745,000,83.711
2015-06-23,83.231,83.231,83.231,83.231,000,82.216
2015-06-22,81.948,81.948,81.948,81.948,000,80.948
2015-06-19,82.268,82.912,82.268,82.912,000,81.901
2015-06-18,81.261,81.261,81.04,81.04,500,80.052
2015-06-17,82.322,82.322,82.322,82.322,000,81.318
2015-06-16,81.86,82.341,81.547,82.341,400,81.337
2015-06-15,83.309,83.309,83.309,83.309,000,82.293
2015-06-12,84.075,84.80,84.075,84.80,000,83.766
2015-06-11,83.453,83.453,83.453,83.453,000,82.435
2015-06-10,81.955,81.955,81.955,81.955,000,80.955
2015-06-09,81.628,82.526,81.452,82.526,400,81.519
2015-06-08,83.615,83.615,83.615,83.615,000,82.595
2015-06-05,82.956,82.956,82.956,82.956,000,81.944
2015-06-04,84.03,84.03,84.03,84.03,000,83.005
2015-06-03,84.635,84.635,84.635,84.635,000,83.603
2015-06-02,86.073,86.073,86.073,86.073,000,85.023
2015-06-01,86.294,86.294,86.294,86.294,000,85.241
2015-05-29,86.976,86.976,86.976,86.976,000,85.915
2015-05-28,87.831,87.831,87.831,87.831,000,86.76
2015-05-27,87.539,88.062,87.539,88.062,100,86.988
2015-05-26,88.373,88.762,88.373,88.50,100,87.421
2015-05-25,87.36,87.36,87.36,87.36,000,86.294
2015-05-22,87.358,87.36,87.358,87.36,000,86.294
2015-05-21,86.841,86.841,86.841,86.841,000,85.782
2015-05-20,86.978,86.978,86.766,86.968,000,85.907
2015-05-19,85.584,87.253,85.584,87.253,200,86.189
2015-05-18,84.703,84.703,84.703,84.703,000,83.67
2015-05-15,85.45,85.45,85.45,85.45,000,84.408
2015-05-14,84.069,84.48,84.069,84.48,000,83.45
2015-05-13,85.184,85.184,85.184,85.184,000,84.145
2015-05-12,85.639,85.639,85.639,85.639,000,84.594
2015-05-11,86.374,86.374,86.182,86.191,100,85.14
2015-05-08,84.812,85.395,84.812,85.395,000,84.353
2015-05-07,83.339,83.339,83.268,83.268,000,82.252
2015-05-06,84.42,84.42,84.42,84.42,000,83.39
2015-05-05,85.658,85.658,85.658,85.658,000,84.613
2015-05-04,85.072,85.619,85.072,85.619,300,84.575
2015-05-01,84.339,84.339,84.339,84.339,000,83.31
2015-04-30,85.08,85.08,84.039,84.339,1000,83.31
2015-04-29,86.50,86.59,84.994,84.994,500,83.957
2015-04-28,87.023,87.386,87.023,87.386,000,86.32
2015-04-27,86.958,86.958,86.958,86.958,000,85.897
2015-04-24,87.348,87.348,87.348,87.348,000,86.283
2015-04-23,87.99,87.99,87.99,87.99,000,86.917
2015-04-22,87.821,87.821,87.821,87.821,000,86.75
2015-04-21,91.169,91.169,85.90,88.104,600,87.029
2015-04-20,89.371,89.499,89.371,89.491,300,88.399
2015-04-17,91.061,91.061,90.121,90.121,300,89.022
2015-04-16,92.688,92.90,92.688,92.90,000,91.767
2015-04-15,92.509,92.509,92.509,92.509,000,91.381
2015-04-14,93.019,93.26,93.019,93.26,300,92.122
2015-04-13,92.316,92.526,92.316,92.526,000,91.397
2015-04-10,90.992,91.64,90.992,91.64,000,90.522
2015-04-09,90.159,91.029,90.159,91.029,100,89.919
2015-04-08,90.216,90.235,90.216,90.235,200,89.134
2015-04-07,89.611,89.611,89.611,89.611,100,88.518
2015-04-06,89.07,89.07,89.07,89.07,000,87.984
2015-04-03,89.07,89.07,89.07,89.07,000,87.984
2015-04-02,89.26,89.26,89.07,89.07,100,87.984
2015-04-01,89.453,90.59,89.453,90.59,000,89.485
2015-03-31,90.45,90.484,90.42,90.484,200,89.38
2015-03-30,88.296,88.296,88.296,88.296,000,87.219
2015-03-27,88.079,88.079,88.079,88.079,000,87.005
2015-03-26,87.80,88.159,86.256,88.159,300,86.605
2015-03-25,89.229,89.654,89.211,89.654,100,88.073
2015-03-24,89.533,89.533,89.334,89.373,200,87.797
2015-03-23,90.882,91.12,90.882,91.035,800,89.43
2015-03-20,93.118,93.40,91.828,91.828,100,90.209
2015-03-19,91.688,93.873,91.688,93.873,000,92.218
2015-03-18,93.614,93.614,91.537,91.537,600,89.923
2015-03-17,93.439,93.439,92.85,92.85,300,91.213
2015-03-16,93.223,93.40,92.725,92.978,500,91.339
2015-03-13,93.169,93.169,92.389,92.389,400,90.76
2015-03-12,91.181,92.168,91.00,92.168,400,90.543
2015-03-11,90.517,91.60,90.517,91.60,300,89.985
2015-03-10,91.06,91.474,90.495,90.782,300,89.181
2015-03-09,90.317,90.862,90.17,90.862,400,89.26
2015-03-06,89.81,90.785,89.81,90.785,400,89.184
2015-03-05,88.911,89.693,88.911,89.693,000,88.112
2015-03-04,89.042,89.159,89.005,89.159,200,87.587
2015-03-03,88.686,89.195,88.686,89.195,000,87.622
2015-03-02,88.418,88.60,87.731,88.60,200,87.038
2015-02-27,88.318,88.318,88.318,88.318,000,86.761
2015-02-26,87.71,88.587,87.71,88.587,100,87.025
2015-02-25,87.449,87.487,87.449,87.487,000,85.944
2015-02-24,87.446,87.837,87.446,87.80,000,86.252
2015-02-23,87.721,88.113,87.721,88.113,300,86.559
2015-02-20,86.499,86.96,86.499,86.70,200,85.171
2015-02-19,85.999,85.999,85.999,85.999,000,84.483
2015-02-18,86.017,86.017,86.017,86.017,000,84.50
2015-02-17,86.062,86.179,85.925,86.179,000,84.66
2015-02-16,85.768,85.812,85.768,85.812,000,84.299
2015-02-13,85.478,85.542,85.478,85.542,100,84.034
2015-02-12,85.29,85.572,85.29,85.571,100,84.062
2015-02-11,85.542,85.856,85.542,85.856,000,84.342
2015-02-10,85.404,85.404,85.404,85.404,000,83.898
2015-02-09,85.266,85.626,85.266,85.325,000,83.821
2015-02-06,84.504,85.656,84.504,85.656,000,84.146
2015-02-05,84.161,84.161,84.161,84.161,000,82.677
2015-02-04,83.296,83.678,83.296,83.408,200,81.937
2015-02-03,83.37,83.40,83.37,83.40,000,81.93
2015-02-02,83.049,83.049,82.762,82.872,200,81.411
2015-01-30,82.39,82.39,81.983,81.983,200,80.538
2015-01-29,81.574,81.574,81.424,81.424,100,79.988
2015-01-28,82.606,82.707,82.10,82.10,400,80.652
2015-01-27,83.195,83.195,81.51,81.867,600,80.424
2015-01-26,82.919,82.919,82.919,82.919,000,81.457
2015-01-23,83.094,84.938,83.094,83.816,100,82.338
2015-01-22,81.432,81.432,81.34,81.34,100,79.906
2015-01-21,80.517,80.517,80.517,80.517,000,79.097
2015-01-20,80.639,81.087,80.639,80.656,300,79.234
2015-01-19,80.26,80.746,80.25,80.723,400,79.30
2015-01-16,78.666,80.168,78.666,80.168,400,78.755
2015-01-15,79.413,79.801,79.322,79.801,000,78.394
2015-01-14,78.25,78.25,78.25,78.25,000,76.87
2015-01-13,78.663,79.97,78.663,79.97,000,78.56
2015-01-12,78.815,79.22,78.815,79.22,300,77.823
2015-01-09,80.225,80.225,80.221,80.221,000,78.807
2015-01-08,78.365,79.348,78.365,79.348,300,77.949
2015-01-07,76.899,76.899,76.899,76.899,000,75.543
2015-01-06,77.049,77.049,76.50,76.50,000,75.151
2015-01-05,78.993,78.993,77.632,77.632,100,76.263
2015-01-02,78.282,78.282,78.282,78.282,000,76.902
2015-01-01,79.075,79.075,79.075,79.075,000,77.681
2014-12-31,79.075,79.075,79.075,79.075,000,77.681
2014-12-30,79.219,79.219,78.997,79.075,000,77.681
2014-12-29,79.605,79.605,79.605,79.605,000,78.201
2014-12-26,79.471,79.471,79.471,79.471,000,77.593
2014-12-25,79.471,79.471,79.471,79.471,000,77.593
2014-12-24,79.471,79.471,79.471,79.471,000,77.593
2014-12-23,79.073,79.471,79.073,79.471,300,77.593
2014-12-22,78.368,78.368,78.368,78.368,000,76.516
2014-12-19,77.885,78.187,77.885,78.176,000,76.329
2014-12-18,75.407,76.956,75.407,76.956,200,75.138
2014-12-17,74.214,74.214,74.214,74.214,000,72.461
2014-12-16,74.387,74.649,73.50,74.649,500,72.885
2014-12-15,75.15,75.472,75.00,75.00,700,73.228
2014-12-12,76.276,76.276,76.276,76.276,000,74.474
2014-12-11,75.982,77.212,75.982,77.212,000,75.388
2014-12-10,77.461,77.461,76.714,76.714,000,74.901
2014-12-09,77.746,77.87,77.746,77.766,000,75.929
2014-12-08,78.593,78.60,78.593,78.60,000,76.743
2014-12-05,77.605,78.912,77.605,78.912,200,77.048
2014-12-04,78.97,79.028,77.33,77.33,400,75.503
2014-12-03,76.611,78.393,76.611,78.393,200,76.541
2014-12-02,76.498,76.498,76.08,76.241,300,74.44
2014-12-01,75.852,75.852,75.686,75.686,100,73.898
2014-11-28,76.617,76.617,76.617,76.617,000,74.807
2014-11-27,76.286,76.652,76.286,76.652,000,74.841
2014-11-26,76.78,76.78,76.78,76.78,000,74.966
2014-11-25,77.143,77.243,77.00,77.00,300,75.181
2014-11-24,77.298,77.789,77.298,77.789,600,75.951
2014-11-21,75.818,77.583,75.818,77.583,200,75.75
2014-11-20,75.296,75.49,75.162,75.353,300,73.573
2014-11-19,75.463,75.668,75.111,75.111,300,73.336
2014-11-18,75.256,75.55,75.174,75.55,500,73.765
