Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,714.00,714.50,689.50,699.50,1330100,685.49
2016-03-31,727.50,727.50,717.50,723.50,633500,709.009
2016-03-30,721.50,727.50,706.00,725.50,655800,710.969
2016-03-29,718.50,719.50,712.00,716.50,634800,702.15
2016-03-28,712.50,712.50,712.50,712.50,000,698.23
2016-03-24,718.00,721.00,709.25,712.50,1053600,698.23
2016-03-23,724.50,727.50,720.00,722.50,560300,708.029
2016-03-22,727.00,727.00,715.50,722.00,1699300,707.539
2016-03-21,737.00,743.00,728.00,729.50,525600,714.889
2016-03-18,727.00,741.50,722.00,741.50,1614100,726.649
2016-03-17,727.00,733.00,715.50,727.50,840800,712.929
2016-03-16,724.00,730.14,713.50,724.50,1180400,709.989
2016-03-15,728.00,742.00,714.50,725.00,992600,710.479
2016-03-14,700.50,712.50,696.50,710.00,1007600,695.78
2016-03-11,709.00,714.638,694.00,698.50,1247400,684.51
2016-03-10,714.50,720.50,703.00,703.00,895400,688.92
2016-03-09,713.00,721.50,710.00,713.50,761300,699.21
2016-03-08,705.50,717.50,700.50,714.00,797500,699.70
2016-03-07,718.00,719.50,703.00,712.00,1146300,697.74
2016-03-04,715.50,719.00,697.00,716.50,1236200,702.15
2016-03-03,726.50,726.50,713.00,716.00,1103800,701.66
2016-03-02,754.00,755.50,719.50,723.00,1778100,708.519
2016-03-01,739.50,754.00,735.50,754.00,1038000,738.899
2016-02-29,733.00,741.00,728.00,739.00,976400,724.199
2016-02-26,738.00,747.00,735.00,740.50,710500,725.669
2016-02-25,721.50,735.50,710.00,735.00,858400,720.279
2016-02-24,715.50,720.50,701.50,709.00,726700,694.80
2016-02-23,722.50,728.80,710.50,719.00,643400,704.60
2016-02-22,724.50,736.50,720.00,723.50,1425900,709.009
2016-02-19,717.50,724.50,712.00,721.00,1074300,706.56
2016-02-18,728.00,728.00,717.00,721.00,1080900,706.56
2016-02-17,689.00,720.50,689.00,717.00,904900,702.64
2016-02-16,699.00,700.50,679.00,685.00,985600,671.281
2016-02-15,682.50,697.00,682.50,691.00,1093100,677.16
2016-02-12,668.00,675.50,667.50,672.50,1304100,659.031
2016-02-11,673.50,677.00,661.50,662.50,1330800,649.231
2016-02-10,675.00,685.50,666.50,676.00,1193200,662.461
2016-02-09,670.50,678.50,657.50,666.00,1101200,652.661
2016-02-08,694.50,699.00,667.00,668.00,1048400,654.621
2016-02-05,695.00,701.50,688.50,688.50,1331200,674.71
2016-02-04,703.50,705.00,688.00,695.00,1012700,681.08
2016-02-03,710.00,720.00,687.50,688.50,1513200,674.71
2016-02-02,720.00,720.182,703.50,710.50,792900,696.27
2016-02-01,718.50,725.00,714.00,721.50,1309100,707.05
2016-01-29,725.50,725.50,710.00,717.50,1173700,703.13
2016-01-28,722.00,726.50,712.00,714.50,758100,700.19
2016-01-27,730.00,730.00,712.00,721.50,940300,707.05
2016-01-26,730.00,733.50,724.50,733.00,653100,718.319
2016-01-25,745.50,759.401,734.50,740.00,800600,725.179
2016-01-22,732.00,744.50,727.50,742.50,958000,727.629
2016-01-21,718.50,718.50,705.00,715.50,1016800,701.17
2016-01-20,711.00,720.00,699.00,703.50,990100,689.41
2016-01-19,718.00,721.50,713.00,721.00,704400,706.56
2016-01-18,704.50,711.00,696.50,707.00,918200,692.84
2016-01-15,719.00,722.50,699.00,705.50,1315500,691.37
2016-01-14,723.00,724.50,709.00,718.00,1138900,703.62
2016-01-13,726.50,747.00,726.50,732.00,894000,717.339
2016-01-12,739.00,750.00,735.00,742.00,798100,727.139
2016-01-11,738.00,742.50,730.00,735.00,810500,720.279
2016-01-08,749.50,759.50,742.00,742.00,726200,727.139
2016-01-07,760.50,761.00,735.50,745.50,1226800,730.569
2016-01-06,774.50,779.00,766.00,771.00,840600,755.558
2016-01-05,770.50,782.50,767.50,776.50,846800,760.948
2016-01-04,776.00,779.50,760.00,765.00,945500,749.678
2015-12-31,782.50,786.50,776.50,785.00,215800,769.278
2015-12-30,776.50,787.50,776.50,786.00,478800,770.258
2015-12-29,778.00,781.50,769.00,781.00,417800,765.358
2015-12-28,775.00,775.00,775.00,775.00,000,759.478
2015-12-25,775.00,775.00,775.00,775.00,000,759.478
2015-12-24,772.00,776.00,767.00,775.00,67500,759.478
2015-12-23,764.50,772.00,761.00,769.50,290600,754.088
2015-12-22,761.00,762.00,752.00,756.50,473000,741.349
2015-12-21,756.00,764.50,753.50,755.00,401500,739.879
2015-12-18,774.50,780.00,754.50,759.50,998500,744.288
2015-12-17,760.50,771.00,757.50,767.00,1070800,751.638
2015-12-16,759.00,762.50,749.00,751.00,774700,735.959
2015-12-15,738.50,757.00,736.50,755.00,523100,739.879
2015-12-14,744.00,750.50,734.00,734.00,623700,719.299
2015-12-11,743.50,747.00,739.00,739.00,1098600,724.199
2015-12-10,757.00,757.00,743.50,743.50,595300,728.609
2015-12-09,765.50,766.50,746.50,756.00,654200,740.859
2015-12-08,777.50,780.00,761.00,761.50,655500,746.248
2015-12-07,779.00,786.50,774.50,776.00,456400,760.458
2015-12-04,778.50,780.50,770.00,778.50,297700,762.908
2015-12-03,781.50,786.50,776.50,777.50,751300,761.928
2015-12-02,790.00,790.00,779.00,781.00,434200,765.358
2015-12-01,788.00,790.00,778.50,785.50,576500,769.768
2015-11-30,784.00,787.00,778.38,786.50,623700,770.748
2015-11-27,778.50,783.00,777.00,781.50,375100,765.848
2015-11-26,778.00,783.50,776.00,782.50,344500,766.828
2015-11-25,775.00,779.50,769.00,778.00,344400,762.418
2015-11-24,782.50,782.50,761.50,767.50,685900,752.128
2015-11-23,784.50,786.00,779.50,783.50,487400,767.808
2015-11-20,788.00,790.50,784.00,787.50,317700,771.728
2015-11-19,793.50,793.50,784.00,789.50,305100,773.688
2015-11-18,784.00,786.50,778.904,785.50,465600,769.768
2015-11-17,779.50,786.50,779.00,785.00,642600,769.278
2015-11-16,767.00,776.50,758.00,773.50,700900,758.008
2015-11-13,780.50,780.50,768.50,772.50,593400,757.028
2015-11-12,795.00,795.00,779.00,780.50,506500,764.868
2015-11-11,786.50,790.50,780.50,788.00,504300,772.218
2015-11-10,798.50,798.50,777.00,781.50,622100,765.848
2015-11-09,797.00,798.00,790.50,792.00,471600,776.137
