Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.0859,0.0859,0.0571,0.0671,18500,0.0671
2016-03-31,0.06,0.06,0.049,0.049,158600,0.049
2016-03-30,0.057,0.057,0.057,0.057,8000,0.057
2016-03-29,0.062,0.062,0.062,0.062,000,0.062
2016-03-28,0.065,0.065,0.058,0.062,111100,0.062
2016-03-24,0.07,0.10,0.06,0.065,199100,0.065
2016-03-23,0.054,0.068,0.0529,0.061,120800,0.061
2016-03-22,0.053,0.0549,0.053,0.054,63500,0.054
2016-03-21,0.0545,0.0545,0.0525,0.053,14700,0.053
2016-03-18,0.06,0.065,0.052,0.0541,89000,0.0541
2016-03-17,0.0543,0.065,0.0543,0.065,156100,0.065
2016-03-16,0.06,0.06,0.06,0.06,000,0.06
2016-03-15,0.05,0.06,0.046,0.06,241800,0.06
2016-03-14,0.0445,0.054,0.0445,0.054,50800,0.054
2016-03-11,0.045,0.045,0.045,0.045,1000,0.045
2016-03-10,0.0451,0.046,0.045,0.045,79000,0.045
2016-03-09,0.0476,0.05,0.0476,0.05,20300,0.05
2016-03-08,0.0489,0.054,0.0445,0.047,144900,0.047
2016-03-07,0.0431,0.0432,0.043,0.043,74000,0.043
2016-03-04,0.0505,0.0535,0.0401,0.0535,121100,0.0535
2016-03-03,0.0469,0.06,0.0469,0.055,178800,0.055
2016-03-02,0.046,0.065,0.046,0.05,69100,0.05
2016-03-01,0.0538,0.0538,0.0425,0.0499,117300,0.0499
2016-02-29,0.054,0.054,0.048,0.0499,57000,0.0499
2016-02-26,0.0695,0.0695,0.0481,0.0645,5600,0.0645
2016-02-25,0.05,0.05,0.048,0.048,84000,0.048
2016-02-24,0.05,0.055,0.05,0.055,51600,0.055
2016-02-23,0.0488,0.055,0.044,0.05,144200,0.05
2016-02-22,0.05,0.06,0.048,0.0573,128200,0.0573
2016-02-19,0.0543,0.06,0.05,0.0511,190200,0.0511
2016-02-18,0.0489,0.06,0.0489,0.055,220200,0.055
2016-02-17,0.047,0.062,0.041,0.045,486600,0.045
2016-02-16,0.0515,0.0549,0.0481,0.0549,73000,0.0549
2016-02-12,0.055,0.06,0.0493,0.06,148500,0.06
2016-02-11,0.05,0.0625,0.048,0.05,147800,0.05
2016-02-10,0.0309,0.05,0.0309,0.05,588700,0.05
2016-02-09,0.035,0.035,0.028,0.0307,95200,0.0307
2016-02-08,0.04,0.04,0.035,0.035,157800,0.035
2016-02-05,0.0395,0.0395,0.0352,0.0379,73700,0.0379
2016-02-04,0.0377,0.04,0.0353,0.04,60800,0.04
2016-02-03,0.039,0.0449,0.0355,0.0355,68800,0.0355
2016-02-02,0.0371,0.04,0.0371,0.038,103200,0.038
2016-02-01,0.0371,0.0371,0.037,0.037,2000,0.037
2016-01-29,0.0399,0.04,0.0399,0.04,30000,0.04
2016-01-28,0.0429,0.0429,0.0429,0.0429,000,0.0429
2016-01-27,0.0429,0.0429,0.0429,0.0429,000,0.0429
2016-01-26,0.045,0.045,0.0368,0.0429,40700,0.0429
2016-01-25,0.0356,0.0449,0.0356,0.0449,23000,0.0449
2016-01-22,0.04,0.045,0.0354,0.04,153600,0.04
2016-01-21,0.04,0.045,0.04,0.045,31300,0.045
2016-01-20,0.045,0.045,0.04,0.045,17300,0.045
2016-01-19,0.05,0.05,0.05,0.05,000,0.05
2016-01-15,0.05,0.05,0.04,0.05,244500,0.05
2016-01-14,0.056,0.056,0.04,0.05,112600,0.05
2016-01-13,0.065,0.07,0.059,0.07,76500,0.07
2016-01-12,0.0555,0.065,0.0555,0.065,2800,0.065
2016-01-11,0.052,0.052,0.052,0.052,4600,0.052
2016-01-08,0.0586,0.0586,0.0586,0.0586,400,0.0586
2016-01-07,0.047,0.047,0.047,0.047,5400,0.047
2016-01-06,0.0506,0.07,0.0506,0.07,2900,0.07
2016-01-05,0.07,0.07,0.07,0.07,000,0.07
2016-01-04,0.07,0.07,0.07,0.07,000,0.07
2015-12-31,0.06,0.075,0.0505,0.07,207600,0.07
2015-12-30,0.06,0.06,0.06,0.06,1500,0.06
2015-12-29,0.052,0.052,0.045,0.05,221500,0.05
2015-12-28,0.07,0.07,0.045,0.065,701600,0.065
2015-12-24,0.07,0.07,0.07,0.07,176000,0.07
2015-12-23,0.07,0.095,0.07,0.095,18700,0.095
2015-12-22,0.0605,0.10,0.0605,0.10,4300,0.10
2015-12-21,0.07,0.07,0.062,0.07,102000,0.07
2015-12-18,0.075,0.08,0.0701,0.08,24900,0.08
2015-12-17,0.08,0.08,0.075,0.075,48000,0.075
2015-12-16,0.08,0.08,0.075,0.08,32700,0.08
2015-12-15,0.0802,0.115,0.0763,0.08,70900,0.08
2015-12-14,0.09,0.09,0.0755,0.0755,37600,0.0755
2015-12-11,0.09,0.09,0.0875,0.09,29800,0.09
2015-12-10,0.09,0.095,0.087,0.091,14300,0.091
2015-12-09,0.095,0.106,0.095,0.095,15500,0.095
2015-12-08,0.099,0.099,0.099,0.099,1000,0.099
2015-12-07,0.085,0.118,0.085,0.105,24800,0.105
2015-12-04,0.081,0.095,0.081,0.095,81800,0.095
2015-12-03,0.1135,0.118,0.0942,0.0942,50700,0.0942
2015-12-02,0.0966,0.119,0.072,0.119,20500,0.119
2015-12-01,0.097,0.097,0.097,0.097,700,0.097
2015-11-30,0.0805,0.10,0.076,0.10,50300,0.10
2015-11-27,0.099,0.099,0.099,0.099,700,0.099
2015-11-25,0.099,0.099,0.099,0.099,000,0.099
2015-11-24,0.099,0.099,0.099,0.099,200,0.099
2015-11-23,0.083,0.083,0.083,0.083,700,0.083
2015-11-20,0.083,0.099,0.083,0.099,6500,0.099
2015-11-19,0.0705,0.0995,0.0705,0.0995,3100,0.0995
2015-11-18,0.0853,0.0853,0.0807,0.0807,12200,0.0807
2015-11-17,0.08,0.08,0.08,0.08,5000,0.08
2015-11-16,0.10,0.10,0.08,0.0897,46300,0.0897
2015-11-13,0.095,0.095,0.095,0.095,2000,0.095
2015-11-12,0.0976,0.10,0.0762,0.095,8100,0.095
2015-11-11,0.118,0.118,0.118,0.118,10000,0.118
2015-11-10,0.09,0.119,0.09,0.119,29200,0.119
2015-11-09,0.086,0.086,0.086,0.086,000,0.086
2015-11-06,0.115,0.115,0.086,0.086,18900,0.086
2015-11-05,0.095,0.095,0.095,0.095,10200,0.095
2015-11-04,0.10,0.10,0.0701,0.0949,79100,0.0949
2015-11-03,0.09,0.1179,0.09,0.1179,20700,0.1179
2015-11-02,0.1079,0.1079,0.1079,0.1079,100,0.1079
2015-10-30,0.1079,0.1079,0.1079,0.1079,500,0.1079
2015-10-29,0.0901,0.0901,0.0901,0.0901,5000,0.0901
2015-10-28,0.10,0.10,0.10,0.10,5000,0.10
2015-10-27,0.10,0.11,0.10,0.11,5100,0.11
2015-10-26,0.10,0.11,0.10,0.11,21200,0.11
2015-10-23,0.089,0.11,0.087,0.109,286000,0.109
2015-10-22,0.09,0.09,0.09,0.09,500,0.09
2015-10-21,0.11,0.11,0.08,0.0889,118500,0.0889
2015-10-20,0.0909,0.11,0.07,0.11,44700,0.11
2015-10-19,0.12,0.12,0.12,0.12,000,0.12
2015-10-16,0.12,0.12,0.12,0.12,000,0.12
2015-10-15,0.12,0.12,0.12,0.12,000,0.12
2015-10-14,0.10,0.12,0.0844,0.12,21500,0.12
2015-10-13,0.0701,0.119,0.0701,0.119,18600,0.119
2015-10-12,0.105,0.12,0.0903,0.12,7100,0.12
2015-10-09,0.0901,0.12,0.0901,0.12,5300,0.12
2015-10-08,0.11,0.11,0.11,0.11,1000,0.11
2015-10-07,0.0801,0.11,0.0801,0.0851,500,0.0851
2015-10-06,0.09,0.11,0.09,0.11,69300,0.11
2015-10-05,0.0511,0.09,0.0511,0.09,3000,0.09
2015-10-02,0.0894,0.095,0.0717,0.09,17900,0.09
2015-10-01,0.07,0.095,0.07,0.095,4600,0.095
2015-09-30,0.062,0.07,0.062,0.07,14000,0.07
2015-09-29,0.08,0.08,0.05,0.062,892500,0.062
2015-09-28,0.089,0.089,0.0751,0.08,36100,0.08
2015-09-25,0.089,0.089,0.089,0.089,10800,0.089
2015-09-24,0.089,0.089,0.0856,0.089,317200,0.089
2015-09-23,0.089,0.089,0.089,0.089,100000,0.089
2015-09-22,0.089,0.089,0.089,0.089,000,0.089
2015-09-21,0.089,0.089,0.085,0.089,36100,0.089
2015-09-18,0.08,0.08,0.073,0.08,58900,0.08
2015-09-17,0.09,0.09,0.0825,0.089,98700,0.089
2015-09-16,0.095,0.095,0.09,0.095,74300,0.095
2015-09-15,0.104,0.104,0.0891,0.095,12800,0.095
2015-09-14,0.10,0.104,0.0935,0.0935,55000,0.0935
2015-09-11,0.117,0.117,0.117,0.117,000,0.117
2015-09-10,0.117,0.117,0.117,0.117,8600,0.117
2015-09-09,0.12,0.12,0.117,0.117,52500,0.117
2015-09-08,0.101,0.101,0.09,0.101,227200,0.101
2015-09-04,0.101,0.1011,0.09,0.1011,31400,0.1011
2015-09-03,0.11,0.11,0.101,0.101,49000,0.101
2015-09-02,0.108,0.12,0.10,0.11,242100,0.11
2015-09-01,0.125,0.148,0.112,0.13,82700,0.13
2015-08-31,0.148,0.148,0.148,0.148,000,0.148
2015-08-28,0.147,0.15,0.124,0.148,6100,0.148
2015-08-27,0.143,0.145,0.124,0.145,3400,0.145
2015-08-26,0.13,0.155,0.12,0.124,50000,0.124
2015-08-25,0.15,0.15,0.15,0.15,500,0.15
2015-08-24,0.124,0.145,0.124,0.13,14300,0.13
2015-08-21,0.155,0.155,0.141,0.15,9000,0.15
2015-08-20,0.155,0.155,0.155,0.155,000,0.155
2015-08-19,0.131,0.155,0.131,0.155,5600,0.155
2015-08-18,0.15,0.15,0.15,0.15,1300,0.15
2015-08-17,0.13,0.155,0.13,0.131,8400,0.131
2015-08-14,0.14,0.14,0.14,0.14,4300,0.14
2015-08-13,0.155,0.155,0.155,0.155,2800,0.155
2015-08-12,0.14,0.15,0.123,0.14,71400,0.14
2015-08-11,0.14,0.158,0.13,0.15,49400,0.15
