Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-05,3.38,3.38,3.38,3.38,1600,3.38
2016-02-04,3.37,3.37,3.37,3.37,7500,3.37
2016-01-18,3.26,3.26,3.26,3.26,2000,3.26
2016-01-14,3.30,3.30,3.30,3.30,2000,3.30
2015-12-21,3.60,3.60,3.60,3.60,9900,3.60
2015-12-04,3.69,3.69,3.69,3.69,4000,3.69
2015-12-02,3.76,3.76,3.76,3.76,18000,3.76
2015-12-01,3.69,3.75,3.69,3.75,69000,3.75
2015-11-18,3.61,3.71,3.61,3.69,79000,3.69
2015-11-13,3.74,3.74,3.74,3.74,7000,3.74
2015-11-12,3.70,3.77,3.70,3.76,63000,3.76
2015-11-02,3.81,3.81,3.81,3.81,000,3.81
2015-10-30,3.83,3.83,3.83,3.83,000,3.83
2015-10-13,3.84,3.84,3.84,3.84,5100,3.84
2015-10-05,3.64,3.65,3.61,3.61,53200,3.61
2015-09-14,3.58,3.58,3.58,3.58,1400,3.58
2015-09-02,3.53,3.53,3.53,3.53,000,3.53
2015-08-24,3.40,3.41,3.40,3.41,300,3.41
2015-08-11,3.90,3.90,3.88,3.88,3600,3.88
2015-08-06,3.92,3.92,3.92,3.92,000,3.92
2015-08-03,3.92,3.92,3.92,3.92,000,3.92
2015-07-14,4.10,4.10,4.10,4.10,500,4.10
2015-07-10,4.09,4.09,4.08,4.08,300,4.08
2015-06-29,4.26,4.26,4.24,4.24,900,4.24
2015-06-03,4.45,4.45,4.45,4.45,2000,4.45
2015-05-28,4.49,4.49,4.49,4.49,000,4.49
2015-05-26,4.55,4.60,4.55,4.58,36000,4.58
2015-05-25,4.56,4.56,4.55,4.55,900,4.55
2015-05-22,4.55,4.55,4.55,4.55,000,4.55
2015-04-24,4.68,4.68,4.68,4.68,9000,4.68
2015-04-21,4.56,4.57,4.56,4.57,4300,4.57
2015-04-20,4.57,4.57,4.57,4.57,300,4.57
2015-04-17,4.64,4.64,4.64,4.64,100,4.64
2015-04-15,4.58,4.58,4.58,4.58,300,4.58
2015-04-14,4.61,4.61,4.61,4.61,100,4.61
2015-04-09,4.49,4.63,4.49,4.61,34000,4.61
2015-03-27,4.24,4.24,4.24,4.24,1900,4.24
2015-03-19,4.31,4.31,4.31,4.31,500,4.31
2015-03-11,4.16,4.16,4.16,4.16,1500,4.16
2015-02-26,4.28,4.28,4.28,4.28,100,4.28
2015-02-24,4.25,4.25,4.25,4.25,500,4.25
2015-02-13,4.25,4.25,4.25,4.25,12000,4.25
2015-01-27,4.26,4.26,4.26,4.26,4100,4.26
2015-01-05,4.09,4.09,4.09,4.09,5300,4.09
2014-12-24,4.06,4.06,4.06,4.06,000,4.06
2014-12-17,3.95,3.95,3.95,3.95,1100,3.95
2014-12-08,4.15,4.15,4.15,4.15,4000,4.15
2014-11-26,4.17,4.17,4.17,4.17,4000,4.17
2014-11-24,4.11,4.15,4.11,4.14,38000,4.14
2014-10-15,4.01,4.01,4.01,4.01,5000,4.01
2014-09-23,4.23,4.23,4.23,4.23,300,4.23
2014-09-19,4.28,4.28,4.28,4.28,000,4.28
2014-09-12,4.31,4.31,4.31,4.31,000,4.31
2014-09-10,4.34,4.34,4.34,4.34,400,4.34
2014-08-14,4.33,4.33,4.33,4.33,300,4.33
2014-08-12,4.28,4.28,4.28,4.28,2000,4.28
2014-08-08,4.22,4.22,4.22,4.22,000,4.22
2014-08-01,4.26,4.26,4.26,4.26,000,4.26
2014-07-18,4.22,4.22,4.22,4.22,000,4.22
2014-07-11,4.22,4.22,4.22,4.22,000,4.22
2014-06-19,4.14,4.14,4.14,4.14,5000,4.14
2014-06-16,4.14,4.14,4.14,4.14,11400,4.14
2014-06-10,4.16,4.17,4.16,4.17,26100,4.17
2014-06-09,4.12,4.12,4.12,4.12,17000,4.12
2014-06-06,4.13,4.13,4.13,4.13,000,4.13
2014-05-29,4.11,4.11,4.11,4.11,800,4.11
2014-05-15,4.03,4.03,4.03,4.03,4900,4.03
2014-05-14,4.01,4.02,4.01,4.01,29700,4.01
2014-05-07,3.91,3.91,3.91,3.91,000,3.91
2014-05-05,3.92,3.92,3.92,3.92,000,3.92
2014-05-02,3.94,3.94,3.94,3.94,100,3.94
2014-04-30,3.93,3.93,3.93,3.93,000,3.93
2014-04-28,3.93,3.93,3.93,3.93,000,3.93
2014-04-11,4.00,4.00,4.00,4.00,1000,4.00
2014-04-07,3.92,3.92,3.92,3.92,1000,3.92
2014-04-03,3.97,3.97,3.97,3.97,7500,3.97
2014-03-11,3.84,3.84,3.84,3.84,25100,3.84
2014-03-04,3.83,3.83,3.83,3.83,1900,3.83
2014-03-03,3.84,3.84,3.84,3.84,8000,3.84
2014-02-26,3.80,3.80,3.80,3.80,1000,3.80
2014-02-17,3.82,3.82,3.82,3.82,800,3.82
2014-02-05,3.64,3.64,3.64,3.64,3000,3.64
2014-02-03,3.71,3.71,3.71,3.71,8000,3.71
2014-01-20,3.84,3.84,3.84,3.84,2900,3.84
2014-01-07,3.81,3.81,3.81,3.81,17000,3.81
2013-12-23,3.89,3.89,3.89,3.89,800,3.89
2013-12-19,3.93,3.93,3.93,3.93,1500,3.93
2013-12-03,3.99,3.99,3.99,3.99,17000,3.99
2013-11-19,3.98,3.98,3.98,3.98,17000,3.98
2013-11-18,3.91,3.95,3.91,3.95,34000,3.95
2013-11-07,3.91,3.91,3.91,3.91,2400,3.91
2013-10-23,3.99,3.99,3.99,3.99,000,3.99
2013-10-17,3.98,3.98,3.98,3.98,000,3.98
2013-09-17,3.78,3.85,3.78,3.85,1400,3.85
2013-07-29,3.68,3.68,3.68,3.68,400,3.68
2013-07-08,3.90,3.90,3.55,3.55,200,3.55
2013-07-01,3.80,3.80,3.80,3.80,000,3.80
2013-05-29,3.90,3.90,3.90,3.90,10000,3.90
2013-05-23,3.90,3.90,3.90,3.90,100,3.90
2013-04-18,3.70,3.70,3.70,3.70,800,3.70
2013-04-15,3.90,3.90,3.75,3.75,300,3.75
2013-03-19,3.83,3.83,3.83,3.83,1000,3.83
2013-03-18,3.95,3.95,3.81,3.81,300,3.81
2013-02-26,3.89,3.89,3.89,3.89,2800,3.89
2013-02-19,3.93,3.93,3.93,3.93,2000,3.93
2013-02-15,3.93,3.93,3.93,3.93,5000,3.93
2013-02-13,4.00,4.00,3.93,3.93,2100,3.93
2013-02-04,3.95,3.95,3.95,3.95,1000,3.95
2013-02-01,3.92,3.92,3.92,3.92,10000,3.92
2013-01-23,3.97,3.98,3.97,3.98,25100,3.98
2013-01-22,3.98,3.98,3.98,3.98,2200,3.98
2013-01-21,3.98,3.98,3.98,3.98,7200,3.98
2013-01-17,3.93,3.93,3.93,3.93,1500,3.93
2013-01-10,3.97,3.97,3.97,3.97,7400,3.97
2013-01-02,3.98,3.98,3.98,3.98,15000,3.98
2012-11-30,3.70,3.70,3.70,3.70,1000,3.70
2012-07-30,3.40,3.40,3.40,3.40,1000,3.40
2012-06-27,3.30,3.33,3.30,3.33,34000,3.33
2012-06-25,3.31,3.31,3.31,3.31,34000,3.31
2012-06-08,3.27,3.27,3.27,3.27,50700,3.27
2012-05-11,3.50,3.50,3.50,3.50,1000,3.50
2012-05-02,3.73,3.73,3.73,3.73,000,3.73
2012-04-16,3.65,3.65,3.65,3.65,500,3.65
2012-04-13,3.69,3.69,3.69,3.69,2500,3.69
2012-04-03,3.73,3.73,3.73,3.73,600,3.73
2012-03-21,3.70,3.70,3.70,3.70,1000,3.70
2012-03-09,3.75,3.75,3.75,3.75,100,3.75
2012-02-27,3.75,3.75,3.75,3.75,2500,3.75
2012-02-21,3.79,3.79,3.79,3.79,2400,3.79
2012-02-20,3.79,3.79,3.79,3.79,100,3.79
2012-02-17,3.85,3.85,3.79,3.79,12000,3.79
2012-02-14,3.71,3.71,3.71,3.71,900,3.71
2012-02-10,3.72,3.72,3.72,3.72,800,3.72
2012-02-09,3.77,3.77,3.74,3.74,41000,3.74
2012-02-03,3.69,3.69,3.68,3.68,68000,3.68
2012-02-02,3.63,3.68,3.63,3.66,112000,3.66
2012-01-31,3.58,3.59,3.58,3.59,51000,3.59
2012-01-30,3.60,3.60,3.60,3.60,17000,3.60
2012-01-25,3.58,3.58,3.58,3.58,10000,3.58
2012-01-16,3.35,3.37,3.35,3.37,34000,3.37
2012-01-03,3.30,3.30,3.30,3.30,17000,3.30
2011-12-29,3.26,3.27,3.26,3.27,900,3.27
2011-12-13,3.28,3.28,3.28,3.28,10000,3.28
2011-12-12,3.36,3.36,3.32,3.32,27000,3.32
2011-12-05,3.40,3.40,3.40,3.40,17000,3.40
2011-12-01,3.39,3.39,3.39,3.39,2000,3.39
