Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-25,32.62,32.62,32.62,32.62,000,32.62
2015-12-24,32.62,32.62,32.62,32.62,000,32.62
2015-12-23,32.62,32.62,32.62,32.62,000,32.62
2015-12-22,32.62,32.62,32.62,32.62,000,32.62
2015-12-21,31.805,31.805,31.805,31.805,000,31.805
2015-12-18,31.415,31.415,31.415,31.415,000,31.415
2015-12-17,31.36,31.36,31.36,31.36,000,31.36
2015-12-16,31.36,31.36,31.36,31.36,000,31.36
2015-12-15,31.99,31.99,31.99,31.99,000,31.99
2015-12-14,32.05,32.05,31.99,31.99,000,31.99
2015-12-11,32.445,32.445,32.445,32.445,000,32.445
2015-12-10,32.445,32.445,32.445,32.445,000,32.445
2015-12-09,32.48,32.48,32.48,32.48,000,32.48
2015-12-08,32.60,32.60,32.60,32.60,000,32.60
2015-12-07,32.095,32.095,32.095,32.095,000,32.095
2015-12-04,31.985,31.985,31.985,31.985,000,31.985
2015-12-03,32.74,32.74,32.74,32.74,000,32.74
2015-12-02,32.71,32.71,32.71,32.71,000,32.71
2015-12-01,32.65,32.65,32.65,32.65,000,32.65
2015-11-30,32.65,32.65,32.65,32.65,000,32.65
2015-11-27,33.14,33.14,33.14,33.14,000,33.14
2015-11-26,33.76,33.76,33.76,33.76,000,33.76
2015-11-25,33.76,33.76,33.76,33.76,000,33.76
2015-11-24,33.995,33.995,33.995,33.995,000,33.995
2015-11-23,34.285,34.285,34.285,34.285,000,34.285
2015-11-20,34.285,34.285,34.285,34.285,000,34.285
2015-11-19,34.285,34.285,34.285,34.285,000,34.285
2015-11-18,34.725,34.725,34.725,34.725,000,34.725
2015-11-17,34.885,34.885,34.885,34.885,000,34.885
2015-11-16,34.885,34.885,34.885,34.885,000,34.885
2015-11-13,35.54,35.54,35.54,35.54,000,35.54
2015-11-12,35.54,35.54,35.54,35.54,000,35.54
2015-11-11,35.54,35.54,35.54,35.54,000,35.54
2015-11-10,34.83,34.83,34.83,34.83,000,34.83
2015-11-09,34.66,34.66,34.66,34.66,000,34.66
2015-11-06,34.505,34.505,34.505,34.505,000,34.505
2015-11-05,34.49,34.49,34.49,34.49,000,34.49
2015-11-04,34.29,34.29,34.29,34.29,000,34.29
2015-11-02,34.29,34.29,34.29,34.29,000,34.29
2015-10-30,34.29,34.29,34.29,34.29,000,34.29
2015-10-29,33.795,33.795,33.795,33.795,000,33.795
2015-10-28,33.935,33.94,33.79,33.795,500,33.795
2015-10-27,33.665,33.665,33.665,33.665,000,33.665
2015-10-26,33.35,33.91,33.35,33.91,100,33.91
2015-10-23,31.80,31.80,31.80,31.80,000,31.80
2015-10-22,31.78,31.78,31.78,31.78,000,31.78
2015-10-21,31.78,31.78,31.78,31.78,000,31.78
2015-10-20,31.795,31.795,31.795,31.795,000,31.795
2015-10-19,31.795,31.795,31.795,31.795,000,31.795
2015-10-16,31.795,31.795,31.795,31.795,000,31.795
2015-10-15,31.24,31.24,31.24,31.24,000,31.24
2015-10-14,31.24,31.24,31.24,31.24,000,31.24
2015-10-13,31.24,31.24,31.24,31.24,000,31.24
2015-10-12,30.29,30.29,30.29,30.29,000,30.29
2015-10-09,30.515,30.595,30.34,30.595,600,30.595
2015-10-08,31.075,31.075,31.075,31.075,000,31.075
2015-10-07,32.255,32.255,32.255,32.255,000,32.255
2015-10-06,32.735,32.735,32.735,32.735,000,32.735
2015-10-05,32.555,32.555,32.555,32.555,000,32.555
2015-10-02,31.875,31.875,31.875,31.875,000,31.875
2015-10-01,31.73,31.73,31.73,31.73,000,31.73
2015-09-30,31.335,31.335,31.335,31.335,000,31.335
2015-09-29,31.335,31.335,31.335,31.335,000,31.335
2015-09-28,33.045,33.045,33.045,33.045,000,33.045
2015-09-25,32.565,32.565,32.565,32.565,000,32.565
2015-09-24,31.67,31.67,31.67,31.67,000,31.67
2015-09-23,31.67,31.67,31.67,31.67,000,31.67
2015-09-22,31.67,31.67,31.67,31.67,000,31.67
2015-09-21,31.67,31.67,31.67,31.67,000,31.67
2015-09-18,31.67,31.67,31.67,31.67,000,31.67
2015-09-17,31.83,31.83,31.83,31.83,000,31.83
2015-09-16,31.495,31.495,31.495,31.495,000,31.495
2015-09-15,30.415,30.415,30.415,30.415,000,30.415
2015-09-14,30.415,30.415,30.415,30.415,000,30.415
2015-09-11,30.615,30.615,30.615,30.615,000,30.615
2015-09-10,30.81,30.81,30.81,30.81,000,30.81
2015-09-09,30.81,30.81,30.81,30.81,000,30.81
2015-09-08,29.80,29.80,29.80,29.80,000,29.80
2015-09-07,30.45,30.45,30.45,30.45,000,30.45
2015-09-04,30.45,30.45,30.45,30.45,000,30.45
2015-09-03,30.61,30.61,30.61,30.61,000,30.61
2015-09-02,30.61,30.61,30.61,30.61,000,30.61
2015-09-01,30.62,30.62,30.61,30.61,100,30.61
2015-08-31,31.785,31.785,31.785,31.785,000,31.785
2015-08-28,31.865,31.865,31.865,31.865,000,31.865
2015-08-27,31.865,31.865,31.865,31.865,000,31.865
2015-08-26,31.335,31.335,31.335,31.335,000,31.335
2015-08-25,30.075,30.075,30.075,30.075,000,30.075
2015-08-24,29.61,29.61,29.61,29.61,000,29.61
2015-08-21,31.96,31.96,31.96,31.96,000,31.96
2015-08-20,32.96,32.96,32.96,32.96,000,32.96
2015-08-19,33.115,33.115,33.115,33.115,000,33.115
2015-08-18,33.945,33.945,33.945,33.945,000,33.945
2015-08-17,34.115,34.115,34.115,34.115,000,34.115
2015-08-14,33.705,33.89,33.705,33.89,300,33.89
2015-08-13,33.105,33.105,33.105,33.105,000,33.105
2015-08-12,33.37,33.37,33.37,33.37,000,33.37
2015-08-11,34.17,34.17,34.17,34.17,000,34.17
2015-08-10,35.315,35.315,35.315,35.315,000,35.315
2015-08-07,34.725,34.725,34.725,34.725,000,34.725
2015-08-06,35.295,35.295,35.295,35.295,000,35.295
2015-08-05,35.795,35.795,35.795,35.795,000,35.795
2015-08-04,35.425,35.425,35.425,35.425,000,35.425
2015-08-03,34.735,34.735,34.735,34.735,000,34.735
2015-07-31,34.39,34.39,34.39,34.39,000,34.39
2015-07-30,33.675,33.675,33.675,33.675,000,33.675
2015-07-29,33.22,33.22,33.22,33.22,000,33.22
2015-07-28,33.33,33.33,33.33,33.33,000,33.33
2015-07-27,33.57,33.57,33.57,33.57,000,33.57
2015-07-24,34.025,34.025,34.025,34.025,000,34.025
2015-07-23,34.51,34.51,34.51,34.51,000,34.51
2015-07-22,34.065,34.065,34.065,34.065,000,34.065
