Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.30,0.35,0.30,0.35,153800,0.35
2016-03-31,0.30,0.35,0.30,0.35,9600,0.35
2016-03-30,0.35,0.35,0.30,0.35,26200,0.35
2016-03-29,0.30,0.35,0.30,0.35,205600,0.35
2016-03-28,0.35,0.35,0.30,0.35,914300,0.35
2016-03-25,0.30,0.30,0.30,0.30,000,0.30
2016-03-24,0.30,0.30,0.30,0.30,000,0.30
2016-03-23,0.30,0.35,0.25,0.30,344700,0.30
2016-03-22,0.30,0.35,0.30,0.30,92000,0.30
2016-03-21,0.30,0.35,0.30,0.30,21700,0.30
2016-03-18,0.30,0.40,0.30,0.30,678400,0.30
2016-03-17,0.30,0.35,0.30,0.35,30600,0.35
2016-03-16,0.30,0.35,0.30,0.35,12500,0.35
2016-03-15,0.35,0.35,0.30,0.35,108700,0.35
2016-03-14,0.35,0.35,0.30,0.35,134200,0.35
2016-03-11,0.30,0.35,0.30,0.30,21100,0.30
2016-03-10,0.35,0.35,0.30,0.30,40000,0.30
2016-03-09,0.35,0.40,0.30,0.35,583200,0.35
2016-03-08,0.35,0.35,0.35,0.35,61400,0.35
2016-03-07,0.40,0.40,0.40,0.40,000,0.40
2016-03-04,0.35,0.40,0.35,0.40,121900,0.40
2016-03-03,0.35,0.40,0.35,0.40,34100,0.40
2016-03-02,0.30,0.35,0.30,0.35,179500,0.35
2016-03-01,0.30,0.35,0.30,0.35,13700,0.35
2016-02-29,0.30,0.35,0.30,0.35,2900,0.35
2016-02-26,0.30,0.35,0.30,0.35,24300,0.35
2016-02-25,0.30,0.35,0.30,0.30,22700,0.30
2016-02-24,0.30,0.35,0.30,0.35,84500,0.35
2016-02-23,0.35,0.35,0.30,0.30,10300,0.30
2016-02-22,0.30,0.35,0.30,0.35,28500,0.35
2016-02-19,0.30,0.35,0.30,0.30,49300,0.30
2016-02-18,0.35,0.35,0.30,0.30,62600,0.30
2016-02-17,0.30,0.35,0.30,0.35,17000,0.35
2016-02-16,0.30,0.35,0.30,0.30,2100,0.30
2016-02-15,0.30,0.35,0.30,0.30,37900,0.30
2016-02-12,0.30,0.35,0.30,0.30,27300,0.30
2016-02-11,0.30,0.35,0.30,0.35,21400,0.35
2016-02-10,0.35,0.35,0.30,0.30,37300,0.30
2016-02-09,0.35,0.40,0.30,0.35,78700,0.35
2016-02-08,0.40,0.40,0.30,0.35,116600,0.35
2016-02-05,0.40,0.40,0.35,0.35,60000,0.35
2016-02-04,0.35,0.40,0.30,0.40,171100,0.40
2016-02-03,0.35,0.40,0.30,0.35,71700,0.35
2016-02-02,0.35,0.40,0.35,0.35,37500,0.35
2016-02-01,0.40,0.40,0.35,0.35,186000,0.35
2016-01-29,0.35,0.40,0.35,0.35,7400,0.35
2016-01-28,0.40,0.40,0.35,0.40,10800,0.40
