Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,18.90,18.90,18.45,18.50,7300,18.50
2016-03-31,18.75,19.00,18.45,18.80,30300,18.80
2016-03-30,18.00,18.50,17.90,18.45,12800,18.45
2016-03-29,18.00,18.90,17.50,18.00,17500,18.00
2016-03-28,19.00,19.00,17.55,17.90,15300,17.90
2016-03-25,18.00,18.00,18.00,18.00,000,18.00
2016-03-24,18.00,18.00,18.00,18.00,000,18.00
2016-03-23,18.20,18.20,17.20,18.00,37400,18.00
2016-03-22,19.00,19.00,17.00,18.40,52600,18.40
2016-03-21,17.50,19.00,17.00,18.60,192200,18.60
2016-03-18,15.30,17.20,15.30,17.00,139000,17.00
2016-03-17,15.30,15.40,15.20,15.30,16400,15.30
2016-03-16,14.50,15.90,14.50,15.25,40000,15.25
2016-03-15,14.45,14.45,14.00,14.00,2000,14.00
2016-03-14,14.10,14.20,14.10,14.10,15100,14.10
2016-03-11,14.60,14.60,14.15,14.15,9800,14.15
2016-03-10,14.90,15.00,14.40,14.85,12300,14.85
2016-03-09,14.70,14.90,14.20,14.90,22400,14.90
2016-03-08,15.20,15.20,14.50,14.60,12300,14.60
2016-03-07,15.10,15.30,14.50,15.00,13100,15.00
2016-03-04,15.00,15.40,14.80,15.15,21900,15.15
2016-03-03,14.65,15.00,14.65,14.95,26400,14.95
2016-03-02,14.90,15.00,14.60,14.65,9300,14.65
2016-03-01,15.00,15.00,14.70,14.70,12200,14.70
2016-02-29,14.20,14.90,14.20,14.50,13800,14.50
2016-02-26,15.50,15.50,14.50,14.50,7600,14.50
2016-02-25,13.85,15.00,13.85,15.00,23900,15.00
2016-02-24,13.10,13.85,13.10,13.80,3000,13.80
2016-02-23,13.25,13.60,13.25,13.60,2700,13.60
2016-02-22,13.50,13.50,13.35,13.35,27600,13.35
2016-02-19,13.35,13.35,13.35,13.35,7300,13.35
2016-02-18,13.30,13.50,13.30,13.50,18400,13.50
2016-02-17,12.80,13.30,12.80,13.10,10500,13.10
2016-02-16,13.10,13.20,13.10,13.20,4400,13.20
2016-02-15,12.80,13.10,12.80,13.10,700,13.10
2016-02-12,12.60,13.10,12.60,12.75,14700,12.75
2016-02-11,12.25,12.25,12.25,12.25,1400,12.25
2016-02-10,12.00,12.15,12.00,12.15,4400,12.15
2016-02-09,12.40,12.40,12.40,12.40,000,12.40
2016-02-08,12.40,12.40,12.40,12.40,000,12.40
2016-02-05,12.40,12.40,12.40,12.40,800,12.40
2016-02-04,12.60,12.60,12.00,12.45,8900,12.45
2016-02-03,12.60,12.60,12.60,12.60,2700,12.60
2016-02-02,13.20,13.20,12.60,12.80,10200,12.80
2016-02-01,12.30,13.00,12.30,13.00,4200,13.00
2016-01-29,12.50,12.50,12.20,12.40,11100,12.40
2016-01-28,12.40,12.40,12.00,12.00,3800,12.00
2016-01-27,12.10,12.15,12.10,12.15,1600,12.15
2016-01-26,11.90,12.00,11.90,11.95,3300,11.95
2016-01-25,12.00,12.00,12.00,12.00,700,12.00
2016-01-22,12.10,12.10,12.00,12.10,8100,12.10
2016-01-21,11.40,11.70,11.40,11.50,3400,11.50
2016-01-20,12.35,12.35,11.50,11.50,900,11.50
2016-01-19,12.40,12.40,12.40,12.40,4000,12.40
2016-01-18,11.80,11.90,11.80,11.90,2200,11.90
2016-01-15,12.00,12.00,11.30,12.00,9500,12.00
2016-01-14,11.90,12.50,11.90,12.30,4400,12.30
2016-01-13,12.20,12.20,12.00,12.00,6600,12.00
2016-01-12,12.60,12.60,12.10,12.10,10400,12.10
2016-01-11,13.30,13.30,12.80,12.85,10000,12.85
2016-01-08,12.70,13.30,12.70,13.30,3200,13.30
2016-01-07,13.00,13.00,12.80,12.80,2300,12.80
2016-01-06,12.25,13.00,12.25,13.00,5800,13.00
2016-01-05,13.00,13.00,12.50,12.90,9800,12.90
2016-01-04,12.50,13.20,12.00,13.20,14600,13.20
2016-01-01,13.00,13.00,13.00,13.00,000,13.00
2015-12-31,13.00,13.00,13.00,13.00,000,13.00
2015-12-30,13.30,13.30,13.00,13.00,5300,13.00
2015-12-29,13.30,13.30,12.70,13.00,3400,13.00
2015-12-28,13.00,13.00,12.10,12.50,10000,12.50
2015-12-25,13.00,13.00,13.00,13.00,000,13.00
2015-12-24,13.00,13.00,13.00,13.00,000,13.00
2015-12-23,13.00,13.30,13.00,13.00,6400,13.00
2015-12-22,12.90,12.95,12.70,12.90,14900,12.90
2015-12-21,13.50,13.50,12.50,12.90,12600,12.90
2015-12-18,13.90,14.00,12.95,12.95,5900,12.95
2015-12-17,14.10,14.10,13.75,13.75,6500,13.75
2015-12-16,13.95,14.30,13.75,13.75,2900,13.75
2015-12-15,14.00,14.00,13.30,13.50,10600,13.50
2015-12-14,14.50,14.50,13.90,14.00,20300,14.00
2015-12-11,14.20,14.20,14.20,14.20,5900,14.20
2015-12-10,14.30,14.40,13.90,14.20,24700,14.20
2015-12-09,13.80,14.00,13.65,13.80,28100,13.80
2015-12-08,13.10,13.10,13.10,13.10,000,13.10
2015-12-07,13.10,13.10,13.10,13.10,000,13.10
2015-12-04,13.00,13.10,12.55,13.10,4200,13.10
2015-12-03,13.55,13.55,12.90,12.90,12500,12.90
