Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,2.93725,2.93725,2.93725,2.93725,000,2.93725
2016-03-31,2.93,2.937,2.93,2.945,39200,2.945
2016-03-30,2.92,2.9359,2.92,2.935,69400,2.935
2016-03-29,2.90,2.9088,2.90,2.91,48000,2.91
2016-03-28,2.91006,2.91006,2.91006,2.91006,000,2.91006
2016-03-25,2.91455,2.91455,2.91455,2.91455,000,2.91455
2016-03-24,2.93,2.93018,2.89023,2.915,62500,2.915
2016-03-23,2.93,2.9418,2.93,2.93,10600,2.93
2016-03-22,2.96749,2.96749,2.96749,2.96749,000,2.96749
2016-03-21,2.80,2.8175,2.775,2.815,31700,2.815
2016-03-18,2.7625,2.78788,2.7625,2.775,1800,2.775
2016-03-17,2.94319,2.94319,2.94319,2.94319,000,2.94319
2016-03-16,2.95328,2.95328,2.95328,2.95328,000,2.95328
2016-03-15,2.93866,2.93866,2.93866,2.93866,000,2.93866
2016-03-14,2.93527,2.93527,2.93527,2.93527,000,2.93527
2016-03-11,2.8525,2.85328,2.8525,2.865,7000,2.865
2016-03-10,2.87066,2.87066,2.87066,2.87066,000,2.87066
2016-03-09,2.91089,2.91089,2.91089,2.91089,000,2.91089
2016-03-08,2.8508,2.8525,2.8508,2.89,4200,2.89
2016-03-07,2.93607,2.93607,2.93607,2.93607,000,2.93607
2016-03-04,2.85328,2.88428,2.8525,2.89,4300,2.89
2016-03-03,2.92244,2.92244,2.92244,2.92244,000,2.92244
2016-03-02,2.87,2.885,2.84318,2.875,17900,2.875
2016-03-01,2.94149,2.94149,2.94149,2.94149,000,2.94149
2016-02-29,2.88365,2.88365,2.88365,2.88365,000,2.88365
2016-02-26,2.8275,2.8275,2.8275,2.8275,2000,2.8275
2016-02-25,2.87483,2.87483,2.87483,2.87483,000,2.87483
2016-02-24,2.80,2.8075,2.75341,2.8075,33600,2.8075
2016-02-23,2.83,2.8382,2.83,2.835,12000,2.835
2016-02-22,2.87267,2.87267,2.87267,2.87267,000,2.87267
2016-02-19,2.75,2.7646,2.74,2.77,8700,2.77
2016-02-18,2.71,2.71,2.68459,2.73,6400,2.73
2016-02-17,2.81289,2.81289,2.81289,2.81289,000,2.81289
2016-02-16,2.75495,2.75495,2.75495,2.75495,000,2.75495
2016-02-15,2.67,2.67,2.65,2.67,2900,2.67
2016-02-12,2.6579,2.6579,2.6579,2.6579,000,2.6579
2016-02-11,2.62041,2.62041,2.62041,2.62041,000,2.62041
2016-02-10,2.66004,2.66004,2.66004,2.66004,000,2.66004
2016-02-09,2.7025,2.7875,2.67,2.73,15300,2.73
2016-02-08,2.7525,2.7525,2.7325,2.775,2300,2.775
2016-02-05,2.7525,2.7525,2.7525,2.795,13600,2.795
2016-02-04,2.80808,2.80808,2.80808,2.80808,000,2.80808
2016-02-03,2.78,2.81,2.7525,2.785,8400,2.785
2016-02-02,2.82858,2.82858,2.82858,2.82858,000,2.82858
2016-02-01,2.87512,2.87512,2.87512,2.87512,000,2.87512
2016-01-29,2.80,2.8004,2.80,2.845,7100,2.845
2016-01-28,2.78,2.78,2.73552,2.77,13800,2.77
2016-01-27,2.86241,2.86241,2.86241,2.86241,000,2.86241
2016-01-26,2.7612,2.795,2.76,2.81,23200,2.81
2016-01-25,2.79,2.7975,2.7711,2.8075,200,2.8075
2016-01-22,2.765,2.765,2.765,2.7975,1000,2.7975
2016-01-21,2.77581,2.77581,2.77581,2.77581,000,2.77581
2016-01-20,2.74,2.75125,2.7025,2.75625,3500,2.75625
2016-01-19,2.80,2.80,2.7825,2.81,17200,2.81
2016-01-18,2.76,2.77925,2.75,2.77,12800,2.77
2016-01-15,2.85,2.86071,2.76,2.805,15300,2.805
2016-01-14,2.9025,2.9025,2.90,2.9075,4700,2.9075
2016-01-13,2.89686,2.89686,2.89686,2.89686,000,2.89686
2016-01-12,2.91723,2.91723,2.91723,2.91723,000,2.91723
2016-01-11,2.9475,2.9475,2.9075,2.955,3000,2.955
2016-01-08,2.925,2.925,2.925,2.935,1700,2.935
2016-01-07,2.91879,2.91879,2.91879,2.91879,000,2.91879
2016-01-06,2.9843,2.9843,2.9843,2.9843,000,2.9843
2016-01-05,3.00844,3.00844,3.00844,3.00844,000,3.00844
2016-01-04,2.97,2.9711,2.97,2.9875,2700,2.9875
2016-01-01,3.0674,3.0674,3.0674,3.0674,000,3.0674
2015-12-31,3.00,3.0125,3.00,3.00,1400,3.00
2015-12-30,3.00,3.00,3.00,3.01,5500,3.01
2015-12-29,2.99,3.005,2.99,3.01,7100,3.01
2015-12-24,3.005,3.005,3.005,3.005,000,3.005
2015-12-23,2.96,2.99,2.96,3.005,5500,3.005
2015-12-22,2.99249,2.99249,2.99249,2.99249,000,2.99249
2015-12-21,2.98098,2.98098,2.98098,2.98098,000,2.98098
2015-12-18,2.96075,2.96075,2.96,2.98,19400,2.98
2015-12-17,2.96,2.96075,2.96,2.98,9600,2.98
2015-12-16,2.92,2.92,2.92,2.955,000,2.955
2015-12-15,2.96554,2.96554,2.96554,2.96554,000,2.96554
2015-12-14,2.91366,2.91366,2.91366,2.91366,000,2.91366
2015-12-11,2.9525,3.00625,2.95,2.95,11100,2.95
2015-12-10,2.98481,2.98481,2.98481,2.98481,000,2.98481
2015-12-09,2.98781,2.98781,2.98781,2.98781,000,2.98781
2015-12-08,3.0146,3.0146,3.0146,3.0146,000,3.0146
2015-12-07,3.04848,3.04848,3.04848,3.04848,000,3.04848
