Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,41.00,42.50,41.00,42.50,168000,42.50
2016-03-31,41.00,41.74,41.00,41.00,33800,41.00
2016-03-30,42.00,42.00,40.76,41.00,293800,41.00
2016-03-29,42.25,42.99,41.50,41.50,91800,41.50
2016-03-28,43.00,43.00,43.00,43.00,000,43.00
2016-03-24,43.00,44.88,42.825,43.00,87400,43.00
2016-03-23,48.00,48.50,43.62,44.50,232000,44.50
2016-03-22,43.00,48.00,43.00,47.00,358000,47.00
2016-03-21,42.00,42.00,41.00,41.00,23700,41.00
2016-03-18,41.00,42.00,41.00,42.00,6300,42.00
2016-03-17,41.00,41.00,41.00,41.00,3300,41.00
2016-03-16,41.00,41.26,41.00,41.00,6600,41.00
2016-03-15,41.00,41.50,41.00,41.50,236300,41.50
2016-03-14,41.75,42.50,41.00,41.25,73600,41.25
2016-03-11,41.00,41.00,41.00,41.00,44100,41.00
2016-03-10,41.00,41.22,41.00,41.00,200,41.00
2016-03-09,41.00,42.50,41.00,42.00,95600,42.00
2016-03-08,41.50,42.25,41.50,42.25,41500,42.25
2016-03-07,41.00,43.00,41.00,43.00,7500,43.00
2016-03-04,41.75,42.48,41.50,41.75,66000,41.75
2016-03-03,42.75,42.75,42.10,42.75,14300,42.75
2016-03-02,43.00,43.52,42.00,42.00,15200,42.00
2016-03-01,43.75,44.58,43.00,43.00,15700,43.00
2016-02-29,43.50,44.00,43.50,44.00,5400,44.00
2016-02-26,46.00,46.00,43.50,45.00,15700,45.00
2016-02-25,46.50,46.50,46.00,46.50,10700,46.50
2016-02-24,47.50,47.50,46.00,46.00,37800,46.00
2016-02-23,45.50,47.50,43.50,47.00,149600,47.00
2016-02-22,45.50,46.00,45.26,45.50,474300,45.50
2016-02-19,45.00,46.00,44.00,44.125,32600,44.125
2016-02-18,45.00,45.50,42.75,44.00,113200,44.00
2016-02-17,45.00,46.00,43.00,43.75,559400,43.75
2016-02-16,46.00,46.00,44.00,43.875,16700,43.875
2016-02-15,44.00,47.25,43.45,44.25,1228600,44.25
2016-02-12,42.00,43.52,41.89,42.00,113700,42.00
2016-02-11,41.00,41.938,39.00,40.50,195600,40.50
2016-02-10,39.50,40.91,39.50,39.75,13100,39.75
2016-02-09,41.00,41.05,39.50,39.50,19000,39.50
2016-02-08,39.25,40.50,39.25,40.00,127200,40.00
2016-02-05,40.25,41.00,39.50,40.375,17000,40.375
2016-02-04,41.50,41.50,39.00,40.125,103100,40.125
2016-02-03,38.50,42.75,36.50,41.00,1002000,41.00
2016-02-02,36.50,36.50,36.30,36.50,300,36.50
2016-02-01,35.50,37.75,35.50,36.50,143900,36.50
2016-01-29,37.00,37.00,35.25,35.25,74300,35.25
2016-01-28,38.25,38.25,37.00,37.00,59600,37.00
2016-01-27,38.25,38.62,37.25,38.25,125700,38.25
2016-01-26,38.00,38.00,37.25,38.375,52700,38.375
2016-01-25,38.50,38.90,38.00,38.75,20800,38.75
2016-01-22,40.00,40.00,38.00,38.25,29400,38.25
2016-01-21,38.50,39.40,38.25,38.875,8200,38.875
2016-01-20,40.375,40.375,38.47,39.25,21200,39.25
2016-01-19,37.50,40.36,37.50,40.00,75300,40.00
2016-01-18,39.00,39.00,35.00,35.625,58700,35.625
2016-01-15,39.25,40.00,37.25,37.75,171600,37.75
2016-01-14,40.50,41.125,40.00,40.00,97500,40.00
2016-01-13,44.00,44.00,41.65,43.00,27000,43.00
2016-01-12,42.25,44.00,42.25,44.00,81100,44.00
2016-01-11,42.75,43.25,41.50,41.50,22900,41.50
2016-01-08,43.75,44.088,43.00,43.25,44900,43.25
2016-01-07,47.50,47.65,43.75,44.75,34100,44.75
2016-01-06,47.50,47.75,47.50,47.75,4200,47.75
2016-01-05,50.00,50.00,49.00,49.00,300100,49.00
2016-01-04,49.00,49.049,47.50,49.50,25600,49.50
2015-12-31,50.00,50.375,50.00,50.375,226100,50.375
2015-12-30,52.50,52.50,50.00,50.00,149300,50.00
2015-12-29,51.50,51.50,51.50,51.875,92900,51.875
2015-12-28,52.00,52.00,52.00,52.00,000,52.00
2015-12-25,52.00,52.00,52.00,52.00,000,52.00
2015-12-24,52.24,52.24,51.50,52.00,300,52.00
2015-12-23,50.50,53.75,50.50,53.00,259400,53.00
2015-12-22,50.75,51.00,49.50,50.50,33800,50.50
2015-12-21,50.00,52.00,50.00,50.75,24000,50.75
2015-12-18,50.00,50.00,49.50,49.50,23900,49.50
2015-12-17,47.00,49.00,47.00,49.00,32100,49.00
2015-12-16,44.50,48.00,44.50,47.75,27400,47.75
