Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,9.09,9.09,9.09,9.09,000,9.09
2016-03-31,9.56,9.56,9.56,9.56,000,9.56
2016-03-30,9.56,9.56,9.56,9.56,000,9.56
2016-03-29,9.56,9.56,9.56,9.56,7500,9.56
2016-03-28,9.56,9.56,9.56,9.56,000,9.56
2016-03-25,9.56,9.56,9.56,9.56,000,9.56
2016-03-24,9.56,9.56,9.56,9.56,000,9.56
2016-03-23,9.56,9.56,9.56,9.56,000,9.56
2016-03-22,9.56,9.56,9.56,9.56,40000,9.56
2016-03-21,9.56,9.56,9.56,9.56,000,9.56
2016-03-18,9.56,9.56,9.56,9.56,000,9.56
2016-03-17,9.56,9.56,9.56,9.56,000,9.56
2016-03-16,9.56,9.56,9.56,9.56,1100,9.56
2016-03-15,9.56,9.56,9.56,9.56,000,9.56
2016-03-14,9.56,9.56,9.56,9.56,000,9.56
2016-03-11,9.56,9.56,9.56,9.56,000,9.56
2016-03-10,9.56,9.56,9.56,9.56,000,9.56
2016-03-09,9.56,9.56,9.56,9.56,6100,9.56
2016-03-08,9.56,9.56,9.56,9.56,000,9.56
2016-03-07,9.56,9.56,9.56,9.56,000,9.56
2016-03-04,9.56,9.56,9.56,9.56,500,9.56
2016-03-03,9.78,9.78,9.78,9.78,4500,9.78
2016-03-02,10.29,10.29,10.29,10.29,1000,10.29
2016-03-01,10.83,10.83,10.83,10.83,300,10.83
2016-02-29,11.40,11.40,11.40,11.40,500,11.40
2016-02-26,11.95,11.95,11.95,11.95,000,11.95
2016-02-25,12.55,12.55,12.55,12.55,000,12.55
2016-02-24,13.20,13.20,13.20,13.20,000,13.20
2016-02-23,13.20,13.20,13.20,13.20,000,13.20
2016-02-22,13.85,13.85,13.85,13.85,000,13.85
2016-02-19,13.85,13.85,13.85,13.85,000,13.85
2016-02-18,13.85,13.85,13.85,13.85,000,13.85
2016-02-17,13.85,13.85,13.85,13.85,000,13.85
2016-02-16,13.85,13.85,13.85,13.85,1000,13.85
2016-02-15,14.55,14.55,14.55,14.55,000,14.55
2016-02-12,15.30,15.30,15.30,15.30,000,15.30
2016-02-11,15.30,15.30,15.30,15.30,300,15.30
2016-02-10,16.10,16.10,16.10,16.10,000,16.10
2016-02-09,16.10,16.10,16.10,16.10,000,16.10
2016-02-08,16.10,16.10,16.10,16.10,100,16.10
