Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,7.41,7.43,7.35,7.36,413800,7.36
2016-03-31,7.45,7.47,7.40,7.40,517000,7.40
2016-03-30,7.59,7.59,7.43,7.43,574300,7.43
2016-03-29,7.67,7.72,7.43,7.51,1105000,7.51
2016-03-28,7.48,7.95,7.48,7.62,5096000,7.62
2016-03-25,7.51,7.56,7.47,7.47,383000,7.47
2016-03-24,7.42,7.56,7.41,7.47,395400,7.47
2016-03-23,7.60,7.64,7.42,7.42,641700,7.42
2016-03-22,7.76,7.78,7.60,7.60,536200,7.60
2016-03-21,7.75,7.85,7.72,7.76,782000,7.76
2016-03-18,7.77,7.82,7.73,7.74,524300,7.74
2016-03-17,7.77,7.80,7.72,7.74,520900,7.74
2016-03-16,7.72,7.76,7.70,7.72,485400,7.72
2016-03-15,7.89,8.01,7.70,7.71,2810900,7.71
2016-03-14,7.60,7.68,7.60,7.62,442500,7.62
2016-03-11,7.71,7.78,7.62,7.62,609100,7.62
2016-03-10,7.80,7.96,7.69,7.69,2426900,7.69
2016-03-09,7.81,8.29,7.78,8.17,6589500,8.17
2016-03-08,7.73,7.87,7.72,7.78,626400,7.78
2016-03-07,7.77,7.88,7.74,7.75,848400,7.75
2016-03-04,7.79,7.87,7.72,7.78,726400,7.78
2016-03-03,7.81,7.92,7.75,7.78,1080100,7.78
2016-03-02,7.83,7.85,7.75,7.77,633200,7.77
2016-03-01,7.75,7.84,7.72,7.78,965200,7.78
2016-02-29,7.73,7.78,7.70,7.72,467800,7.72
2016-02-26,7.82,7.87,7.70,7.71,651700,7.71
2016-02-25,7.77,7.94,7.74,7.78,1507700,7.78
2016-02-24,7.94,7.96,7.70,7.70,824800,7.70
2016-02-23,7.90,8.15,7.86,7.91,2421200,7.91
2016-02-22,7.89,8.04,7.77,7.90,2445600,7.90
2016-02-19,7.83,7.93,7.76,7.78,1451400,7.78
2016-02-18,7.67,7.97,7.60,7.82,1963500,7.82
2016-02-17,7.60,7.90,7.48,7.69,2095000,7.69
2016-02-16,8.13,8.14,7.60,7.60,1622500,7.60
2016-02-15,7.72,8.29,7.32,8.12,3399400,8.12
2016-02-12,7.98,8.06,7.62,7.67,1507500,7.67
2016-02-11,8.45,8.61,7.93,7.93,3477000,7.93
