Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.538,0.538,0.50,0.525,615500,0.525
2016-03-31,0.54,0.54,0.511,0.55,555500,0.55
2016-03-30,0.552,0.60,0.51,0.55,2049800,0.55
2016-03-29,0.552,0.628,0.552,0.60,187300,0.60
2016-03-28,0.60,0.60,0.60,0.60,000,0.60
2016-03-24,0.61,0.61,0.552,0.60,233200,0.60
2016-03-23,0.561,0.628,0.552,0.60,557600,0.60
2016-03-22,0.62,0.635,0.55,0.60,899300,0.60
2016-03-21,0.605,0.605,0.60,0.65,375000,0.65
2016-03-18,0.65,0.65,0.53,0.65,2541100,0.65
2016-03-17,0.737,0.737,0.651,0.675,1954100,0.675
2016-03-16,0.706,0.738,0.70,0.725,215700,0.725
2016-03-15,0.76,0.76,0.70,0.725,406200,0.725
2016-03-14,0.72,0.775,0.701,0.75,604700,0.75
2016-03-11,0.734,0.74,0.70,0.725,1764800,0.725
2016-03-10,0.73,0.734,0.705,0.725,1586100,0.725
2016-03-09,0.815,0.815,0.75,0.775,605800,0.775
2016-03-08,0.80,0.80,0.80,0.825,250000,0.825
2016-03-07,0.766,0.82,0.75,0.85,994000,0.85
2016-03-04,0.80,0.80,0.80,0.85,219600,0.85
2016-03-03,0.86,0.86,0.805,0.85,161000,0.85
2016-03-02,0.76,0.89,0.751,0.85,3121200,0.85
2016-03-01,0.80,0.80,0.75,0.775,834100,0.775
2016-02-29,0.83,0.83,0.768,0.775,682400,0.775
2016-02-26,0.80,0.83,0.83,0.80,98100,0.80
2016-02-25,0.775,0.83,0.755,0.80,410400,0.80
2016-02-24,0.85,0.83,0.765,0.775,906200,0.775
2016-02-23,0.85,0.835,0.80,0.85,228000,0.85
2016-02-22,0.85,0.84,0.80,0.85,162400,0.85
2016-02-19,0.865,0.865,0.801,0.85,408000,0.85
2016-02-18,0.80,0.85,0.80,0.85,581300,0.85
2016-02-17,0.806,0.806,0.80,0.85,538300,0.85
2016-02-16,0.90,0.935,0.805,0.85,242600,0.85
2016-02-15,0.825,0.97,0.75,0.95,3723000,0.95
2016-02-12,0.717,0.89,0.717,0.90,1472800,0.90
2016-02-11,0.75,0.75,0.70,0.75,4684500,0.75
2016-02-10,0.80,0.80,0.755,0.775,779200,0.775
2016-02-09,0.85,0.85,0.80,0.85,760900,0.85
2016-02-08,0.85,0.85,0.85,0.85,10000,0.85
2016-02-05,0.80,0.80,0.80,0.85,41400,0.85
2016-02-04,0.80,0.80,0.80,0.85,9800,0.85
