Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,10.70,10.84,10.70,10.77,30600,10.77
2016-03-31,10.89,10.90,10.81,10.87,50100,10.87
2016-03-30,10.91,11.00,10.70,10.80,431500,10.80
2016-03-29,10.77,10.95,10.71,10.89,68600,10.89
2016-03-28,10.69,10.85,10.69,10.84,68000,10.84
2016-03-24,10.69,10.77,10.64,10.71,122700,10.71
2016-03-23,10.35,10.69,10.35,10.59,39100,10.59
2016-03-22,10.07,10.16,10.06,10.07,66900,10.07
2016-03-21,10.22,10.28,10.20,10.27,74800,10.27
2016-03-18,10.40,10.42,10.32,10.37,77600,10.37
2016-03-17,10.33,10.49,10.32,10.44,41200,10.44
2016-03-16,10.06,10.34,10.06,10.25,50000,10.25
2016-03-15,10.09,10.19,10.07,10.13,39300,10.13
2016-03-14,10.08,10.20,10.08,10.14,26200,10.14
2016-03-11,9.86,10.03,9.86,10.01,56200,10.01
2016-03-10,9.85,9.92,9.75,9.88,60200,9.88
2016-03-09,9.97,10.03,9.91,10.02,92300,10.02
2016-03-08,9.92,9.95,9.81,9.85,161800,9.85
2016-03-07,9.74,10.05,9.73,9.99,264900,9.99
2016-03-04,9.78,9.91,9.78,9.84,42000,9.84
2016-03-03,9.75,9.80,9.70,9.74,238400,9.74
2016-03-02,9.76,9.87,9.74,9.86,74600,9.86
2016-03-01,9.57,9.76,9.57,9.72,97600,9.72
2016-02-29,9.38,9.49,9.30,9.40,90900,9.40
2016-02-26,9.56,9.56,9.22,9.46,69700,9.46
2016-02-25,9.32,9.49,9.26,9.41,65100,9.41
2016-02-24,9.23,9.30,9.14,9.30,53800,9.30
2016-02-23,9.47,9.53,9.38,9.40,49300,9.40
2016-02-22,9.61,9.65,9.50,9.58,48700,9.58
2016-02-19,9.89,10.00,9.82,10.00,39300,10.00
2016-02-18,9.89,10.10,9.89,9.96,64700,9.96
2016-02-17,9.74,10.04,9.73,10.01,93900,10.01
2016-02-16,9.64,9.79,9.60,9.79,119900,9.79
2016-02-12,9.54,9.75,9.49,9.73,41200,9.73
2016-02-11,9.41,9.47,9.31,9.45,57900,9.45
2016-02-10,9.51,9.59,9.44,9.53,188700,9.53
2016-02-09,9.33,9.49,9.33,9.46,1047700,9.46
2016-02-08,9.32,9.36,9.22,9.32,112300,9.32
2016-02-05,9.70,9.70,9.56,9.61,74000,9.61
2016-02-04,9.45,9.56,9.42,9.56,95900,9.56
2016-02-03,9.59,9.70,9.40,9.54,138200,9.54
2016-02-02,9.39,9.45,9.30,9.40,338600,9.40
2016-02-01,9.39,9.57,9.36,9.57,137300,9.57
2016-01-29,9.37,9.50,9.36,9.50,472200,9.50
2016-01-28,9.38,9.40,9.31,9.38,840600,9.38
2016-01-27,9.19,9.34,9.15,9.23,281500,9.23
2016-01-26,9.13,9.35,9.08,9.29,123700,9.29
2016-01-25,9.32,9.41,9.20,9.40,132900,9.40
2016-01-22,9.89,10.05,9.89,10.04,202400,10.04
2016-01-21,9.53,9.71,9.44,9.61,193500,9.61
2016-01-20,9.30,9.45,9.19,9.44,162300,9.44
2016-01-19,9.45,9.55,9.40,9.46,179800,9.46
2016-01-15,9.57,9.61,9.46,9.56,157200,9.56
2016-01-14,9.69,9.75,9.57,9.74,210000,9.74
2016-01-13,9.81,9.87,9.66,9.66,67600,9.66
2016-01-12,9.79,9.83,9.69,9.83,117600,9.83
2016-01-11,9.67,9.80,9.59,9.80,147800,9.80
2016-01-08,9.69,9.73,9.61,9.61,142800,9.61
2016-01-07,9.60,9.65,9.53,9.58,194700,9.58
2016-01-06,9.76,9.87,9.73,9.82,70200,9.82
2016-01-05,9.59,9.66,9.53,9.61,40100,9.61
2016-01-04,9.51,9.56,9.41,9.54,77500,9.54
2015-12-31,9.78,9.78,9.65,9.72,40500,9.72
2015-12-30,9.87,9.95,9.71,9.85,150900,9.85
2015-12-29,9.83,9.90,9.78,9.81,117300,9.81
2015-12-28,9.85,9.85,9.71,9.81,108300,9.81
2015-12-24,9.63,9.85,9.60,9.82,32300,9.82
2015-12-23,9.79,9.91,9.79,9.82,129000,9.82
2015-12-22,9.76,9.80,9.68,9.72,150200,9.72
2015-12-21,9.87,9.92,9.69,9.78,144000,9.78
2015-12-18,9.73,9.75,9.63,9.66,115000,9.66
2015-12-17,9.87,9.90,9.81,9.84,280200,9.84
