Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-07,4.35,4.35,4.35,4.35,000,4.35
2016-01-06,4.35,4.35,4.35,4.35,000,4.35
2016-01-05,4.35,4.35,4.35,4.35,000,4.35
2016-01-04,4.35,4.35,4.35,4.35,000,4.35
2016-01-01,4.35,4.35,4.35,4.35,000,4.35
2015-12-31,4.37,4.43,4.34,4.35,57300,4.35
2015-12-30,4.42,4.44,4.36,4.42,85800,4.42
2015-12-29,4.46,4.48,4.40,4.40,121700,4.40
2015-12-28,4.34,4.69,4.34,4.44,606600,4.44
2015-12-25,4.40,4.59,4.31,4.32,480100,4.32
2015-12-24,4.82,4.82,4.45,4.50,475200,4.50
2015-12-23,4.96,5.07,4.73,4.76,2011800,4.76
2015-12-22,5.11,5.34,4.93,4.98,4593400,4.98
2015-12-21,4.28,5.13,4.28,5.10,5642000,5.10
2015-12-18,4.35,4.39,4.23,4.28,73800,4.28
2015-12-17,4.16,4.41,4.16,4.33,207100,4.33
2015-12-16,4.08,4.30,4.05,4.13,213100,4.13
2015-12-15,4.04,4.15,4.03,4.12,117400,4.12
2015-12-14,4.19,4.28,3.97,4.05,85600,4.05
2015-12-11,4.40,4.40,4.12,4.15,95600,4.15
2015-12-10,4.53,4.56,4.34,4.38,63500,4.38
2015-12-09,4.52,4.53,4.44,4.53,60300,4.53
2015-12-08,4.51,4.76,4.44,4.46,408300,4.46
2015-12-07,4.56,4.57,4.51,4.51,19500,4.51
2015-12-04,4.66,4.67,4.54,4.56,82700,4.56
2015-12-03,4.66,4.77,4.62,4.63,179200,4.63
2015-12-02,4.67,4.72,4.61,4.64,99200,4.64
2015-12-01,4.76,4.77,4.68,4.76,151000,4.76
2015-11-27,4.57,4.64,4.54,4.54,76900,4.54
2015-11-26,4.66,4.66,4.56,4.58,39200,4.58
2015-11-25,4.67,4.68,4.61,4.67,114000,4.67
2015-11-24,4.70,4.77,4.52,4.57,102500,4.57
2015-11-23,4.86,4.89,4.85,4.86,23200,4.86
2015-11-20,4.88,4.91,4.87,4.88,41100,4.88
2015-11-19,4.87,4.90,4.83,4.87,84300,4.87
2015-11-18,4.84,4.94,4.83,4.84,288200,4.84
2015-11-17,4.93,4.94,4.87,4.87,38400,4.87
2015-11-16,4.92,4.93,4.90,4.91,47800,4.91
2015-11-13,4.96,4.96,4.90,4.90,72500,4.90
2015-11-12,4.96,4.98,4.92,4.96,69600,4.96
2015-11-11,4.92,5.12,4.80,4.99,987100,4.99
2015-11-10,4.87,4.93,4.82,4.87,136500,4.87
2015-11-09,4.86,4.99,4.85,4.87,263800,4.87
2015-11-06,4.92,4.92,4.78,4.83,308400,4.83
2015-11-05,5.05,5.05,4.90,4.92,510400,4.92
2015-11-04,4.85,4.86,4.77,4.81,145200,4.81
2015-11-03,4.85,4.92,4.85,4.89,148600,4.89
2015-11-02,4.97,5.05,4.94,4.94,250700,4.94
2015-10-30,4.84,4.88,4.75,4.78,146700,4.78
2015-10-29,4.83,4.83,4.83,4.83,000,4.83
2015-10-28,5.01,5.04,4.81,4.83,193200,4.83
2015-10-27,5.00,5.03,4.89,4.94,189400,4.94
2015-10-26,5.00,5.02,4.90,4.90,85700,4.90
2015-10-23,5.11,5.17,5.06,5.09,216300,5.09
2015-10-22,5.18,5.25,5.11,5.11,392800,5.11
2015-10-21,5.05,5.57,4.89,5.17,2106800,5.17
2015-10-20,4.95,4.95,4.74,4.74,266600,4.74
2015-10-19,5.19,5.19,5.11,5.14,262200,5.14
2015-10-16,5.17,5.27,5.09,5.20,599500,5.20
2015-10-15,5.26,5.30,5.01,5.01,518400,5.01
