Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-31,28.98,28.98,28.94,28.96,1100,28.628
2016-03-30,28.00,28.97,27.51,28.64,4200,28.31167
2016-03-29,27.97,28.65,27.98,28.00,7300,27.679
2016-03-28,27.82,29.00,27.90,27.97,13600,27.64935
2016-03-24,26.95,26.95,26.95,26.95,000,26.64104
2016-03-23,26.82,26.98,26.32,26.95,7300,26.64104
2016-03-22,27.02,27.41,26.41,26.82,15300,26.51253
2016-03-21,27.40,27.50,26.32,27.02,8900,26.71024
2016-03-17,26.91,27.10,26.78,26.98,1400,26.6707
2016-03-16,27.30,27.42,26.79,26.91,3000,26.6015
2016-03-15,26.80,27.40,26.79,27.30,2300,26.98703
2016-03-14,26.91,27.29,26.44,26.80,19200,26.49276
2016-03-10,27.17,27.29,25.90,26.53,13200,26.22586
2016-03-09,26.84,27.48,25.50,26.52,28100,26.21597
2016-03-08,27.24,27.20,26.54,26.84,1200,26.5323
2016-03-07,27.45,27.45,27.00,27.24,1800,26.92772
2016-03-03,27.35,27.35,27.00,27.22,400,26.90795
2016-03-02,26.70,27.50,26.70,27.35,6500,27.03646
2016-03-01,27.06,27.05,26.50,26.73,2200,26.42356
2016-02-29,27.08,27.33,26.92,27.06,1400,26.74978
2016-02-25,26.67,27.40,26.67,27.01,4500,26.70035
2016-02-24,26.98,27.26,25.78,26.67,15800,26.36425
2016-02-23,27.03,27.55,26.56,26.98,3800,26.6707
2016-02-22,27.51,27.98,26.38,27.03,10300,26.72013
2016-02-18,28.33,28.33,27.01,27.04,10000,26.73001
2016-02-17,27.37,28.45,27.37,28.33,14700,28.00522
2016-02-16,26.50,27.37,25.86,27.23,42800,26.91783
2016-02-15,25.34,26.50,25.34,26.23,20400,25.9293
2016-02-11,25.44,25.11,24.00,24.54,5000,24.25867
2016-02-10,24.10,25.88,24.10,25.44,7600,25.14835
2016-02-09,25.70,25.70,24.63,25.14,8300,24.85179
2016-02-08,26.08,26.40,25.68,25.78,5700,25.48446
2016-02-03,26.08,26.42,26.07,26.42,18600,26.11712
2016-02-02,25.52,26.16,25.52,26.08,10400,25.78102
2016-02-01,25.67,26.10,25.36,25.52,53500,25.22744
2016-01-28,26.47,26.35,25.21,25.56,2600,25.26698
2016-01-27,26.01,26.48,26.00,26.47,13600,26.16654
2016-01-26,26.25,26.26,25.65,26.20,15000,25.89964
2016-01-25,25.31,25.82,25.31,25.52,49900,25.22744
2016-01-21,27.25,27.25,25.59,26.66,9400,26.35437
2016-01-20,26.00,27.14,24.79,26.92,14600,26.61139
2016-01-19,26.80,26.80,24.10,26.24,27900,25.93918
2016-01-18,27.09,27.19,26.50,26.61,25400,26.30494
2016-01-14,26.56,26.56,24.54,25.42,74400,25.12858
2016-01-13,29.37,29.37,27.00,27.22,63000,26.90795
2016-01-12,32.22,32.79,28.90,29.37,51000,29.0333
2016-01-11,31.95,32.18,31.58,32.11,28400,31.74189
2016-01-07,32.54,32.62,31.12,31.72,51200,31.35636
2016-01-06,32.10,32.85,32.10,32.75,24000,32.37455
2016-01-05,31.41,32.22,31.41,32.10,26600,31.732
2016-01-04,32.00,32.00,31.00,31.41,32600,31.04991
2015-12-31,31.50,32.60,31.50,31.64,32200,31.27727
2015-12-30,30.50,31.42,30.35,31.18,33200,30.82255
2015-12-29,29.78,30.65,29.77,30.21,30000,29.86367
