Date,Open,High,Low,Close,Volume,Adj_Close
2016-03-11,22.775,22.775,22.775,22.775,000,22.775
2016-03-10,23.045,23.045,23.045,23.045,000,23.045
2016-03-09,23.345,23.345,23.345,23.345,000,23.345
2016-03-08,23.615,23.615,23.615,23.615,000,23.615
2016-03-07,24.065,24.065,24.065,24.065,000,24.065
2016-03-04,24.16,24.16,24.16,24.16,000,24.16
2016-03-03,23.975,23.975,23.975,23.975,000,23.975
2016-03-02,24.08,24.08,24.08,24.08,000,24.08
2016-03-01,23.495,23.495,23.495,23.495,000,23.495
2016-02-29,23.565,23.565,23.565,23.565,000,23.565
2016-02-26,23.785,23.785,23.785,23.785,000,23.785
2016-02-25,23.47,23.47,23.47,23.47,000,23.47
2016-02-24,22.80,22.80,22.80,22.80,000,22.80
2016-02-23,22.59,22.59,22.59,22.59,000,22.59
2016-02-22,22.26,22.26,22.26,22.26,000,22.26
2016-02-19,22.395,22.395,22.395,22.395,000,22.395
2016-02-18,22.36,22.36,22.36,22.36,000,22.36
2016-02-17,21.64,21.64,21.64,21.64,000,21.64
2016-02-16,21.005,21.005,21.005,21.005,000,21.005
2016-02-15,20.815,20.815,20.815,20.815,000,20.815
2016-02-12,20.575,20.575,20.575,20.575,000,20.575
2016-02-11,20.215,20.215,20.215,20.215,000,20.215
2016-02-10,20.205,20.205,20.205,20.205,000,20.205
2016-02-09,20.66,20.66,20.66,20.66,000,20.66
2016-02-08,21.775,21.775,21.775,21.775,000,21.775
2016-02-05,22.69,22.69,22.69,22.69,000,22.69
2016-02-04,23.115,23.115,23.115,23.115,000,23.115
2016-02-03,23.415,23.415,23.415,23.415,000,23.415
2016-02-02,23.855,23.855,23.855,23.855,000,23.855
2016-02-01,24.005,24.005,24.005,24.005,000,24.005
2016-01-29,23.305,23.305,23.305,23.305,000,23.305
2016-01-28,23.03,23.03,23.03,23.03,000,23.03
2016-01-27,23.03,23.03,23.03,23.03,000,23.03
2016-01-26,22.83,22.83,22.83,22.83,000,22.83
2016-01-25,23.215,23.215,23.215,23.215,000,23.215
2016-01-22,22.785,22.785,22.785,22.785,000,22.785
2016-01-21,22.785,22.785,22.785,22.785,000,22.785
2016-01-20,22.785,22.785,22.785,22.785,000,22.785
2016-01-19,23.185,23.185,23.185,23.185,000,23.185
2016-01-18,23.185,23.185,23.185,23.185,000,23.185
2016-01-15,23.505,23.505,23.505,23.505,000,23.505
2016-01-14,23.57,23.57,23.57,23.57,000,23.57
2016-01-13,23.835,23.835,23.835,23.835,000,23.835
2016-01-12,23.135,23.135,23.135,23.135,000,23.135
2016-01-11,22.98,22.98,22.98,22.98,000,22.98
2016-01-08,23.775,23.775,23.775,23.775,000,23.775
2016-01-07,23.92,23.92,23.92,23.92,000,23.92
2016-01-06,24.705,24.705,24.705,24.705,000,24.705
2016-01-05,24.705,24.705,24.705,24.705,000,24.705
2016-01-04,24.705,24.705,24.705,24.705,000,24.705
2016-01-01,24.65,24.65,24.65,24.65,000,24.65
2015-12-31,24.65,24.65,24.65,24.65,000,24.65
2015-12-30,24.65,24.65,24.65,24.65,000,24.65
2015-12-29,24.42,24.42,24.42,24.42,000,24.42
2015-12-28,24.42,24.42,24.42,24.42,000,24.42
2015-12-25,24.38,24.38,24.38,24.38,000,24.38
2015-12-24,24.38,24.38,24.38,24.38,000,24.38
2015-12-23,24.38,24.38,24.38,24.38,000,24.38
2015-12-22,24.13,24.13,24.13,24.13,000,24.13
2015-12-21,24.255,24.255,24.255,24.255,000,24.255
2015-12-18,24.385,24.385,24.385,24.385,000,24.385
2015-12-17,24.64,24.64,24.64,24.64,000,24.64
2015-12-16,24.39,24.39,24.39,24.39,000,24.39
2015-12-15,24.39,24.39,24.39,24.39,000,24.39
2015-12-14,24.745,24.745,24.745,24.745,000,24.745
2015-12-11,24.86,24.86,24.86,24.86,000,24.86
2015-12-10,24.715,24.715,24.715,24.715,000,24.715
2015-12-09,24.715,24.715,24.715,24.715,000,24.715
2015-12-08,24.715,24.715,24.715,24.715,000,24.715
2015-12-07,24.715,24.715,24.715,24.715,000,24.715
2015-12-04,24.50,24.50,24.50,24.50,000,24.50
2015-12-03,25.14,25.14,25.14,25.14,000,25.14
2015-12-02,25.14,25.14,25.14,25.14,000,25.14
2015-12-01,25.10,25.10,25.10,25.10,000,25.10
