Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,52.00,52.00,50.50,51.00,12600,49.17
2016-03-31,52.90,52.90,51.41,51.96,13200,50.096
2016-03-30,51.60,53.00,50.95,52.85,23100,50.954
2016-03-29,52.00,52.00,50.94,51.30,2700,49.459
2016-03-28,51.40,51.40,51.40,51.40,000,49.556
2016-03-25,51.40,51.40,51.40,51.40,000,49.556
2016-03-24,50.95,51.40,50.02,51.40,2700,49.556
2016-03-23,52.01,52.01,49.32,50.00,4800,48.206
2016-03-22,51.24,51.25,50.47,51.00,1600,49.17
2016-03-21,51.99,51.99,50.41,50.41,4400,48.601
2016-03-18,52.21,52.21,51.00,51.00,1400,49.17
2016-03-17,52.24,52.24,51.51,51.99,2100,50.125
2016-03-16,52.30,52.41,51.89,51.92,2700,50.057
2016-03-15,51.80,52.70,51.10,52.23,5300,50.356
2016-03-14,51.83,52.29,51.09,51.90,2400,50.038
2016-03-11,50.75,51.49,50.75,51.49,600,49.642
2016-03-10,51.39,51.70,50.75,50.99,2700,49.16
2016-03-09,51.50,51.59,50.44,50.75,900,48.929
2016-03-08,51.71,52.00,51.00,51.48,3600,49.633
2016-03-07,51.85,51.85,50.60,51.50,3600,49.652
2016-03-04,50.77,51.51,50.62,50.91,1000,49.083
2016-03-03,50.60,50.60,50.05,50.60,800,48.784
2016-03-02,50.76,50.76,49.95,50.38,1000,48.572
2016-03-01,50.01,50.99,50.00,50.15,2000,48.351
2016-02-29,50.00,52.30,49.955,49.955,7100,48.163
2016-02-26,50.33,50.49,49.755,49.795,2100,48.008
2016-02-25,48.85,50.44,48.505,49.62,3500,47.84
2016-02-24,49.50,49.50,48.50,48.90,3200,47.145
2016-02-23,49.225,49.50,49.195,49.50,2000,47.724
2016-02-22,49.50,49.50,48.775,49.205,1900,47.439
2016-02-19,48.63,48.63,47.04,47.26,3300,45.564
2016-02-18,47.40,49.00,47.00,48.995,4300,47.237
2016-02-17,45.30,47.80,45.295,46.85,5000,45.169
2016-02-16,43.795,45.655,42.80,44.69,3600,43.086
2016-02-15,45.20,45.855,43.50,43.50,5900,41.939
2016-02-12,44.50,46.49,43.955,45.00,5300,43.385
2016-02-11,44.835,44.835,43.90,44.385,2000,42.792
2016-02-10,44.215,45.21,44.015,45.20,700,43.578
2016-02-09,46.125,46.375,43.90,44.00,6400,42.421
2016-02-08,46.47,47.10,44.405,45.60,3600,43.964
2016-02-05,47.095,47.095,46.51,46.52,200,44.851
2016-02-04,47.065,47.065,46.505,46.845,300,45.164
2016-02-03,47.145,47.175,46.50,46.80,2100,45.121
2016-02-02,46.50,47.295,46.50,46.51,1100,44.841
2016-02-01,46.88,46.88,46.44,46.50,6000,44.832
2016-01-29,47.06,47.41,46.65,46.65,2000,44.976
2016-01-28,47.155,47.155,46.48,46.50,4600,44.832
2016-01-27,46.605,47.04,46.405,46.50,14400,44.832
2016-01-26,46.095,47.985,46.095,46.60,8500,44.928
2016-01-25,46.63,46.775,46.12,46.125,2300,44.47
2016-01-22,45.095,46.37,44.44,46.00,4200,44.349
2016-01-21,45.02,45.545,44.02,44.79,4200,43.183
2016-01-20,46.665,46.665,45.25,45.25,7500,43.626
2016-01-19,46.75,47.325,46.51,46.51,700,44.841
2016-01-18,47.10,47.77,46.51,46.51,700,44.841
2016-01-15,46.66,46.835,46.25,46.55,2600,44.88
2016-01-14,46.61,47.16,46.50,47.00,3500,45.314
2016-01-13,47.095,47.205,46.94,47.205,500,45.511
2016-01-12,47.31,47.55,46.745,46.825,3600,45.145
2016-01-11,47.50,47.50,46.50,46.50,4200,44.832
2016-01-08,48.60,48.605,47.50,47.50,1400,45.796
2016-01-07,48.57,48.57,47.765,47.77,16500,46.056
2016-01-06,49.485,49.485,48.50,48.78,1800,47.03
2016-01-05,49.495,49.50,48.50,49.23,2200,47.464
2016-01-04,49.03,49.07,48.19,49.065,1200,47.305
2016-01-01,49.50,49.50,49.50,49.50,000,47.724
2015-12-31,49.50,49.50,49.50,49.50,000,47.724
2015-12-30,49.195,49.50,49.00,49.50,300,47.724
2015-12-29,49.255,49.50,48.965,49.20,900,47.435
2015-12-28,49.35,49.50,48.525,48.525,300,46.784
2015-12-25,48.775,48.775,48.775,48.775,000,47.025
2015-12-24,48.775,48.775,48.775,48.775,000,47.025
2015-12-23,48.845,49.50,48.775,48.775,9900,47.025
2015-12-22,48.60,48.905,48.34,48.34,1600,46.606
2015-12-21,49.44,49.44,48.655,48.985,2200,47.227
2015-12-18,48.85,49.475,48.78,49.475,1900,47.70
2015-12-17,48.915,49.28,48.70,48.70,3200,46.953
2015-12-16,49.235,49.45,48.705,48.705,2600,46.957
2015-12-15,48.50,48.91,48.30,48.905,1200,47.15
2015-12-14,49.80,49.80,48.25,48.25,5700,46.519
2015-12-11,49.075,49.075,48.05,48.975,2800,47.218
2015-12-10,49.35,49.51,48.50,48.50,28200,46.76
2015-12-09,49.10,50.02,49.005,49.105,2600,47.343
2015-12-08,49.00,49.83,48.90,49.00,7200,47.242
2015-12-07,49.86,50.11,49.30,49.46,4400,47.685
2015-12-04,49.64,49.69,48.90,49.00,9600,47.242
2015-12-03,49.91,50.09,49.00,49.095,10700,47.333
2015-12-02,49.65,50.00,49.085,49.50,3900,47.724
2015-12-01,49.20,49.86,49.20,49.455,2600,47.681
2015-11-30,50.00,50.20,47.60,49.00,10600,47.242
2015-11-27,49.785,50.23,49.68,49.89,18800,48.10
2015-11-26,49.28,49.80,49.005,49.30,15700,47.531
2015-11-25,48.995,49.525,48.555,49.395,14400,47.623
2015-11-24,48.45,48.985,48.22,48.61,2400,46.866
2015-11-23,49.30,49.30,48.385,48.45,3500,46.712
2015-11-20,48.44,49.00,48.405,48.41,2000,46.673
2015-11-19,48.48,49.00,48.005,48.40,8000,46.663
2015-11-18,47.37,48.14,47.095,48.14,6100,46.413
2015-11-17,47.20,47.50,47.00,47.465,9600,45.762
2015-11-16,46.50,46.90,46.50,46.55,2200,44.88
2015-11-13,46.50,46.90,46.50,46.90,2700,45.217
2015-11-12,46.895,47.00,46.505,46.67,3500,44.995
2015-11-11,47.50,47.50,46.80,46.80,4600,45.121
2015-11-10,46.55,46.795,46.50,46.60,2600,44.928
2015-11-09,46.56,47.105,46.455,46.645,2900,44.971
2015-11-06,46.505,46.945,46.10,46.10,1200,44.446
2015-11-05,46.34,47.045,46.34,46.39,1100,44.725
2015-11-04,46.10,46.64,45.735,46.00,2700,44.349
2015-11-03,47.50,47.50,46.415,46.415,4400,44.75
2015-11-02,47.45,47.45,46.555,46.99,1100,45.304
2015-10-30,46.90,47.075,46.385,47.075,2900,45.386
2015-10-29,45.83,46.395,45.09,46.395,3900,44.73
2015-10-28,44.60,45.235,44.60,44.80,200,43.193
2015-10-27,45.56,45.56,44.41,44.925,1100,43.313
2015-10-26,45.75,46.10,45.01,46.10,900,44.446
2015-10-23,45.30,45.90,44.56,45.90,4500,44.253
2015-10-22,44.02,44.62,43.75,44.505,2200,42.908
2015-10-21,44.20,44.50,43.77,43.80,900,42.228
2015-10-20,43.20,44.30,43.20,43.805,1900,42.233
2015-10-19,43.80,43.80,43.55,43.63,000,42.065
2015-10-16,42.71,43.915,42.71,43.915,700,42.339
2015-10-15,43.00,43.33,42.44,42.57,2000,41.043
2015-10-14,44.295,44.295,43.375,43.375,300,41.819
2015-10-13,43.79,44.30,43.45,44.30,700,42.71
2015-10-12,44.80,44.80,43.945,43.945,1200,42.368
2015-10-09,42.98,44.90,42.70,44.205,5100,42.619
2015-10-08,42.395,43.25,42.20,42.685,2000,41.153
2015-10-07,41.585,42.295,41.40,41.975,2000,40.469
2015-10-06,40.98,41.69,40.555,41.55,1600,40.059
2015-10-05,40.40,40.98,40.40,40.77,1700,39.307
2015-10-02,39.795,40.215,39.545,40.10,2000,38.661
2015-10-01,39.80,40.30,39.30,39.30,3000,37.89
2015-09-30,39.49,39.815,39.23,39.325,3000,37.914
2015-09-29,39.52,39.64,39.05,39.05,1400,37.649
2015-09-28,39.90,40.50,39.52,39.52,1900,38.102
2015-09-25,39.52,42.00,39.52,39.90,3200,38.468
2015-09-24,39.52,40.10,39.52,39.585,2600,38.165
2015-09-23,39.995,40.00,39.45,39.53,3800,38.112
2015-09-22,40.29,40.395,39.55,39.55,7000,38.131
2015-09-21,40.755,41.11,40.05,40.30,5100,38.854
2015-09-18,41.75,41.81,40.00,40.54,4400,39.085
2015-09-17,42.55,42.55,41.145,41.47,3900,39.982
2015-09-16,42.565,42.695,42.10,42.10,4200,40.589
2015-09-15,42.60,43.095,42.52,42.52,1100,40.994
2015-09-14,42.50,42.97,42.335,42.585,2100,41.057
2015-09-11,44.00,44.00,42.75,42.75,1800,41.216
2015-09-10,43.915,44.265,43.52,44.22,1500,42.633
2015-09-09,43.00,43.825,43.00,43.405,6800,41.848
2015-09-08,43.215,43.84,42.65,43.50,12500,41.939
2015-09-07,44.715,44.715,42.485,42.70,4000,41.168
2015-09-04,43.70,44.74,43.475,44.20,3800,42.614
2015-09-03,44.00,44.37,43.78,44.00,2000,42.421
2015-09-02,44.025,44.515,43.795,44.00,3500,42.421
2015-09-01,44.995,44.995,43.67,44.00,3800,42.421
2015-08-31,45.10,45.99,44.25,44.25,5200,42.662
2015-08-28,44.80,44.80,44.045,44.65,2700,43.048
2015-08-27,42.55,44.85,42.55,44.85,4000,43.241
2015-08-26,42.47,44.485,42.21,42.215,9000,40.70
2015-08-25,40.20,42.90,40.20,42.90,7700,41.361
2015-08-24,43.00,43.47,37.805,39.75,15100,38.324
2015-08-21,44.055,44.055,42.13,43.00,7000,41.457
2015-08-20,45.45,45.45,43.51,43.785,5400,42.214
2015-08-19,46.41,46.79,45.395,45.475,2700,43.843
2015-08-18,47.385,47.385,46.10,46.41,3200,44.745
2015-08-17,46.70,47.995,46.695,46.915,5100,45.232
2015-08-14,46.10,46.875,46.10,46.46,600,44.793
2015-08-13,48.06,48.06,46.11,46.80,6500,45.121
2015-08-12,48.13,48.13,47.34,47.50,5400,45.796
2015-08-11,47.98,48.00,47.405,47.70,5400,45.988
2015-08-10,47.64,48.475,47.365,47.365,6200,45.666
2015-08-07,47.95,47.95,46.515,46.85,7800,45.169
2015-08-06,48.70,48.70,47.52,47.68,6400,45.969
2015-08-05,45.07,48.40,45.045,47.75,10100,46.037
2015-08-04,44.70,45.06,44.005,45.06,2900,43.443
2015-08-03,44.80,45.00,44.70,44.70,2200,43.096
2015-07-31,44.295,45.00,44.295,45.00,1700,43.385
2015-07-30,44.10,44.365,43.80,44.365,300,42.773
2015-07-29,44.095,44.32,43.70,44.32,900,42.73
2015-07-28,44.255,44.255,43.205,43.785,3400,42.214
2015-07-27,44.295,44.67,44.29,44.29,3000,42.701
2015-07-24,44.475,44.495,44.29,44.495,200,42.898
2015-07-23,44.305,44.54,44.00,44.00,2700,42.421
2015-07-22,44.50,44.70,44.15,44.15,1700,42.566
2015-07-21,44.70,45.00,44.50,44.50,2200,42.903
2015-07-20,44.405,44.80,44.40,44.705,3200,43.101
2015-07-17,44.52,45.295,44.02,44.78,4300,43.173
2015-07-16,45.35,45.64,44.46,45.40,4500,43.771
2015-07-15,45.50,45.545,45.20,45.40,1600,43.771
2015-07-14,45.86,45.86,45.32,45.32,2600,43.694
2015-07-13,44.945,46.00,44.90,46.00,2900,44.349
2015-07-10,44.995,45.00,44.48,44.945,3300,43.332
2015-07-09,43.16,44.96,43.16,44.55,3200,42.952
2015-07-08,43.60,44.01,42.965,43.325,2100,41.77
2015-07-07,44.075,44.11,43.765,43.765,3600,42.195
2015-07-06,43.50,44.21,43.50,44.155,1700,42.571
2015-07-03,44.075,44.075,43.50,43.50,3200,41.939
2015-07-02,44.045,44.22,43.865,43.975,500,42.397
2015-07-01,42.88,44.11,42.80,44.11,800,42.527
2015-06-30,43.10,43.15,42.735,42.75,1700,41.216
2015-06-29,45.00,45.07,43.085,43.085,5900,41.539
2015-06-26,44.15,45.40,44.15,45.00,4200,43.385
2015-06-25,44.00,44.875,43.85,44.165,1400,42.58
2015-06-24,44.185,45.115,44.02,44.02,4100,42.441
2015-06-23,44.60,44.91,44.255,44.255,3500,42.667
2015-06-22,44.115,44.795,43.75,44.50,6700,42.903
2015-06-19,42.69,43.34,42.25,43.00,6400,41.457
2015-06-18,43.68,43.68,42.125,42.51,3800,40.985
2015-06-17,42.945,43.70,42.945,43.49,1600,41.93
2015-06-16,42.515,43.00,42.24,43.00,6700,41.457
2015-06-15,44.85,44.85,43.00,43.78,9000,42.209
2015-06-12,45.85,46.49,44.20,44.955,4300,43.342
2015-06-11,43.90,46.70,43.805,46.70,15400,45.024
2015-06-10,44.47,45.015,44.00,44.00,5500,42.421
2015-06-09,44.93,45.625,44.64,45.00,6900,43.385
2015-06-08,44.55,45.64,44.55,44.90,8000,43.289
2015-06-05,46.06,46.405,44.52,45.06,8100,43.443
2015-06-04,47.30,47.595,46.70,46.70,3100,45.024
2015-06-03,47.80,47.815,47.25,47.255,1400,45.559
2015-06-02,48.10,48.10,46.705,47.90,4700,46.181
2015-06-01,48.33,48.44,48.09,48.09,600,46.364
2015-05-29,48.33,48.45,48.12,48.25,3400,46.519
2015-05-28,48.87,48.88,48.12,48.435,6400,46.697
2015-05-27,48.50,48.62,47.78,48.25,8800,46.519
2015-05-26,48.50,48.51,48.115,48.44,7700,46.702
2015-05-25,48.505,48.505,48.505,48.505,000,46.765
2015-05-22,48.665,49.63,47.87,48.505,12000,46.765
2015-05-21,49.87,51.05,49.65,49.90,17600,46.374
2015-05-20,49.50,49.70,48.97,49.50,22500,46.002
2015-05-19,49.625,49.625,49.15,49.40,24200,45.909
2015-05-18,48.50,49.54,48.50,49.26,15300,45.779
2015-05-15,48.75,49.00,48.405,48.50,10700,45.073
2015-05-14,49.00,49.00,48.555,49.00,5000,45.538
2015-05-13,48.80,48.985,48.385,48.76,16300,45.315
2015-05-12,49.00,49.00,48.30,48.50,9400,45.073
2015-05-11,49.15,49.15,48.345,48.50,9000,45.073
2015-05-08,47.475,48.445,47.05,47.68,24900,44.311
2015-05-07,48.195,48.205,47.00,47.00,18700,43.679
2015-05-06,48.99,49.00,47.21,47.50,15500,44.144
2015-05-05,48.435,49.585,48.305,48.60,54400,45.166
2015-05-04,48.50,48.505,47.73,47.75,10000,44.376
2015-05-01,48.00,48.00,48.00,48.00,000,44.608
2015-04-30,48.525,49.10,46.885,48.00,26900,44.608
2015-04-29,49.975,50.45,48.04,48.35,52600,44.934
2015-04-28,51.00,51.50,49.85,50.32,14600,46.764
