Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,9.10,9.10,9.10,9.10,1100,9.10
2016-03-31,8.98,8.98,8.97,8.97,1500,8.97
2016-03-30,9.29,9.29,9.26,9.26,700,9.26
2016-03-29,9.07,9.07,9.05,9.05,2200,9.05
2016-03-28,8.81,8.81,8.81,8.81,300,8.620001
2016-03-24,8.56,8.72,8.56,8.72,200,8.531941
2016-03-23,9.15,9.15,8.93,8.93,1600,8.737412
2016-03-22,9.41,9.47,9.37,9.37,2300,9.167923
2016-03-21,9.14,9.56,9.14,9.50,1500,9.295119
2016-03-18,9.21,9.21,9.15,9.15,1200,8.952667
2016-03-17,8.89,9.14,8.89,9.11,1400,8.91353
2016-03-16,8.43,8.43,8.43,8.43,200,8.248196
2016-03-15,8.33,8.33,8.33,8.33,100,8.150352
2016-03-14,8.84,8.84,8.84,8.84,000,8.649353
2016-03-11,8.84,8.84,8.84,8.84,000,8.649353
2016-03-10,8.90,8.90,8.78,8.84,1800,8.649353
2016-03-09,8.90,8.96,8.66,8.96,5800,8.766765
2016-03-08,9.00,9.00,8.65,8.90,20500,8.708059
2016-03-07,9.68,9.77,9.61,9.65,7100,9.441884
2016-03-04,8.33,9.66,8.33,9.05,1100,8.854824
2016-03-03,8.35,8.42,8.35,8.42,600,8.238411
2016-03-02,7.75,8.18,7.75,8.18,700,8.003587
2016-03-01,7.51,7.51,7.51,7.51,100,7.348037
2016-02-29,7.27,7.40,7.27,7.40,11100,7.240409
2016-02-26,7.09,7.09,7.09,7.09,16900,6.937094
2016-02-25,7.13,7.13,7.01,7.01,400,6.85882
2016-02-24,7.29,7.29,7.29,7.29,700,7.132781
2016-02-23,7.71,7.80,7.65,7.75,24900,7.58286
2016-02-22,8.16,8.27,8.16,8.27,200,8.091646
2016-02-19,7.56,7.58,7.56,7.58,300,7.416527
2016-02-18,7.50,7.50,7.50,7.50,000,7.338252
2016-02-17,7.24,7.50,7.24,7.50,400,7.338252
2016-02-16,7.03,7.03,7.01,7.01,300,6.85882
2016-02-12,7.07,7.07,7.03,7.03,300,6.878388
2016-02-11,6.98,6.98,6.98,6.98,000,6.829467
2016-02-10,6.90,6.98,6.90,6.98,700,6.829467
2016-02-09,6.74,6.74,6.74,6.74,100,6.594642
2016-02-08,6.78,6.88,6.78,6.81,1300,6.663133
2016-02-05,7.00,7.00,7.00,7.00,200,6.849035
2016-02-04,7.11,7.11,7.11,7.11,700,6.956663
2016-02-03,6.36,6.73,6.08,6.73,2500,6.584858
2016-02-02,6.28,6.30,6.28,6.30,400,6.164132
2016-02-01,6.34,6.34,6.01,6.28,4500,6.144563
2016-01-29,6.27,6.35,6.27,6.35,700,6.213053
2016-01-28,6.04,6.13,6.04,6.13,2700,5.997798
2016-01-27,5.99,6.14,5.99,6.09,1400,5.958661
2016-01-26,5.98,5.98,5.98,5.98,000,5.851033
2016-01-25,5.98,5.98,5.98,5.98,100,5.851033
2016-01-22,5.88,5.95,5.88,5.95,700,5.82168
2016-01-21,5.62,5.76,5.58,5.66,2000,5.537934
2016-01-20,5.68,5.68,5.49,5.51,1000,5.391169
2016-01-19,5.25,5.62,5.25,5.62,4300,5.498797
2016-01-15,5.13,5.15,4.89,4.95,6100,4.843246
2016-01-14,5.29,5.29,5.04,5.18,51800,5.068286
2016-01-13,5.68,5.68,5.67,5.67,700,5.547719
2016-01-12,6.11,6.11,5.48,5.48,1900,5.361816
2016-01-11,6.34,6.34,5.95,5.99,14700,5.860817
2016-01-08,6.60,6.60,6.49,6.54,3700,6.398956
2016-01-07,6.75,6.81,6.68,6.68,3400,6.535936
2016-01-06,7.09,7.09,7.09,7.09,000,6.937094
2016-01-05,7.05,7.09,7.05,7.09,800,6.937094
2016-01-04,6.81,6.81,6.75,6.81,2600,6.663133
