Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,12.41,12.41,12.41,12.41,000,12.41
2016-03-31,12.41,12.41,12.41,12.41,000,12.41
2016-03-30,12.41,12.41,12.41,12.41,000,12.41
2016-03-29,12.41,12.41,12.41,12.41,000,12.41
2016-03-28,12.41,12.41,12.41,12.41,000,12.41
2016-03-24,12.41,12.41,12.41,12.41,000,12.41
2016-03-23,12.41,12.41,12.41,12.41,000,12.41
2016-03-22,12.41,12.41,12.41,12.41,000,12.41
2016-03-21,12.41,12.41,12.41,12.41,000,12.41
2016-03-18,12.41,12.41,12.41,12.41,000,12.41
2016-03-17,12.41,12.41,12.41,12.41,000,12.41
2016-03-16,12.41,12.41,12.41,12.41,000,12.41
2016-03-15,12.41,12.41,12.41,12.41,000,12.41
2016-03-14,12.41,12.41,12.41,12.41,000,12.41
2016-03-11,12.41,12.41,12.41,12.41,000,12.41
2016-03-10,12.41,12.41,12.41,12.41,000,12.41
2016-03-09,12.41,12.41,12.41,12.41,000,12.41
2016-03-08,12.41,12.41,12.41,12.41,200,12.41
2016-03-07,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-03-04,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-03-03,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-03-02,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-03-01,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-02-29,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-02-26,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-02-25,11.3499,11.3499,11.3499,11.3499,000,11.3499
2016-02-24,11.26,11.3499,11.26,11.3499,200,11.3499
2016-02-23,13.66,13.66,13.66,13.66,000,13.66
2016-02-22,13.66,13.66,13.66,13.66,000,13.66
2016-02-19,13.66,13.66,13.66,13.66,000,13.66
2016-02-18,13.66,13.66,13.66,13.66,000,13.66
2016-02-17,13.66,13.66,13.66,13.66,000,13.66
2016-02-16,13.66,13.66,13.66,13.66,000,13.66
2016-02-12,13.66,13.66,13.66,13.66,000,13.66
2016-02-11,13.66,13.66,13.66,13.66,000,13.66
2016-02-10,13.66,13.66,13.66,13.66,000,13.66
2016-02-09,13.66,13.66,13.66,13.66,000,13.66
2016-02-08,13.66,13.66,13.66,13.66,000,13.66
2016-02-05,13.66,13.66,13.66,13.66,000,13.66
2016-02-04,13.66,13.66,13.66,13.66,000,13.66
2016-02-03,13.66,13.66,13.66,13.66,000,13.66
2016-02-02,13.66,13.66,13.66,13.66,000,13.66
2016-02-01,13.66,13.66,13.66,13.66,000,13.66
2016-01-29,13.66,13.66,13.66,13.66,000,13.66
2016-01-28,13.66,13.66,13.66,13.66,000,13.66
2016-01-27,13.66,13.66,13.66,13.66,000,13.66
2016-01-26,13.66,13.66,13.66,13.66,000,13.66
2016-01-25,13.66,13.66,13.66,13.66,000,13.66
2016-01-22,13.66,13.66,13.66,13.66,000,13.66
2016-01-21,13.66,13.66,13.66,13.66,000,13.66
2016-01-20,13.66,13.66,13.66,13.66,000,13.66
2016-01-19,13.66,13.66,13.66,13.66,000,13.66
2016-01-15,13.66,13.66,13.66,13.66,000,13.66
2016-01-14,13.66,13.66,13.66,13.66,000,13.66
2016-01-13,13.66,13.66,13.66,13.66,000,13.66
2016-01-12,13.66,13.66,13.66,13.66,000,13.66
2016-01-11,13.66,13.66,13.66,13.66,000,13.66
2016-01-08,13.66,13.66,13.66,13.66,000,13.66
2016-01-07,13.66,13.66,13.66,13.66,000,13.66
2016-01-06,13.66,13.66,13.66,13.66,000,13.66
