Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,79.68,79.68,79.68,79.68,000,79.68
2016-03-31,79.68,79.68,79.68,79.68,000,79.68
2016-03-30,79.68,79.68,79.68,79.68,000,79.68
2016-03-29,79.68,79.68,79.68,79.68,000,79.68
2016-03-28,79.68,79.68,79.68,79.68,000,79.68
2016-03-24,79.68,79.68,79.68,79.68,000,79.68
2016-03-23,79.68,79.68,79.68,79.68,000,79.68
2016-03-22,79.68,79.68,79.68,79.68,000,79.68
2016-03-21,79.68,79.68,79.68,79.68,000,79.68
2016-03-18,79.68,79.68,79.68,79.68,000,79.68
2016-03-17,79.68,79.68,79.68,79.68,000,79.68
2016-03-16,79.68,79.68,79.68,79.68,000,79.68
2016-03-15,79.68,79.68,79.68,79.68,000,79.68
2016-03-14,79.68,79.68,79.68,79.68,000,79.68
2016-03-11,79.68,79.68,79.68,79.68,000,79.68
2016-03-10,79.68,79.68,79.68,79.68,000,79.68
2016-03-09,79.68,79.68,79.68,79.68,000,79.68
2016-03-08,79.68,79.68,79.68,79.68,000,79.68
2016-03-07,79.68,79.68,79.68,79.68,000,79.68
2016-03-04,79.68,79.68,79.68,79.68,000,79.68
2016-03-03,79.68,79.68,79.68,79.68,000,79.68
2016-03-02,79.68,79.68,79.68,79.68,000,79.68
2016-03-01,79.68,79.68,79.68,79.68,000,79.68
2016-02-29,79.68,79.68,79.68,79.68,000,79.68
2016-02-26,79.68,79.68,79.68,79.68,000,79.68
2016-02-25,79.68,79.68,79.68,79.68,000,79.68
2016-02-24,79.68,79.68,79.68,79.68,000,79.68
2016-02-23,79.68,79.68,79.68,79.68,000,79.68
2016-02-22,79.68,79.68,79.68,79.68,000,79.68
2016-02-19,79.68,79.68,79.68,79.68,000,79.68
2016-02-18,79.68,79.68,79.68,79.68,000,79.68
2016-02-17,79.68,79.68,79.68,79.68,000,79.68
2016-02-16,79.68,79.68,79.68,79.68,000,79.68
2016-02-12,79.68,79.68,79.68,79.68,000,79.68
