Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,15.20,15.30,15.05,15.25,694800,15.25
2016-03-31,15.30,15.40,15.15,15.30,728800,15.30
2016-03-30,15.15,15.45,15.00,15.30,1090300,15.30
2016-03-29,15.30,15.30,14.90,15.10,944400,15.10
2016-03-28,15.30,15.30,15.30,15.30,000,15.30
2016-03-25,15.30,15.30,15.30,15.30,000,15.30
2016-03-24,15.35,15.35,15.20,15.30,618200,15.30
2016-03-23,15.55,15.60,15.35,15.50,1133600,15.50
2016-03-22,15.45,15.60,15.15,15.60,1281600,15.60
2016-03-21,15.55,15.75,15.35,15.55,760100,15.55
2016-03-18,15.65,15.75,15.50,15.70,1379400,15.70
2016-03-17,15.75,15.75,15.35,15.75,1156700,15.75
2016-03-16,15.60,15.75,15.15,15.70,1062800,15.70
2016-03-15,15.60,15.70,15.45,15.60,528300,15.60
2016-03-14,15.75,15.85,15.65,15.70,693600,15.70
2016-03-11,15.65,15.75,15.55,15.65,555100,15.65
2016-03-10,15.95,16.05,15.55,15.55,1049600,15.55
2016-03-09,15.80,15.95,15.65,15.90,662000,15.90
2016-03-08,16.25,16.30,15.75,15.85,911600,15.85
2016-03-07,16.00,16.45,15.85,16.45,1222400,16.45
2016-03-04,16.00,16.20,15.70,16.15,1172900,16.15
2016-03-03,15.70,16.05,15.55,15.80,1499200,15.80
2016-03-02,15.90,16.00,15.40,15.55,1312200,15.55
2016-03-01,15.45,15.75,15.30,15.75,1018500,15.75
2016-02-29,15.05,15.50,15.00,15.50,769300,15.50
2016-02-26,15.20,15.45,15.20,15.20,500700,15.20
2016-02-25,15.10,15.25,14.90,15.20,822300,15.20
2016-02-24,15.10,15.15,14.55,14.90,1201000,14.90
2016-02-23,14.95,15.00,14.75,14.90,761200,14.90
2016-02-22,14.90,15.10,14.90,14.95,456600,14.95
2016-02-19,14.85,14.95,14.60,14.70,490200,14.70
2016-02-18,14.85,15.15,14.70,15.00,865400,15.00
2016-02-17,14.30,14.85,14.30,14.85,894000,14.85
2016-02-16,14.25,14.35,14.05,14.30,823800,14.30
2016-02-15,14.05,14.30,13.95,14.20,696600,14.20
2016-02-12,13.90,13.95,13.60,13.75,1064700,13.75
2016-02-11,13.95,13.95,13.40,13.80,1303200,13.80
2016-02-10,14.00,14.15,13.85,13.95,1370600,13.95
2016-02-09,14.50,14.65,13.75,13.90,2448200,13.90
2016-02-08,15.20,15.25,14.55,14.60,1316600,14.60
2016-02-05,15.10,15.40,15.05,15.15,1028400,15.15
2016-02-04,15.10,15.15,14.65,14.95,1885600,14.95
2016-02-03,14.90,15.30,14.90,15.05,1512900,15.05
2016-02-02,15.75,15.80,15.00,15.05,2548300,15.05
2016-02-01,16.10,16.20,15.90,16.15,932700,16.15
2016-01-29,15.80,16.15,15.80,16.15,1986200,16.15
2016-01-28,15.85,16.00,15.75,15.75,1386700,15.75
2016-01-27,15.70,15.90,15.65,15.90,1068900,15.90
2016-01-26,15.30,15.65,15.10,15.60,1127100,15.60
2016-01-25,15.40,15.50,15.20,15.45,1314100,15.45
2016-01-22,15.00,15.30,14.80,15.15,1674700,15.15
2016-01-21,14.45,15.10,14.35,14.80,4802800,14.80
2016-01-20,13.80,13.85,13.45,13.50,1597000,13.50
2016-01-19,13.75,14.15,13.70,13.95,1342200,13.95
2016-01-18,13.50,13.75,13.45,13.55,1064800,13.55
2016-01-15,13.65,13.80,13.35,13.40,706500,13.40
2016-01-14,13.90,13.90,13.65,13.75,1113600,13.75
2016-01-13,14.25,14.25,14.05,14.15,628700,14.15
2016-01-12,13.90,14.20,13.90,14.05,740500,14.05
2016-01-11,13.85,14.10,13.65,14.00,1029600,14.00
2016-01-08,14.35,14.55,13.90,13.95,1536500,13.95
2016-01-07,14.65,14.70,14.35,14.40,1023800,14.40
2016-01-06,15.00,15.05,14.75,14.95,795900,14.95
2016-01-05,15.10,15.10,14.90,15.05,651500,15.05
2016-01-04,15.15,15.30,14.75,14.80,840300,14.80
2016-01-01,15.40,15.40,15.40,15.40,000,15.40
2015-12-31,15.40,15.40,15.40,15.40,000,15.40
2015-12-30,15.50,15.65,15.35,15.40,508100,15.40
2015-12-29,15.00,15.35,14.95,15.35,751500,15.35
2015-12-28,14.95,15.05,14.95,15.00,218400,15.00
2015-12-25,14.85,14.85,14.85,14.85,000,14.85
2015-12-24,14.85,14.85,14.85,14.85,000,14.85
2015-12-23,14.65,14.95,14.65,14.85,340400,14.85
2015-12-22,14.70,14.80,14.60,14.75,321100,14.75
2015-12-21,14.60,14.80,14.50,14.75,596700,14.75
2015-12-18,14.90,14.90,14.45,14.70,1481400,14.70
2015-12-17,14.85,15.05,14.80,14.95,1045700,14.95
2015-12-16,14.65,14.70,14.55,14.65,549500,14.65
2015-12-15,14.55,14.70,14.55,14.65,536500,14.65
2015-12-14,14.75,14.75,14.35,14.45,718600,14.45
2015-12-11,14.90,14.90,14.50,14.60,781700,14.60
2015-12-10,15.00,15.05,14.80,14.90,522900,14.90
2015-12-09,15.35,15.35,15.05,15.10,879300,15.10
2015-12-08,15.60,15.65,15.25,15.30,1061700,15.30
2015-12-07,15.45,15.75,15.45,15.70,472800,15.70
2015-12-04,15.45,15.55,15.35,15.50,608800,15.50
2015-12-03,15.40,15.70,15.40,15.45,1363500,15.45
2015-12-02,15.45,15.60,15.35,15.45,874500,15.45
2015-12-01,15.45,15.50,15.25,15.50,810300,15.50
2015-11-30,15.00,15.45,15.00,15.45,826800,15.45
2015-11-27,14.90,15.10,14.85,15.00,439200,15.00
2015-11-26,14.95,15.10,14.95,14.95,313200,14.95
2015-11-25,14.95,15.15,14.95,15.00,608700,15.00
2015-11-24,15.15,15.15,14.75,14.95,759200,14.95
2015-11-23,15.30,15.30,15.10,15.10,671200,15.10
2015-11-20,15.50,15.50,15.20,15.20,584100,15.20
2015-11-19,15.35,15.50,15.20,15.45,648900,15.45
2015-11-18,15.40,15.45,15.25,15.35,515500,15.35
2015-11-17,15.25,15.45,15.15,15.45,904000,15.45
2015-11-16,15.15,15.25,14.95,15.10,683900,15.10
2015-11-13,15.00,15.45,15.00,15.35,1262600,15.35
2015-11-12,15.30,15.30,14.90,15.05,728200,15.05
2015-11-11,15.05,15.50,14.90,15.25,1076400,15.25
2015-11-10,15.20,15.30,14.90,14.90,544600,14.90
2015-11-09,15.25,15.35,15.15,15.20,733000,15.20
2015-11-06,15.05,15.25,15.00,15.20,787600,15.20
2015-11-05,15.00,15.05,14.95,15.00,503400,15.00
2015-11-04,15.00,15.10,14.90,14.95,623900,14.95
2015-11-03,14.75,15.00,14.75,14.90,703700,14.90
2015-11-02,14.45,14.80,14.45,14.75,659900,14.75
2015-10-30,14.60,14.65,14.30,14.55,1554000,14.55
2015-10-29,14.75,14.85,14.55,14.55,971400,14.55
2015-10-28,14.65,14.80,14.60,14.65,840700,14.65
2015-10-27,15.05,15.05,14.65,14.65,1004900,14.65
2015-10-26,15.10,15.25,15.00,15.05,1209500,15.05
2015-10-23,14.80,15.05,14.70,15.05,2772900,15.05
2015-10-22,14.00,14.80,13.95,14.80,4292300,14.80
2015-10-21,13.60,13.70,13.45,13.50,928700,13.50
2015-10-20,13.50,13.60,13.40,13.55,773200,13.55
2015-10-19,13.45,13.65,13.40,13.50,1063100,13.50
2015-10-16,13.45,13.60,13.35,13.50,937500,13.50
