Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,48.815,48.815,47.81,48.545,671400,47.428
2016-03-31,49.685,49.735,49.245,49.245,1130600,48.112
2016-03-30,48.605,49.90,48.525,49.815,973800,48.669
2016-03-29,47.955,48.485,47.90,48.33,667500,47.218
2016-03-28,47.665,47.665,47.665,47.665,000,46.569
2016-03-25,47.665,47.665,47.665,47.665,000,46.569
2016-03-24,48.425,48.495,47.625,47.665,515600,46.569
2016-03-23,49.00,49.205,48.44,48.715,487700,47.594
2016-03-22,48.52,48.815,48.13,48.815,510900,47.692
2016-03-21,48.505,48.955,48.25,48.64,419000,47.521
2016-03-18,48.54,48.90,48.435,48.825,1001400,47.702
2016-03-17,48.46,48.62,47.63,48.62,800100,47.502
2016-03-16,48.09,48.305,47.745,48.215,682100,47.106
2016-03-15,48.115,48.18,47.72,47.915,530200,46.813
2016-03-14,48.215,48.43,48.01,48.255,612300,47.145
2016-03-11,47.035,47.91,46.85,47.885,685800,46.784
2016-03-10,47.17,48.485,46.445,46.475,1303200,45.406
2016-03-09,47.185,47.725,47.05,47.24,828200,46.153
2016-03-08,46.295,47.605,46.025,47.05,1186500,45.968
2016-03-07,46.355,46.575,45.99,46.555,509000,45.484
2016-03-04,46.39,46.935,46.15,46.50,598900,45.43
2016-03-03,46.515,46.575,46.12,46.275,474700,45.211
2016-03-02,46.70,46.765,46.22,46.265,989500,45.201
2016-03-01,45.20,46.65,45.085,46.595,815400,45.523
2016-02-29,44.875,45.915,44.625,45.915,732400,44.859
2016-02-26,45.295,45.48,45.00,45.19,978700,44.151
2016-02-25,44.73,45.115,44.42,44.885,629700,43.853
2016-02-24,44.865,44.865,43.755,44.13,1191400,43.115
2016-02-23,44.775,45.195,44.53,44.76,603900,43.73
2016-02-22,45.095,45.195,44.855,45.075,856600,44.038
2016-02-19,44.435,44.78,44.155,44.645,788800,43.618
2016-02-18,44.83,44.83,44.035,44.455,983500,43.432
2016-02-17,43.98,45.23,43.98,44.95,869700,43.916
2016-02-16,44.035,44.23,43.60,43.80,973900,42.792
2016-02-15,43.00,43.955,42.51,43.825,1303400,42.817
2016-02-12,42.00,42.44,41.54,42.34,1966100,41.366
2016-02-11,43.44,44.09,42.97,43.085,1996800,42.094
2016-02-10,46.50,46.87,45.55,46.03,1609300,44.971
2016-02-09,46.87,46.925,45.595,46.205,1344400,45.142
2016-02-08,49.355,49.37,46.70,46.93,1272000,45.851
2016-02-05,49.625,50.20,49.07,49.275,1227900,48.142
2016-02-04,50.45,50.51,49.16,49.635,1016700,48.493
2016-02-03,49.925,50.29,49.39,49.875,969500,48.728
2016-02-02,50.77,50.77,49.48,49.855,610300,48.708
2016-02-01,50.89,50.97,50.30,50.75,522000,49.583
2016-01-29,49.53,50.72,49.355,50.72,1318900,49.553
2016-01-28,49.03,49.57,48.58,48.975,809200,47.848
2016-01-27,49.00,49.395,48.76,49.395,685500,48.259
