Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.05,0.05,0.05,0.05,000,0.05
2016-03-31,0.05,0.05,0.05,0.05,000,0.05
2016-03-30,0.05,0.05,0.05,0.05,2000,0.05
2016-03-29,0.05,0.05,0.05,0.05,000,0.05
2016-03-28,0.05,0.05,0.05,0.05,200,0.05
2016-03-24,0.06,0.06,0.06,0.06,126000,0.06
2016-03-23,0.05,0.05,0.05,0.05,11800,0.05
2016-03-22,0.05,0.05,0.05,0.05,4600,0.05
2016-03-21,0.05,0.05,0.05,0.05,18000,0.05
2016-03-18,0.06,0.06,0.06,0.06,1600,0.06
2016-03-17,0.07,0.07,0.07,0.07,41600,0.07
2016-03-16,0.07,0.07,0.07,0.07,000,0.07
2016-03-15,0.05,0.08,0.05,0.07,74300,0.07
2016-03-14,0.05,0.05,0.05,0.05,25100,0.05
2016-03-11,0.06,0.06,0.04,0.04,610000,0.04
2016-03-10,0.04,0.06,0.04,0.06,261400,0.06
2016-03-09,0.04,0.04,0.04,0.04,000,0.04
2016-03-08,0.04,0.04,0.04,0.04,5000,0.04
2016-03-07,0.04,0.04,0.04,0.04,5000,0.04
2016-03-04,0.04,0.04,0.04,0.04,20000,0.04
2016-03-03,0.04,0.04,0.04,0.04,6300,0.04
2016-03-02,0.04,0.04,0.04,0.04,5000,0.04
2016-03-01,0.04,0.04,0.04,0.04,000,0.04
2016-02-29,0.04,0.04,0.04,0.04,74700,0.04
2016-02-26,0.04,0.04,0.04,0.04,68800,0.04
2016-02-25,0.04,0.04,0.04,0.04,500,0.04
2016-02-24,0.04,0.04,0.04,0.04,44500,0.04
2016-02-23,0.04,0.04,0.04,0.04,000,0.04
2016-02-22,0.04,0.04,0.04,0.04,88400,0.04
2016-02-19,0.04,0.04,0.04,0.04,6000,0.04
2016-02-18,0.03,0.03,0.03,0.03,2000,0.03
2016-02-17,0.04,0.04,0.03,0.04,666900,0.04
2016-02-16,0.04,0.04,0.04,0.04,000,0.04
2016-02-12,0.04,0.04,0.04,0.04,40800,0.04
2016-02-11,0.04,0.04,0.04,0.04,101300,0.04
2016-02-10,0.04,0.04,0.04,0.04,000,0.04
2016-02-09,0.04,0.04,0.04,0.04,8000,0.04
2016-02-08,0.03,0.03,0.03,0.03,000,0.03
2016-02-05,0.03,0.03,0.03,0.03,000,0.03
2016-02-04,0.03,0.03,0.03,0.03,000,0.03
2016-02-03,0.04,0.04,0.03,0.03,25100,0.03
2016-02-02,0.03,0.03,0.03,0.03,000,0.03
2016-02-01,0.03,0.03,0.03,0.03,000,0.03
2016-01-29,0.03,0.03,0.03,0.03,34500,0.03
2016-01-28,0.03,0.03,0.03,0.03,900,0.03
2016-01-27,0.03,0.03,0.03,0.03,3300,0.03
2016-01-26,0.03,0.03,0.03,0.03,18400,0.03
2016-01-25,0.03,0.03,0.03,0.03,328600,0.03
2016-01-22,0.04,0.04,0.03,0.03,25000,0.03
2016-01-21,0.04,0.04,0.03,0.03,1300,0.03
2016-01-20,0.04,0.04,0.04,0.04,101300,0.04
2016-01-19,0.04,0.04,0.04,0.04,10000,0.04
2016-01-15,0.04,0.04,0.04,0.04,000,0.04
2016-01-14,0.04,0.04,0.04,0.04,5000,0.04
2016-01-13,0.04,0.05,0.04,0.05,3500,0.05
2016-01-12,0.04,0.04,0.04,0.04,69600,0.04
2016-01-11,0.04,0.05,0.04,0.05,37500,0.05
2016-01-08,0.04,0.04,0.04,0.04,80000,0.04
2016-01-07,0.04,0.04,0.04,0.04,12700,0.04
2016-01-06,0.04,0.04,0.04,0.04,50000,0.04
2016-01-05,0.04,0.05,0.04,0.04,241100,0.04
2016-01-04,0.04,0.04,0.04,0.04,191500,0.04
2015-12-31,0.05,0.05,0.04,0.04,657000,0.04
2015-12-30,0.04,0.05,0.04,0.04,47000,0.04
2015-12-29,0.04,0.05,0.04,0.04,83600,0.04
2015-12-28,0.04,0.05,0.04,0.04,86900,0.04
2015-12-24,0.04,0.04,0.04,0.04,8000,0.04
2015-12-23,0.04,0.04,0.04,0.04,30500,0.04
2015-12-22,0.04,0.04,0.04,0.04,200,0.04
2015-12-21,0.05,0.05,0.04,0.04,21000,0.04
2015-12-18,0.05,0.05,0.04,0.04,61000,0.04
2015-12-17,0.05,0.05,0.05,0.05,5000,0.05
2015-12-16,0.03,0.06,0.03,0.05,206400,0.05
2015-12-15,0.02,0.03,0.02,0.03,1893200,0.03
2015-12-14,0.03,0.03,0.02,0.02,105600,0.02
2015-12-11,0.02,0.02,0.02,0.02,12500,0.02
2015-12-10,0.02,0.02,0.02,0.02,000,0.02
2015-12-09,0.03,0.03,0.02,0.02,204200,0.02
2015-12-08,0.03,0.03,0.03,0.03,43000,0.03
2015-12-07,0.03,0.03,0.03,0.03,130500,0.03
2015-12-04,0.04,0.04,0.03,0.03,61500,0.03
2015-12-03,0.05,0.05,0.04,0.04,190000,0.04
2015-12-02,0.04,0.04,0.04,0.04,25000,0.04
2015-12-01,0.04,0.04,0.04,0.04,000,0.04
2015-11-30,0.04,0.04,0.04,0.04,900,0.04
2015-11-27,0.03,0.03,0.03,0.03,000,0.03
2015-11-25,0.03,0.03,0.03,0.03,000,0.03
2015-11-24,0.04,0.04,0.03,0.03,26000,0.03
