Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.01,1.015,0.99,1.00,2833400,1.00
2016-03-31,1.01,1.015,1.00,1.01,4389000,1.01
2016-03-30,1.00,1.015,1.00,1.01,2639800,1.01
2016-03-29,1.00,1.005,0.995,1.00,822800,1.00
2016-03-28,1.005,1.005,0.99,1.00,6613800,1.00
2016-03-25,1.005,1.005,1.005,1.005,000,1.005
2016-03-24,1.015,1.02,0.995,1.005,6005000,1.005
2016-03-23,1.00,1.015,1.00,1.01,3481800,1.01
2016-03-22,1.01,1.02,1.00,1.00,6496600,1.00
2016-03-21,1.01,1.025,1.005,1.01,4519000,1.01
2016-03-18,0.995,1.015,0.99,1.005,5866000,1.005
2016-03-17,0.985,0.995,0.985,0.99,5538700,0.99
2016-03-16,0.975,0.98,0.97,0.98,2990600,0.98
2016-03-15,0.975,0.98,0.97,0.975,3991900,0.975
2016-03-14,0.985,0.985,0.975,0.98,2159300,0.98
2016-03-11,0.97,0.985,0.97,0.985,4888600,0.985
2016-03-10,0.98,0.985,0.97,0.97,1729200,0.97
2016-03-09,0.965,0.98,0.96,0.975,5117000,0.975
2016-03-08,0.97,0.97,0.96,0.96,3946400,0.96
2016-03-07,0.98,0.985,0.965,0.97,8708700,0.97
2016-03-04,0.98,0.985,0.97,0.98,5809100,0.98
2016-03-03,0.975,0.98,0.97,0.975,9660200,0.975
2016-03-02,0.975,0.985,0.97,0.975,9549900,0.975
2016-03-01,0.975,0.98,0.97,0.97,2141800,0.97
2016-02-29,0.965,0.98,0.965,0.975,4195200,0.975
2016-02-26,0.965,0.975,0.96,0.975,3972900,0.975
2016-02-25,0.975,0.98,0.955,0.965,3006700,0.965
2016-02-24,0.985,0.985,0.97,0.97,5954700,0.97
2016-02-23,0.975,0.99,0.97,0.985,6205600,0.985
2016-02-22,0.965,0.98,0.965,0.975,3561800,0.975
2016-02-19,0.955,0.965,0.955,0.965,1412900,0.965
2016-02-18,0.945,0.965,0.945,0.965,7074700,0.965
2016-02-17,0.94,0.945,0.94,0.945,6277300,0.945
2016-02-16,0.935,0.95,0.935,0.94,8783200,0.94
2016-02-15,0.935,0.94,0.93,0.94,4169100,0.94
2016-02-12,0.93,0.935,0.925,0.925,7014800,0.925
2016-02-11,0.95,0.955,0.925,0.925,4438200,0.925
2016-02-10,0.95,0.96,0.94,0.955,4479000,0.955
2016-02-09,0.955,0.955,0.955,0.955,000,0.955
2016-02-08,0.955,0.955,0.955,0.955,000,0.955
2016-02-05,0.945,0.955,0.94,0.955,4625600,0.955
2016-02-04,0.945,0.955,0.94,0.94,2789400,0.94
2016-02-03,0.945,0.95,0.935,0.935,1865500,0.935
2016-02-02,0.945,0.955,0.94,0.95,4361400,0.95
2016-02-01,0.94,0.945,0.935,0.945,3168200,0.945
2016-01-29,0.94,0.94,0.925,0.94,3703400,0.94
2016-01-28,0.955,0.965,0.95,0.96,10357300,0.9413
2016-01-27,0.935,0.965,0.935,0.965,8185400,0.9462
2016-01-26,0.91,0.94,0.91,0.93,10523100,0.91188
2016-01-25,0.925,0.925,0.91,0.91,4656600,0.89227
2016-01-22,0.925,0.93,0.91,0.92,4180900,0.90208
2016-01-21,0.935,0.94,0.92,0.925,5550900,0.90698
2016-01-20,0.955,0.96,0.935,0.94,5185200,0.92169
2016-01-19,0.96,0.965,0.955,0.96,7608500,0.9413
2016-01-18,0.975,0.975,0.955,0.965,3754800,0.9462
2016-01-15,0.98,0.985,0.97,0.975,3998200,0.95601
2016-01-14,0.98,0.985,0.975,0.98,3286200,0.96091
2016-01-13,0.98,0.99,0.98,0.985,1501600,0.96581
2016-01-12,0.975,0.985,0.975,0.98,1101400,0.96091
2016-01-11,0.985,0.99,0.975,0.975,2088600,0.95601
2016-01-08,0.985,0.995,0.98,0.985,4827300,0.96581
2016-01-07,0.995,1.00,0.98,0.985,8236800,0.96581
2016-01-06,1.00,1.005,0.995,1.00,1684400,0.98052
2016-01-05,0.99,1.00,0.99,1.00,1412300,0.98052
2016-01-04,0.995,0.995,0.985,0.99,1939100,0.97072
2016-01-01,0.99,0.99,0.99,0.99,000,0.97072
2015-12-31,0.995,1.00,0.99,0.99,1673200,0.97072
2015-12-30,0.995,1.00,0.995,0.995,556500,0.97562
2015-12-29,0.99,1.00,0.985,1.00,1336600,0.98052
2015-12-28,0.995,0.995,0.99,0.99,657200,0.97072
2015-12-25,0.995,0.995,0.995,0.995,000,0.97562
2015-12-24,1.00,1.00,0.99,0.995,1376800,0.97562
2015-12-23,0.995,1.00,0.995,0.995,735200,0.97562
2015-12-22,0.995,1.00,0.99,0.995,2469800,0.97562
2015-12-21,1.00,1.00,0.99,0.995,1842500,0.97562
2015-12-18,1.01,1.01,0.995,1.00,4505300,0.98052
2015-12-17,0.995,1.02,0.99,1.015,7741200,0.99523
2015-12-16,0.99,1.00,0.985,0.99,3278800,0.97072
2015-12-15,0.985,0.99,0.98,0.985,2182000,0.96581
2015-12-14,0.98,0.985,0.975,0.98,3669000,0.96091
2015-12-11,0.995,1.005,0.985,0.99,3558500,0.97072
2015-12-10,1.01,1.01,0.995,1.00,3870000,0.98052
2015-12-09,1.00,1.01,0.995,1.005,4001700,0.98542
2015-12-08,1.00,1.01,0.995,1.005,4808000,0.98542
2015-12-07,1.02,1.02,1.005,1.01,2808000,0.99033
2015-12-04,1.01,1.025,1.005,1.015,2267700,0.99523
2015-12-03,1.01,1.02,1.01,1.01,2159500,0.99033
2015-12-02,1.02,1.025,1.01,1.01,3422200,0.99033
2015-12-01,1.00,1.025,1.00,1.025,4332000,1.00503
2015-11-30,1.005,1.01,1.00,1.005,1693500,0.98542
2015-11-27,1.005,1.015,1.005,1.01,1814500,0.99033
2015-11-26,1.01,1.015,1.005,1.005,2121700,0.98542
2015-11-25,1.02,1.02,1.005,1.005,2982100,0.98542
2015-11-24,1.015,1.02,1.015,1.02,2090300,1.00013
2015-11-23,1.00,1.02,1.00,1.015,3513400,0.99523
2015-11-20,1.01,1.01,1.00,1.005,2885800,0.98542
2015-11-19,1.00,1.015,1.00,1.015,2904700,0.99523
2015-11-18,1.00,1.00,0.995,0.995,1124400,0.97562
2015-11-17,0.99,1.00,0.99,0.995,2242900,0.97562
2015-11-16,0.985,0.99,0.98,0.985,3133500,0.96581
2015-11-13,1.00,1.005,0.99,0.99,3766300,0.97072
2015-11-12,0.995,1.015,0.995,1.005,5466800,0.98542
2015-11-11,1.00,1.01,0.995,1.00,6933400,0.98052
2015-11-10,1.01,1.01,1.01,1.01,000,0.99033
2015-11-09,1.005,1.015,1.00,1.01,2859300,0.99033
2015-11-06,1.03,1.03,1.01,1.015,6177500,0.99523
2015-11-05,1.015,1.03,1.015,1.02,5261400,1.00013
2015-11-04,1.015,1.025,1.01,1.025,3427800,1.00503
2015-11-03,1.015,1.025,1.01,1.02,2432800,1.00013
2015-11-02,1.02,1.02,1.00,1.005,3495800,0.98542
2015-10-30,1.02,1.025,1.005,1.02,7020900,1.00013
2015-10-29,1.035,1.04,1.015,1.02,4552400,1.00013
2015-10-28,1.02,1.025,1.015,1.02,2811800,1.00013
2015-10-27,1.02,1.025,1.015,1.02,3240400,1.00013
2015-10-26,1.02,1.025,1.015,1.02,3107700,1.00013
2015-10-23,1.02,1.02,1.005,1.015,4044000,0.99523
2015-10-22,1.02,1.04,1.02,1.03,6344600,0.9917
2015-10-21,1.02,1.025,1.015,1.02,3956800,0.98207
2015-10-20,1.03,1.035,1.02,1.02,4518100,0.98207
2015-10-19,1.03,1.035,1.025,1.035,1909500,0.99651
2015-10-16,1.025,1.035,1.02,1.03,2714700,0.9917
2015-10-15,1.02,1.03,1.015,1.025,3346200,0.98688
2015-10-14,1.015,1.025,1.01,1.025,2764200,0.98688
2015-10-13,1.02,1.025,1.01,1.015,2659700,0.97726
2015-10-12,1.015,1.025,1.01,1.02,3722500,0.98207
2015-10-09,1.01,1.025,1.005,1.015,4720900,0.97726
2015-10-08,1.01,1.01,1.00,1.005,5762700,0.96763
2015-10-07,1.01,1.02,1.00,1.01,4244200,0.97244
2015-10-06,1.00,1.01,0.99,1.01,4485300,0.97244
2015-10-05,0.985,1.00,0.985,0.995,4050900,0.958
2015-10-02,0.99,0.99,0.975,0.98,2998300,0.94356
2015-10-01,0.98,0.995,0.98,0.985,3387600,0.94837
2015-09-30,0.98,0.995,0.98,0.98,5166500,0.94356
2015-09-29,0.985,0.99,0.975,0.98,4254700,0.94356
2015-09-28,0.995,1.00,0.985,0.985,4315600,0.94837
2015-09-25,0.99,1.00,0.985,1.00,4616800,0.96281
2015-09-24,0.99,0.99,0.99,0.99,000,0.95319
2015-09-23,0.99,1.005,0.99,0.99,1866500,0.95319
2015-09-22,0.99,1.005,0.99,0.995,2487700,0.958
2015-09-21,0.995,1.00,0.985,0.995,7775500,0.958
2015-09-18,1.00,1.015,0.995,0.995,13258300,0.958
2015-09-17,1.00,1.005,0.985,0.995,4054900,0.958
2015-09-16,1.00,1.005,0.995,1.00,2811000,0.96281
2015-09-15,1.005,1.01,0.995,1.005,1117000,0.96763
2015-09-14,1.005,1.01,0.995,1.00,2615500,0.96281
2015-09-11,1.01,1.01,1.01,1.01,000,0.97244
2015-09-10,1.015,1.02,1.01,1.01,2894000,0.97244
2015-09-09,1.04,1.045,1.03,1.04,3041900,1.00133
2015-09-08,1.03,1.03,1.005,1.01,3093500,0.97244
2015-09-07,1.005,1.02,1.00,1.01,1899800,0.97244
2015-09-04,1.005,1.04,0.995,1.015,3621900,0.97726
2015-09-03,0.975,1.005,0.975,0.995,1634700,0.958
2015-09-02,0.965,0.98,0.965,0.975,2312000,0.93874
2015-09-01,0.985,1.00,0.975,0.975,4122800,0.93874
2015-08-31,1.03,1.03,0.98,0.98,4409600,0.94356
2015-08-28,1.02,1.025,1.01,1.015,3242300,0.97726
2015-08-27,0.97,1.00,0.97,0.99,5387700,0.95319
2015-08-26,0.95,0.985,0.95,0.96,7157600,0.9243
2015-08-25,0.925,0.97,0.925,0.96,14279100,0.9243
2015-08-24,1.00,1.005,0.97,0.97,5595000,0.93393
2015-08-21,1.00,1.01,0.995,1.01,6619700,0.97244
2015-08-20,1.025,1.03,1.005,1.005,4290100,0.96763
