Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5.91,5.98,5.91,5.98,1100,5.98
2016-03-31,5.96,5.96,5.95,5.95,400,5.95
2016-03-30,5.901,5.93,5.901,5.93,400,5.93
2016-03-29,5.999,6.00,5.999,6.00,200,6.00
2016-03-28,6.02,6.02,6.02,6.02,000,6.02
2016-03-25,6.02,6.02,6.02,6.02,000,6.02
2016-03-24,6.02,6.02,6.02,6.02,800,6.02
2016-03-23,6.10,6.10,6.10,6.10,000,6.10
2016-03-22,6.10,6.10,6.00,6.10,1400,6.10
2016-03-21,5.89,6.10,5.87,6.10,5200,6.10
2016-03-18,5.85,5.87,5.85,5.87,1800,5.87
2016-03-17,5.85,5.85,5.85,5.85,500,5.85
2016-03-16,5.859,5.859,5.859,5.859,000,5.859
2016-03-15,5.85,5.859,5.85,5.859,900,5.859
2016-03-14,5.855,5.855,5.855,5.855,000,5.855
2016-03-11,5.855,5.855,5.855,5.855,000,5.855
2016-03-10,5.879,5.879,5.855,5.855,2100,5.855
2016-03-09,5.916,5.916,5.86,5.86,6900,5.86
2016-03-08,6.015,6.015,6.015,6.015,700,6.015
2016-03-07,6.015,6.015,6.015,6.015,2900,6.015
2016-03-04,6.016,6.016,6.016,6.016,000,6.016
2016-03-03,6.016,6.016,6.016,6.016,000,6.016
2016-03-02,6.049,6.05,6.049,6.05,300,6.05
2016-03-01,5.80,5.95,5.80,5.95,1700,5.95
2016-02-29,5.846,5.846,5.845,5.845,000,5.845
2016-02-26,5.844,5.844,5.844,5.844,000,5.844
2016-02-25,5.844,5.844,5.844,5.844,4000,5.844
2016-02-24,5.80,5.80,5.80,5.80,000,5.80
2016-02-23,5.94,5.94,5.80,5.80,6200,5.80
2016-02-22,5.951,5.951,5.95,5.951,3300,5.951
2016-02-19,6.01,6.01,6.01,6.01,000,6.01
2016-02-18,6.01,6.01,6.01,6.01,000,6.01
2016-02-17,6.009,6.05,6.009,6.01,1500,6.01
2016-02-16,5.90,6.01,5.90,6.01,2800,6.01
2016-02-15,5.80,5.80,5.80,5.80,1000,5.80
2016-02-12,5.80,5.80,5.80,5.80,2000,5.80
2016-02-11,6.00,6.00,6.00,6.00,000,6.00
2016-02-10,6.00,6.00,6.00,6.00,000,6.00
2016-02-09,6.00,6.00,6.00,6.00,000,6.00
2016-02-08,6.00,6.00,6.00,6.00,000,6.00
2016-02-05,6.00,6.00,6.00,6.00,300,6.00
2016-02-04,6.00,6.00,6.00,6.00,100,6.00
2016-02-03,6.13,6.13,6.13,6.13,000,6.13
2016-02-02,6.13,6.13,6.13,6.13,000,6.13
2016-02-01,6.13,6.13,6.13,6.13,000,6.13
2016-01-29,6.108,6.13,6.108,6.13,100,6.13
2016-01-28,6.139,6.139,6.139,6.139,000,6.139
2016-01-27,6.139,6.139,6.139,6.139,000,6.139
2016-01-26,6.139,6.139,6.139,6.139,000,6.139
2016-01-25,6.139,6.139,6.139,6.139,000,6.139
2016-01-22,6.139,6.139,6.139,6.139,000,6.139
2016-01-21,6.169,6.169,6.169,6.169,100,6.169
2016-01-20,6.079,6.079,6.079,6.079,000,6.079
2016-01-19,6.051,6.051,6.051,6.051,000,6.051
2016-01-18,6.15,6.15,6.051,6.051,500,6.051
2016-01-15,6.16,6.16,6.159,6.16,1600,6.16
2016-01-14,6.22,6.22,6.22,6.22,400,6.22
2016-01-13,6.33,6.33,6.33,6.33,000,6.33
2016-01-12,6.23,6.33,6.23,6.33,2600,6.33
2016-01-11,6.22,6.23,6.22,6.23,1500,6.23
2016-01-08,6.15,6.15,6.15,6.15,000,6.15
2016-01-07,6.10,6.20,6.10,6.15,6200,6.15
2016-01-06,6.199,6.20,6.199,6.20,1100,6.20
2016-01-05,6.22,6.22,6.22,6.22,100,6.22
2016-01-04,5.88,6.168,5.88,6.168,4100,6.168
2016-01-01,5.90,5.90,5.90,5.90,000,5.90
2015-12-31,5.90,5.90,5.90,5.90,000,5.90
2015-12-30,5.80,5.90,5.80,5.90,3300,5.90
2015-12-29,5.859,5.95,5.80,5.85,6500,5.85
2015-12-28,5.85,5.85,5.85,5.85,500,5.85
2015-12-25,5.857,5.857,5.857,5.857,000,5.857
2015-12-24,5.857,5.857,5.857,5.857,000,5.857
2015-12-23,5.80,5.857,5.80,5.857,1100,5.857
2015-12-22,5.88,5.88,5.819,5.819,2300,5.819
2015-12-21,5.916,5.916,5.916,5.916,000,5.916
2015-12-18,5.951,5.951,5.916,5.916,2000,5.916
2015-12-17,5.999,5.999,5.999,5.999,000,5.999
2015-12-16,5.851,6.00,5.809,5.999,8600,5.999
2015-12-15,5.90,5.90,5.90,5.90,000,5.90
2015-12-14,5.90,5.90,5.90,5.90,000,5.90
2015-12-11,5.95,5.95,5.90,5.90,800,5.90
2015-12-10,6.05,6.05,6.05,6.05,000,6.05
2015-12-09,6.05,6.05,6.05,6.05,000,6.05
2015-12-08,6.069,6.07,6.05,6.05,1600,6.05
2015-12-07,6.009,6.009,6.009,6.009,000,6.009
2015-12-04,6.009,6.009,6.009,6.009,800,6.009
2015-12-03,5.954,6.00,5.925,5.925,3500,5.925
2015-12-02,6.052,6.053,6.052,6.053,1500,6.053
2015-12-01,5.925,5.925,5.925,5.925,000,5.925
2015-11-30,5.931,5.931,5.90,5.925,3100,5.925
2015-11-27,5.999,6.001,5.999,6.001,4300,6.001
2015-11-26,6.05,6.05,6.01,6.01,2000,6.01
2015-11-25,6.039,6.039,6.01,6.01,1800,6.01
2015-11-24,5.95,5.95,5.95,5.95,1500,5.95
2015-11-23,6.04,6.04,5.95,5.95,1400,5.95
2015-11-20,6.018,6.018,6.018,6.018,1500,6.018
2015-11-19,6.11,6.11,6.00,6.11,2300,6.11
2015-11-18,6.11,6.15,6.11,6.15,900,6.15
2015-11-17,6.01,6.01,6.01,6.01,200,6.01
2015-11-16,6.01,6.01,6.01,6.01,300,6.01
2015-11-13,6.001,6.001,6.001,6.001,000,6.001
2015-11-12,6.051,6.051,6.001,6.001,3800,6.001
2015-11-11,6.05,6.05,6.05,6.05,000,6.05
2015-11-10,6.05,6.05,6.05,6.05,200,6.05
2015-11-09,6.141,6.141,6.141,6.141,000,6.141
2015-11-06,6.014,6.141,6.013,6.141,1800,6.141
2015-11-05,6.049,6.05,6.049,6.05,1900,6.05
2015-11-04,6.05,6.05,6.05,6.05,000,6.05
2015-11-03,6.05,6.05,6.05,6.05,000,6.05
2015-11-02,6.05,6.05,6.049,6.05,800,6.05
2015-10-30,6.05,6.05,6.05,6.05,000,6.05
2015-10-29,6.05,6.05,6.05,6.05,200,6.05
2015-10-28,6.05,6.05,6.04,6.04,800,6.04
2015-10-27,6.05,6.05,6.05,6.05,2200,6.05
2015-10-26,6.08,6.08,6.08,6.08,400,6.08
2015-10-23,6.118,6.119,6.05,6.118,2400,6.118
2015-10-22,6.081,6.081,6.081,6.081,700,6.081
2015-10-21,6.05,6.05,6.05,6.05,000,6.05
2015-10-20,6.051,6.051,6.05,6.05,1500,6.05
2015-10-19,6.092,6.092,6.092,6.092,300,6.092
2015-10-16,6.002,6.002,6.002,6.002,600,6.002
2015-10-15,6.101,6.101,6.101,6.101,000,6.101
2015-10-14,6.101,6.101,6.101,6.101,000,6.101
2015-10-13,6.101,6.101,6.101,6.101,000,6.101
2015-10-12,6.101,6.101,6.101,6.101,000,6.101
2015-10-09,6.01,6.011,6.01,6.011,1100,6.011
2015-10-08,6.05,6.05,6.05,6.05,000,6.05
2015-10-07,6.05,6.05,6.05,6.05,000,6.05
2015-10-06,6.05,6.05,6.05,6.05,000,6.05
2015-10-05,5.999,6.05,5.999,6.05,1900,6.05
2015-10-02,5.95,5.95,5.95,5.95,000,5.95
2015-10-01,5.951,5.951,5.95,5.95,3100,5.95
2015-09-30,5.951,6.038,5.95,6.038,700,6.038
2015-09-29,5.90,5.999,5.862,5.999,3100,5.999
2015-09-28,6.019,6.019,6.019,6.019,000,6.019
2015-09-25,5.97,6.02,5.97,6.019,3700,6.019
2015-09-24,6.01,6.01,5.95,5.95,1800,5.95
2015-09-23,6.001,6.013,6.001,6.009,4200,6.009
2015-09-22,6.083,6.084,6.083,6.084,1100,6.084
2015-09-21,6.119,6.119,6.119,6.119,000,6.119
2015-09-18,6.119,6.119,6.119,6.119,600,6.119
2015-09-17,6.06,6.06,6.06,6.06,000,6.06
2015-09-16,5.971,6.06,5.97,6.06,2800,6.06
2015-09-15,6.05,6.05,6.05,6.05,000,6.05
2015-09-14,6.07,6.099,6.05,6.05,2500,6.05
2015-09-11,6.286,6.456,6.16,6.16,10300,6.16
2015-09-10,6.361,6.361,6.361,6.361,1200,6.361
2015-09-09,6.35,6.35,6.35,6.35,000,6.35
2015-09-08,6.40,6.50,6.25,6.35,12400,6.35
2015-09-07,6.053,6.30,6.053,6.30,2200,6.30
2015-09-04,6.072,6.072,6.072,6.072,000,6.072
2015-09-03,6.072,6.072,6.072,6.072,000,6.072
2015-09-02,6.072,6.072,6.072,6.072,000,6.072
2015-09-01,6.072,6.072,6.072,6.072,100,6.072
2015-08-31,6.051,6.051,6.051,6.051,000,6.051
2015-08-28,6.051,6.051,6.051,6.051,000,6.051
2015-08-27,6.086,6.086,6.051,6.051,1700,6.051
2015-08-26,5.996,5.996,5.996,5.996,200,5.996
2015-08-25,5.851,5.907,5.851,5.907,900,5.907
2015-08-24,5.951,5.951,5.90,5.90,6200,5.90
2015-08-21,5.998,6.087,5.998,6.00,2700,6.00
2015-08-20,6.11,6.28,6.05,6.05,8200,6.05
2015-08-19,6.204,6.296,6.112,6.112,3000,6.112
2015-08-18,6.14,6.14,6.14,6.14,000,6.14
2015-08-17,6.162,6.17,6.14,6.14,2400,6.14
2015-08-14,6.162,6.162,6.162,6.162,000,6.162
2015-08-13,6.162,6.162,6.162,6.162,000,6.162
2015-08-12,6.217,6.217,6.162,6.162,1200,6.162
2015-08-11,6.281,6.281,6.28,6.281,1200,6.281
2015-08-10,6.301,6.301,6.301,6.301,300,6.301
