Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.007,0.007,0.005,0.0055,1473000,0.0055
2016-03-31,0.0079,0.008,0.0056,0.0072,1893800,0.0072
2016-03-30,0.0069,0.0079,0.0062,0.0075,3889200,0.0075
2016-03-29,0.004,0.007,0.0035,0.0063,7167700,0.0063
2016-03-28,0.0043,0.005,0.0037,0.0037,2793100,0.0037
2016-03-24,0.005,0.005,0.0031,0.0037,3891300,0.0037
2016-03-23,0.0045,0.0052,0.004,0.005,789800,0.005
2016-03-22,0.0051,0.006,0.0043,0.005,4870400,0.005
2016-03-21,0.0069,0.0074,0.004,0.005,3403100,0.005
2016-03-18,0.007,0.007,0.006,0.0065,1445500,0.0065
2016-03-17,0.007,0.0072,0.0062,0.007,900900,0.007
2016-03-16,0.0078,0.0078,0.0055,0.0069,1167500,0.0069
2016-03-15,0.0075,0.0078,0.007,0.0078,380100,0.0078
2016-03-14,0.0079,0.0079,0.0065,0.007,1238400,0.007
2016-03-11,0.007,0.0072,0.0065,0.0069,829600,0.0069
2016-03-10,0.0072,0.0073,0.0065,0.0067,571800,0.0067
2016-03-09,0.0074,0.0074,0.0055,0.0065,649000,0.0065
2016-03-08,0.0073,0.0073,0.0062,0.0068,802600,0.0068
2016-03-07,0.0066,0.0075,0.0066,0.0066,794500,0.0066
2016-03-04,0.007,0.007,0.0061,0.007,770300,0.007
2016-03-03,0.0062,0.0073,0.0042,0.007,2534700,0.007
2016-03-02,0.009,0.009,0.006,0.0062,1916800,0.0062
2016-03-01,0.0085,0.009,0.0075,0.0075,622700,0.0075
2016-02-29,0.0089,0.009,0.0089,0.0089,619500,0.0089
2016-02-26,0.0091,0.0093,0.008,0.0085,696500,0.0085
2016-02-25,0.0093,0.0096,0.0086,0.0086,1442400,0.0086
2016-02-24,0.0103,0.0103,0.0094,0.0096,572600,0.0096
2016-02-23,0.0115,0.0115,0.0085,0.0104,598900,0.0104
2016-02-22,0.0127,0.0134,0.0096,0.0097,3688600,0.0097
2016-02-19,0.0092,0.015,0.0092,0.0125,4303800,0.0125
2016-02-18,0.0094,0.0115,0.009,0.011,1293200,0.011
2016-02-17,0.0085,0.0095,0.0083,0.009,1736900,0.009
2016-02-16,0.0092,0.0104,0.0082,0.0089,745100,0.0089
2016-02-12,0.0084,0.0095,0.0069,0.009,1405400,0.009
2016-02-11,0.0084,0.0084,0.007,0.008,461900,0.008
2016-02-10,0.0093,0.0093,0.0077,0.0077,285900,0.0077
2016-02-09,0.008,0.0093,0.008,0.0093,777400,0.0093
2016-02-08,0.0089,0.0089,0.0083,0.0085,247700,0.0085
2016-02-05,0.0085,0.0093,0.0082,0.0089,863200,0.0089
2016-02-04,0.0099,0.0099,0.0082,0.0082,1441600,0.0082
2016-02-03,0.0088,0.0109,0.008,0.0095,501300,0.0095
2016-02-02,0.0092,0.0095,0.008,0.0089,1756600,0.0089
2016-02-01,0.0088,0.01,0.0081,0.0092,808500,0.0092
2016-01-29,0.008,0.0095,0.0075,0.0095,1099600,0.0095
2016-01-28,0.0115,0.012,0.007,0.008,2131700,0.008
2016-01-27,0.0095,0.012,0.0085,0.01,919600,0.01
2016-01-26,0.011,0.0112,0.009,0.009,2329400,0.009
2016-01-25,0.0139,0.014,0.011,0.011,481000,0.011
2016-01-22,0.0117,0.0139,0.01,0.0132,804200,0.0132
2016-01-21,0.0125,0.015,0.01,0.012,641000,0.012
2016-01-20,0.0126,0.0138,0.0088,0.009,1320400,0.009
2016-01-19,0.0154,0.016,0.0122,0.0122,1058600,0.0122
2016-01-15,0.015,0.0169,0.013,0.0155,418400,0.0155
2016-01-14,0.0135,0.0177,0.013,0.0169,985000,0.0169
2016-01-13,0.02,0.02,0.012,0.0134,2059600,0.0134
2016-01-12,0.0197,0.0197,0.013,0.019,1699800,0.019
2016-01-11,0.0185,0.025,0.015,0.021,1696700,0.021
2016-01-08,0.014,0.018,0.013,0.018,2006900,0.018
2016-01-07,0.012,0.0135,0.0115,0.0132,709700,0.0132
2016-01-06,0.0188,0.0192,0.01,0.012,2554300,0.012
2016-01-05,0.0192,0.0192,0.0185,0.0191,1317100,0.0191
2016-01-04,0.029,0.0295,0.012,0.018,3452700,0.018
2015-12-31,0.0285,0.0295,0.0275,0.0283,1078300,0.0283
2015-12-30,0.028,0.03,0.027,0.028,2006200,0.028
2015-12-29,0.0194,0.027,0.019,0.027,3705000,0.027
2015-12-28,0.0197,0.02,0.0184,0.0199,1709500,0.0199
2015-12-24,0.018,0.019,0.014,0.0185,1029000,0.0185
2015-12-23,0.0125,0.0189,0.0125,0.0175,1814700,0.0175
2015-12-22,0.0091,0.0125,0.0091,0.0125,297200,0.0125
2015-12-21,0.0099,0.012,0.009,0.012,1071500,0.012
2015-12-18,0.0101,0.0109,0.007,0.0099,226900,0.0099
2015-12-17,0.0105,0.0125,0.0069,0.009,659600,0.009
2015-12-16,0.01,0.011,0.0089,0.0109,400500,0.0109
2015-12-15,0.0081,0.0099,0.0067,0.0099,446100,0.0099
2015-12-14,0.0093,0.0093,0.006,0.0092,519800,0.0092
2015-12-11,0.0085,0.0094,0.007,0.0092,1563600,0.0092
2015-12-10,0.01,0.01,0.0085,0.0088,121800,0.0088
