Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,21.45,21.45,20.10,21.45,200,21.45
2016-03-31,19.00,20.60,19.00,20.60,800,20.60
2016-03-30,18.60,19.65,18.60,19.65,900,19.65
2016-03-29,18.50,18.75,18.25,18.75,7200,18.75
2016-03-28,18.25,18.25,18.15,18.15,9000,18.15
2016-03-25,19.05,19.05,19.05,19.05,000,19.05
2016-03-24,19.05,19.05,19.05,19.05,000,19.05
2016-03-23,19.85,19.85,19.05,19.05,1500,19.05
2016-03-22,21.00,21.00,19.65,19.65,000,19.65
2016-03-21,19.80,20.00,19.80,20.00,500,20.00
2016-03-18,21.85,21.85,20.75,20.75,600,20.75
2016-03-17,19.55,20.85,19.55,20.85,100,20.85
2016-03-16,21.00,21.00,19.00,20.45,4000,20.45
2016-03-15,20.00,20.00,19.00,20.00,10000,20.00
2016-03-14,21.00,21.00,20.00,20.00,300,20.00
2016-03-11,22.00,22.00,20.00,20.00,2300,20.00
2016-03-10,21.00,21.00,21.00,21.00,000,21.00
2016-03-09,21.00,21.00,21.00,21.00,200,21.00
2016-03-08,22.90,22.90,20.80,20.80,5600,20.80
2016-03-07,21.85,21.85,21.85,21.85,000,21.85
2016-03-04,21.90,21.90,21.85,21.85,8100,21.85
2016-03-03,21.90,22.95,21.90,22.95,1400,22.95
2016-03-02,21.90,21.90,21.90,21.90,1200,21.90
2016-03-01,20.85,21.00,20.85,20.90,1000,20.90
2016-02-29,21.90,21.90,21.90,21.90,000,21.90
2016-02-26,21.90,21.90,21.90,21.90,000,21.90
2016-02-25,23.05,23.05,21.90,21.90,300,21.90
2016-02-24,22.60,22.60,21.90,22.00,1500,22.00
2016-02-23,21.65,21.65,21.40,21.55,7800,21.55
2016-02-22,22.50,22.50,22.50,22.50,400,22.50
2016-02-19,25.20,25.20,23.30,23.30,200,23.30
2016-02-18,24.00,25.20,23.95,24.05,500,24.05
2016-02-17,25.20,25.20,25.20,25.20,000,25.20
2016-02-16,26.50,26.50,24.05,24.05,000,24.05
2016-02-15,25.30,25.30,25.30,25.30,20300,25.30
2016-02-12,27.00,27.00,26.60,26.60,1000,26.60
2016-02-11,28.05,28.05,28.00,28.00,500,28.00
2016-02-10,29.50,30.45,29.45,29.45,1100,29.45
2016-02-09,31.00,31.00,29.45,31.00,14100,31.00
2016-02-08,30.30,33.00,30.30,31.00,300,31.00
2016-02-05,35.00,35.00,31.75,31.75,10400,31.75
2016-02-04,34.95,34.95,33.40,33.40,2300,33.40
2016-02-03,34.25,34.30,34.20,34.25,3500,34.25
2016-02-02,35.90,36.00,35.90,35.95,800,35.95
2016-02-01,35.45,35.45,35.45,35.45,000,35.45
2016-01-29,36.75,36.75,33.25,35.45,2600,35.45
2016-01-28,35.00,35.00,35.00,35.00,000,35.00
2016-01-27,34.75,35.00,34.75,35.00,400,35.00
2016-01-26,34.40,34.40,34.40,34.40,000,34.40
2016-01-25,36.00,36.00,34.25,34.40,1600,34.40
2016-01-22,36.00,36.00,36.00,36.00,300,36.00
2016-01-21,36.90,36.90,36.00,36.00,1000,36.00
2016-01-20,35.20,35.20,35.15,35.15,1200,35.15
2016-01-19,37.00,37.00,37.00,37.00,600,37.00
2016-01-18,36.25,36.35,36.25,36.30,1500,36.30
2016-01-15,40.95,40.95,37.95,38.10,1700,38.10
2016-01-14,39.05,39.05,38.95,39.00,1900,39.00
2016-01-13,41.50,41.50,41.00,41.00,800,41.00
2016-01-12,43.00,43.00,42.05,43.00,2100,43.00
2016-01-11,45.00,45.90,43.00,43.00,2600,43.00
2016-01-08,44.60,44.70,44.60,44.70,500,44.70
2016-01-07,42.30,46.40,42.30,45.00,1000,45.00
2016-01-06,46.00,46.00,44.50,44.50,2200,44.50
2016-01-05,43.90,43.90,43.70,43.85,2800,43.85
2016-01-04,42.00,42.10,40.00,42.10,6100,42.10
2016-01-01,40.00,40.10,40.00,40.10,100,40.10
2015-12-31,40.25,40.25,40.25,40.25,100,40.25
2015-12-30,39.25,42.70,39.25,41.05,300,41.05
2015-12-29,41.20,41.20,41.20,41.20,500,41.20
2015-12-28,46.50,46.50,42.85,42.85,500,42.85
2015-12-25,45.00,45.00,45.00,45.00,000,45.00
2015-12-24,44.50,46.20,44.50,45.00,1000,45.00
2015-12-23,46.60,46.60,46.55,46.60,17400,46.60
2015-12-22,43.50,46.10,43.00,46.10,19100,46.10
2015-12-21,40.90,43.95,40.90,43.95,1500,43.95
2015-12-18,40.50,43.00,40.00,42.95,7700,42.95
2015-12-17,39.50,41.70,39.50,41.70,7100,41.70
2015-12-16,38.20,39.75,38.20,39.75,10000,39.75
2015-12-15,35.00,37.90,35.00,37.90,1100,37.90
2015-12-14,38.00,38.00,36.10,36.15,17200,36.15
2015-12-11,39.60,39.60,37.55,38.00,3900,38.00
2015-12-10,37.30,39.50,37.30,39.50,1000,39.50
2015-12-09,39.00,39.50,37.05,39.25,1100,39.25
2015-12-08,38.95,38.95,38.95,38.95,200,38.95
2015-12-07,40.25,40.25,37.10,37.10,300,37.10
2015-12-04,37.55,40.95,37.55,38.50,5800,38.50
2015-12-03,38.50,40.95,38.50,39.50,1300,39.50
2015-12-02,39.40,39.45,39.00,39.45,5400,39.45
2015-12-01,36.50,37.60,36.00,37.60,5600,37.60
2015-11-30,32.50,35.85,32.45,35.85,2000,35.85
2015-11-27,34.50,34.50,33.70,34.15,1200,34.15
2015-11-26,33.20,35.00,33.20,34.90,4400,34.90
2015-11-25,34.70,34.70,34.70,34.70,000,34.70
2015-11-24,32.50,34.75,32.50,34.70,1200,34.70
2015-11-23,33.15,33.15,33.10,33.10,300,33.10
2015-11-20,33.55,36.95,33.50,33.50,2700,33.50
2015-11-19,35.25,35.25,33.15,35.25,3700,35.25
2015-11-18,32.15,33.60,32.15,33.60,1400,33.60
2015-11-17,32.00,32.00,32.00,32.00,200,32.00
2015-11-16,32.00,33.00,32.00,33.00,500,33.00
2015-11-13,32.15,32.55,32.15,32.25,800,32.25
2015-11-12,32.40,32.40,32.40,32.40,000,32.40
2015-11-11,32.40,32.40,32.40,32.40,000,32.40
2015-11-10,32.50,32.50,32.10,32.40,2300,32.40
2015-11-09,32.00,32.00,32.00,32.00,200,32.00
2015-11-06,32.50,32.50,32.50,32.50,000,32.50
2015-11-05,33.20,33.20,32.25,32.25,100,32.25
2015-11-04,33.20,33.20,33.20,33.20,500,33.20
2015-11-03,34.70,34.70,32.50,34.70,2100,34.70
2015-11-02,33.05,33.05,33.05,33.05,100,33.05
2015-10-30,31.50,31.50,31.50,31.50,000,31.50
