Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.6464,1.6464,1.6464,1.6464,000,1.6464
2016-03-31,1.556,1.556,1.556,1.55,20000,1.55
2016-03-30,1.536,1.536,1.48,1.55,49400,1.55
2016-03-29,1.536,1.536,1.48,1.53,31700,1.53
2016-03-28,1.53,1.53,1.53,1.53,000,1.53
2016-03-25,1.63799,1.63799,1.63799,1.63799,000,1.63799
2016-03-24,1.58,1.58,1.48,1.53,44500,1.53
2016-03-23,1.6684,1.6684,1.6684,1.6684,000,1.6684
2016-03-22,1.5356,1.58,1.48,1.53,102500,1.53
2016-03-21,1.5156,1.53,1.48,1.53,74800,1.53
2016-03-18,1.48,1.48,1.48,1.53,4800,1.53
2016-03-17,1.66,1.66,1.66,1.66,000,1.66
2016-03-16,1.6571,1.6571,1.6571,1.6571,000,1.6571
2016-03-15,1.6539,1.6539,1.6539,1.6539,000,1.6539
2016-03-14,1.6592,1.6592,1.6592,1.6592,000,1.6592
2016-03-11,1.575,1.58,1.48,1.53,24400,1.53
2016-03-10,1.527,1.59,1.52,1.53,17900,1.53
2016-03-09,1.6508,1.6508,1.6508,1.6508,000,1.6508
2016-03-08,1.50,1.50,1.50,1.545,23200,1.545
2016-03-07,1.6504,1.6504,1.6504,1.6504,000,1.6504
2016-03-04,1.6711,1.6711,1.6711,1.6711,000,1.6711
2016-03-03,1.6638,1.6638,1.6638,1.6638,000,1.6638
2016-03-02,1.595,1.595,1.505,1.55,16800,1.55
2016-03-01,1.6621,1.6621,1.6621,1.6621,000,1.6621
2016-02-29,1.595,1.61,1.52,1.57,57500,1.57
2016-02-26,1.575,1.615,1.54,1.59,39500,1.59
2016-02-25,1.6341,1.6341,1.6341,1.6341,000,1.6341
2016-02-24,1.6062,1.6062,1.6062,1.6062,000,1.6062
2016-02-23,1.55,1.56563,1.50,1.575,21200,1.575
2016-02-22,1.6331,1.6331,1.6331,1.6331,000,1.6331
2016-02-19,1.47,1.47,1.47,1.505,50600,1.505
2016-02-18,1.45,1.45,1.45,1.51,37000,1.51
2016-02-17,1.61923,1.61923,1.61923,1.61923,000,1.61923
