Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1090.32,1090.32,1090.32,1090.32,4400,1090.32
2016-03-31,1060.00,1060.00,1060.00,1060.00,000,1060.00
2016-03-30,1060.00,1060.00,1060.00,1060.00,000,1060.00
2016-03-29,1060.00,1060.00,1060.00,1060.00,000,1060.00
2016-03-28,1060.00,1060.00,1060.00,1060.00,000,1060.00
2016-03-25,1075.73,1075.73,1075.73,1075.73,000,1075.73
2016-03-24,1075.73,1075.73,1075.73,1075.73,000,1075.73
2016-03-23,1070.67,1075.73,1070.67,1075.73,3900,1075.73
2016-03-22,1062.00,1062.00,1061.50,1061.50,20900,1061.50
2016-03-21,1102.32,1102.32,1102.32,1102.32,000,1102.32
2016-03-18,1102.32,1102.32,1102.32,1102.32,000,1102.32
2016-03-17,1102.32,1102.32,1102.32,1102.32,000,1102.32
2016-03-16,1103.33,1103.33,1102.32,1102.32,300,1102.32
2016-03-15,1110.56,1110.56,1110.56,1110.56,000,1110.56
2016-03-14,1110.56,1110.56,1110.56,1110.56,000,1110.56
2016-03-11,1110.56,1110.56,1110.56,1110.56,000,1110.56
2016-03-10,1110.56,1110.56,1110.56,1110.56,000,1109.995
2016-03-09,1110.56,1110.56,1110.56,1110.56,000,1109.995
2016-03-08,1110.56,1110.56,1110.56,1110.56,100,1109.995
2016-03-07,1096.61,1096.61,1096.61,1096.61,3600,1096.052
2016-03-04,1106.80,1106.80,1106.80,1106.80,000,1106.237
2016-03-03,1106.80,1106.80,1106.80,1106.80,000,1106.237
2016-03-02,1106.80,1106.80,1106.80,1106.80,000,1106.237
2016-03-01,1136.83,1136.83,1106.80,1106.80,600,1106.237
2016-02-29,1120.35,1122.90,1112.00,1120.00,700,1119.43
2016-02-26,1118.70,1118.70,1118.70,1118.70,000,1118.131
2016-02-25,1118.70,1118.70,1118.70,1118.70,400,1118.131
2016-02-24,1125.00,1125.00,1125.00,1125.00,000,1124.428
2016-02-23,1122.06,1125.00,1122.06,1125.00,400,1124.428
2016-02-22,1109.00,1109.00,1109.00,1109.00,100,1108.436
2016-02-19,1124.96,1124.96,1124.96,1124.96,000,1124.388
2016-02-18,1124.96,1124.96,1124.96,1124.96,000,1124.388
2016-02-17,1124.96,1124.96,1124.96,1124.96,500,1124.388
2016-02-16,1135.00,1135.00,1135.00,1135.00,2300,1134.423
2016-02-15,1146.74,1146.74,1146.74,1146.74,000,1146.157
2016-02-12,1146.74,1146.74,1146.74,1146.74,000,1146.157
2016-02-11,1146.74,1146.74,1146.74,1146.74,100,1146.157
2016-02-10,1142.00,1142.00,1142.00,1142.00,000,1141.419
2016-02-09,1142.00,1142.00,1142.00,1142.00,1100,1141.419
2016-02-08,1110.00,1110.00,1110.00,1110.00,000,1109.435
2016-02-05,1110.00,1110.00,1110.00,1110.00,000,1109.435
2016-02-04,1110.00,1110.00,1110.00,1110.00,000,1109.435
2016-02-03,1110.00,1110.00,1110.00,1110.00,000,1109.435
2016-02-02,1111.38,1111.38,1110.00,1110.00,4500,1109.435
2016-02-01,1077.59,1077.59,1077.59,1077.59,000,1077.042
2016-01-29,1077.59,1077.59,1077.59,1077.59,000,1077.042
2016-01-28,1077.59,1077.59,1077.59,1077.59,11000,1077.042
2016-01-27,1120.00,1123.45,1099.58,1123.45,200,1122.878
2016-01-26,1068.22,1068.22,1068.22,1068.22,000,1067.677
2016-01-25,1068.22,1068.22,1068.22,1068.22,000,1067.677
2016-01-22,1068.22,1068.22,1068.22,1068.22,000,1067.677
2016-01-21,1068.22,1068.22,1068.22,1068.22,000,1067.677
2016-01-20,1068.22,1068.22,1068.22,1068.22,000,1067.677
2016-01-19,1058.45,1068.22,1058.45,1068.22,4500,1067.677
2016-01-18,1039.34,1039.34,1039.34,1039.34,000,1038.811
2016-01-15,1034.99,1039.34,1029.25,1039.34,3800,1038.811
2016-01-14,1064.90,1064.90,1064.90,1064.90,000,1064.358
2016-01-13,1064.90,1064.90,1064.90,1064.90,000,1064.358
2016-01-12,1064.90,1064.90,1064.90,1064.90,000,1064.358
2016-01-11,1056.50,1064.90,1056.50,1064.90,2100,1064.358
2016-01-08,1041.53,1058.00,1041.53,1058.00,1000,1057.462
2016-01-07,1036.72,1036.72,1036.72,1036.72,3600,1036.193
2016-01-06,1008.00,1025.00,1008.00,1025.00,2000,1024.479
2016-01-05,1014.65,1014.65,1014.65,1014.65,000,1014.134
2016-01-04,1014.65,1014.65,1014.65,1014.65,000,1014.134
2016-01-01,1014.65,1014.65,1014.65,1014.65,000,1014.134
2015-12-31,1014.65,1014.65,1014.65,1014.65,000,1014.134
2015-12-30,1014.65,1014.65,1014.65,1014.65,000,1014.134
2015-12-29,1014.65,1014.65,1014.65,1014.65,2800,1014.134
2015-12-28,1004.00,1005.00,1004.00,1005.00,500,1004.489
2015-12-25,1021.11,1021.11,1021.11,1021.11,000,1020.591
2015-12-24,1021.11,1021.11,1021.11,1021.11,000,1020.591
2015-12-23,1001.09,1007.83,1001.09,1007.80,7000,1007.287
2015-12-22,998.00,998.00,998.00,998.00,100,997.492
2015-12-21,972.00,972.00,972.00,972.00,000,970.941
2015-12-18,989.72,989.72,989.72,989.72,000,988.641
2015-12-17,989.72,989.72,989.72,989.72,000,988.641
2015-12-16,989.72,989.72,989.72,989.72,000,988.641
2015-12-15,975.55,975.55,975.55,975.55,000,974.487
2015-12-14,975.55,975.55,975.55,975.55,000,974.487
2015-12-11,975.55,975.55,975.55,975.55,000,974.487
2015-12-10,975.55,975.55,975.55,975.55,300,974.487
2015-12-09,970.50,970.50,970.50,970.50,000,969.442
2015-12-08,970.50,970.50,970.50,970.50,000,969.442
2015-12-07,970.50,970.50,970.50,970.50,000,969.442
2015-12-04,970.50,970.50,970.50,970.50,000,969.442
2015-12-03,970.50,970.50,970.50,970.50,000,969.442
2015-12-02,911.20,970.50,911.20,970.50,200,969.442
2015-12-01,954.18,954.18,954.18,954.18,7300,953.14
2015-11-30,956.00,956.00,954.00,954.00,400,952.96
2015-11-27,930.00,930.00,930.00,930.00,000,928.987
2015-11-26,930.00,930.00,930.00,930.00,000,928.987
2015-11-25,930.00,930.00,930.00,930.00,000,928.987
2015-11-24,975.00,975.00,930.00,930.00,000,928.987
2015-11-23,940.00,940.00,940.00,940.00,000,938.976
2015-11-20,954.30,954.30,940.00,940.00,900,938.976
2015-11-19,945.30,945.30,945.30,945.30,000,944.27
2015-11-18,945.30,945.30,945.30,945.30,000,944.27
2015-11-17,945.30,945.30,945.30,945.30,000,944.27
2015-11-16,945.30,945.30,945.30,945.30,000,944.27
2015-11-13,945.30,945.30,945.30,945.30,1000,944.27
2015-11-12,961.00,961.00,961.00,961.00,000,959.953
