Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,10.05,10.45,9.85,9.97,55600,9.97
2016-03-31,10.60,10.85,9.90,10.01,38800,10.01
2016-03-30,11.00,11.25,10.80,10.87,21600,10.87
2016-03-29,10.55,11.38,10.50,11.00,800,11.00
2016-03-28,11.60,11.65,10.80,11.00,34800,11.00
2016-03-25,12.00,12.00,12.00,12.00,000,12.00
2016-03-24,12.00,12.00,12.00,12.00,000,12.00
2016-03-23,11.71,12.05,11.71,12.00,96500,12.00
2016-03-22,12.89,12.89,12.00,12.00,23100,12.00
2016-03-21,12.05,12.50,12.05,12.48,100,12.48
2016-03-18,12.30,12.50,11.80,12.18,2400,12.18
2016-03-17,12.89,12.89,12.10,12.18,10900,12.18
2016-03-16,12.24,12.30,11.80,12.24,3000,12.24
2016-03-15,12.49,12.50,12.00,12.09,4000,12.09
2016-03-14,12.89,12.89,12.00,12.11,2200,12.11
2016-03-11,12.65,12.70,12.11,12.33,900,12.33
2016-03-10,12.15,12.39,12.01,12.23,11100,12.23
2016-03-09,12.36,12.53,12.30,12.45,3500,12.45
2016-03-08,12.99,12.99,12.30,12.31,9400,12.31
2016-03-07,12.55,12.55,12.55,12.55,000,12.55
2016-03-04,13.35,13.35,12.50,12.55,11300,12.55
2016-03-03,12.45,13.40,12.45,13.00,10400,13.00
2016-03-02,12.95,12.95,12.00,12.55,16800,12.55
2016-03-01,12.90,13.39,12.36,12.39,15800,12.39
2016-02-29,10.61,12.50,10.61,12.16,8900,12.16
2016-02-26,11.03,11.48,11.00,11.17,4500,11.17
2016-02-25,11.61,11.87,11.05,11.25,4800,11.25
2016-02-24,12.20,12.20,11.61,11.62,200,11.62
2016-02-23,12.00,12.20,11.75,11.85,12900,11.85
2016-02-22,12.30,12.44,12.00,12.01,7300,12.01
2016-02-19,12.90,12.90,11.90,12.00,3500,12.00
2016-02-18,12.05,12.50,12.00,12.30,5800,12.30
2016-02-17,12.50,12.50,11.25,11.81,9100,11.81
2016-02-16,13.10,13.15,12.80,12.98,4000,12.98
2016-02-15,12.60,13.30,12.20,13.17,5600,13.17
2016-02-12,12.25,13.45,12.00,12.27,3600,12.27
2016-02-11,13.75,13.75,12.55,12.65,6900,12.65
2016-02-10,14.00,14.80,13.80,13.80,16000,13.80
