Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,400.00,400.954,390.00,393.00,58000,386.932
2016-03-31,390.50,401.223,390.00,392.50,40900,386.44
2016-03-30,390.25,398.25,390.00,394.00,8400,387.917
2016-03-29,389.75,405.00,376.50,390.50,27200,384.471
2016-03-28,389.625,389.625,389.625,389.625,000,383.609
2016-03-24,399.75,399.75,380.00,389.625,6400,383.609
2016-03-23,375.50,397.375,375.00,377.50,23100,371.672
2016-03-22,380.25,395.00,375.00,384.625,54400,378.687
2016-03-21,400.00,400.50,380.00,384.25,27400,378.317
2016-03-18,390.50,393.00,382.88,393.00,6000,386.932
2016-03-17,380.00,391.40,380.00,386.25,15500,380.287
2016-03-16,376.00,391.75,374.75,391.75,18900,385.702
2016-03-15,375.25,392.25,375.00,387.75,42900,381.763
2016-03-14,375.00,392.25,373.00,384.25,22300,378.317
2016-03-11,383.50,390.00,370.00,380.25,18700,374.379
2016-03-10,381.213,381.213,381.213,380.375,5000,374.502
2016-03-09,375.25,385.393,375.00,383.625,13400,377.702
2016-03-08,375.00,387.75,371.575,381.75,6800,375.856
2016-03-07,376.00,382.50,371.20,379.75,12200,373.887
2016-03-04,380.00,380.00,370.00,371.75,45500,366.01
2016-03-03,385.00,388.00,385.00,385.50,28100,379.548
2016-03-02,385.00,390.00,385.00,387.50,9700,381.517
2016-03-01,387.00,389.55,387.00,389.00,7200,382.994
2016-02-29,385.50,398.75,385.00,385.50,16100,379.548
2016-02-26,394.25,398.25,390.50,398.25,5800,392.101
2016-02-25,397.00,397.50,386.73,397.00,5000,390.871
2016-02-24,398.75,398.75,390.00,396.75,129400,390.624
2016-02-23,400.00,400.00,396.198,394.125,25600,388.04
2016-02-22,400.00,401.00,390.50,393.75,67100,387.671
2016-02-19,400.00,400.00,389.532,396.00,111400,389.886
2016-02-18,400.75,400.893,400.75,397.50,2000,391.363
2016-02-17,388.50,401.75,388.29,396.875,13700,390.747
2016-02-16,389.75,390.00,382.00,389.50,5200,383.486
2016-02-15,389.75,389.75,385.00,384.375,7500,378.44
2016-02-12,385.75,385.75,375.25,380.375,4400,374.502
2016-02-11,397.75,397.75,380.00,385.125,10600,379.179
2016-02-10,396.75,396.75,386.19,386.00,900,380.04
2016-02-09,398.25,398.25,380.25,385.00,200,379.056
2016-02-08,380.25,399.50,380.00,395.375,16500,389.271
2016-02-05,379.75,392.75,370.00,387.75,101400,381.763
2016-02-04,396.50,396.50,380.00,383.25,52300,377.333
2016-02-03,398.25,398.75,385.25,392.00,1300,385.948
