Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.82,4.95,4.81,4.90,26700,4.90
2016-03-31,4.89,4.95,4.82,4.86,66400,4.86
2016-03-30,4.90,4.95,4.84,4.94,39400,4.94
2016-03-29,4.88,4.95,4.88,4.91,60000,4.91
2016-03-28,4.95,4.95,4.86,4.93,6600,4.93
2016-03-24,4.84,4.96,4.77,4.89,92300,4.89
2016-03-23,4.89,4.89,4.75,4.79,81500,4.79
2016-03-22,4.93,4.93,4.82,4.85,25500,4.85
2016-03-21,4.90,4.92,4.89,4.90,50700,4.90
2016-03-18,4.94,4.97,4.90,4.91,49100,4.91
2016-03-17,4.91,4.99,4.90,4.93,75600,4.93
2016-03-16,5.00,5.00,4.83,4.90,84500,4.90
2016-03-15,5.01,5.01,4.93,5.00,21700,5.00
2016-03-14,5.00,5.02,4.95,4.98,56100,4.98
2016-03-11,4.99,5.00,4.93,4.99,29400,4.99
2016-03-10,4.99,5.01,4.92,4.93,46700,4.93
2016-03-09,4.95,4.97,4.83,4.91,76600,4.91
2016-03-08,5.02,5.03,4.61,5.00,77400,5.00
2016-03-07,5.16,5.23,5.00,5.09,57300,5.09
2016-03-04,5.19,5.30,5.14,5.16,107600,5.16
2016-03-03,4.92,5.16,4.92,5.16,90200,5.16
2016-03-02,4.95,5.01,4.91,4.97,61400,4.97
2016-03-01,4.95,5.00,4.86,4.90,52400,4.90
2016-02-29,4.90,4.95,4.90,4.93,42400,4.93
2016-02-26,4.90,4.90,4.85,4.89,31900,4.89
2016-02-25,4.85,4.93,4.85,4.88,42500,4.88
2016-02-24,4.95,4.96,4.73,4.90,66600,4.90
2016-02-23,4.90,4.94,4.88,4.93,52900,4.93
2016-02-22,4.90,4.92,4.83,4.90,44500,4.90
2016-02-19,4.90,5.00,4.78,4.90,70900,4.90
2016-02-18,4.72,5.12,4.68,4.96,180400,4.96
2016-02-17,4.72,4.75,4.70,4.70,32400,4.70
2016-02-16,4.50,4.70,4.50,4.70,37800,4.70
2016-02-12,4.50,4.54,4.48,4.53,34500,4.53
2016-02-11,4.59,4.61,4.49,4.52,23500,4.52
2016-02-10,4.55,4.60,4.48,4.59,48700,4.59
2016-02-09,4.59,4.64,4.41,4.62,56900,4.62
2016-02-08,4.44,4.65,4.44,4.59,97300,4.59
2016-02-05,4.40,4.50,4.40,4.48,15800,4.48
2016-02-04,4.33,4.45,4.33,4.45,42200,4.45
2016-02-03,4.40,4.45,4.30,4.45,43600,4.45
2016-02-02,4.36,4.51,4.32,4.44,34900,4.44
2016-02-01,4.38,4.69,4.35,4.58,1248600,4.58
2016-01-29,4.05,4.36,4.05,4.30,34100,4.30
2016-01-28,4.19,4.19,4.07,4.12,20600,4.12
2016-01-27,4.00,4.20,3.96,4.15,38400,4.15
2016-01-26,4.00,4.05,3.99,4.00,45200,4.00
2016-01-25,3.91,4.02,3.91,3.99,18700,3.99
2016-01-22,3.85,3.94,3.85,3.90,10100,3.90
2016-01-21,3.74,3.86,3.69,3.86,23000,3.86
2016-01-20,3.75,3.80,3.74,3.74,59300,3.74
2016-01-19,3.82,3.90,3.79,3.81,49900,3.81
2016-01-18,3.83,3.90,3.82,3.82,8800,3.82
2016-01-15,3.94,3.94,3.86,3.94,85800,3.94
2016-01-14,3.85,3.96,3.80,3.91,52100,3.91
2016-01-13,3.94,3.98,3.86,3.89,73900,3.89
2016-01-12,3.85,3.93,3.79,3.87,80000,3.87
2016-01-11,3.98,3.98,3.82,3.86,87400,3.86
2016-01-08,4.10,4.10,3.88,3.89,40400,3.89
2016-01-07,4.09,4.15,3.95,3.98,78700,3.98
2016-01-06,4.10,4.19,4.05,4.10,26800,4.10
2016-01-05,4.25,4.28,4.12,4.16,45900,4.16
2016-01-04,4.00,4.19,3.97,4.15,59200,4.15
2015-12-31,4.00,4.01,3.91,3.96,106900,3.96
2015-12-30,4.01,4.02,4.00,4.02,66100,4.02
2015-12-29,4.00,4.04,3.96,4.03,112600,4.03
2015-12-24,3.95,4.05,3.95,4.03,151600,4.03
2015-12-23,3.93,4.05,3.91,3.94,37900,3.94
2015-12-22,3.86,3.97,3.78,3.90,58800,3.90
2015-12-21,3.73,3.80,3.69,3.76,85800,3.76
2015-12-18,3.61,3.73,3.61,3.69,96100,3.69
2015-12-17,3.65,3.65,3.56,3.62,73100,3.62
2015-12-16,3.45,3.65,3.45,3.61,70600,3.61
2015-12-15,3.43,3.45,3.40,3.41,39200,3.41
2015-12-14,3.55,3.57,3.40,3.43,82400,3.43
2015-12-11,3.70,3.70,3.51,3.57,71000,3.57
2015-12-10,3.73,3.74,3.62,3.68,27700,3.68
2015-12-09,3.59,3.59,3.59,3.59,000,3.59
2015-12-08,3.50,3.61,3.46,3.46,115400,3.46
2015-12-07,3.65,3.66,3.49,3.51,192500,3.51
2015-12-04,3.65,3.80,3.55,3.59,62700,3.59
2015-12-03,3.66,3.67,3.65,3.65,9700,3.65
2015-12-02,3.69,3.69,3.61,3.65,25700,3.65
2015-12-01,3.54,3.62,3.54,3.59,19700,3.59
2015-11-30,3.70,3.71,3.41,3.58,273500,3.58
2015-11-27,3.65,3.75,3.65,3.74,9200,3.74
2015-11-26,3.65,3.68,3.65,3.67,75200,3.67
2015-11-25,3.73,3.73,3.65,3.66,32200,3.66
2015-11-24,3.66,3.72,3.62,3.71,61100,3.71
2015-11-23,3.70,3.70,3.65,3.67,45000,3.67
2015-11-20,3.78,3.80,3.69,3.69,23000,3.69
2015-11-19,3.77,3.83,3.71,3.74,99200,3.74
2015-11-18,3.79,3.80,3.76,3.76,19900,3.76
2015-11-17,3.76,3.78,3.74,3.75,131100,3.75
2015-11-16,3.78,3.78,3.75,3.76,9600,3.76
2015-11-13,3.76,3.80,3.75,3.78,59700,3.78
2015-11-12,3.77,3.80,3.75,3.75,44500,3.75
2015-11-11,3.68,3.80,3.68,3.77,50800,3.77
2015-11-10,3.74,3.74,3.65,3.67,24400,3.67
2015-11-09,3.65,3.77,3.63,3.72,28700,3.72
2015-11-06,3.76,3.76,3.65,3.66,86300,3.66
2015-11-05,3.80,3.84,3.74,3.78,41400,3.78
2015-11-04,3.85,3.89,3.76,3.80,51700,3.80
2015-11-03,3.75,3.94,3.68,3.82,60400,3.82
2015-11-02,3.67,3.77,3.62,3.71,139300,3.71
2015-10-30,3.78,3.78,3.55,3.62,87000,3.62
2015-10-29,3.89,3.89,3.65,3.68,20100,3.68
2015-10-28,4.00,4.08,3.79,3.81,98600,3.81
2015-10-27,4.10,4.10,3.92,3.96,63700,3.96
2015-10-26,4.20,4.22,4.08,4.10,11800,4.10
2015-10-23,4.23,4.23,4.11,4.21,202000,4.21
2015-10-22,4.20,4.24,4.16,4.23,37700,4.23
2015-10-21,4.22,4.22,4.22,4.22,000,4.22
2015-10-20,4.20,4.20,4.13,4.14,39300,4.14
2015-10-19,4.20,4.20,4.16,4.17,14100,4.17
2015-10-16,4.25,4.25,4.15,4.16,45500,4.16
2015-10-15,4.24,4.40,4.18,4.20,166700,4.20
2015-10-14,4.20,4.22,4.18,4.19,76900,4.19
2015-10-13,4.19,4.24,4.17,4.18,46500,4.18
