Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.41,0.41,0.39,0.40,576800,0.40
2016-03-31,0.41,0.41,0.39,0.40,565900,0.40
2016-03-30,0.40,0.42,0.39,0.40,1364100,0.40
2016-03-29,0.40,0.41,0.39,0.40,570500,0.40
2016-03-28,0.39,0.41,0.39,0.40,369900,0.40
2016-03-25,0.40,0.40,0.38,0.39,566100,0.39
2016-03-24,0.38,0.40,0.38,0.40,285000,0.40
2016-03-23,0.39,0.39,0.38,0.39,171600,0.39
2016-03-22,0.39,0.40,0.38,0.39,665200,0.39
2016-03-21,0.40,0.40,0.39,0.39,241600,0.39
2016-03-18,0.40,0.40,0.39,0.40,188200,0.40
2016-03-17,0.39,0.40,0.38,0.40,750500,0.40
2016-03-16,0.38,0.39,0.38,0.39,91600,0.39
2016-03-15,0.40,0.40,0.38,0.39,544000,0.39
2016-03-14,0.39,0.40,0.39,0.39,229500,0.39
2016-03-11,0.40,0.40,0.39,0.40,236100,0.40
2016-03-10,0.40,0.40,0.38,0.40,670700,0.40
2016-03-09,0.39,0.40,0.38,0.39,761000,0.39
2016-03-08,0.38,0.40,0.38,0.40,918200,0.40
2016-03-07,0.39,0.39,0.38,0.38,235300,0.38
2016-03-04,0.39,0.39,0.38,0.38,128300,0.38
2016-03-03,0.38,0.40,0.38,0.39,639400,0.39
2016-03-02,0.38,0.39,0.38,0.38,154600,0.38
2016-03-01,0.38,0.39,0.37,0.38,502300,0.38
2016-02-29,0.38,0.38,0.37,0.38,312900,0.38
2016-02-26,0.39,0.39,0.38,0.38,673100,0.38
2016-02-25,0.38,0.39,0.38,0.39,78100,0.39
2016-02-24,0.39,0.39,0.38,0.38,182700,0.38
2016-02-23,0.39,0.40,0.38,0.38,933200,0.38
2016-02-22,0.38,0.39,0.37,0.38,623900,0.38
2016-02-19,0.37,0.38,0.37,0.38,353400,0.38
2016-02-18,0.37,0.38,0.37,0.38,76500,0.38
2016-02-17,0.38,0.38,0.36,0.38,277600,0.38
2016-02-16,0.38,0.38,0.36,0.37,539400,0.37
2016-02-15,0.38,0.39,0.36,0.38,345600,0.38
2016-02-12,0.38,0.39,0.37,0.38,196000,0.38
2016-02-11,0.38,0.39,0.37,0.38,478500,0.38
2016-02-10,0.39,0.39,0.38,0.38,158600,0.38
2016-02-09,0.38,0.39,0.37,0.38,1017900,0.38
2016-02-08,0.40,0.40,0.38,0.38,630500,0.38
2016-02-05,0.40,0.40,0.39,0.40,115700,0.40
2016-02-04,0.40,0.41,0.39,0.40,574500,0.40
2016-02-03,0.40,0.41,0.39,0.39,268600,0.39
2016-02-02,0.40,0.42,0.39,0.40,1548300,0.40
2016-02-01,0.40,0.40,0.38,0.40,204700,0.40
2016-01-29,0.39,0.40,0.39,0.40,105800,0.40
2016-01-28,0.39,0.40,0.38,0.39,509300,0.39
2016-01-27,0.39,0.40,0.38,0.38,358300,0.38
2016-01-26,0.38,0.39,0.37,0.38,174700,0.38
2016-01-25,0.39,0.39,0.38,0.39,87400,0.39
2016-01-21,0.39,0.39,0.37,0.38,649300,0.38
2016-01-20,0.38,0.40,0.37,0.38,1110200,0.38
2016-01-19,0.39,0.41,0.38,0.38,937800,0.38
2016-01-18,0.39,0.39,0.37,0.39,716200,0.39
2016-01-15,0.40,0.40,0.37,0.38,1789000,0.38
2016-01-14,0.40,0.41,0.39,0.40,1518200,0.40
2016-01-13,0.39,0.41,0.39,0.41,487500,0.41
2016-01-12,0.40,0.40,0.38,0.39,611700,0.39
2016-01-11,0.39,0.40,0.38,0.40,254400,0.40
2016-01-08,0.39,0.40,0.38,0.39,394700,0.39
2016-01-07,0.39,0.40,0.38,0.40,579100,0.40
2016-01-06,0.39,0.40,0.38,0.40,625300,0.40
2016-01-05,0.40,0.40,0.38,0.40,594600,0.40
2016-01-04,0.39,0.40,0.38,0.40,344600,0.40
2016-01-01,0.40,0.40,0.40,0.40,000,0.40
2015-12-31,0.40,0.41,0.39,0.40,1099900,0.40
2015-12-30,0.40,0.41,0.40,0.40,336000,0.40
2015-12-29,0.41,0.42,0.40,0.41,821600,0.41
2015-12-28,0.42,0.42,0.41,0.41,387200,0.41
2015-12-25,0.42,0.42,0.41,0.42,505600,0.42
2015-12-24,0.42,0.42,0.41,0.41,885500,0.41
2015-12-23,0.43,0.43,0.41,0.42,1606800,0.42
2015-12-22,0.42,0.46,0.40,0.43,7346600,0.43
2015-12-21,0.40,0.42,0.40,0.42,1396000,0.42
2015-12-18,0.41,0.41,0.39,0.39,611900,0.39
2015-12-17,0.41,0.42,0.39,0.41,473100,0.41
2015-12-16,0.40,0.41,0.39,0.41,316100,0.41
2015-12-15,0.38,0.40,0.38,0.40,505400,0.40
2015-12-14,0.39,0.40,0.38,0.38,417800,0.38
2015-12-11,0.40,0.40,0.38,0.39,423600,0.39
2015-12-10,0.42,0.42,0.39,0.40,771200,0.40
2015-12-09,0.41,0.42,0.40,0.42,679300,0.42
2015-12-08,0.43,0.43,0.39,0.41,994600,0.41
2015-12-07,0.44,0.44,0.43,0.43,330500,0.43
2015-12-04,0.45,0.45,0.42,0.44,602900,0.44
2015-12-03,0.44,0.46,0.44,0.44,354200,0.44
2015-12-02,0.45,0.47,0.44,0.45,999700,0.45
2015-12-01,0.43,0.46,0.43,0.43,1373200,0.43
2015-11-27,0.44,0.45,0.43,0.43,313400,0.43
2015-11-26,0.45,0.45,0.43,0.43,447300,0.43
2015-11-25,0.46,0.46,0.44,0.45,450500,0.45
