Date,Open,High,Low,Close,Volume,Adj_Close
2014-03-31,28.75,28.75,28.75,28.75,000,28.75
2014-03-28,28.75,28.75,28.75,28.75,000,28.75
2014-03-27,28.75,28.75,28.75,28.75,000,28.75
2014-03-26,28.75,28.75,28.75,28.75,1000,28.75
2014-03-25,29.00,29.00,29.00,29.00,000,29.00
2014-03-24,29.00,29.00,29.00,29.00,1500,29.00
2014-03-21,28.50,28.50,28.50,28.50,1000,28.50
2014-03-20,29.00,29.00,29.00,29.00,000,29.00
2014-03-19,29.00,29.00,29.00,29.00,000,29.00
2014-03-18,29.00,29.00,29.00,29.00,000,29.00
2014-03-17,29.00,29.00,29.00,29.00,000,29.00
2014-03-14,29.00,29.00,29.00,29.00,000,29.00
2014-03-13,29.00,29.00,29.00,29.00,000,29.00
2014-03-12,29.00,29.00,29.00,29.00,000,29.00
2014-03-11,29.00,29.00,29.00,29.00,000,29.00
2014-03-10,29.00,29.00,29.00,29.00,000,29.00
2014-03-07,29.00,29.00,29.00,29.00,000,29.00
2014-03-06,29.00,29.00,29.00,29.00,000,29.00
2014-03-05,29.00,29.00,29.00,29.00,000,29.00
2014-03-04,29.00,29.00,29.00,29.00,000,29.00
2014-03-03,29.00,29.00,29.00,29.00,100,29.00
2014-02-28,29.40,29.40,29.40,29.40,000,29.40
2014-02-27,29.40,29.40,29.40,29.40,500,29.40
2014-02-26,31.25,31.25,31.25,31.25,000,31.25
2014-02-25,31.25,31.25,31.25,31.25,000,31.25
2014-02-24,31.25,31.25,31.25,31.25,000,31.25
2014-02-21,31.25,31.25,31.25,31.25,000,31.25
2014-02-20,31.25,31.25,31.25,31.25,000,31.25
2014-02-19,31.25,31.25,31.25,31.25,000,31.25
2014-02-18,31.25,31.25,31.25,31.25,000,31.25
2014-02-17,31.25,31.25,31.25,31.25,000,31.25
2014-02-14,31.25,31.25,31.25,31.25,000,31.25
2014-02-13,31.25,31.25,31.25,31.25,000,31.25
2014-02-12,31.25,31.25,31.25,31.25,000,31.25
2014-02-11,31.25,31.25,31.25,31.25,000,31.25
2014-02-10,31.25,31.25,31.25,31.25,000,31.25
2014-02-07,31.25,31.25,31.25,31.25,000,31.25
2014-02-06,31.25,31.25,31.25,31.25,000,31.25
2014-02-05,31.25,31.25,31.25,31.25,000,31.25
2014-02-04,31.25,31.25,31.25,31.25,1900,31.25
2014-02-03,34.30,34.30,34.30,34.30,000,34.30
2014-01-31,34.30,34.30,34.30,34.30,000,34.30
2014-01-30,34.30,34.30,34.30,34.30,000,34.30
2014-01-29,34.30,34.30,34.30,34.30,000,34.30
2014-01-28,34.30,34.30,34.30,34.30,000,34.30
2014-01-27,34.30,34.30,34.30,34.30,000,34.30
2014-01-24,34.30,34.30,34.30,34.30,000,34.30
2014-01-23,34.30,34.30,34.30,34.30,000,34.30
2014-01-22,34.30,34.30,34.30,34.30,000,34.30
2014-01-21,34.30,34.30,34.30,34.30,000,34.30
2014-01-20,34.30,34.30,34.30,34.30,000,34.30
2014-01-17,34.30,34.30,34.30,34.30,20300,34.30
