Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,4.95,4.95,4.95,4.95,000,4.95
2016-03-31,4.95,4.95,4.95,4.95,300,4.95
2016-03-30,4.95,4.95,4.95,4.95,1000,4.95
2016-03-29,4.90,4.95,4.90,4.95,1300,4.95
2016-03-28,4.90,4.90,4.90,4.90,000,4.90
2016-03-24,4.90,4.90,4.90,4.90,000,4.90
2016-03-23,4.90,4.90,4.90,4.90,000,4.90
2016-03-22,4.90,4.90,4.90,4.90,000,4.90
2016-03-21,4.90,4.90,4.90,4.90,000,4.90
2016-03-18,4.90,4.90,4.90,4.90,000,4.90
2016-03-17,4.90,4.90,4.90,4.90,000,4.90
2016-03-16,4.90,4.90,4.90,4.90,000,4.90
2016-03-15,4.90,4.90,4.90,4.90,000,4.90
2016-03-14,4.90,4.90,4.90,4.90,000,4.90
2016-03-11,4.90,4.90,4.90,4.90,000,4.90
2016-03-10,4.90,4.90,4.90,4.90,000,4.90
2016-03-09,4.90,4.90,4.90,4.90,000,4.90
2016-03-08,4.90,4.90,4.90,4.90,000,4.90
2016-03-07,4.90,4.90,4.90,4.90,000,4.90
2016-03-04,4.90,4.90,4.90,4.90,000,4.90
2016-03-03,4.90,4.90,4.90,4.90,000,4.90
2016-03-02,4.90,4.90,4.90,4.90,000,4.90
2016-03-01,4.90,4.90,4.90,4.90,000,4.90
2016-02-29,4.85,4.90,4.85,4.90,1000,4.90
2016-02-26,4.80,4.80,4.80,4.80,000,4.80
2016-02-25,4.80,4.80,4.80,4.80,000,4.80
2016-02-24,4.80,4.80,4.80,4.80,000,4.80
2016-02-23,4.80,4.80,4.80,4.80,000,4.80
2016-02-22,4.80,4.80,4.80,4.80,000,4.80
2016-02-19,4.80,4.80,4.80,4.80,000,4.80
2016-02-18,4.80,4.80,4.80,4.80,000,4.80
2016-02-17,4.80,4.80,4.80,4.80,000,4.80
2016-02-16,4.80,4.80,4.80,4.80,000,4.80
2016-02-12,4.80,4.80,4.80,4.80,000,4.80
2016-02-11,4.80,4.80,4.80,4.80,000,4.80
2016-02-10,4.80,4.80,4.80,4.80,000,4.80
2016-02-09,4.80,4.80,4.80,4.80,000,4.80
2016-02-08,4.80,4.80,4.80,4.80,000,4.80
2016-02-05,4.80,4.80,4.80,4.80,000,4.80
2016-02-04,4.80,4.80,4.80,4.80,000,4.80
2016-02-03,4.80,4.80,4.80,4.80,000,4.80
2016-02-02,4.80,4.80,4.80,4.80,000,4.80
2016-02-01,4.80,4.80,4.80,4.80,000,4.80
2016-01-29,4.75,4.80,4.75,4.80,1000,4.80
2016-01-28,4.65,4.69,4.65,4.69,700,4.69
2016-01-27,4.50,4.50,4.50,4.50,000,4.50
2016-01-26,4.50,4.50,4.50,4.50,000,4.50
2016-01-25,4.50,4.50,4.50,4.50,200,4.50
2016-01-22,4.40,4.40,4.40,4.40,000,4.40
2016-01-21,3.30,4.40,3.30,4.40,12300,4.40
2016-01-20,4.15,4.15,4.15,4.15,000,4.15
2016-01-19,4.15,4.15,4.15,4.15,000,4.15
2016-01-15,4.15,4.15,4.15,4.15,000,4.15
2016-01-14,4.15,4.15,4.15,4.15,000,4.15
2016-01-13,4.15,4.15,4.15,4.15,500,4.15
2016-01-12,4.52,4.52,4.52,4.52,000,4.52
2016-01-11,4.55,4.55,4.52,4.52,400,4.52
2016-01-08,4.75,4.75,4.75,4.75,500,4.75
2016-01-07,4.75,4.75,4.75,4.75,000,4.75
2016-01-06,4.75,4.75,4.75,4.75,000,4.75
2016-01-05,4.75,4.75,4.75,4.75,500,4.75
2016-01-04,4.83,4.83,4.80,4.80,2100,4.80
2015-12-31,4.86,4.86,4.86,4.86,1000,4.86
2015-12-30,4.85,4.86,4.85,4.86,2500,4.86
2015-12-29,4.86,4.86,4.86,4.86,000,4.86
2015-12-28,4.86,4.86,4.86,4.86,700,4.86
2015-12-24,4.86,4.86,4.86,4.86,000,4.86
2015-12-23,4.86,4.86,4.86,4.86,1000,4.86
2015-12-22,4.86,4.86,4.86,4.86,600,4.86
2015-12-21,4.86,4.86,4.86,4.86,000,4.86
2015-12-18,4.86,4.86,4.86,4.86,4000,4.86
2015-12-17,4.86,4.86,4.86,4.86,500,4.86
2015-12-16,4.86,4.86,4.86,4.86,000,4.86
2015-12-15,4.86,4.86,4.86,4.86,1600,4.86
