Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,6.0999,6.0999,6.0999,6.0999,000,6.0999
2016-03-31,6.10,6.10,6.0999,6.0999,300,6.0999
2016-03-30,6.10,6.10,6.10,6.10,000,6.10
2016-03-29,6.10,6.10,6.10,6.10,000,6.10
2016-03-28,6.20,6.20,6.10,6.10,300,6.10
2016-03-25,6.1995,6.1995,6.1995,6.1995,000,6.1995
2016-03-24,6.20,6.20,6.1995,6.1995,200,6.1995
2016-03-23,6.20,6.20,6.20,6.20,500,6.20
2016-03-22,6.20,6.20,6.1995,6.20,700,6.20
2016-03-21,6.20,6.20,6.20,6.20,000,6.20
2016-03-18,6.20,6.20,6.20,6.20,000,6.20
2016-03-17,6.20,6.20,6.20,6.20,000,6.20
2016-03-16,6.20,6.20,6.1995,6.20,2700,6.20
2016-03-15,6.20,6.20,6.20,6.20,600,6.20
2016-03-14,6.20,6.20,6.1995,6.20,1300,6.20
2016-03-11,6.20,6.20,6.20,6.20,000,6.20
2016-03-10,6.30,6.30,6.20,6.20,800,6.20
2016-03-09,6.30,6.30,6.30,6.30,300,6.30
2016-03-08,6.30,6.30,6.2995,6.2995,300,6.2995
2016-03-07,6.30,6.30,6.30,6.30,000,6.30
2016-03-04,6.30,6.30,6.30,6.30,000,6.30
2016-03-03,6.30,6.30,6.30,6.30,100,6.30
2016-03-02,6.30,6.30,6.30,6.30,500,6.30
2016-03-01,6.30,6.30,6.2995,6.30,1300,6.30
2016-02-29,6.30,6.30,6.30,6.30,200,6.30
2016-02-26,6.30,6.30,6.30,6.30,100,6.30
2016-02-25,6.29,6.35,6.29,6.35,2000,6.35
2016-02-24,6.29,6.30,6.29,6.30,400,6.30
2016-02-23,6.30,6.30,6.30,6.30,300,6.30
2016-02-22,6.29,6.30,6.29,6.30,2200,6.30
2016-02-19,6.30,6.30,6.30,6.30,000,6.30
2016-02-18,6.30,6.30,6.30,6.30,200,6.30
2016-02-17,6.30,6.30,6.2995,6.30,1600,6.30
2016-02-16,6.00,6.30,6.00,6.30,2700,6.30
2016-02-15,6.00,6.00,6.00,6.00,000,6.00
2016-02-12,6.00,6.00,6.00,6.00,000,6.00
2016-02-11,6.00,6.00,6.00,6.00,000,6.00
2016-02-10,6.00,6.00,6.00,6.00,000,6.00
2016-02-09,6.00,6.00,6.00,6.00,400,6.00
2016-02-08,6.00,6.00,6.00,6.00,000,6.00
2016-02-05,6.00,6.00,6.00,6.00,000,6.00
2016-02-04,6.00,6.00,6.00,6.00,000,6.00
2016-02-03,6.00,6.00,6.00,6.00,200,6.00
2016-02-02,6.25,6.25,6.25,6.25,100,6.25
2016-02-01,6.35,6.35,6.35,6.35,000,6.35
2016-01-29,6.35,6.35,6.35,6.35,000,6.35
2016-01-28,6.35,6.35,6.35,6.35,000,6.35
2016-01-27,6.35,6.35,6.35,6.35,000,6.35
2016-01-26,6.35,6.35,6.35,6.35,000,6.35
2016-01-25,6.35,6.35,6.35,6.35,000,6.35
2016-01-22,6.35,6.35,6.35,6.35,000,6.35
2016-01-21,6.35,6.35,6.35,6.35,600,6.35
2016-01-20,6.3995,6.3995,6.3995,6.3995,000,6.3995
2016-01-19,6.3995,6.40,6.3995,6.3995,800,6.3995
2016-01-18,6.40,6.40,6.40,6.40,000,6.40
2016-01-15,6.40,6.40,6.40,6.40,000,6.40
2016-01-14,6.40,6.40,6.40,6.40,000,6.40
2016-01-13,6.3995,6.40,6.3995,6.40,1200,6.40
2016-01-12,6.40,6.40,6.40,6.40,600,6.40
2016-01-11,6.50,6.50,6.50,6.50,000,6.50
2016-01-08,6.50,6.50,6.50,6.50,000,6.50
2016-01-07,6.50,6.50,6.50,6.50,200,6.50
2016-01-06,6.7495,6.75,6.50,6.50,400,6.50
2016-01-05,6.50,6.80,6.50,6.7995,1200,6.7995
2016-01-04,6.80,6.80,6.80,6.80,000,6.80
2016-01-01,6.80,6.80,6.80,6.80,000,6.80
2015-12-31,6.80,6.80,6.7995,6.80,400,6.80
2015-12-30,6.4995,6.4995,6.4995,6.4995,000,6.4995
2015-12-29,6.50,6.50,6.4995,6.4995,900,6.4995
2015-12-28,6.90,7.00,6.50,6.50,1400,6.50
2015-12-25,6.50,6.50,6.50,6.50,000,6.50
2015-12-24,6.50,6.50,6.50,6.50,300,6.50
2015-12-23,6.99,6.99,6.99,6.99,000,6.99
2015-12-22,6.99,6.99,6.99,6.99,600,6.99
2015-12-21,7.00,7.00,7.00,7.00,000,7.00
2015-12-18,6.89,7.00,6.89,7.00,700,7.00
2015-12-17,7.00,7.00,7.00,7.00,400,7.00
2015-12-16,7.00,7.00,7.00,7.00,500,7.00
2015-12-15,6.99,7.00,6.99,7.00,1100,7.00
2015-12-14,7.05,7.05,6.9995,7.05,1100,7.05
2015-12-11,7.20,7.20,7.20,7.20,000,7.20
2015-12-10,7.20,7.20,7.10,7.20,2200,7.20
2015-12-09,7.1995,7.1995,7.1995,7.1995,000,7.1995
2015-12-08,7.10,7.20,7.10,7.1995,2000,7.1995
2015-12-07,7.10,7.10,7.10,7.10,000,7.10
2015-12-04,7.10,7.10,7.10,7.10,200,7.10
2015-12-03,7.10,7.10,7.10,7.10,1500,7.10
2015-12-02,7.00,7.10,6.9995,7.10,1500,7.10
2015-12-01,7.00,7.00,7.00,7.00,600,7.00
2015-11-30,7.00,7.00,7.00,7.00,000,7.00
2015-11-27,7.00,7.00,6.9995,7.00,3100,7.00
2015-11-26,7.00,7.00,7.00,7.00,000,7.00
2015-11-25,7.00,7.00,6.9995,7.00,1000,7.00
2015-11-24,7.20,7.20,7.20,7.20,000,7.20
2015-11-23,7.20,7.20,7.20,7.20,000,7.20
2015-11-20,7.20,7.20,7.20,7.20,300,7.20
2015-11-19,7.00,7.00,7.00,7.00,200,7.00
2015-11-18,7.80,7.80,7.80,7.80,000,7.80
2015-11-17,7.80,7.80,7.80,7.80,000,7.80
2015-11-16,7.80,7.80,7.80,7.80,000,7.80
2015-11-13,7.80,7.80,7.80,7.80,000,7.80
2015-11-12,7.80,7.80,7.80,7.80,000,7.80
2015-11-11,7.80,7.80,7.80,7.80,200,7.80
