Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,65.33,65.58,64.65,65.58,67900,63.348
2016-03-31,65.89,65.93,65.50,65.88,28500,63.637
2016-03-30,66.12,66.70,66.06,66.06,45100,63.811
2016-03-29,65.21,65.94,65.02,65.62,30600,63.386
2016-03-28,64.91,64.91,64.91,64.91,000,62.701
2016-03-25,64.91,64.91,64.91,64.91,000,62.701
2016-03-24,65.22,65.32,64.78,64.91,37100,62.701
2016-03-23,65.03,65.81,65.00,65.71,35100,63.473
2016-03-22,65.02,65.10,64.55,64.90,42100,62.691
2016-03-21,65.21,65.60,64.95,65.20,31100,62.981
2016-03-18,65.78,65.89,65.15,65.41,23400,63.183
2016-03-17,65.50,65.53,64.60,65.50,53400,63.27
2016-03-16,65.41,65.64,65.30,65.50,23900,63.27
2016-03-15,65.21,65.46,64.97,65.17,31700,62.952
2016-03-14,65.19,65.50,64.90,65.50,38500,63.27
2016-03-11,64.92,65.66,64.83,65.48,43800,63.251
2016-03-10,65.01,66.26,64.50,64.54,37300,62.343
2016-03-09,65.03,65.43,64.95,65.25,31200,63.029
2016-03-08,65.11,65.19,64.81,64.91,25700,62.701
2016-03-07,65.37,65.48,64.85,65.14,26800,62.923
2016-03-04,65.29,65.89,65.11,65.12,36300,62.903
2016-03-03,65.65,65.87,65.00,65.13,39000,62.913
2016-03-02,65.84,66.07,65.19,66.01,39200,63.763
2016-03-01,64.32,66.05,64.31,65.93,40600,63.686
2016-02-29,64.05,64.89,63.70,64.89,38200,62.681
2016-02-26,64.48,65.16,64.43,64.87,33500,62.662
2016-02-25,64.80,64.86,63.92,64.07,28100,61.889
2016-02-24,64.42,64.42,63.29,63.79,55900,61.619
2016-02-23,64.60,64.90,64.19,64.50,44400,62.304
2016-02-22,64.55,65.13,64.54,65.00,51500,62.787
2016-02-19,64.11,64.94,63.91,64.94,62300,62.729
2016-02-18,64.90,65.15,64.04,64.77,178100,62.565
2016-02-17,66.87,67.04,66.53,66.91,86500,64.632
2016-02-16,67.03,67.04,65.79,66.55,26700,64.285
2016-02-15,66.34,67.15,66.34,66.59,56000,64.323
2016-02-12,64.74,65.52,64.68,65.48,31900,63.251
2016-02-11,65.92,65.92,64.08,64.10,78900,61.918
2016-02-10,65.45,66.81,65.14,66.48,113300,64.217
2016-02-09,66.30,66.55,64.90,65.05,92500,62.836
2016-02-08,66.35,66.50,65.00,65.82,59700,63.58
2016-02-05,66.91,67.04,66.29,66.37,38200,64.111
2016-02-04,67.57,67.66,66.10,66.66,45200,64.391
2016-02-03,68.00,68.46,67.10,67.35,42500,65.057
2016-02-02,68.03,68.15,67.39,68.15,45200,65.83
2016-02-01,68.23,68.36,67.63,68.20,56300,65.879
2016-01-29,66.48,68.10,66.48,68.10,28800,65.782
2016-01-28,66.77,66.93,65.76,65.76,36900,63.522
2016-01-27,66.15,66.85,66.00,66.85,36700,64.574
2016-01-26,65.55,66.38,65.17,66.38,46500,64.12
2016-01-25,65.92,66.00,65.25,65.78,37300,63.541
2016-01-22,65.01,66.00,65.01,65.40,37700,63.174
2016-01-21,63.68,65.34,63.68,64.81,57300,62.604
2016-01-20,64.19,64.36,63.02,63.68,65300,61.512
2016-01-19,64.78,65.37,64.69,65.06,44600,62.845
2016-01-18,64.14,64.65,63.69,64.14,47400,61.957
2016-01-15,64.99,65.35,63.69,64.15,65100,61.966
2016-01-14,65.69,65.69,64.68,64.99,59100,62.778
2016-01-13,66.63,66.77,66.14,66.41,38900,64.149
2016-01-12,64.73,66.30,64.71,66.17,43400,63.918
2016-01-11,64.81,65.15,64.36,64.66,59200,62.459
2016-01-08,65.70,65.89,64.85,64.85,67600,62.643
2016-01-07,66.10,66.27,65.01,65.65,76500,63.415
2016-01-06,68.10,68.29,66.84,67.29,25200,64.999
2016-01-05,67.87,68.39,67.19,68.39,29200,66.062
2016-01-04,68.08,68.08,66.95,67.07,42300,64.787
2016-01-01,69.66,69.66,69.66,69.66,000,67.289
2015-12-31,69.66,69.66,69.66,69.66,000,67.289
2015-12-30,69.47,69.66,69.15,69.66,9800,67.289
2015-12-29,68.37,69.72,68.23,69.66,20400,67.289
2015-12-28,67.55,68.08,67.30,67.98,21200,65.666
2015-12-25,67.84,67.84,67.84,67.84,000,65.531
2015-12-24,67.84,67.84,67.84,67.84,000,65.531
2015-12-23,66.98,68.20,66.97,67.84,28100,65.531
2015-12-22,66.77,67.11,65.83,66.29,47100,64.034
2015-12-21,67.64,68.08,66.91,66.91,26700,64.632
2015-12-18,67.79,68.36,67.62,67.97,27900,65.656
2015-12-17,68.54,69.08,68.00,68.00,61800,65.685
2015-12-16,67.51,68.10,67.36,67.87,20400,65.56
2015-12-15,66.45,68.00,66.40,67.81,50500,65.502
2015-12-14,67.49,67.69,66.05,66.05,57600,63.802
2015-12-11,67.91,68.11,66.97,67.00,19800,64.719
2015-12-10,67.82,68.26,67.37,68.12,30400,65.801
2015-12-09,68.80,68.85,67.88,67.90,29300,65.589
2015-12-08,69.48,69.55,68.55,68.73,36000,66.39
2015-12-07,69.51,70.31,69.28,69.54,28800,67.173
2015-12-04,69.45,69.58,68.18,69.06,35100,66.709
2015-12-03,70.69,71.17,69.00,69.07,50200,66.719
2015-12-02,70.04,70.70,70.04,70.69,26500,68.284
2015-12-01,70.25,70.32,69.52,69.83,23700,67.453
2015-11-30,69.99,70.36,69.78,70.08,26600,67.695
2015-11-27,69.78,70.44,69.60,69.96,26600,67.579
2015-11-26,70.11,70.27,69.75,69.84,21600,67.463
2015-11-25,69.17,70.48,69.10,69.98,36700,67.598
2015-11-24,69.85,69.85,68.71,69.14,32400,66.787
2015-11-23,69.96,70.16,69.61,70.13,27500,67.743
2015-11-20,70.33,70.47,69.83,70.13,26400,67.743
2015-11-19,69.90,70.20,69.55,70.08,20200,67.695
2015-11-18,69.12,70.00,69.10,69.87,26600,67.492
2015-11-17,68.68,69.74,68.68,69.74,63400,67.366
2015-11-16,67.69,68.45,67.45,68.37,40100,66.043
2015-11-13,68.89,68.89,67.70,67.78,44700,65.473
