Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,5690.00,5749.00,5558.05,5638.20,37300,5604.15
2016-03-31,5445.05,5849.00,5400.00,5757.35,72100,5722.58
2016-03-30,5354.80,5501.65,5354.80,5479.80,47800,5446.70
2016-03-29,5340.00,5390.00,5310.00,5335.90,15600,5303.67
2016-03-28,5299.00,5375.00,5282.55,5353.50,69600,5321.16
2016-03-25,5253.15,5253.15,5253.15,5253.15,000,5221.42
2016-03-24,5253.15,5253.15,5253.15,5253.15,000,5221.42
2016-03-23,5311.10,5340.00,5210.00,5253.15,107700,5221.42
2016-03-22,5250.00,5349.00,5155.00,5260.35,46100,5228.58
2016-03-21,5200.00,5250.00,5200.00,5231.55,52800,5199.95
2016-03-18,5097.30,5260.00,5043.00,5186.25,51600,5154.92
2016-03-17,5040.00,5114.70,5030.05,5096.85,34900,5066.06
2016-03-16,5054.90,5059.95,5005.00,5011.75,91800,4981.48
2016-03-15,5117.40,5117.40,5040.80,5053.75,99400,5023.23
2016-03-14,5173.00,5173.00,5090.00,5103.10,61200,5072.28
2016-03-11,5189.95,5249.90,5100.00,5163.15,35300,5131.96
2016-03-10,5223.00,5241.65,5106.35,5177.80,63700,5146.53
2016-03-09,5275.30,5307.45,5182.00,5209.80,47100,5178.33
2016-03-08,5300.00,5429.00,5276.10,5320.80,53500,5288.66
2016-03-07,5285.25,5285.25,5285.25,5285.25,000,5253.33
2016-03-04,5218.00,5325.05,5166.00,5285.25,26200,5253.33
2016-03-03,5110.00,5243.00,5080.00,5217.75,33100,5186.23
2016-03-02,5080.00,5105.00,5045.00,5078.20,29100,5047.53
2016-03-01,5050.00,5117.25,5000.55,5052.25,41500,5021.73
2016-02-29,5144.90,5144.90,4981.00,5008.00,52900,4977.75
2016-02-26,5190.00,5190.00,5101.00,5111.20,36000,5080.33
2016-02-25,5199.40,5200.00,5090.95,5142.90,31300,5111.84
2016-02-24,5185.00,5204.90,5135.00,5199.40,11800,5168.00
2016-02-23,5309.95,5309.95,5180.00,5192.25,21300,5160.89
2016-02-22,5208.00,5298.00,5162.15,5279.35,85200,5247.46
2016-02-19,5206.95,5240.00,5175.10,5209.70,12900,5178.23
2016-02-18,5095.00,5205.00,5060.00,5182.85,26600,5151.55
2016-02-17,5090.00,5100.00,5034.00,5072.70,72200,5042.06
2016-02-16,5115.00,5115.00,5030.00,5049.80,49800,5019.30
2016-02-15,5058.00,5149.00,5019.95,5057.75,66200,5027.20
2016-02-12,5230.00,5268.65,5001.05,5056.05,37400,5025.51
2016-02-11,5323.95,5323.95,5190.00,5217.05,58300,5185.54
2016-02-10,5439.00,5449.00,5279.40,5297.60,46800,5265.60
2016-02-09,5444.00,5459.85,5391.25,5419.25,24900,5386.52
2016-02-08,5469.95,5490.00,5401.95,5413.00,21400,5380.31
2016-02-05,5470.00,5550.00,5385.00,5421.50,30800,5388.75
2016-02-04,5425.00,5492.95,5425.00,5485.30,19400,5452.17
2016-02-03,5457.35,5457.35,5400.00,5408.35,31900,5375.68
2016-02-02,5480.00,5503.90,5420.00,5457.35,41600,5424.39
2016-02-01,5575.00,5575.00,5420.85,5448.95,19300,5416.04
2016-01-29,5488.95,5500.00,5469.00,5488.00,50100,5454.85
2016-01-28,5480.00,5490.00,5450.00,5468.95,40200,5435.92
2016-01-27,5494.55,5494.55,5451.10,5487.70,59500,5454.55
2016-01-26,5461.35,5461.35,5461.35,5461.35,000,5428.36
2016-01-25,5460.00,5512.00,5448.00,5461.35,26400,5428.36
2016-01-22,5490.00,5512.40,5431.65,5447.60,24800,5414.70
2016-01-21,5460.00,5492.00,5404.60,5429.85,79100,5397.05
2016-01-20,5417.80,5525.00,5375.00,5485.60,14600,5452.47
2016-01-19,5444.95,5494.00,5390.00,5428.80,21300,5396.01
2016-01-18,5597.70,5600.00,5400.00,5436.00,21400,5403.17
2016-01-15,5600.00,5630.00,5572.05,5597.70,27000,5563.89
2016-01-14,5460.00,5630.20,5432.00,5616.15,34800,5582.23
2016-01-13,5465.00,5530.00,5400.40,5501.15,61800,5467.92
2016-01-12,5515.00,5515.00,5408.15,5439.85,56400,5406.99
2016-01-11,5625.00,5625.00,5435.55,5469.25,50000,5436.22
2016-01-08,5690.00,5691.00,5615.00,5632.55,44400,5598.53
2016-01-07,5729.95,5729.95,5621.40,5638.95,22200,5604.89
2016-01-06,5666.10,5729.55,5655.00,5719.50,55300,5684.95
2016-01-05,5739.00,5739.00,5650.00,5662.40,27100,5628.20
2016-01-04,5814.00,5827.00,5652.00,5669.80,35400,5635.55
2016-01-01,5820.05,5850.00,5775.00,5785.15,12000,5750.21
2015-12-31,5862.65,5870.05,5803.50,5828.00,19200,5792.80
2015-12-30,5850.00,5860.00,5790.10,5839.85,19200,5804.58
2015-12-29,5829.00,5855.00,5795.05,5839.20,14100,5803.93
2015-12-28,5776.00,5850.65,5750.00,5804.65,22200,5769.59
2015-12-25,5775.90,5775.90,5775.90,5775.90,000,5741.01
2015-12-24,5775.00,5798.00,5725.00,5775.90,14000,5741.01
2015-12-23,5765.00,5794.00,5730.00,5778.00,12200,5743.10
2015-12-22,5704.90,5749.00,5680.00,5730.00,19100,5695.39
2015-12-21,5715.00,5732.00,5665.20,5674.35,28000,5640.08
2015-12-18,5897.00,5897.00,5630.00,5673.00,61400,5638.73
2015-12-17,5832.00,5919.95,5820.80,5883.35,27900,5847.81
2015-12-16,5889.00,5915.00,5821.00,5828.40,31400,5793.20
2015-12-15,5907.00,5910.00,5813.05,5838.60,34500,5803.33
2015-12-14,5909.90,5909.90,5782.45,5879.75,27700,5844.24
2015-12-11,5770.65,5930.00,5765.00,5908.25,53400,5872.56
2015-12-10,5760.00,5820.00,5750.00,5770.65,28500,5719.89
2015-12-09,5827.10,5849.00,5752.55,5759.70,120000,5709.04
2015-12-08,5893.00,5899.70,5820.00,5825.35,50400,5774.11
2015-12-07,5898.00,5910.00,5819.80,5893.60,17500,5841.76
2015-12-04,5836.00,5907.00,5805.15,5857.05,41200,5805.53
2015-12-03,5860.00,5860.00,5820.00,5835.90,66200,5784.57
2015-12-02,5885.20,5920.00,5834.90,5868.10,59800,5816.48
2015-12-01,5858.90,5950.00,5858.90,5879.15,50000,5827.44
2015-11-30,5900.00,5964.15,5850.00,5858.80,142300,5807.27
2015-11-27,6021.00,6043.25,5905.55,5949.00,113700,5896.67
2015-11-26,6073.90,6140.00,6006.00,6023.55,72100,5970.57
2015-11-25,6056.35,6056.35,6056.35,6056.35,000,6003.08
2015-11-24,6162.50,6162.50,6050.00,6056.35,33000,6003.08
2015-11-23,6199.00,6226.00,6110.00,6141.60,28200,6087.58
2015-11-20,6268.00,6279.00,6180.00,6196.25,19900,6141.75
2015-11-19,6109.00,6323.00,6085.05,6280.15,61100,6224.91
2015-11-18,6105.00,6134.90,6068.00,6082.30,27800,6028.80
2015-11-17,6005.00,6137.85,5951.00,6084.60,67500,6031.08
2015-11-16,6050.00,6070.00,5962.50,5986.45,110100,5933.79
2015-11-13,6154.80,6186.00,6014.00,6034.20,115700,5981.12
2015-11-12,6072.30,6072.30,6072.30,6072.30,000,6018.89
2015-11-11,6072.30,6072.30,6072.30,6072.30,000,6018.89
2015-11-10,6190.00,6190.00,6050.00,6072.30,32800,6018.89
2015-11-09,6125.00,6199.95,6099.00,6111.40,51600,6057.64
2015-11-06,6199.00,6234.95,6151.00,6168.95,16000,6114.69
2015-11-05,6260.00,6299.00,6150.00,6165.65,38300,6111.42
2015-11-04,6250.00,6474.00,6219.75,6251.15,157300,6196.16
2015-11-03,6299.00,6320.00,6205.15,6217.75,28500,6163.06
2015-11-02,6160.00,6319.00,6150.00,6276.05,29600,6220.85
2015-10-30,6230.00,6262.00,6150.00,6173.90,51000,6119.59
2015-10-29,6337.50,6370.00,6251.95,6290.50,47700,6235.17
2015-10-28,6370.00,6380.05,6300.00,6337.40,29800,6281.66
2015-10-27,6399.00,6410.00,6345.00,6354.50,33300,6298.61
2015-10-26,6358.00,6420.00,6280.00,6316.30,33400,6260.74
2015-10-23,6550.00,6550.00,6311.20,6328.65,39000,6272.98
2015-10-22,6463.30,6463.30,6463.30,6463.30,000,6406.45
2015-10-21,6545.00,6629.00,6440.10,6463.30,59900,6406.45
2015-10-20,6598.40,6648.50,6510.50,6536.50,73100,6479.01
2015-10-19,6598.00,6614.40,6452.25,6493.00,71900,6435.89
2015-10-16,6250.00,6669.95,6170.00,6569.40,317300,6511.62
2015-10-15,6195.00,6258.95,6150.50,6206.50,24100,6151.91
2015-10-14,6199.00,6248.00,6111.00,6210.65,15600,6156.02
2015-10-13,6267.00,6317.60,6105.15,6151.95,46200,6097.84
2015-10-12,6417.00,6430.05,6230.00,6256.10,24000,6201.07
2015-10-09,6367.00,6449.00,6352.55,6416.55,14800,6360.11
2015-10-08,6392.00,6419.00,6340.35,6367.45,8900,6311.44
2015-10-07,6490.00,6490.00,6314.70,6337.55,36900,6281.80
2015-10-06,6480.00,6519.00,6425.00,6495.25,23200,6438.12
2015-10-05,6450.00,6482.00,6426.00,6478.60,29400,6421.61
2015-10-02,6422.50,6422.50,6422.50,6422.50,000,6366.01
2015-10-01,6364.00,6434.00,6323.15,6422.50,30300,6366.01
2015-09-30,6250.00,6398.00,6213.40,6367.65,54800,6311.64
2015-09-29,6188.00,6250.00,6111.00,6179.60,24100,6125.24
2015-09-28,6245.00,6278.00,6153.00,6219.30,27800,6164.59
2015-09-25,6212.05,6212.05,6212.05,6212.05,000,6157.41
2015-09-24,6288.00,6288.00,6152.35,6212.05,26800,6157.41
2015-09-23,6178.90,6350.35,6060.00,6219.80,31400,6165.09
2015-09-22,6220.00,6300.00,6125.00,6148.45,25300,6094.37
2015-09-21,6255.00,6255.00,6170.00,6176.80,9900,6122.47
2015-09-18,6096.35,6260.00,6096.35,6236.70,64800,6181.84
2015-09-17,6096.35,6096.35,6096.35,6096.35,000,6042.73
2015-09-16,6087.00,6138.00,6003.85,6096.35,52000,6042.73
2015-09-15,6039.95,6090.00,6000.00,6025.00,21300,5972.00
2015-09-14,6020.00,6069.00,6000.00,6056.50,18400,6003.23
2015-09-11,6001.00,6060.00,5961.20,6001.25,14100,5948.46
2015-09-10,6000.00,6014.95,5969.95,6005.10,22900,5952.28
2015-09-09,5939.95,5995.00,5931.05,5986.60,26200,5933.94
2015-09-08,5981.00,6004.10,5880.00,5902.20,37200,5850.28
2015-09-07,6003.00,6030.00,5960.00,6001.35,31000,5948.56
2015-09-04,6050.00,6064.95,5960.40,5995.60,19500,5942.86
2015-09-03,6029.50,6074.70,5850.00,6035.45,51700,5982.36
2015-09-02,6041.00,6067.20,5903.55,5930.00,40500,5877.84
2015-09-01,5935.00,6028.45,5910.00,6003.60,34800,5950.79
2015-08-31,6099.95,6104.95,5950.00,5965.40,69400,5912.93
2015-08-28,6100.00,6140.00,6040.00,6104.65,43100,6050.95
2015-08-27,6165.00,6175.00,6030.00,6057.00,35900,6003.72
2015-08-26,6169.95,6199.85,6050.00,6064.20,56900,6010.86
2015-08-25,6094.95,6220.80,6029.00,6163.40,50500,6109.19
2015-08-24,6078.00,6208.75,5995.00,6036.00,78500,5982.91
2015-08-21,6075.00,6195.00,6060.00,6090.75,36900,6037.18
2015-08-20,6124.95,6180.00,6085.75,6150.90,65500,6096.80
2015-08-19,6200.00,6200.00,6081.25,6098.70,59100,6045.06
2015-08-18,6201.00,6207.00,6140.00,6164.70,63300,6110.48
2015-08-17,6268.80,6279.95,6130.00,6135.40,45400,6081.43
2015-08-14,6398.00,6398.00,6251.10,6268.80,63800,6213.66
2015-08-13,6300.00,6533.00,6234.00,6317.25,506000,6261.68
2015-08-12,6225.00,6350.00,6007.05,6234.30,114400,6179.46
2015-08-11,6460.35,6463.95,6300.00,6317.35,51200,6261.78
2015-08-10,6550.00,6567.30,6347.05,6388.40,62000,6332.21
2015-08-07,6548.00,6560.00,6525.55,6548.60,69300,6491.00
2015-08-06,6533.70,6596.00,6450.00,6486.10,173200,6429.05
2015-08-05,6800.00,6998.00,6590.20,6838.35,364500,6778.20
2015-08-04,6349.90,6383.60,6320.20,6350.65,105700,6294.79
2015-08-03,6385.00,6500.00,6220.05,6326.25,108700,6270.60
2015-07-31,6210.00,6390.00,6210.00,6357.40,111900,6301.48
2015-07-30,6032.05,6390.00,5980.45,6331.20,176900,6275.51
2015-07-29,6200.00,6254.60,6082.40,6152.65,73100,6098.53
2015-07-28,6265.00,6300.00,6169.00,6192.45,53800,6137.98
2015-07-27,6100.00,6306.85,6033.00,6261.40,113200,6206.32
2015-07-24,6052.00,6124.45,6000.00,6033.90,30500,5980.83
2015-07-23,6000.00,6069.90,5999.40,6060.40,31300,6007.09
2015-07-22,6048.00,6048.00,5974.00,5990.60,26200,5937.91
2015-07-21,6099.95,6107.85,6050.00,6068.50,22600,6015.12
2015-07-20,6104.95,6131.80,6057.70,6071.05,19900,6017.65
2015-07-17,6020.00,6125.00,6019.95,6078.60,52800,6025.13
2015-07-16,5989.95,6045.50,5975.05,6025.50,35500,5972.50
2015-07-15,5920.00,5995.60,5920.00,5967.90,101400,5915.41
2015-07-14,5989.90,5994.00,5935.25,5953.10,40700,5900.74
2015-07-13,6020.00,6020.00,5895.00,5955.50,65700,5903.12
