Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,79.75,83.80,78.90,83.25,2351800,83.25
2016-03-31,79.90,80.60,78.60,78.95,450900,78.95
2016-03-30,79.00,80.80,78.90,79.45,608200,79.45
2016-03-29,77.85,79.30,77.10,78.10,712700,78.10
2016-03-28,81.20,82.25,77.40,77.70,582400,77.70
2016-03-25,80.85,80.85,80.85,80.85,000,80.85
2016-03-24,80.85,80.85,80.85,80.85,000,80.85
2016-03-23,80.90,82.15,80.25,80.85,624000,80.85
2016-03-22,82.45,83.50,80.35,80.95,1010600,80.95
2016-03-21,84.30,84.30,81.55,82.30,965400,82.30
2016-03-18,79.15,85.70,78.30,84.30,3917000,84.30
2016-03-17,78.95,82.00,78.00,78.60,871100,78.60
2016-03-16,79.00,79.50,76.50,78.00,820200,78.00
2016-03-15,80.50,80.90,78.70,79.25,637200,79.25
2016-03-14,79.70,81.35,79.10,79.60,611900,79.60
2016-03-11,80.10,80.50,78.30,79.10,553800,79.10
2016-03-10,81.35,82.40,80.10,80.45,1601300,80.45
2016-03-09,76.80,81.00,75.70,79.75,1272400,79.75
2016-03-08,77.80,78.20,76.50,76.95,421500,76.95
2016-03-07,77.85,77.85,77.85,77.85,000,77.85
2016-03-04,78.00,79.40,76.40,77.85,741700,77.85
2016-03-03,77.45,78.75,76.25,78.05,1173900,78.05
2016-03-02,76.85,78.10,75.70,76.65,2117700,76.65
2016-03-01,70.50,75.75,70.50,75.10,2032200,75.10
2016-02-29,69.25,72.20,68.90,70.30,1386700,70.30
2016-02-26,70.80,70.95,68.75,69.25,642500,69.25
2016-02-25,70.40,70.80,69.00,69.35,384500,69.35
2016-02-24,71.50,71.50,69.25,69.50,705200,69.50
2016-02-23,73.00,74.10,71.00,71.55,659800,71.55
2016-02-22,73.00,73.90,71.80,72.90,442300,72.90
2016-02-19,73.40,75.60,71.70,72.55,1103300,72.55
2016-02-18,73.45,75.10,72.15,73.15,1106400,73.15
2016-02-17,72.00,73.30,69.35,72.35,814600,72.35
