Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,7.768,7.768,7.768,7.768,000,7.768
2016-03-31,8.179,8.179,8.179,8.179,000,8.179
2016-03-30,8.201,8.201,8.201,8.201,000,8.201
2016-03-29,8.426,8.439,8.421,8.421,000,8.421
2016-03-28,8.511,8.511,8.511,8.511,000,8.511
2016-03-25,8.511,8.511,8.511,8.511,000,8.511
2016-03-24,8.346,8.511,8.346,8.511,300,8.511
2016-03-23,8.446,8.446,8.446,8.446,000,8.446
2016-03-22,8.511,8.511,8.511,8.511,000,8.511
2016-03-21,8.382,8.382,8.382,8.382,000,8.382
2016-03-18,8.386,8.386,8.386,8.386,000,8.386
2016-03-17,8.514,8.514,8.514,8.514,000,8.514
2016-03-16,8.524,8.531,8.524,8.531,000,8.531
2016-03-15,8.618,8.618,8.618,8.618,000,8.618
2016-03-14,8.695,8.825,8.695,8.825,000,8.825
2016-03-11,8.58,8.58,8.58,8.58,000,8.58
2016-03-10,8.748,8.748,8.748,8.748,000,8.748
2016-03-09,8.653,8.787,8.653,8.787,000,8.787
2016-03-08,8.668,8.889,8.668,8.889,800,8.889
2016-03-07,8.918,8.918,8.858,8.858,000,8.858
2016-03-04,8.729,8.729,8.717,8.717,000,8.717
2016-03-03,8.698,8.707,8.581,8.627,000,8.627
2016-03-02,8.399,8.399,8.399,8.399,000,8.399
2016-03-01,8.182,8.182,8.182,8.182,000,8.182
2016-02-29,8.222,8.385,8.222,8.308,900,8.308
2016-02-26,7.735,7.874,7.735,7.874,2000,7.874
2016-02-25,7.767,7.767,7.745,7.745,000,7.745
2016-02-24,7.794,7.794,7.794,7.794,000,7.794
2016-02-23,7.779,7.779,7.779,7.779,000,7.779
2016-02-22,7.752,7.917,7.752,7.917,200,7.917
2016-02-19,7.622,7.622,7.548,7.548,000,7.548
2016-02-18,7.747,7.747,7.747,7.747,000,7.747
2016-02-17,7.656,7.656,7.656,7.656,000,7.656
2016-02-16,7.722,7.722,7.722,7.722,000,7.722
2016-02-15,7.691,7.691,7.679,7.679,000,7.679
2016-02-12,7.28,7.28,7.216,7.216,000,7.216
2016-02-11,7.724,7.724,7.724,7.724,000,7.724
2016-02-10,7.535,7.549,7.535,7.549,000,7.549
2016-02-09,7.737,7.737,7.737,7.737,000,7.737
2016-02-08,8.197,8.197,8.197,8.197,000,8.197
2016-02-05,8.144,8.144,8.05,8.053,000,8.053
2016-02-04,8.428,8.428,8.306,8.306,000,8.306
2016-02-03,8.535,8.535,8.535,8.535,000,8.535
2016-02-02,8.907,8.907,8.907,8.907,000,8.907
2016-02-01,9.018,9.018,9.018,9.018,000,9.018
2016-01-29,8.923,9.026,8.923,9.018,000,9.018
2016-01-28,8.47,8.47,8.47,8.47,000,8.47
2016-01-27,8.577,8.577,8.577,8.577,000,8.577
2016-01-26,8.435,8.65,8.434,8.65,2100,8.65
2016-01-25,8.60,8.60,8.60,8.60,000,8.60
2016-01-22,8.559,8.69,8.559,8.69,000,8.69
2016-01-21,8.077,8.252,8.077,8.252,000,8.252
2016-01-20,8.255,8.255,8.255,8.255,000,8.255
2016-01-19,8.626,8.626,8.626,8.626,000,8.626
2016-01-18,8.546,8.546,8.546,8.546,000,8.546
2016-01-15,8.559,8.559,8.559,8.559,000,8.559
2016-01-14,8.73,8.73,8.35,8.55,15900,8.55
2016-01-13,8.959,8.959,8.959,8.959,000,8.959
2016-01-12,8.709,8.709,8.692,8.692,000,8.692
2016-01-11,8.685,8.808,8.685,8.808,000,8.808
2016-01-08,8.803,8.803,8.803,8.803,000,8.803
2016-01-07,8.943,8.943,8.943,8.943,000,8.943
2016-01-06,9.298,9.315,9.298,9.304,000,9.304
2016-01-05,9.394,9.394,9.394,9.394,000,9.394
2016-01-04,9.427,9.669,9.427,9.669,3000,9.669
2016-01-01,9.791,9.791,9.791,9.791,000,9.791
2015-12-31,9.791,9.791,9.791,9.791,000,9.791
2015-12-30,9.647,9.798,9.647,9.791,000,9.791
2015-12-29,9.575,9.616,9.575,9.616,000,9.616
2015-12-28,9.524,9.524,9.524,9.524,000,9.524
2015-12-25,9.462,9.462,9.462,9.462,000,9.462
2015-12-24,9.462,9.462,9.462,9.462,000,9.462
2015-12-23,9.462,9.462,9.462,9.462,000,9.462
2015-12-22,9.463,9.463,9.421,9.421,000,9.421
2015-12-21,9.399,9.402,9.372,9.372,000,9.372
2015-12-18,9.426,9.426,9.426,9.426,000,9.426
2015-12-17,9.541,9.541,9.541,9.541,000,9.541
2015-12-16,9.467,9.467,9.467,9.467,000,9.467
2015-12-15,9.066,9.066,9.066,9.066,000,9.066
2015-12-14,9.429,9.429,9.429,9.429,000,9.429
2015-12-11,9.388,9.388,9.20,9.20,000,9.20
2015-12-10,9.249,9.249,9.249,9.249,000,9.249
2015-12-09,9.331,9.331,9.331,9.331,000,9.331
2015-12-08,9.325,9.325,9.284,9.284,000,9.284
2015-12-07,9.383,9.383,9.383,9.383,000,9.383
2015-12-04,9.312,9.312,9.312,9.312,000,9.312
2015-12-03,9.826,9.826,9.826,9.826,000,9.826
2015-12-02,9.765,9.765,9.752,9.752,800,9.752
2015-12-01,9.80,9.80,9.80,9.80,000,9.80
2015-11-30,10.035,10.035,10.035,10.035,000,10.035
2015-11-27,9.974,10.02,9.974,10.02,100,10.02
2015-11-26,9.913,9.913,9.913,9.913,000,9.913
2015-11-25,9.751,9.751,9.751,9.751,000,9.751
2015-11-24,9.88,9.88,9.823,9.823,000,9.823
2015-11-23,9.864,9.864,9.864,9.864,000,9.864
