Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.097,0.097,0.097,0.097,200,0.097
2016-03-31,0.081,0.09,0.081,0.09,8000,0.09
2016-03-30,0.09,0.09,0.088,0.088,2500,0.088
2016-03-29,0.088,0.09,0.088,0.09,40000,0.09
2016-03-28,0.078,0.078,0.078,0.078,12400,0.078
2016-03-24,0.085,0.085,0.085,0.085,000,0.085
2016-03-23,0.09,0.09,0.085,0.085,1000,0.085
2016-03-22,0.089,0.09,0.089,0.09,25000,0.09
2016-03-21,0.071,0.071,0.071,0.071,000,0.071
2016-03-18,0.071,0.071,0.071,0.071,000,0.071
2016-03-17,0.071,0.071,0.071,0.071,8000,0.071
2016-03-16,0.075,0.075,0.075,0.075,000,0.075
2016-03-15,0.075,0.075,0.075,0.075,000,0.075
2016-03-14,0.075,0.08,0.075,0.075,100000,0.075
2016-03-11,0.095,0.095,0.095,0.095,000,0.095
2016-03-10,0.095,0.095,0.095,0.095,000,0.095
2016-03-09,0.082,0.095,0.082,0.095,30900,0.095
2016-03-08,0.098,0.098,0.098,0.098,5500,0.098
2016-03-07,0.09,0.098,0.09,0.098,40000,0.098
2016-03-04,0.098,0.098,0.095,0.095,39800,0.095
2016-03-03,0.098,0.098,0.095,0.095,4000,0.095
2016-03-02,0.08,0.098,0.075,0.098,108800,0.098
2016-03-01,0.08,0.08,0.08,0.08,30000,0.08
2016-02-29,0.082,0.085,0.082,0.085,17300,0.085
2016-02-26,0.082,0.082,0.081,0.082,16000,0.082
2016-02-25,0.08,0.082,0.08,0.082,57000,0.082
2016-02-24,0.09,0.09,0.087,0.087,13600,0.087
2016-02-23,0.095,0.095,0.095,0.095,000,0.095
2016-02-22,0.095,0.095,0.095,0.095,000,0.095
2016-02-19,0.091,0.095,0.091,0.095,2600,0.095
2016-02-18,0.087,0.095,0.087,0.095,49000,0.095
2016-02-17,0.095,0.095,0.09,0.09,16300,0.09
2016-02-16,0.10,0.10,0.10,0.10,4000,0.10
2016-02-12,0.089,0.10,0.089,0.10,267600,0.10
2016-02-11,0.098,0.098,0.085,0.09,145200,0.09
2016-02-10,0.08,0.08,0.068,0.08,130600,0.08
2016-02-09,0.08,0.08,0.08,0.08,20000,0.08
2016-02-08,0.099,0.099,0.099,0.099,56000,0.099
2016-02-05,0.085,0.09,0.085,0.09,41200,0.09
2016-02-04,0.09,0.10,0.087,0.10,393500,0.10
2016-02-03,0.075,0.09,0.075,0.088,255300,0.088
2016-02-02,0.06,0.086,0.06,0.086,64500,0.086
2016-02-01,0.074,0.074,0.074,0.074,000,0.074
2016-01-29,0.074,0.074,0.074,0.074,000,0.074
2016-01-28,0.075,0.075,0.073,0.074,104100,0.074
2016-01-27,0.06,0.06,0.06,0.06,5000,0.06
2016-01-26,0.055,0.055,0.055,0.055,000,0.055
2016-01-25,0.051,0.056,0.051,0.055,33000,0.055
