Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,36.330002,36.790001,36.18,36.630001,672800,36.630001
2016-03-31,35.959999,36.639999,35.560001,36.43,944000,36.43
2016-03-30,36.799999,36.799999,36.310001,36.349998,465000,36.349998
2016-03-29,36.060001,36.849998,35.849998,36.810001,753500,36.810001
2016-03-28,35.75,36.27,35.50,36.09,469800,36.09
2016-03-24,35.389999,36.02,35.389999,35.849998,512600,35.849998
2016-03-23,35.130001,35.77,34.939999,35.509998,552700,35.509998
2016-03-22,35.09,35.419998,34.919998,35.040001,429000,35.040001
2016-03-21,34.709999,35.25,34.43,35.220001,558700,35.220001
2016-03-18,35.50,35.52,34.82,34.869999,1096900,34.869999
2016-03-17,34.950001,35.400002,34.630001,35.380001,595900,35.380001
2016-03-16,34.380001,35.060001,33.93,34.990002,724200,34.990002
2016-03-15,34.369999,34.799999,34.34,34.529999,558000,34.529999
2016-03-14,34.610001,35.00,34.110001,34.549999,430400,34.549999
2016-03-11,34.77,34.860001,34.48,34.709999,566100,34.709999
2016-03-10,35.27,35.369999,34.509998,34.68,634100,34.440001
2016-03-09,34.950001,35.360001,34.650002,35.27,780900,35.025918
2016-03-08,34.09,35.27,33.790001,34.959999,955600,34.718062
2016-03-07,34.700001,34.790001,33.93,33.939999,11485200,33.70512
2016-03-04,34.200001,34.959999,34.07,34.790001,615200,34.54924
2016-03-03,34.32,34.439999,33.889999,34.369999,523100,34.132145
2016-03-02,33.849998,34.360001,33.32,34.290001,669700,34.0527
2016-03-01,34.73,34.82,33.830002,33.98,864000,33.744844
2016-02-29,33.939999,34.990002,33.82,34.619999,1107300,34.380415
2016-02-26,34.48,34.48,33.369999,33.599998,676700,33.367473
2016-02-25,34.610001,34.84,34.369999,34.490002,607900,34.251317
2016-02-24,34.130001,34.630001,34.00,34.580002,409100,34.340694
2016-02-23,34.43,34.700001,34.200001,34.290001,398800,34.0527
2016-02-22,34.52,34.860001,34.330002,34.57,438500,34.330762
2016-02-19,34.599998,34.900002,34.439999,34.52,532000,34.281108
2016-02-18,34.360001,34.869999,34.169998,34.599998,423800,34.360553
2016-02-17,34.419998,34.529999,33.66,34.279999,476100,34.042768
2016-02-16,34.529999,34.669998,33.91,34.360001,487800,34.122216
2016-02-12,34.50,34.790001,33.799999,34.240002,684800,34.003047
2016-02-11,34.52,34.82,34.32,34.50,494400,34.261246
2016-02-10,35.330002,35.439999,34.720001,34.82,511800,34.579031
2016-02-09,34.529999,35.459999,34.529999,35.290001,863500,35.04578
2016-02-08,34.34,34.790001,34.040001,34.779999,1271500,34.539307
2016-02-05,34.630001,34.799999,34.139999,34.57,764200,34.330762
2016-02-04,36.369999,36.57,34.830002,34.889999,923900,34.648547
2016-02-03,36.209999,36.470001,35.349998,36.259998,621200,36.009065
2016-02-02,35.25,35.810001,35.060001,35.799999,649400,35.552249
2016-02-01,35.23,35.689999,35.09,35.43,725100,35.184811
2016-01-29,35.009998,35.57,34.970001,35.220001,3698300,34.976265
