Date,Open,High,Low,Close,Volume,Adj_Close
2015-04-01,20.35,20.35,20.35,20.35,000,20.35
2015-03-31,19.545,19.545,19.545,19.545,000,19.545
2015-03-30,19.575,19.575,19.575,19.575,000,19.575
2015-03-27,19.81,19.81,19.81,19.81,000,19.81
2015-03-26,20.28,20.28,20.28,20.28,000,20.28
2015-03-25,20.555,20.555,20.555,20.555,000,20.555
2015-03-24,21.075,21.075,21.075,21.075,000,21.075
2015-03-23,21.57,21.57,21.57,21.57,000,21.57
2015-03-20,22.09,22.09,22.09,22.09,000,22.09
2015-03-19,22.75,22.75,22.75,22.75,000,22.75
2015-03-18,22.935,22.935,22.935,22.935,000,22.935
2015-03-17,22.78,22.78,22.78,22.78,000,22.78
2015-03-16,22.555,22.555,22.555,22.555,000,22.555
2015-03-13,22.70,22.70,22.70,22.70,000,22.70
2015-03-12,22.155,22.155,22.155,22.155,000,22.155
2015-03-11,22.675,22.675,22.675,22.675,000,22.675
2015-03-10,22.955,22.955,22.955,22.955,000,22.955
2015-03-09,22.775,22.775,22.775,22.775,000,22.775
2015-03-06,23.025,23.025,23.025,23.025,000,23.025
2015-03-05,22.84,22.84,22.84,22.84,000,22.84
2015-03-04,22.775,22.775,22.775,22.775,000,22.775
2015-03-03,22.385,22.385,22.385,22.385,000,22.385
2015-03-02,22.355,22.355,22.355,22.355,000,22.355
2015-02-27,24.275,24.275,24.275,24.275,000,24.275
2015-02-26,23.275,23.275,23.275,23.275,000,23.275
2015-02-25,23.135,23.135,23.135,23.135,000,23.135
2015-02-24,23.11,23.11,23.11,23.11,000,23.11
2015-02-23,22.785,22.785,22.785,22.785,000,22.785
2015-02-20,22.065,22.065,22.065,22.065,000,22.065
2015-02-19,20.42,20.42,20.42,20.42,000,20.42
2015-02-18,20.465,20.465,20.465,20.465,000,20.465
2015-02-17,20.185,20.185,20.185,20.185,000,20.185
2015-02-16,20.065,20.065,20.065,20.065,000,20.065
2015-02-13,19.34,19.34,19.34,19.34,000,19.34
2015-02-12,19.17,19.17,19.17,19.17,000,19.17
2015-02-11,19.285,19.285,19.285,19.285,000,19.285
2015-02-10,19.785,19.785,19.785,19.785,000,19.785
2015-02-09,20.165,20.165,20.165,20.165,000,20.165
2015-02-06,20.185,20.185,20.185,20.185,000,20.185
2015-02-05,20.57,20.57,20.57,20.57,000,20.57
2015-02-04,20.63,20.63,20.63,20.63,000,20.63
2015-02-03,20.23,20.23,20.23,20.23,000,20.23
2015-02-02,19.60,19.60,19.60,19.60,000,19.60
2015-01-30,19.25,19.25,19.25,19.25,000,19.25
2015-01-29,19.395,19.395,19.395,19.395,000,19.395
2015-01-28,19.535,19.535,19.535,19.535,000,19.535
2015-01-27,20.115,20.115,20.115,20.115,000,20.115
2015-01-26,20.095,20.095,20.095,20.095,000,20.095
2015-01-23,19.93,19.93,19.93,19.93,000,19.93
2015-01-22,20.20,20.20,20.20,20.20,000,20.20
2015-01-21,20.835,20.835,20.835,20.835,000,20.835
2015-01-20,21.35,21.35,21.35,21.35,000,21.35
2015-01-19,21.37,21.37,21.37,21.37,000,21.37
2015-01-16,22.005,22.005,22.005,22.005,000,22.005
2015-01-15,21.295,21.295,21.295,21.295,000,21.295
2015-01-14,21.35,21.35,21.35,21.35,000,21.35
2015-01-13,22.65,22.65,22.65,22.65,000,22.65
2015-01-12,24.16,24.16,24.16,24.16,000,24.16
2015-01-09,22.775,22.775,22.775,22.775,000,22.775
2015-01-08,21.885,22.60,21.885,22.60,000,22.60
2015-01-07,22.25,22.25,22.25,22.25,000,22.25
2015-01-06,22.72,22.72,22.72,22.72,000,22.72
2015-01-05,23.165,23.165,23.165,23.165,000,23.165
2015-01-02,22.585,22.585,22.585,22.585,000,22.585
2015-01-01,23.39,23.39,23.39,23.39,000,23.39
2014-12-31,23.39,23.39,23.39,23.39,000,23.39
2014-12-30,23.39,23.39,23.39,23.39,000,23.39
2014-12-29,23.885,23.885,23.885,23.885,000,23.885
2014-12-26,22.99,22.99,22.99,22.99,000,22.99
2014-12-25,22.99,22.99,22.99,22.99,000,22.99
2014-12-24,22.99,22.99,22.99,22.99,000,22.99
2014-12-23,22.99,22.99,22.99,22.99,000,22.99
2014-12-22,23.165,23.165,23.165,23.165,000,23.165
2014-12-19,22.81,22.81,22.81,22.81,000,22.81
2014-12-18,22.735,22.735,22.735,22.735,000,22.735
2014-12-17,21.315,21.315,21.315,21.315,000,21.315
2014-12-16,21.885,21.885,21.885,21.885,000,21.885
2014-12-15,21.83,21.83,21.83,21.83,000,21.83
2014-12-12,21.925,21.925,21.925,21.925,000,21.925
2014-12-11,22.135,22.135,22.135,22.135,000,22.135
2014-12-10,22.095,22.095,22.095,22.095,000,22.095
2014-12-09,21.805,21.805,21.805,21.805,000,21.805
2014-12-08,22.44,22.955,22.44,22.73,100,22.73
2014-12-05,21.415,21.415,21.415,21.415,000,21.415
2014-12-04,21.26,21.26,21.26,21.26,000,21.26
2014-12-03,20.925,20.925,20.925,20.925,000,20.925
2014-12-02,20.34,20.34,20.34,20.34,000,20.34
2014-12-01,20.91,20.91,20.91,20.91,000,20.91
2014-11-28,20.24,20.24,20.24,20.24,000,20.24
2014-11-27,20.10,20.10,20.10,20.10,000,20.10
2014-11-26,21.02,21.02,21.02,21.02,000,21.02
2014-11-25,20.68,20.68,20.68,20.68,000,20.68
2014-11-24,20.675,20.675,20.675,20.675,000,20.675
2014-11-21,21.36,21.36,21.36,21.36,000,21.36
2014-11-20,20.97,20.97,20.97,20.97,000,20.97
2014-11-19,22.11,22.11,22.11,22.11,000,22.11
2014-11-18,21.765,21.765,21.765,21.765,000,21.765
2014-11-17,21.79,21.79,21.79,21.79,000,21.79
2014-11-14,21.935,21.935,21.935,21.935,000,21.935
2014-11-13,22.33,22.33,22.33,22.33,000,22.33
2014-11-12,22.46,22.46,22.46,22.46,000,22.46
2014-11-11,22.79,22.79,22.79,22.79,000,22.79
2014-11-10,22.185,22.185,22.185,22.185,000,22.185
2014-11-07,21.595,21.595,21.595,21.595,000,21.595
2014-11-06,21.39,21.39,21.39,21.39,000,21.39
2014-11-05,21.495,21.495,21.495,21.495,000,21.495
2014-11-04,22.185,22.185,22.185,22.185,000,22.185
2014-11-03,21.65,21.65,21.65,21.65,000,21.65
2014-10-31,20.81,20.81,20.81,20.81,000,20.81
2014-10-30,20.55,20.55,20.55,20.55,000,20.55
2014-10-29,20.72,20.72,20.72,20.72,000,20.72
2014-10-28,20.47,20.47,20.47,20.47,000,20.47
2014-10-27,20.275,20.275,20.275,20.275,000,20.275
2014-10-24,20.32,20.32,20.32,20.32,000,20.32
2014-10-23,19.54,19.54,19.54,19.54,000,19.54
2014-10-22,19.375,19.375,19.375,19.375,000,19.375
2014-10-21,19.00,19.00,19.00,19.00,000,19.00
2014-10-20,20.13,20.13,20.13,20.13,000,20.13
2014-10-17,19.60,19.60,19.60,19.60,000,19.60
2014-10-16,18.96,18.96,18.96,18.96,000,18.96
2014-10-15,18.46,18.46,18.46,18.46,000,18.46
