Date,Open,High,Low,Close,Volume,Adj_Close
2013-03-29,6.51,6.51,6.51,6.51,000,6.51
2013-03-28,6.804,6.804,6.51,6.51,000,6.51
2013-03-27,6.914,6.914,6.687,6.687,000,6.687
2013-03-26,7.206,7.206,6.906,6.906,000,6.906
2013-03-25,7.193,7.193,7.032,7.032,000,7.032
2013-03-22,7.214,7.214,7.214,7.214,000,7.214
2013-03-21,6.914,6.914,6.914,6.914,000,6.914
2013-03-20,6.763,6.763,6.763,6.763,000,6.763
2013-03-19,6.709,6.709,6.709,6.709,000,6.709
2013-03-18,6.786,6.786,6.786,6.786,000,6.786
2013-03-15,6.812,6.812,6.812,6.812,000,6.812
2013-03-14,6.691,6.691,6.691,6.691,000,6.691
2013-03-13,6.748,6.748,6.484,6.484,000,6.484
2013-03-12,6.707,6.707,6.452,6.452,000,6.452
2013-03-11,6.749,6.749,6.463,6.463,000,6.463
2013-03-08,6.709,6.709,6.382,6.411,000,6.411
2013-03-07,6.831,6.831,6.831,6.831,000,6.831
2013-03-06,6.881,6.881,6.881,6.881,000,6.881
2013-03-05,7.028,7.028,7.028,7.028,000,7.028
2013-03-04,6.902,6.902,6.902,6.902,000,6.902
2013-03-01,6.807,6.807,6.508,6.508,000,6.508
2013-02-28,6.874,6.874,6.874,6.874,000,6.874
2013-02-27,6.834,6.834,6.834,6.834,000,6.834
2013-02-26,6.851,6.851,6.851,6.851,000,6.851
2013-02-25,6.677,6.677,6.677,6.677,000,6.677
2013-02-22,6.748,6.748,6.462,6.462,000,6.462
2013-02-21,6.875,6.875,6.875,6.875,000,6.875
2013-02-20,6.837,6.837,6.837,6.837,000,6.837
2013-02-19,6.754,6.754,6.754,6.754,000,6.754
2013-02-18,6.356,6.356,6.356,6.356,000,6.356
2013-02-15,6.476,6.476,6.476,6.476,000,6.476
2013-02-14,6.507,6.507,6.507,6.507,000,6.507
2013-02-13,6.588,6.588,6.588,6.588,000,6.588
2013-02-12,7.16,7.16,7.16,7.16,000,7.16
2013-02-11,7.47,7.47,7.47,7.47,000,7.47
2013-02-08,7.41,7.41,7.41,7.41,000,7.41
2013-02-07,7.29,7.29,7.29,7.29,000,7.29
2013-02-06,7.20,7.20,7.20,7.20,000,7.20
2013-02-05,7.24,7.24,7.24,7.24,000,7.24
2013-02-04,6.86,6.86,6.86,6.86,000,6.86
2013-02-01,7.02,7.02,7.02,7.02,000,7.02
2013-01-31,7.07,7.09,7.07,7.09,000,7.09
2013-01-30,7.34,7.34,7.30,7.30,000,7.30
2013-01-29,7.30,7.30,7.30,7.30,000,7.30
2013-01-28,7.28,7.28,7.28,7.28,000,7.28
2013-01-25,7.16,7.16,7.13,7.13,000,7.13
2013-01-24,7.25,7.25,7.25,7.25,000,7.25
2013-01-23,7.37,7.37,7.37,7.37,000,7.37
2013-01-22,7.30,7.30,7.30,7.30,000,7.30
