Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,14.00,14.00,14.00,14.00,000,14.00
2016-03-31,14.00,14.05,14.00,14.00,100,14.00
2016-03-30,14.00,14.00,14.00,14.00,000,14.00
2016-03-29,14.00,14.00,14.00,14.00,000,14.00
2016-03-28,14.00,14.00,14.00,14.00,000,14.00
2016-03-25,14.00,14.00,14.00,14.00,000,14.00
2016-03-24,14.00,14.00,14.00,14.00,000,14.00
2016-03-23,14.00,14.00,14.00,14.00,000,14.00
2016-03-22,14.00,14.00,14.00,14.00,000,14.00
2016-03-21,14.00,14.00,14.00,14.00,000,14.00
2016-03-18,14.00,14.90,14.00,14.00,300,14.00
2016-03-17,14.00,14.00,12.10,14.00,1400,14.00
2016-03-16,14.00,14.00,14.00,14.00,000,14.00
2016-03-15,14.00,14.00,14.00,14.00,000,14.00
2016-03-14,14.00,14.00,14.00,14.00,000,14.00
2016-03-11,14.00,14.00,14.00,14.00,000,14.00
2016-03-10,14.00,14.00,14.00,14.00,000,14.00
2016-03-09,14.00,15.50,14.00,15.50,000,15.50
2016-03-08,12.10,14.01,12.10,14.00,000,14.00
2016-03-07,14.00,14.00,14.00,14.00,200,14.00
2016-03-04,14.00,14.00,14.00,14.00,000,14.00
2016-03-03,14.00,14.00,14.00,14.00,000,14.00
2016-03-02,14.00,14.00,14.00,14.00,000,14.00
2016-03-01,14.00,14.00,14.00,14.00,000,14.00
2016-02-29,14.00,14.00,14.00,14.00,000,14.00
2016-02-26,14.00,14.00,14.00,14.00,000,14.00
2016-02-25,14.00,14.00,14.00,14.00,000,14.00
2016-02-24,14.00,14.00,14.00,14.00,000,14.00
2016-02-23,14.00,14.00,14.00,14.00,000,14.00
2016-02-22,14.00,14.00,14.00,14.00,000,14.00
2016-02-19,14.00,14.00,14.00,14.00,000,14.00
2016-02-18,14.00,14.00,14.00,14.00,000,14.00
2016-02-17,14.00,14.00,14.00,14.00,000,14.00
2016-02-16,14.00,14.00,14.00,14.00,000,14.00
2016-02-15,14.00,14.00,14.00,14.00,000,14.00
2016-02-12,14.00,14.00,14.00,14.00,000,14.00
2016-02-11,14.00,14.00,14.00,14.00,000,14.00
2016-02-10,14.00,14.00,14.00,14.00,000,14.00
2016-02-09,14.00,14.00,12.01,12.10,500,12.10
2016-02-08,14.00,14.00,14.00,14.00,000,14.00
