Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,2460.87,2460.87,2460.87,2460.87,200,2460.87
2016-03-31,2462.22,2462.22,2462.22,2462.22,000,2462.22
2016-03-30,2462.22,2462.22,2462.22,2462.22,400,2462.22
2016-03-29,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-28,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-25,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-24,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-23,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-22,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-21,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-18,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-17,2702.48,2702.48,2702.48,2702.48,000,2702.48
2016-03-16,2667.81,2667.81,2653.91,2654.19,2100,2654.19
2016-03-15,2614.06,2622.83,2614.06,2622.83,800,2622.83
2016-03-14,2541.13,2541.13,2541.13,2541.13,000,2541.13
2016-03-11,2541.13,2541.13,2541.13,2541.13,000,2541.13
2016-03-10,2539.91,2539.91,2539.91,2539.91,000,2539.91
2016-03-09,2539.91,2539.91,2539.91,2539.91,000,2539.91
2016-03-08,2539.91,2539.91,2539.91,2539.91,000,2539.27
2016-03-07,2539.91,2539.91,2539.91,2539.91,000,2539.27
2016-03-04,2543.74,2543.74,2539.91,2539.91,10800,2539.27
2016-03-03,2509.78,2509.78,2509.78,2509.78,800,2509.15
2016-03-02,2420.00,2420.00,2406.00,2406.00,000,2405.39
2016-03-01,2360.00,2360.00,2360.00,2360.00,000,2359.41
2016-02-29,2360.00,2360.00,2360.00,2360.00,000,2359.41
2016-02-26,2429.81,2429.81,2429.81,2429.81,000,2429.20
2016-02-25,2429.81,2429.81,2429.81,2429.81,300,2429.20
2016-02-24,2829.16,2829.16,2829.16,2829.16,100,2828.45
2016-02-23,2855.73,2855.73,2855.73,2855.73,000,2855.01
2016-02-22,2883.41,2883.41,2883.41,2883.41,100,2882.68
2016-02-19,2826.73,2826.73,2826.73,2826.73,000,2826.02
2016-02-18,2895.00,2895.00,2895.00,2826.73,000,2826.02
2016-02-17,2826.73,2826.73,2826.73,2826.73,7700,2826.02
2016-02-16,2866.50,2866.50,2843.11,2843.11,2100,2842.39
2016-02-15,2635.68,2635.68,2635.68,2635.68,000,2635.02
2016-02-12,2635.68,2635.68,2635.68,2635.68,000,2635.02
2016-02-11,2635.68,2635.68,2635.68,2635.68,000,2635.02
2016-02-10,2635.68,2635.68,2635.68,2635.68,200,2635.02
2016-02-09,2732.48,2732.48,2732.48,2732.48,000,2731.79
2016-02-08,2732.48,2732.48,2732.48,2732.48,000,2731.79
2016-02-05,2732.48,2732.48,2732.48,2732.48,000,2731.79
2016-02-04,2732.48,2732.48,2732.48,2732.48,400,2731.79
2016-02-03,2674.33,2674.33,2674.33,2674.33,000,2673.66
2016-02-02,2880.53,2880.53,2880.53,2880.53,300,2879.80
2016-02-01,2824.32,2824.32,2824.32,2824.32,000,2823.61
2016-01-29,2819.00,2824.35,2819.00,2824.32,2600,2823.61
2016-01-28,2922.74,2922.74,2922.74,2922.74,000,2922.00
2016-01-27,2946.00,2946.00,2946.00,2946.00,000,2945.26
2016-01-26,2946.00,2946.00,2946.00,2946.00,000,2945.26
2016-01-25,2946.00,2946.00,2946.00,2946.00,000,2945.26
2016-01-22,2946.00,2946.00,2946.00,2946.00,000,2945.26
2016-01-21,2989.89,2989.89,2989.89,2989.89,6500,2989.14
2016-01-20,3000.00,3000.00,3000.00,3000.00,000,2999.24
2016-01-19,2931.94,2931.94,2931.94,2931.94,300,2931.20
2016-01-18,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-15,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-14,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-13,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-12,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-11,2948.83,2948.83,2948.83,2948.83,000,2948.09
2016-01-08,2948.83,2948.83,2948.83,2948.83,1000,2948.09
2016-01-07,3019.70,3019.70,3019.70,3019.70,000,3018.94
2016-01-06,3019.70,3019.70,3019.70,3019.70,000,3018.94
2016-01-05,3019.70,3019.70,3019.70,3019.70,000,3018.94
2016-01-04,3132.52,3132.52,3132.52,3132.52,000,3131.73
2016-01-01,3132.52,3132.52,3132.52,3132.52,000,3131.73
2015-12-31,3132.52,3132.52,3132.52,3132.52,000,3131.73
2015-12-30,3132.52,3132.52,3132.52,3132.52,000,3131.73
2015-12-29,3132.52,3132.52,3132.52,3132.52,000,3131.73
2015-12-28,3133.01,3133.01,3132.52,3132.52,7000,3131.73
2015-12-25,3116.55,3116.55,3116.55,3116.55,000,3115.76
2015-12-24,3116.55,3116.55,3116.55,3116.55,000,3115.76
2015-12-23,3116.55,3116.55,3116.55,3116.55,000,3115.76
2015-12-22,3090.00,3116.55,3090.00,3116.55,100,3115.76
2015-12-21,3105.08,3105.08,3105.08,3105.08,000,3104.30
2015-12-18,3105.08,3105.08,3105.08,3105.08,000,3104.30
