Date,Open,High,Low,Close,Volume,Adj_Close
2016-01-29,128.50,128.50,128.50,128.50,000,8.50
2016-01-22,123.00,123.00,123.00,123.00,000,8.14
2016-01-08,117.70,117.70,117.70,117.70,000,7.79
2016-01-06,117.24,117.24,117.24,117.24,000,7.76
2016-01-05,124.98,124.98,124.98,124.98,000,8.27
2016-01-04,126.34,126.34,126.34,126.34,000,8.36
2016-01-01,125.44,125.44,125.44,125.44,000,8.30
2015-12-31,125.44,125.44,125.44,125.44,000,8.30
2015-12-30,125.44,125.44,125.44,125.44,000,8.30
2015-12-29,126.44,130.84,126.44,130.84,000,8.65
2015-12-28,122.68,122.68,122.68,122.68,000,8.12
2015-12-25,121.18,121.18,121.18,121.18,000,8.02
2015-12-24,121.18,121.18,121.18,121.18,000,8.02
2015-12-23,121.18,121.18,121.18,121.18,000,8.02
2015-12-22,121.16,121.16,121.16,121.16,000,8.01
2015-12-21,123.32,123.32,123.32,123.32,000,8.16
2015-12-18,124.86,124.86,124.86,124.86,000,8.26
2015-12-17,127.36,127.36,127.36,127.36,000,8.42
2015-12-16,126.36,126.36,126.36,126.36,000,8.36
2015-12-15,125.00,125.00,125.00,125.00,000,8.27
2015-12-14,130.82,130.82,130.82,130.82,000,8.65
2015-12-09,137.30,137.30,137.30,137.30,000,9.08
2015-12-08,135.24,135.24,135.24,135.24,000,8.95
2015-12-07,139.06,139.06,139.06,139.06,000,9.20
2015-12-04,139.72,139.72,139.72,139.72,000,9.24
2015-12-03,145.74,145.74,145.74,145.74,000,9.64
2015-12-02,145.80,145.80,145.80,145.80,000,9.64
2015-12-01,145.70,145.70,145.70,145.70,000,9.64
2015-11-30,143.28,143.28,143.28,143.28,000,9.48
2015-11-27,148.52,150.00,148.52,150.00,000,9.92
2015-11-26,148.88,148.88,148.88,148.88,000,9.85
2015-11-25,148.52,148.52,148.52,148.52,000,9.82
2015-11-24,148.52,148.52,148.52,148.52,000,9.82
2015-11-20,146.02,146.02,146.02,146.02,000,9.66
2015-11-19,145.92,145.92,145.92,145.92,000,9.65
2015-11-18,144.68,144.68,144.68,144.68,000,9.57
2015-11-16,145.96,145.96,145.96,145.96,000,9.65
2015-11-13,150.30,150.30,150.30,150.30,000,9.94
2015-11-12,149.74,149.74,149.74,149.74,000,9.90
2015-11-11,153.08,153.08,153.08,153.08,000,10.13
2015-11-10,153.52,156.50,153.52,156.50,000,10.35
2015-11-09,154.52,154.52,154.52,154.52,000,10.22
2015-11-06,148.80,148.80,148.80,148.80,000,9.84
2015-11-05,148.78,148.78,148.78,148.78,000,9.84
2015-11-04,146.24,146.24,146.24,146.24,000,9.67
2015-11-03,143.84,143.84,143.84,143.84,000,9.51
2015-11-02,144.06,144.06,144.06,144.06,000,9.53
2015-10-30,144.70,144.70,144.70,144.70,000,9.57
2015-10-29,156.22,160.35,156.22,160.35,000,10.61
2015-10-28,164.00,164.00,164.00,164.00,000,10.85
2015-10-27,171.56,171.56,171.56,171.56,000,11.35
2015-10-26,177.04,177.04,177.04,177.04,000,11.71
2015-10-23,173.64,173.64,173.64,173.64,000,11.49
2015-10-22,168.28,168.28,168.28,168.28,000,11.13
2015-10-21,169.00,169.00,169.00,169.00,000,11.18
2015-10-20,169.66,169.66,169.66,169.66,000,11.22
2015-10-19,169.02,175.84,169.02,175.84,000,11.63
2015-10-16,168.08,168.08,168.08,168.08,000,11.12
2015-10-15,160.66,160.66,160.66,160.66,000,10.63
2015-10-14,156.40,156.40,156.40,156.40,000,10.35
2015-10-13,161.34,161.34,161.34,161.34,000,10.67
2015-10-12,159.05,159.05,158.52,158.52,100,10.49
2015-10-09,157.54,157.54,157.54,157.54,000,10.42
2015-10-08,154.20,154.20,154.20,154.20,000,10.20
2015-10-07,155.71,155.71,155.71,155.71,000,10.30
2015-10-06,159.19,159.19,159.19,159.19,000,10.53
2015-10-05,158.62,158.62,158.62,158.62,000,10.49
2015-10-02,155.63,155.63,155.63,155.63,000,10.29
2015-10-01,154.41,154.41,154.41,154.41,000,10.21
2015-09-30,148.33,148.33,148.33,148.33,000,9.81
2015-09-29,143.43,143.43,143.43,143.43,000,9.49
2015-09-28,149.21,149.21,149.21,149.21,000,9.87
2015-09-25,152.26,152.26,152.26,152.26,000,8.09
2015-09-24,150.13,150.13,150.13,150.13,000,7.97
2015-09-21,154.88,154.88,154.88,154.88,000,8.23
2015-09-18,154.60,154.60,154.60,154.60,000,8.21
2015-09-17,155.75,155.88,155.75,155.88,000,8.28
2015-09-16,159.35,160.00,159.35,160.00,000,8.50
2015-09-15,166.54,166.54,166.54,166.54,000,8.85
2015-09-14,167.59,167.59,167.59,167.59,000,8.90
2015-09-11,168.84,168.84,168.84,168.84,000,8.97
2015-09-10,172.57,172.57,172.57,172.57,000,9.17
2015-09-09,175.36,175.36,175.36,175.36,000,9.31
2015-09-08,166.99,166.99,166.99,166.99,000,8.87
2015-09-07,171.60,171.60,171.60,171.60,000,9.11
