Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,36.55,36.805,36.065,36.46,157800,36.46
2016-03-31,37.165,37.37,36.00,36.99,310700,36.99
2016-03-30,38.30,39.175,37.50,37.675,304900,37.675
2016-03-29,36.815,38.12,36.80,38.10,259200,38.10
2016-03-28,36.41,36.41,36.41,36.41,000,36.41
2016-03-25,36.41,36.41,36.41,36.41,000,36.41
2016-03-24,35.975,37.02,35.975,36.41,239900,36.41
2016-03-23,36.41,36.60,35.605,36.155,184300,36.155
2016-03-22,37.265,37.335,35.935,36.455,188900,36.455
2016-03-21,37.00,37.41,36.655,37.25,168500,37.25
2016-03-18,37.095,37.51,36.96,37.12,314100,37.12
2016-03-17,37.66,37.95,36.235,37.045,465600,37.045
2016-03-16,38.09,38.09,37.01,37.36,367000,37.36
2016-03-15,38.175,39.22,37.405,37.93,463500,37.93
2016-03-14,36.70,37.70,36.435,37.40,309200,37.40
2016-03-11,34.80,37.37,34.505,36.365,430100,36.365
2016-03-10,34.03,35.20,33.57,34.13,317500,34.13
2016-03-09,33.33,34.75,33.275,34.08,271800,34.08
2016-03-08,33.335,33.485,32.695,33.45,179900,33.45
2016-03-07,33.665,33.72,33.20,33.62,60300,33.62
2016-03-04,34.19,34.20,33.54,33.84,75800,33.84
2016-03-03,34.585,34.78,33.755,34.00,115800,34.00
2016-03-02,34.80,34.985,34.15,34.305,157500,34.305
2016-03-01,33.51,35.24,33.51,34.725,138400,34.725
2016-02-29,33.685,33.725,33.15,33.685,186400,33.685
2016-02-26,33.63,33.85,33.26,33.72,119300,33.72
2016-02-25,32.915,33.835,32.71,33.33,158100,33.33
2016-02-24,33.25,33.465,32.34,32.505,165300,32.505
2016-02-23,33.31,33.645,32.99,33.405,100900,33.405
2016-02-22,32.50,33.365,32.50,33.24,119600,33.24
2016-02-19,32.555,32.995,31.975,32.41,155900,32.41
2016-02-18,32.63,33.065,32.455,32.845,107300,32.845
2016-02-17,31.99,32.66,31.68,32.58,222200,32.58
2016-02-16,32.50,32.95,31.625,31.68,136700,31.68
2016-02-15,31.00,33.095,31.00,32.40,266500,32.40
2016-02-12,29.95,30.115,29.21,30.00,151000,30.00
2016-02-11,30.24,30.29,28.295,29.515,265200,29.515
2016-02-10,29.67,31.045,29.01,30.50,216500,30.50
2016-02-09,30.37,30.60,27.05,29.58,534200,29.58
2016-02-08,33.095,33.19,29.985,30.585,315900,30.585
2016-02-05,33.19,33.83,32.805,32.995,267900,32.995
2016-02-04,34.35,34.35,33.23,33.43,151500,33.43
2016-02-03,35.005,35.165,33.345,33.815,219500,33.815
2016-02-02,36.285,36.285,34.81,35.32,425200,35.32
2016-02-01,36.805,37.28,36.21,36.295,193800,36.295
2016-01-29,35.08,36.55,34.935,36.55,346300,36.55
2016-01-28,35.20,35.495,34.47,34.705,194000,34.705
2016-01-27,34.71,35.53,34.44,35.50,253400,35.50
2016-01-26,34.225,34.865,33.40,34.78,255100,34.78
2016-01-25,34.85,34.97,34.34,34.50,158500,34.50
2016-01-22,34.445,35.00,34.10,34.615,314300,34.615
2016-01-21,32.88,33.975,32.385,33.75,200900,33.75
2016-01-20,34.05,34.095,32.60,33.085,214600,33.085
2016-01-19,35.15,35.195,34.43,34.85,122000,34.85
2016-01-18,35.155,35.495,34.455,34.51,161800,34.51
2016-01-15,36.135,36.135,34.90,35.35,206800,35.35
2016-01-14,36.66,36.90,35.39,36.10,226500,36.10
2016-01-13,36.80,37.10,36.61,37.01,227300,37.01
2016-01-12,36.915,36.99,36.215,36.735,286000,36.735
2016-01-11,37.825,37.955,36.37,36.85,241800,36.85
2016-01-08,37.37,38.405,37.25,38.00,407000,38.00
2016-01-07,36.05,37.645,36.00,37.505,195600,37.505
2016-01-06,37.00,37.10,35.80,37.00,235500,37.00
2016-01-05,33.90,38.31,33.885,37.20,568800,37.20
2016-01-04,33.40,33.65,32.80,33.145,202100,33.145
2016-01-01,33.50,33.50,33.50,33.50,000,33.50
2015-12-31,33.50,33.50,33.50,33.50,000,33.50
2015-12-30,33.64,33.76,33.325,33.50,251100,33.50
2015-12-29,33.485,34.18,33.41,33.795,94600,33.795
2015-12-28,33.70,33.705,33.19,33.42,72800,33.42
2015-12-25,33.70,33.70,33.70,33.70,000,33.70
2015-12-24,33.97,33.97,33.45,33.70,27600,33.70
2015-12-23,32.58,34.125,32.58,33.70,267900,33.70
2015-12-22,32.485,32.89,32.21,32.48,211200,32.48
2015-12-21,32.825,32.825,32.185,32.185,218100,32.185
2015-12-18,33.00,34.035,32.205,32.72,654000,32.72
2015-12-17,37.505,38.54,37.465,37.53,418300,37.53
2015-12-16,35.765,37.115,35.67,36.735,363100,36.735
2015-12-15,33.45,36.135,33.405,35.43,549100,35.43
2015-12-14,34.635,34.635,33.15,33.15,178400,33.15
2015-12-11,35.50,35.50,34.43,34.47,184400,34.47
2015-12-10,36.47,36.47,35.50,35.50,170000,35.50
2015-12-09,37.325,37.35,36.465,36.595,199600,36.595
