Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,1.586,1.586,1.586,1.586,000,1.586
2016-03-31,1.657,1.657,1.657,1.657,000,1.657
2016-03-30,1.667,1.667,1.667,1.667,000,1.667
2016-03-29,1.681,1.681,1.681,1.681,000,1.681
2016-03-28,1.799,1.799,1.799,1.799,000,1.799
2016-03-25,1.799,1.799,1.799,1.799,000,1.799
2016-03-24,1.799,1.799,1.799,1.799,000,1.799
2016-03-23,1.802,1.802,1.802,1.802,000,1.802
2016-03-22,1.797,1.797,1.797,1.797,000,1.797
2016-03-21,1.781,1.781,1.781,1.781,000,1.781
2016-03-18,1.781,1.781,1.781,1.781,000,1.781
2016-03-17,1.794,1.794,1.794,1.794,000,1.794
2016-03-16,1.802,1.802,1.802,1.802,000,1.802
2016-03-15,1.879,1.879,1.879,1.879,000,1.879
2016-03-14,1.682,1.682,1.682,1.682,000,1.682
2016-03-11,1.646,1.646,1.646,1.646,000,1.646
2016-03-10,1.657,1.657,1.657,1.657,000,1.657
2016-03-09,1.64,1.64,1.64,1.64,000,1.64
2016-03-08,1.80,1.80,1.80,1.80,000,1.80
2016-03-07,1.80,1.80,1.80,1.80,000,1.80
2016-03-04,1.80,1.80,1.80,1.80,000,1.80
2016-03-03,1.80,1.80,1.80,1.80,000,1.80
2016-03-02,1.80,1.80,1.80,1.80,000,1.80
2016-03-01,1.726,1.80,1.726,1.80,000,1.80
2016-02-29,1.509,1.509,1.509,1.509,000,1.509
2016-02-26,1.417,1.417,1.417,1.417,000,1.417
2016-02-25,1.402,1.402,1.402,1.402,000,1.402
2016-02-24,1.417,1.417,1.417,1.417,000,1.417
2016-02-23,1.296,1.296,1.296,1.296,000,1.296
2016-02-22,1.296,1.296,1.296,1.296,000,1.296
2016-02-19,1.213,1.213,1.213,1.213,000,1.213
2016-02-18,1.194,1.194,1.194,1.194,000,1.194
2016-02-17,1.114,1.114,1.114,1.114,000,1.114
2016-02-16,1.13,1.13,1.13,1.13,000,1.13
2016-02-15,0.974,0.974,0.974,0.974,000,0.974
2016-02-12,0.943,0.943,0.943,0.943,000,0.943
2016-02-11,1.105,1.105,1.105,1.105,000,1.105
2016-02-10,1.084,1.084,1.084,1.084,000,1.084
2016-02-09,1.13,1.13,1.13,1.13,000,1.13
2016-02-08,1.203,1.203,1.203,1.203,000,1.203
2016-02-05,1.228,1.228,1.228,1.228,000,1.228
2016-02-04,1.251,1.251,1.251,1.251,000,1.251
2016-02-03,1.282,1.282,1.282,1.282,000,1.282
2016-02-02,1.335,1.335,1.335,1.335,000,1.335
2016-02-01,1.33,1.33,1.33,1.33,000,1.33
2016-01-29,1.288,1.288,1.288,1.288,000,1.288
2016-01-28,1.244,1.244,1.244,1.244,000,1.244
2016-01-27,1.311,1.311,1.311,1.311,000,1.311
2016-01-26,1.27,1.27,1.27,1.27,000,1.27
2016-01-25,1.297,1.297,1.297,1.297,000,1.297
2016-01-22,1.255,1.255,1.255,1.255,000,1.255
2016-01-21,1.182,1.182,1.182,1.182,000,1.182
2016-01-20,1.216,1.216,1.216,1.216,000,1.216
2016-01-19,1.315,1.315,1.315,1.315,000,1.315
2016-01-18,1.32,1.32,1.32,1.32,000,1.32
2016-01-15,1.361,1.361,1.361,1.361,000,1.361
2016-01-14,1.397,1.397,1.397,1.397,000,1.397
2016-01-13,1.458,1.458,1.458,1.458,000,1.458
2016-01-12,1.437,1.437,1.437,1.437,000,1.437
2016-01-11,1.543,1.543,1.543,1.543,000,1.543
2016-01-08,1.536,1.536,1.536,1.536,000,1.536
2016-01-07,1.579,1.579,1.579,1.579,000,1.579
2016-01-06,1.628,1.628,1.628,1.628,000,1.628
2016-01-05,1.644,1.644,1.644,1.644,000,1.644
2016-01-04,1.619,1.619,1.619,1.619,000,1.619
2016-01-01,1.56,1.56,1.56,1.56,000,1.56
2015-12-31,1.56,1.56,1.56,1.56,000,1.56
2015-12-30,1.563,1.563,1.56,1.56,000,1.56
2015-12-29,1.557,1.557,1.557,1.557,000,1.557
2015-12-28,1.518,1.518,1.518,1.518,000,1.518
2015-12-25,1.638,1.638,1.638,1.638,000,1.638
2015-12-24,1.638,1.638,1.638,1.638,000,1.638
2015-12-23,1.638,1.638,1.638,1.638,000,1.638
2015-12-22,1.637,1.637,1.637,1.637,000,1.637
2015-12-21,1.612,1.612,1.612,1.612,000,1.612
2015-12-18,1.668,1.668,1.668,1.668,000,1.668
2015-12-17,1.653,1.653,1.653,1.653,000,1.653
2015-12-16,1.632,1.632,1.632,1.632,000,1.632
2015-12-15,1.67,1.67,1.67,1.67,000,1.67
2015-12-14,1.742,1.742,1.742,1.742,000,1.742
2015-12-11,1.773,1.773,1.773,1.773,000,1.773
2015-12-10,1.755,1.755,1.755,1.755,000,1.755
2015-12-09,1.728,1.728,1.728,1.728,000,1.728
2015-12-08,1.748,1.748,1.748,1.748,000,1.748
2015-12-07,1.767,1.767,1.767,1.767,000,1.767
2015-12-04,1.783,1.783,1.783,1.783,000,1.783
2015-12-03,1.895,1.895,1.895,1.895,000,1.895
2015-12-02,1.943,1.943,1.943,1.943,000,1.943
2015-12-01,2.043,2.043,2.043,2.043,000,2.043
2015-11-30,1.822,1.822,1.822,1.822,000,1.822
2015-11-27,1.835,1.835,1.835,1.835,000,1.835
2015-11-26,1.849,1.849,1.849,1.849,000,1.849
2015-11-25,1.86,1.86,1.86,1.86,000,1.86
2015-11-24,1.869,1.869,1.869,1.869,000,1.869
2015-11-23,1.87,1.87,1.87,1.87,000,1.87
2015-11-20,1.859,1.859,1.859,1.859,000,1.859
2015-11-19,1.841,1.841,1.841,1.841,000,1.841
2015-11-18,1.865,1.865,1.865,1.865,000,1.865
2015-11-17,1.836,1.836,1.836,1.836,000,1.836
2015-11-16,1.841,1.841,1.841,1.841,000,1.841
2015-11-13,1.994,1.994,1.994,1.994,000,1.994
2015-11-12,2.025,2.025,2.025,2.025,000,2.025
2015-11-11,2.042,2.042,2.042,2.042,000,2.042
2015-11-10,2.059,2.059,2.059,2.059,000,2.059
2015-11-09,2.115,2.115,2.115,2.115,000,2.115
2015-11-06,2.052,2.052,2.052,2.052,000,2.052
2015-11-05,1.991,1.991,1.991,1.991,000,1.991
2015-11-04,1.96,1.96,1.96,1.96,000,1.96
2015-11-02,1.971,1.971,1.971,1.971,000,1.971
2015-10-30,1.988,1.988,1.988,1.988,000,1.988
2015-10-29,2.012,2.012,2.012,2.012,000,2.012
2015-10-28,2.074,2.074,2.074,2.074,000,2.074
2015-10-27,2.127,2.127,2.127,2.127,000,2.127
2015-10-26,2.124,2.124,2.124,2.124,000,2.124
2015-10-23,2.124,2.124,2.124,2.124,000,2.124
2015-10-22,2.122,2.122,2.122,2.122,000,2.122
2015-10-21,2.069,2.069,2.069,2.069,000,2.069
2015-10-20,2.075,2.075,2.075,2.075,000,2.075
2015-10-19,2.056,2.056,2.056,2.056,000,2.056
2015-10-16,2.10,2.10,2.10,2.10,000,2.10
2015-10-15,2.02,2.02,2.02,2.02,000,2.02
2015-10-14,2.008,2.008,2.008,2.008,000,2.008
2015-10-13,2.074,2.074,2.074,2.074,000,2.074
2015-10-12,2.085,2.085,2.085,2.085,000,2.085
2015-10-09,2.111,2.111,2.111,2.111,000,2.111
2015-10-08,2.082,2.082,2.082,2.082,000,2.082
2015-10-07,2.13,2.13,2.13,2.13,000,2.13
2015-10-06,2.042,2.042,2.042,2.042,000,2.042
2015-10-05,2.039,2.039,2.039,2.039,000,2.039
2015-10-02,1.935,1.935,1.935,1.935,000,1.935
2015-10-01,1.926,1.926,1.926,1.926,000,1.926
2015-09-30,1.883,1.883,1.883,1.883,000,1.883
2015-09-29,1.856,1.856,1.856,1.856,000,1.856
2015-09-28,1.902,1.902,1.902,1.902,000,1.902
2015-09-25,1.873,1.873,1.873,1.873,000,1.873
2015-09-24,1.853,1.853,1.853,1.853,000,1.853
