Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,43.06,43.06,43.06,43.06,000,43.06
2016-03-31,43.06,43.06,43.06,43.06,000,43.06
2016-03-30,43.06,43.06,43.06,43.06,000,43.06
2016-03-29,43.06,43.06,43.06,43.06,000,43.06
2016-03-28,43.80,43.80,43.80,43.80,000,43.80
2016-03-25,43.80,43.80,43.80,43.80,000,43.80
2016-03-24,43.80,43.80,43.80,43.80,000,43.80
2016-03-23,43.80,43.80,43.80,43.80,000,43.80
2016-03-22,43.80,43.80,43.80,43.80,000,43.80
2016-03-21,43.80,43.80,43.80,43.80,000,43.80
2016-03-18,43.80,43.80,43.80,43.80,000,43.80
2016-03-17,43.80,43.80,43.80,43.80,000,43.80
2016-03-16,43.80,43.80,43.80,43.80,000,43.80
2016-03-15,43.80,43.80,43.80,43.80,000,43.80
2016-03-14,43.80,43.80,43.80,43.80,000,43.80
2016-03-11,43.80,43.80,43.80,43.80,000,43.80
2016-03-10,43.80,43.80,43.80,43.80,000,43.80
2016-03-09,43.80,43.80,43.80,43.80,000,43.80
2016-03-08,43.80,43.80,43.80,43.80,000,43.80
2016-03-07,43.80,43.80,43.80,43.80,000,43.80
2016-03-04,43.80,43.80,43.80,43.80,000,43.80
2016-03-03,43.80,43.80,43.80,43.80,100,43.80
2016-03-02,45.62,45.62,45.62,45.62,000,45.62
2016-03-01,45.62,45.62,45.62,45.62,000,45.62
2016-02-29,45.62,45.62,45.62,45.62,000,45.62
2016-02-26,45.62,45.62,45.62,45.62,000,45.62
2016-02-25,45.62,45.62,45.62,45.62,000,45.62
2016-02-24,45.62,45.62,45.62,45.62,000,42.12
2016-02-23,45.62,45.62,45.62,45.62,000,42.12
2016-02-22,45.62,45.62,45.62,45.62,000,42.12
2016-02-19,45.62,45.62,45.62,45.62,000,42.12
2016-02-18,45.62,45.62,45.62,45.62,000,42.12
2016-02-17,45.62,45.62,45.62,45.62,000,42.12
2016-02-16,45.62,45.62,45.62,45.62,000,42.12
2016-02-15,45.62,45.62,45.62,45.62,000,42.12
2016-02-12,45.62,45.62,45.62,45.62,000,42.12
2016-02-11,45.62,45.62,45.62,45.62,000,42.12
2016-02-10,45.62,45.62,45.62,45.62,000,42.12
2016-02-09,45.62,45.62,45.62,45.62,000,42.12
2016-02-08,45.62,45.62,45.62,45.62,000,42.12
