Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.25,0.25,0.25,0.25,000,0.25
2016-03-31,0.25,0.25,0.25,0.25,000,0.25
2016-03-30,0.27,0.27,0.25,0.25,35200,0.25
2016-03-29,0.26,0.26,0.26,0.26,000,0.26
2016-03-28,0.26,0.26,0.26,0.26,1000,0.26
2016-03-24,0.26,0.26,0.25,0.25,3500,0.25
2016-03-23,0.27,0.28,0.255,0.28,21100,0.28
2016-03-22,0.27,0.28,0.23,0.28,32000,0.28
2016-03-21,0.27,0.29,0.25,0.27,30500,0.27
2016-03-18,0.275,0.28,0.275,0.28,2200,0.28
2016-03-17,0.28,0.28,0.26,0.26,5600,0.26
2016-03-16,0.27,0.27,0.27,0.27,5700,0.27
2016-03-15,0.28,0.28,0.27,0.27,4700,0.27
2016-03-14,0.29,0.29,0.29,0.29,2000,0.29
2016-03-11,0.30,0.30,0.27,0.285,38900,0.285
2016-03-10,0.28,0.30,0.28,0.30,18000,0.30
2016-03-09,0.27,0.28,0.25,0.28,24400,0.28
2016-03-08,0.315,0.33,0.29,0.29,16500,0.29
2016-03-07,0.32,0.325,0.30,0.32,69800,0.32
2016-03-04,0.29,0.32,0.27,0.32,25400,0.32
2016-03-03,0.305,0.32,0.30,0.32,6500,0.32
2016-03-02,0.34,0.34,0.33,0.34,37500,0.34
2016-03-01,0.31,0.325,0.30,0.325,21700,0.325
2016-02-29,0.33,0.33,0.33,0.33,58200,0.33
2016-02-26,0.30,0.33,0.295,0.30,66000,0.30
2016-02-25,0.335,0.34,0.255,0.295,85300,0.295
2016-02-24,0.32,0.35,0.32,0.34,333400,0.34
2016-02-23,0.27,0.32,0.27,0.32,130800,0.32
2016-02-22,0.25,0.27,0.25,0.27,107700,0.27
2016-02-19,0.23,0.25,0.22,0.25,26300,0.25
2016-02-18,0.24,0.24,0.24,0.24,000,0.24
2016-02-17,0.24,0.24,0.23,0.24,92900,0.24
2016-02-16,0.28,0.28,0.23,0.23,37400,0.23
2016-02-12,0.20,0.25,0.195,0.25,58200,0.25
2016-02-11,0.17,0.20,0.17,0.20,101400,0.20
2016-02-10,0.16,0.16,0.155,0.155,17300,0.155
2016-02-09,0.165,0.165,0.15,0.15,50000,0.15
2016-02-08,0.17,0.17,0.17,0.17,2500,0.17
2016-02-05,0.17,0.17,0.17,0.17,000,0.17
2016-02-04,0.18,0.18,0.17,0.17,12500,0.17
2016-02-03,0.18,0.18,0.18,0.18,1500,0.18
2016-02-02,0.18,0.18,0.18,0.18,000,0.18
2016-02-01,0.18,0.18,0.18,0.18,4200,0.18
2016-01-29,0.18,0.18,0.18,0.18,5000,0.18
2016-01-28,0.17,0.17,0.17,0.17,2100,0.17
2016-01-27,0.16,0.16,0.16,0.16,000,0.16
2016-01-26,0.16,0.16,0.16,0.16,000,0.16
2016-01-25,0.16,0.16,0.16,0.16,000,0.16
2016-01-22,0.16,0.16,0.16,0.16,000,0.16
2016-01-21,0.17,0.17,0.16,0.16,30000,0.16
2016-01-20,0.18,0.18,0.18,0.18,7000,0.18
2016-01-19,0.18,0.18,0.18,0.18,000,0.18
2016-01-18,0.18,0.18,0.18,0.18,1700,0.18
2016-01-15,0.18,0.18,0.18,0.18,12500,0.18
2016-01-14,0.18,0.18,0.18,0.18,000,0.18
2016-01-13,0.18,0.18,0.18,0.18,700,0.18
2016-01-12,0.19,0.19,0.175,0.175,4500,0.175
2016-01-11,0.20,0.20,0.20,0.20,20000,0.20
2016-01-08,0.195,0.195,0.195,0.195,000,0.195
2016-01-07,0.195,0.195,0.195,0.195,11300,0.195
2016-01-06,0.215,0.215,0.215,0.215,1200,0.215
2016-01-05,0.19,0.19,0.19,0.19,600,0.19
2016-01-04,0.20,0.20,0.20,0.20,2500,0.20
2015-12-31,0.20,0.20,0.20,0.20,000,0.20
2015-12-30,0.20,0.20,0.20,0.20,9400,0.20
2015-12-29,0.21,0.21,0.21,0.21,000,0.21
2015-12-24,0.21,0.21,0.21,0.21,25000,0.21
2015-12-23,0.17,0.17,0.17,0.17,800,0.17
2015-12-22,0.18,0.18,0.155,0.17,16200,0.17
2015-12-21,0.18,0.18,0.18,0.18,10000,0.18
2015-12-18,0.18,0.18,0.17,0.17,25000,0.17
2015-12-17,0.185,0.185,0.17,0.17,4000,0.17
2015-12-16,0.17,0.17,0.17,0.17,60000,0.17
2015-12-15,0.16,0.16,0.16,0.16,6300,0.16
2015-12-14,0.17,0.17,0.17,0.17,000,0.17
2015-12-11,0.17,0.17,0.17,0.17,000,0.17
2015-12-10,0.17,0.17,0.17,0.17,000,0.17
2015-12-09,0.18,0.18,0.17,0.17,64400,0.17
2015-12-08,0.16,0.16,0.16,0.16,47500,0.16
2015-12-07,0.155,0.16,0.15,0.16,12000,0.16
2015-12-04,0.18,0.18,0.18,0.18,22000,0.18
2015-12-03,0.19,0.19,0.18,0.18,18000,0.18
2015-12-02,0.18,0.19,0.17,0.18,34600,0.18
2015-12-01,0.20,0.20,0.18,0.18,63900,0.18
2015-11-30,0.21,0.21,0.21,0.21,000,0.21
2015-11-27,0.21,0.21,0.21,0.21,18000,0.21
2015-11-26,0.21,0.21,0.21,0.21,000,0.21
2015-11-25,0.21,0.21,0.21,0.21,800,0.21
2015-11-24,0.245,0.245,0.245,0.245,000,0.245
2015-11-23,0.245,0.245,0.245,0.245,000,0.245
2015-11-20,0.245,0.245,0.21,0.245,25000,0.245
2015-11-19,0.215,0.215,0.215,0.215,10000,0.215
2015-11-18,0.23,0.23,0.23,0.23,000,0.23
2015-11-17,0.24,0.24,0.21,0.23,37000,0.23
2015-11-16,0.22,0.22,0.18,0.19,58500,0.19
2015-11-13,0.22,0.22,0.22,0.22,000,0.22
2015-11-12,0.22,0.22,0.22,0.22,1000,0.22
2015-11-11,0.22,0.22,0.22,0.22,000,0.22
2015-11-10,0.22,0.22,0.22,0.22,000,0.22
2015-11-09,0.22,0.22,0.22,0.22,1000,0.22
2015-11-06,0.225,0.225,0.225,0.225,000,0.225
2015-11-05,0.225,0.225,0.225,0.225,000,0.225
2015-11-04,0.225,0.225,0.225,0.225,000,0.225
2015-11-03,0.225,0.225,0.225,0.225,000,0.225
2015-11-02,0.225,0.225,0.225,0.225,1000,0.225
2015-10-30,0.22,0.22,0.22,0.22,000,0.22
2015-10-29,0.23,0.23,0.23,0.23,000,0.23
2015-10-28,0.23,0.23,0.23,0.23,10000,0.23
2015-10-27,0.23,0.23,0.23,0.23,3500,0.23
2015-10-26,0.23,0.23,0.23,0.23,000,0.23
