Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.041,0.042,0.04,0.04,580000,0.04
2016-03-31,0.04,0.04,0.039,0.039,871900,0.039
2016-03-30,0.035,0.035,0.035,0.035,40000,0.035
2016-03-29,0.038,0.038,0.038,0.038,000,0.038
2016-03-28,0.038,0.038,0.038,0.038,000,0.038
2016-03-25,0.038,0.038,0.038,0.038,000,0.038
2016-03-24,0.04,0.04,0.038,0.038,82000,0.038
2016-03-23,0.038,0.038,0.038,0.038,150000,0.038
2016-03-22,0.035,0.035,0.035,0.035,000,0.035
2016-03-21,0.035,0.035,0.035,0.035,000,0.035
2016-03-18,0.036,0.036,0.035,0.035,460000,0.035
2016-03-17,0.03,0.036,0.03,0.036,4828700,0.036
2016-03-16,0.028,0.03,0.028,0.03,325000,0.03
2016-03-15,0.028,0.028,0.028,0.028,90000,0.028
2016-03-14,0.03,0.03,0.03,0.03,000,0.03
2016-03-11,0.03,0.03,0.03,0.03,000,0.03
2016-03-10,0.03,0.03,0.03,0.03,178800,0.03
2016-03-09,0.025,0.03,0.025,0.03,246100,0.03
2016-03-08,0.03,0.03,0.03,0.03,200000,0.03
2016-03-07,0.03,0.03,0.03,0.03,200000,0.03
2016-03-04,0.03,0.03,0.03,0.03,197000,0.03
2016-03-03,0.03,0.03,0.03,0.03,350000,0.03
2016-03-02,0.035,0.035,0.033,0.033,69100,0.033
2016-03-01,0.04,0.04,0.035,0.035,530000,0.035
2016-02-29,0.04,0.04,0.04,0.04,000,0.04
2016-02-26,0.04,0.04,0.04,0.04,150000,0.04
2016-02-25,0.04,0.04,0.04,0.04,000,0.04
2016-02-24,0.04,0.04,0.04,0.04,000,0.04
2016-02-23,0.04,0.04,0.04,0.04,000,0.04
2016-02-22,0.04,0.04,0.04,0.04,000,0.04
2016-02-19,0.04,0.04,0.04,0.04,000,0.04
2016-02-18,0.04,0.04,0.04,0.04,000,0.04
2016-02-17,0.04,0.04,0.04,0.04,000,0.04
2016-02-16,0.04,0.04,0.04,0.04,325000,0.04
2016-02-15,0.04,0.04,0.04,0.04,000,0.04
2016-02-12,0.04,0.04,0.04,0.04,000,0.04
2016-02-11,0.04,0.04,0.04,0.04,000,0.04
2016-02-10,0.039,0.04,0.039,0.04,125000,0.04
2016-02-09,0.038,0.04,0.038,0.04,125000,0.04
2016-02-08,0.04,0.04,0.04,0.04,100000,0.04
2016-02-05,0.037,0.04,0.037,0.04,137000,0.04
