Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.425,0.425,0.42,0.42,14000,0.42
2016-03-31,0.425,0.425,0.425,0.425,000,0.425
2016-03-30,0.43,0.43,0.425,0.425,62100,0.425
2016-03-29,0.45,0.45,0.43,0.435,54100,0.435
2016-03-28,0.44,0.44,0.44,0.44,000,0.44
2016-03-25,0.44,0.44,0.44,0.44,000,0.44
2016-03-24,0.43,0.44,0.43,0.44,8400,0.44
2016-03-23,0.44,0.44,0.425,0.43,81100,0.43
2016-03-22,0.44,0.44,0.43,0.44,118100,0.44
2016-03-21,0.43,0.435,0.43,0.435,13000,0.435
2016-03-18,0.43,0.435,0.43,0.43,18900,0.43
2016-03-17,0.445,0.445,0.425,0.43,58300,0.43
2016-03-16,0.43,0.43,0.42,0.42,5500,0.42
2016-03-15,0.415,0.47,0.405,0.42,121000,0.42
2016-03-14,0.38,0.39,0.38,0.39,10700,0.39
2016-03-11,0.40,0.40,0.40,0.40,000,0.40
2016-03-10,0.40,0.40,0.40,0.40,000,0.40
2016-03-09,0.40,0.40,0.40,0.40,000,0.40
2016-03-08,0.40,0.40,0.40,0.40,5600,0.40
2016-03-07,0.38,0.425,0.375,0.38,125100,0.38
2016-03-04,0.375,0.375,0.375,0.375,9400,0.375
2016-03-03,0.375,0.375,0.375,0.375,11700,0.375
2016-03-02,0.375,0.38,0.37,0.375,164900,0.375
2016-03-01,0.38,0.385,0.375,0.385,147400,0.385
2016-02-29,0.38,0.38,0.375,0.38,98200,0.38
2016-02-26,0.38,0.39,0.38,0.39,33500,0.39
2016-02-25,0.375,0.385,0.37,0.38,294500,0.38
2016-02-24,0.375,0.39,0.375,0.375,64800,0.375
2016-02-23,0.375,0.385,0.375,0.385,36500,0.385
2016-02-22,0.375,0.38,0.375,0.38,17600,0.38
2016-02-19,0.38,0.385,0.37,0.385,117200,0.385
2016-02-18,0.38,0.385,0.36,0.37,106300,0.37
2016-02-17,0.365,0.38,0.365,0.37,81200,0.37
2016-02-16,0.36,0.36,0.36,0.36,1500,0.36
2016-02-15,0.355,0.38,0.35,0.35,153600,0.35
2016-02-12,0.35,0.36,0.35,0.36,11100,0.36
2016-02-11,0.36,0.365,0.34,0.365,34900,0.365
2016-02-10,0.33,0.36,0.33,0.36,2035200,0.36
2016-02-09,0.33,0.355,0.30,0.33,137000,0.33
2016-02-08,0.36,0.365,0.33,0.345,71100,0.345
2016-02-05,0.37,0.375,0.36,0.375,82700,0.375
2016-02-04,0.37,0.375,0.37,0.375,16000,0.375
2016-02-03,0.365,0.375,0.36,0.375,23300,0.375
2016-02-02,0.36,0.37,0.36,0.365,26200,0.365
2016-02-01,0.355,0.355,0.355,0.355,000,0.355
2016-01-29,0.355,0.355,0.35,0.355,20100,0.355
2016-01-28,0.40,0.40,0.35,0.355,235700,0.355
2016-01-27,0.41,0.415,0.40,0.41,178200,0.41
2016-01-26,0.41,0.41,0.41,0.41,000,0.41
2016-01-25,0.405,0.41,0.40,0.41,43500,0.41
2016-01-22,0.42,0.42,0.415,0.42,40700,0.42
2016-01-21,0.425,0.425,0.415,0.42,40900,0.42
2016-01-20,0.425,0.43,0.41,0.425,90700,0.425
2016-01-19,0.435,0.435,0.40,0.43,104700,0.43
2016-01-18,0.435,0.44,0.435,0.44,30800,0.44
2016-01-15,0.445,0.445,0.435,0.435,12900,0.435
2016-01-14,0.47,0.47,0.395,0.435,175400,0.435
2016-01-13,0.475,0.475,0.465,0.465,36400,0.465
2016-01-12,0.49,0.49,0.45,0.465,138500,0.465
2016-01-11,0.50,0.50,0.48,0.49,85100,0.49
2016-01-08,0.46,0.50,0.46,0.485,71700,0.485
2016-01-07,0.485,0.49,0.48,0.48,88800,0.48
2016-01-06,0.48,0.495,0.475,0.48,45200,0.48
2016-01-05,0.495,0.495,0.43,0.46,428300,0.46
2016-01-04,0.45,0.55,0.45,0.505,537300,0.505
2016-01-01,0.40,0.40,0.40,0.40,000,0.40
2015-12-31,0.37,0.41,0.37,0.40,113000,0.40
2015-12-30,0.36,0.37,0.36,0.37,12600,0.37
2015-12-29,0.365,0.365,0.36,0.36,55300,0.36
2015-12-28,0.36,0.36,0.36,0.36,000,0.36
2015-12-25,0.36,0.36,0.36,0.36,000,0.36
2015-12-24,0.36,0.37,0.35,0.36,90000,0.36
2015-12-23,0.35,0.36,0.35,0.35,100500,0.35
2015-12-22,0.36,0.36,0.36,0.36,000,0.36
2015-12-21,0.31,0.36,0.31,0.36,100600,0.36
2015-12-18,0.30,0.30,0.30,0.30,000,0.30
2015-12-17,0.30,0.30,0.30,0.30,85000,0.30
2015-12-16,0.30,0.30,0.30,0.30,000,0.30
2015-12-15,0.30,0.31,0.30,0.30,74100,0.30
2015-12-14,0.31,0.31,0.31,0.31,000,0.31
2015-12-11,0.30,0.31,0.30,0.31,70000,0.31
2015-12-10,0.30,0.31,0.30,0.31,5100,0.31
2015-12-09,0.285,0.30,0.285,0.30,31600,0.30
2015-12-08,0.31,0.31,0.285,0.29,109000,0.29
2015-12-07,0.345,0.345,0.31,0.31,76400,0.31
2015-12-04,0.345,0.345,0.34,0.34,12300,0.34
2015-12-03,0.35,0.35,0.34,0.345,38200,0.345
2015-12-02,0.35,0.35,0.345,0.345,78000,0.345
2015-12-01,0.31,0.365,0.31,0.35,557000,0.35
2015-11-30,0.31,0.31,0.31,0.31,000,0.31
2015-11-27,0.31,0.31,0.31,0.31,000,0.31
2015-11-26,0.33,0.33,0.31,0.31,58200,0.31
