Date,Open,High,Low,Close,Volume,Adj_Close
2015-05-25,339.00,339.00,339.00,339.00,000,339.00
2015-05-22,339.00,339.00,339.00,339.00,000,339.00
2015-05-21,340.00,340.00,339.00,339.00,556200,339.00
2015-05-20,338.00,340.00,338.00,339.25,46800,339.25
2015-05-19,339.75,339.75,338.25,339.125,000,339.125
2015-05-18,338.50,340.00,338.50,340.00,7400,340.00
2015-05-15,340.50,340.75,338.50,339.75,15400,339.75
2015-05-14,338.50,340.25,338.50,339.75,12200,339.75
2015-05-13,338.50,340.50,338.00,339.00,34700,339.00
2015-05-12,338.50,340.116,338.50,339.875,15600,339.875
2015-05-11,338.00,355.00,338.00,340.00,15676000,340.00
2015-05-08,355.00,355.00,338.50,339.50,24200,339.50
2015-05-07,338.50,338.56,338.50,338.50,10400,338.50
2015-05-06,338.50,338.50,338.25,338.50,504800,338.50
2015-05-05,338.50,341.00,338.00,338.50,180000,338.50
2015-05-04,338.00,338.00,338.00,338.00,000,338.00
2015-05-01,338.00,338.00,336.38,338.00,3400,338.00
2015-04-30,338.50,340.00,338.50,340.00,1000,340.00
2015-04-29,338.00,338.50,338.00,339.625,122000,339.625
2015-04-28,344.00,344.00,338.00,339.75,540200,339.75
2015-04-27,335.00,341.00,335.00,341.00,100900,341.00
2015-04-24,343.50,343.50,338.00,342.00,53800,342.00
2015-04-23,338.00,338.003,335.28,339.625,2180700,339.625
2015-04-22,339.00,339.50,338.00,338.00,102900,338.00
2015-04-21,340.00,340.00,339.50,339.875,508000,339.875
2015-04-20,340.00,340.50,340.00,340.00,9000,340.00
2015-04-17,343.00,344.00,340.00,342.00,38700,342.00
2015-04-16,338.00,342.00,338.00,342.00,8000,342.00
2015-04-15,344.00,344.00,338.00,341.50,73300,341.50
2015-04-14,342.00,344.00,338.20,344.00,1575600,344.00
2015-04-13,344.00,344.00,342.00,342.00,25500,342.00
2015-04-10,350.00,350.00,341.00,343.50,318700,343.50
2015-04-09,343.75,345.00,342.75,344.00,70500,344.00
2015-04-08,343.50,344.50,343.50,343.75,55800,343.75
2015-04-07,349.75,349.75,343.50,343.75,62800,343.75
2015-04-06,344.25,344.25,344.25,344.25,000,344.25
2015-04-03,344.25,344.25,344.25,344.25,000,344.25
2015-04-02,344.50,346.863,344.00,344.25,48900,344.25
2015-04-01,343.75,344.259,343.75,344.00,57600,344.00
2015-03-31,344.25,345.00,344.25,345.00,62600,345.00
2015-03-30,343.75,344.25,343.50,344.00,137400,344.00
2015-03-27,344.00,348.50,343.386,345.00,13000,345.00
2015-03-26,344.50,345.017,344.38,345.00,19200,345.00
2015-03-25,348.00,348.00,344.50,346.75,84000,346.75
2015-03-24,346.50,346.63,344.50,344.50,268700,344.50
2015-03-23,343.75,350.75,343.75,345.50,31400,345.50
2015-03-20,344.00,351.00,343.85,351.00,84400,351.00
2015-03-19,343.50,345.25,343.50,343.75,128400,343.75
2015-03-18,344.00,345.00,343.50,343.50,20300,343.50
2015-03-17,343.50,345.25,343.00,343.75,100200,343.75
2015-03-16,342.25,347.945,342.25,343.50,35000,343.50
2015-03-13,342.25,349.00,342.00,345.00,466200,345.00
2015-03-12,342.25,343.26,342.00,342.00,548500,342.00
2015-03-11,341.75,344.00,341.398,344.00,86000,344.00
2015-03-10,342.25,344.125,341.355,342.00,43900,342.00
2015-03-09,345.00,345.037,339.75,343.00,2570100,343.00
2015-03-06,345.25,346.25,337.25,345.25,3282700,345.25
2015-03-05,345.75,346.00,342.733,345.25,506000,345.25
2015-03-04,346.25,346.25,343.00,343.50,110600,343.50
2015-03-03,343.00,348.00,343.00,345.00,923300,345.00
2015-03-02,347.00,347.00,341.70,344.00,291200,344.00
2015-02-27,335.00,343.75,335.00,341.50,1785300,341.50
2015-02-26,260.50,265.245,260.00,260.50,7700,260.50
2015-02-25,266.50,266.50,263.505,266.50,2800,266.50
